web_scraper_order,web_scraper_start_url,Open,High,Low,Close,Change,Per_change_(),Turnover,data
"1778676813-1","https://www.sharesansar.com/index-history-data","2,746.96","2,747.84","2,720.41","2,740.25","-4.15","-0.15","2,807,446,361.52","1"
"1778676813-2","https://www.sharesansar.com/index-history-data","2,788.95","2,802.38","2,741.17","2,744.40","-39.44","-1.41","4,665,020,677.74","2"
"1778676813-3","https://www.sharesansar.com/index-history-data","2,747.62","2,783.99","2,747.18","2,783.85","38.19","1.39","4,613,563,635.83","3"
"1778676813-4","https://www.sharesansar.com/index-history-data","2,720.28","2,745.79","2,717.96","2,745.65","27.49","1.01","3,286,870,559.39","4"
"1778676813-5","https://www.sharesansar.com/index-history-data","2,706.67","2,718.16","2,700.97","2,718.16","6.94","0.25","2,931,968,877.56","5"
"1778676813-6","https://www.sharesansar.com/index-history-data","2,717.62","2,724.27","2,705.55","2,711.22","-1.64","-0.06","3,197,766,779.16","6"
"1778676813-7","https://www.sharesansar.com/index-history-data","2,700.92","2,726.18","2,684.62","2,712.86","8.78","0.32","3,439,068,392.76","7"
"1778676813-8","https://www.sharesansar.com/index-history-data","2,739.98","2,742.58","2,697.14","2,704.08","-34.63","-1.26","4,265,385,417.21","8"
"1778676813-9","https://www.sharesansar.com/index-history-data","2,738.88","2,745.55","2,708.34","2,738.72","-5.73","-0.20","4,916,626,848.56","9"
"1778676813-10","https://www.sharesansar.com/index-history-data","2,771.75","2,774.16","2,734.33","2,744.45","-25.81","-0.93","4,986,294,173.38","10"
"1778676813-11","https://www.sharesansar.com/index-history-data","2,799.37","2,812.29","2,765.18","2,770.26","-26.16","-0.93","6,531,723,226.36","11"
"1778676813-12","https://www.sharesansar.com/index-history-data","2,795.74","2,806.96","2,789.22","2,796.43","7.73","0.27","4,748,809,127.76","12"
"1778676813-13","https://www.sharesansar.com/index-history-data","2,794.89","2,794.89","2,759.78","2,788.70","1.54","0.05","5,270,399,727.63","13"
"1778676813-14","https://www.sharesansar.com/index-history-data","2,806.74","2,817.10","2,779.86","2,787.15","-17.01","-0.60","5,095,905,757.17","14"
"1778676813-15","https://www.sharesansar.com/index-history-data","2,810.44","2,818.20","2,762.37","2,804.17","-2.95","-0.10","7,813,947,342.89","15"
"1778676813-16","https://www.sharesansar.com/index-history-data","2,838.06","2,838.59","2,796.92","2,807.12","-18.10","-0.64","5,774,317,879.28","16"
"1778676813-17","https://www.sharesansar.com/index-history-data","2,831.80","2,846.39","2,813.24","2,825.23","-13.17","-0.46","5,434,240,276.30","17"
"1778676813-18","https://www.sharesansar.com/index-history-data","2,835.24","2,843.57","2,808.02","2,838.40","5.36","0.18","7,460,698,098.47","18"
"1778676813-19","https://www.sharesansar.com/index-history-data","2,868.76","2,869.67","2,822.68","2,833.03","-33.83","-1.18","9,312,860,808.27","19"
"1778676813-20","https://www.sharesansar.com/index-history-data","2,834.46","2,879.21","2,834.31","2,866.87","33.27","1.17","10,537,008,796.56","20"
"1778676813-21","https://www.sharesansar.com/index-history-data","2,842.26","2,849.09","2,827.06","2,833.60","-4.18","-0.14","8,665,568,641.79","21"
