web_scraper_order,web_scraper_start_url,data2,email,data22,data,data3,website
1778389591-1,https://www.nepalstock.com.np/company,Nabil Bank Limited,company.affairs@nabilbank.com,1,NABIL,Commercial Banks,www.nabilbank.com
1778389591-2,https://www.nepalstock.com.np/company,Nepal Investment Mega Bank Limited,info@nimb.com.np,2,NIMB,Commercial Banks,http://www.nimb.com.np
1778389591-3,https://www.nepalstock.com.np/company,Standard Chartered Bank Limited,Legal.Nepal@sc.com,3,SCB,Commercial Banks,www.sc.com/np
1778389591-4,https://www.nepalstock.com.np/company,Himalayan Bank Limited,legal@himalayanbank.com,4,HBL,Commercial Banks,https://www.himalayanbank.com
1778389591-5,https://www.nepalstock.com.np/company,Nepal SBI Bank Limited,cs@nsbl.com.np,5,SBI,Commercial Banks,https://nsbl.statebank
1778389591-6,https://www.nepalstock.com.np/company,Everest Bank Limited,sharedept@ebl.com.np,6,EBL,Commercial Banks,www.everestbankltd.com
1778389591-7,https://www.nepalstock.com.np/company,NIC Asia Bank Ltd.,nica.nots@nicasiabank.com,7,NICA,Commercial Banks,www.nicasiabank.com
1778389591-8,https://www.nepalstock.com.np/company,Machhapuchhre Bank Limited,machbank@mbl.com.np,8,MBL,Commercial Banks,http://www.machbank.com
1778389591-9,https://www.nepalstock.com.np/company,Laxmi Sunrise Bank Limited,piyush.aryal@laxmisunrise.com,9,LSL,Commercial Banks,www.laxmisunrise.com
1778389591-10,https://www.nepalstock.com.np/company,Kumari Bank Limited,info@kumaribank.com,10,KBL,Commercial Banks,http://www.kumaribank.com
1778389591-11,https://www.nepalstock.com.np/company,Siddhartha Bank Limited,laxman.ghimire@sbl.com.np,11,SBL,Commercial Banks,www.siddharthabank.com
1778389591-12,https://www.nepalstock.com.np/company,Soaltee Hotel Limited,lbkhatri@soaltee.com.np,12,SHL,Hotels And Tourism,http://www.soalteehotel.com
1778389591-13,https://www.nepalstock.com.np/company,Taragaon Regency Hotel Limited,info@taragaon.com,13,TRH,Hotels And Tourism,
1778389591-14,https://www.nepalstock.com.np/company,Oriental Hotels Limited,legal@radkat.com.np,14,OHL,Hotels And Tourism,
1778389591-15,https://www.nepalstock.com.np/company,National Hydro Power Company Limited,info@nhpcl.com,15,NHPC,Hydro Power,
1778389591-16,https://www.nepalstock.com.np/company,Butwal Power Company Limited,hari.budhathoki@bpc.com.np,16,BPCL,Hydro Power,http://www.bpc.com.np
1778389591-17,https://www.nepalstock.com.np/company,Chilime Hydropower Company Limited,info@chilime.com.np,17,CHCL,Hydro Power,www.chilime.com.np
1778389591-18,https://www.nepalstock.com.np/company,Salt Trading Corporation,legalstcnepal@gmail.com,18,STC,Tradings,www.stcnepal.com
1778389591-19,https://www.nepalstock.com.np/company,Bishal Bazar Company Limited,info@bishalbazar.com.np,19,BBC,Tradings,
1778389591-20,https://www.nepalstock.com.np/company,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,jagya.panta@nirdhan.com.np,20,NUBL,Microfinance,www.nirdhan.com.np
1778389591-21,https://www.nepalstock.com.np/company,Chhimek Laghubitta Bittiya Sanstha Limited,info@chhimekbank.org.np,21,CBBL,Microfinance,www.chhimekbank.org
1778389591-22,https://www.nepalstock.com.np/company,Deprosc Laghubitta Bittiya Sanstha Limited,info@deproscbank.com.np,22,DDBL,Microfinance,www.deproscbank.com.np
1778389591-23,https://www.nepalstock.com.np/company,Sanima Bank Limited,RUDRA@sanimabank.com,23,SANIMA,Commercial Banks,www.sanimabank.com
1778389591-24,https://www.nepalstock.com.np/company,Narayani Development Bank Limited,info@ndbl.com.np,24,NABBC,Development Banks,www.ndbl.com.np
1778389591-25,https://www.nepalstock.com.np/company,Nepal Insurance Co. Ltd.,nic@nepalinsurance.com.np,25,NICL,Non Life Insurance,www.nepalinsurance.com.np
1778389591-26,https://www.nepalstock.com.np/company,Rastriya Beema Company Limited,info@rbcl.gov.np,26,RBCL,Non Life Insurance,
1778389591-27,https://www.nepalstock.com.np/company,National Life Insurance Co. Ltd.,info@nationallife.com.np,27,NLICL,Life Insurance,www.nationallife.com.np
1778389591-28,https://www.nepalstock.com.np/company,Himalayan Everest Insurance Limited,subindra.shrestha@hei.com.np,28,HEI,Non Life Insurance,
1778389591-29,https://www.nepalstock.com.np/company,United Ajod Insurance Limited,info@unitedajodinsurance.com,29,UAIL,Non Life Insurance,www.unitedajodinsurance.com
1778389591-30,https://www.nepalstock.com.np/company,Siddhartha Premier Insurance Limited,premier@picl.com.np,30,SPIL,Non Life Insurance,
1778389591-31,https://www.nepalstock.com.np/company,Neco Insurance Limited,info@neco.com.np,31,NIL,Non Life Insurance,http://www.neco.com.np
1778389591-32,https://www.nepalstock.com.np/company,Prabhu Insurance Ltd.,info@prabhuinsurance.com,32,PRIN,Non Life Insurance,http://www.prabhuinsurance.com
1778389591-33,https://www.nepalstock.com.np/company,Sagarmatha Lumbini Insurance Co. Limited,bishow.ad@sagarmathainsurance.com.np,33,SALICO,Non Life Insurance,
1778389591-34,https://www.nepalstock.com.np/company,IGI Prudential insurance Limited,compliance@iginepal.com,34,IGI,Non Life Insurance,http://www.igiprudential.com
1778389591-35,https://www.nepalstock.com.np/company,Nepal Life Insurance Co. Ltd.,info@nepallife.com.np,35,NLIC,Life Insurance,www.nepallife.com.np
1778389591-36,https://www.nepalstock.com.np/company,Life Insurance Corporation (Nepal) Limited,cs@licnepal.com.np,36,LICN,Life Insurance,http://www.licnepal.com.np
1778389591-37,https://www.nepalstock.com.np/company,Shikhar Insurance Co. Ltd.,info@shikharinsurance.com,37,SICL,Non Life Insurance,http://www.shikharinsurance.com
1778389591-38,https://www.nepalstock.com.np/company,Nepal Finance Ltd.,info@nepalfinance.com.np,38,NFS,Finance,www.nepalfinancelimited.com.np
1778389591-39,https://www.nepalstock.com.np/company,Bottlers Nepal (Balaju) Limited,prburma@coca-cola.com.np,39,BNL,Manufacturing And Processing,
1778389591-40,https://www.nepalstock.com.np/company,Nepal Lube Oil Limited,g.bhattarai@cg.holdings,40,NLO,Manufacturing And Processing,
1778389591-41,https://www.nepalstock.com.np/company,Gurkhas Finance Ltd.,yan.rai@gurkhasfinance.com.np,41,GUFL,Finance,www.gurkhasfinance.com.np
1778389591-42,https://www.nepalstock.com.np/company,Citizen Investment Trust,cit.cmkt@gmail.com,42,CIT,Investment,nlk.org.np
1778389591-43,https://www.nepalstock.com.np/company,Bottlers Nepal (Terai) Limited,investorrelations@coca-cola.com.np,43,BNT,Manufacturing And Processing,
1778389591-44,https://www.nepalstock.com.np/company,Unilever Nepal Limited,unl.shareholdersconnect@unilever.com,44,UNL,Manufacturing And Processing,https://www.unilevernepal.com/
1778389591-45,https://www.nepalstock.com.np/company,Best Finance Company Ltd.,info@bestfinance.com.np,45,BFC,Finance,www.bestfinance.com.np
1778389591-46,https://www.nepalstock.com.np/company,Goodwill Finance Limited,info@goodwill.net.np,46,GFCL,Finance,https://goodwillfinance.com.np/
1778389591-47,https://www.nepalstock.com.np/company,Himalayan Distillery Limited,info@himalayandistillery.com,47,HDL,Manufacturing And Processing,https://himalayandistillery.com/
1778389591-48,https://www.nepalstock.com.np/company,Pokhara Finance Ltd.,info@pokharafinance.com.np,48,PFL,Finance,
1778389591-49,https://www.nepalstock.com.np/company,NMB Bank Limited,pramod.dahal@nmb.com.np,49,NMB,Commercial Banks,http://www.nmb.com.np
1778389591-50,https://www.nepalstock.com.np/company,Shree Investment Finance Co. Ltd.,info@shreefinance.com.np,50,SIFC,Finance,http://www.shreefinance.com.np
1778389591-51,https://www.nepalstock.com.np/company,Central Finance Co. Ltd.,info@centralfinance.com.np,51,CFCL,Finance,
1778389591-52,https://www.nepalstock.com.np/company,Janaki Finance Company Limited,info@jfcjanakpur.com,52,JFL,Finance,
1778389591-53,https://www.nepalstock.com.np/company,Prabhu  Bank Limited,amit.bhandari@prabhubank.com,53,PRVU,Commercial Banks,
1778389591-54,https://www.nepalstock.com.np/company,Samriddhi Finance Company Limited,cs@sfcl.com.np,54,SFCL,Finance,sfcl.com.np
1778389591-55,https://www.nepalstock.com.np/company,Guheshowori Merchant Bank & Finance Co. Ltd.,compliance@gmbf.com.np,55,GMFIL,Finance,www.gmbf.com.np
1778389591-56,https://www.nepalstock.com.np/company,Swabalamban Laghubitta Bittiya Sanstha Limited,finance@swbbl.com.np,56,SWBBL,Microfinance,www.swbbl.com.np
1778389591-57,https://www.nepalstock.com.np/company,ICFC Finance Limited,nepsereport@icfcbank.com,57,ICFC,Finance,www.icfc.com.np
1778389591-58,https://www.nepalstock.com.np/company,Excel Development Bank Ltd.,info@edb.com.np,58,EDBL,Development Banks,
1778389591-59,https://www.nepalstock.com.np/company,Nepal Doorsanchar Company Limited,cs.nt@ntc.net.np,59,NTC,Others,www.ntc.net.np
1778389591-60,https://www.nepalstock.com.np/company,Progressive Finance Limited,info@pfltd.com.np,60,PROFL,Finance,http://www.pfltd.com.np
1778389591-61,https://www.nepalstock.com.np/company,Global IME Bank Limited,nlisting@gibl.com.np,61,GBIME,Commercial Banks,http://www.globalimebank.com
1778389591-62,https://www.nepalstock.com.np/company,Citizens Bank International Limited,pramesh.kayastha@ctznbank.com,62,CZBIL,Commercial Banks,www.ctznbank.com
1778389591-63,https://www.nepalstock.com.np/company,Prime Commercial Bank Ltd.,CS@pcbl.com.np,63,PCBL,Commercial Banks,www.primebank.com.np
1778389591-64,https://www.nepalstock.com.np/company,Lumbini Bikas Bank Ltd.,info@lumbinibikasbank.com,64,LBBL,Development Banks,www.lumbinibikasbank.com
1778389591-65,https://www.nepalstock.com.np/company,Arun Valley Hydropower Development Co. Ltd.,arunvalley2054@gmail.com,65,AHPC,Hydro Power,https://arunhydro.com.np
1778389591-66,https://www.nepalstock.com.np/company,Miteri Development Bank Limited,info@miteribank.com.np,66,MDB,Development Banks,http://www.miteribank.com.np
1778389591-67,https://www.nepalstock.com.np/company,Asian Life Insurance Co. Limited,asianlife@asianlife.com.np,67,ALICL,Life Insurance,www.asianlife.com.np
1778389591-68,https://www.nepalstock.com.np/company,Himalayan Life Insurance Limited,ishwar@himalayanlife.com.np,68,HLI,Life Insurance,
1778389591-69,https://www.nepalstock.com.np/company,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,info@nerudemirmire.com.np,69,NMLBBL,Microfinance,https://www.nerudemirmire.com.np
1778389591-70,https://www.nepalstock.com.np/company,Agricultural Development Bank Limited,cs@adbl.gov.np,70,ADBL,Commercial Banks,
1778389591-71,https://www.nepalstock.com.np/company,Mahalaxmi Bikas Bank Ltd.,listing@mahalaxmi.com.np,71,MLBL,Development Banks,http://www.mahalaxmibank.com
1778389591-72,https://www.nepalstock.com.np/company,SuryaJyoti Life Insurance Company Limited,it@suryalife.com,72,SJLIC,Life Insurance,
1778389591-73,https://www.nepalstock.com.np/company,Garima Bikas Bank Limited,info@garimabank.com.np,73,GBBL,Development Banks,www.garimabank.com.np
