DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,0.0,0.0,950.0,16.76,1775,25,930.0,950.0,930.0
2026-05-07,0.2,0.02,950.0,,92,8,949.8,950.0,940.0
2026-05-06,9.8,1.04,949.8,1.6,170,10,950.0,950.0,940.0
2026-05-05,-17.5,-1.83,940.0,12.75,1364,32,950.0,968.0,922.0
2026-05-04,16.4,1.74,957.5,3.61,386,24,950.0,957.5,925.1
2026-04-30,-0.2,-0.02,941.1,8.83,932,41,941.3,956.0,937.1
2026-04-29,-18.8,-1.96,941.3,10.33,1093,30,960.1,960.1,941.3
2026-04-28,-19.8,-2.02,960.1,7.18,747,27,979.9,995.0,955.0
2026-04-27,5.9,0.61,979.9,16.31,1703,52,974.0,979.9,827.9
2026-04-24,9.1,0.94,974.0,6.4,667,23,987.0,987.0,940.0
2026-04-23,8.9,0.93,964.9,4.36,452,18,945.0,972.8,945.0
2026-04-22,-23.0,-2.35,956.0,17.35,1822,48,979.0,979.0,945.0
2026-04-21,1.0,0.1,979.0,1.9,198,15,953.0,979.0,953.0
2026-04-20,1.0,0.1,978.0,21.71,2267,33,1001.0,1001.0,950.1
2026-04-17,0.0,0.0,977.0,14.93,1545,43,958.0,1015.0,958.0
2026-04-16,-16.9,-1.7,977.0,8.1,831,36,1013.7,1013.7,958.1
2026-04-15,-3.0,-0.3,993.9,30.84,3124,65,996.9,996.9,980.0
2026-04-13,-1.1,-0.11,996.9,16.11,1637,44,980.0,1000.0,980.0
2026-04-10,-4.0,-0.4,998.0,30.54,3050,69,1021.0,1050.0,988.0
2026-04-09,14.0,1.42,1002.0,26.63,2665,57,995.0,1007.0,993.0
2026-04-08,18.0,1.86,988.0,26.74,2729,38,960.0,988.0,960.0
2026-04-07,10.9,1.14,970.0,18.39,1913,55,978.2,997.0,957.0
2026-04-06,24.1,2.58,959.1,,11343,138,950.0,972.0,931.0
2026-04-05,-86.2,-8.44,935.0,66.35,7057,133,1041.0,1041.0,920.1
2026-04-02,-23.8,-2.28,1021.2,70.84,7060,116,1040.0,1040.0,971.2
2026-04-01,-5.0,-0.48,1045.0,75.25,7363,100,1029.0,1067.4,1001.1
2026-03-31,30.0,2.94,1050.0,46.89,4580,89,1020.0,1050.0,1002.1
2026-03-30,-3.0,-0.29,1020.0,72.35,7010,121,1002.6,1046.0,1002.6
2026-03-29,-17.0,-1.63,1023.0,,11783,100,1060.8,1060.8,1022.0
2026-03-26,-13.0,-1.23,1040.0,30.86,2970,58,1040.0,1043.0,1025.0
2026-03-25,-20.0,-1.86,1053.0,19.69,1858,69,1089.5,1090.0,1048.0
