DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.0,0.65,310.0,46.66,15077,102,311.0,311.0,308.0
2026-05-07,3.0,0.98,308.0,44.04,14376,132,305.0,308.0,305.0
2026-05-06,-1.0,-0.33,305.0,55.01,18022,151,304.0,307.0,304.0
2026-05-05,0.5,0.16,306.0,60.7,19887,185,305.5,308.0,300.2
2026-05-04,-4.0,-1.29,305.5,64.74,21066,181,314.0,314.0,305.1
2026-04-30,0.8,0.26,309.5,61.86,20081,164,317.8,317.8,305.1
2026-04-29,-3.1,-0.99,308.7,57.89,18742,178,310.0,311.0,307.2
2026-04-28,-4.2,-1.33,311.8,32.26,10363,151,316.0,316.0,310.0
2026-04-27,3.0,0.96,316.0,63.45,20187,155,297.4,319.0,297.4
2026-04-24,1.0,0.32,313.0,53.38,17185,153,312.0,313.4,306.2
2026-04-23,-3.0,-0.95,312.0,67.24,21470,140,312.0,320.0,312.0
2026-04-22,-1.9,-0.6,315.0,74.52,23838,204,312.2,316.9,310.0
2026-04-21,0.9,0.28,316.9,78.01,24666,170,312.3,318.0,312.3
2026-04-20,-2.0,-0.63,316.0,,51411,148,302.5,318.0,302.5
2026-04-17,-0.4,-0.13,318.0,93.71,29709,172,322.0,322.0,313.1
2026-04-16,-3.6,-1.12,318.4,,58004,196,325.0,327.9,317.1
2026-04-15,6.7,2.12,322.0,,195466,443,313.3,327.0,313.3
2026-04-13,-1.2,-0.38,315.3,,60185,204,317.0,318.0,313.1
2026-04-10,-1.1,-0.35,316.5,,47257,189,322.8,322.8,313.1
2026-04-09,6.7,2.16,317.6,,76204,258,312.0,319.0,311.0
2026-04-08,2.9,0.94,310.9,,92440,228,313.7,313.7,307.0
2026-04-07,-1.0,-0.32,308.0,91.13,29429,203,315.0,315.0,307.0
2026-04-06,7.0,2.32,309.0,,93235,404,308.0,313.0,301.2
2026-04-05,-7.1,-2.3,302.0,,81577,411,305.0,311.1,302.0
2026-04-02,-0.4,-0.13,309.1,,51652,259,307.4,312.9,304.0
2026-04-01,-6.5,-2.06,309.5,,53170,329,320.0,320.0,309.2
2026-03-31,0.0,0.0,316.0,,44747,300,316.0,322.0,310.3
2026-03-30,-8.0,-2.47,316.0,,90641,383,318.0,324.0,314.1
2026-03-29,-9.1,-2.73,324.0,,106944,450,333.0,335.0,320.5
2026-03-26,3.1,0.94,333.1,,85296,380,330.0,334.0,321.5
2026-03-25,-4.9,-1.46,330.0,,106584,415,328.5,340.0,328.5
2026-03-24,5.9,1.79,334.9,,144856,562,333.0,335.1,326.5
2026-03-23,-1.0,-0.3,329.0,,75576,434,335.0,335.0,323.0
2026-03-22,3.5,1.07,330.0,,188185,683,326.0,335.0,326.0
2026-03-19,10.2,3.22,326.5,,251474,791,310.0,327.9,310.0
2026-03-17,3.2,1.02,316.3,,57612,227,310.0,316.3,310.0
2026-03-16,-3.9,-1.23,313.1,,46720,247,310.7,319.0,310.7
2026-03-15,1.0,0.32,317.0,,58743,316,319.0,319.0,313.0
2026-03-12,4.8,1.54,316.0,,65807,339,308.7,318.9,308.7
2026-03-11,-5.8,-1.83,311.2,,43238,274,320.0,320.0,310.0
2026-03-10,-10.7,-3.27,317.0,,163883,834,330.0,330.0,310.0
2026-03-09,22.7,7.44,327.7,2.46,776,11,311.0,327.7,311.0
2026-03-03,2.4,0.79,305.0,,47965,209,308.6,308.6,297.1
2026-03-01,4.6,1.54,302.6,,64794,326,295.0,305.0,291.1
2026-02-26,3.4,1.15,298.0,64.75,21933,138,300.4,300.4,292.3
2026-02-25,1.6,0.55,294.6,,36465,222,293.5,295.5,291.0
2026-02-24,0.5,0.17,293.0,52.7,18006,166,292.0,297.8,291.0
2026-02-23,-0.5,-0.17,292.5,78.14,26805,183,293.0,295.0,291.0
2026-02-22,-3.5,-1.18,293.0,,70740,278,296.5,298.0,292.0
2026-02-17,-0.5,-0.17,296.5,,59291,149,299.0,299.0,293.0
2026-02-16,0.0,0.0,297.0,,69167,125,299.0,299.0,294.1
2026-02-12,2.0,0.68,297.0,80.59,27084,161,291.2,299.1,291.2
2026-02-11,1.0,0.34,295.0,80.68,27330,139,295.0,298.0,293.0
2026-02-10,-1.0,-0.34,294.0,37.98,12965,106,295.0,295.0,292.3
2026-02-09,-1.0,-0.34,295.0,73.99,25210,170,294.79,296.0,292.5
2026-02-08,0.0,0.0,296.0,73.66,24811,163,301.0,301.0,295.5
2026-02-05,0.9,0.3,296.0,56.21,19054,168,295.0,298.5,292.9
2026-02-04,-2.9,-0.97,295.1,65.58,22157,175,293.0,299.0,293.0
2026-02-03,-1.0,-0.33,298.0,29.84,10054,112,302.0,304.8,296.2
2026-02-02,0.9,0.3,299.0,52.61,17660,130,304.0,304.0,296.0
2026-02-01,-1.9,-0.63,298.1,,41620,186,302.0,304.0,297.0
2026-01-29,-4.0,-1.32,300.0,87.7,29200,216,304.0,304.0,297.0
2026-01-28,-0.5,-0.16,304.0,72.26,23915,159,301.0,305.0,298.9
2026-01-27,-2.5,-0.81,304.5,,56138,216,306.0,312.0,303.2
2026-01-26,-0.5,-0.16,307.0,,67671,257,309.0,310.0,305.7
2026-01-25,3.5,1.15,307.5,,46807,245,307.0,309.9,302.0
2026-01-22,-2.9,-0.94,304.0,86.35,28495,126,310.0,310.0,300.1
2026-01-21,-1.0,-0.32,306.9,,34955,170,307.0,313.0,303.1
2026-01-20,3.1,1.02,307.9,,51596,252,303.0,310.7,302.0
2026-01-18,4.8,1.6,304.8,,88350,246,303.0,304.8,299.0
2026-01-14,2.0,0.67,300.0,,39336,150,294.1,300.0,288.4
2026-01-13,-1.5,-0.5,298.0,33.91,11348,104,300.0,302.0,296.3
2026-01-12,-0.5,-0.17,299.5,,36804,136,300.0,302.0,298.0
2026-01-08,0.3,0.1,300.0,,39057,195,294.3,303.0,294.3
