DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.3,1.93,280.2,,56153,234,288.0,288.0,275.0
2026-05-07,0.8,0.29,274.9,,94515,302,260.4,278.1,260.4
2026-05-06,-1.8,-0.65,274.1,,68251,226,278.5,279.0,274.0
2026-05-05,4.9,1.81,275.9,,91101,398,270.0,280.0,267.1
2026-05-04,-6.0,-2.17,271.0,,115082,433,275.0,280.0,271.0
2026-04-30,-0.7,-0.25,277.0,,130322,520,275.2,280.0,271.0
2026-04-29,-3.3,-1.17,277.7,,78511,297,277.0,282.8,277.0
2026-04-28,-2.0,-0.71,281.0,,85880,345,288.9,288.9,280.0
2026-04-27,3.0,1.07,283.0,,88438,388,280.0,285.0,280.0
2026-04-24,0.1,0.04,280.0,,144437,402,276.0,281.1,273.0
2026-04-23,-4.9,-1.72,279.9,,148677,494,284.79,286.0,279.0
2026-04-22,2.8,0.99,284.8,,197828,731,280.0,286.5,277.0
2026-04-21,-6.9,-2.39,282.0,,170347,557,278.0,290.0,278.0
2026-04-20,-3.0,-1.03,288.9,,109453,445,295.0,295.0,286.8
2026-04-17,-1.1,-0.38,291.9,,144389,558,298.8,298.8,288.3
2026-04-16,-7.4,-2.46,293.0,,213567,740,295.0,302.0,292.0
2026-04-15,10.1,3.48,300.4,,368792,1226,294.5,301.9,293.0
2026-04-13,0.3,0.1,290.3,,123539,530,295.8,295.8,288.0
2026-04-10,-5.0,-1.69,290.0,,248446,688,297.5,297.5,288.3
2026-04-09,5.1,1.76,295.0,,199310,846,293.6,297.0,290.0
2026-04-08,4.9,1.72,289.9,,239065,707,288.0,291.0,286.5
2026-04-07,-1.0,-0.35,285.0,,210616,829,291.7,292.0,284.3
2026-04-06,15.0,5.54,286.0,,330227,1196,271.0,290.0,270.0
2026-04-05,-14.1,-4.95,271.0,,464737,1419,280.2,280.2,270.6
2026-04-02,0.1,0.04,285.1,,422084,1242,285.0,292.0,280.0
2026-04-01,-13.0,-4.36,285.0,,409553,1396,298.0,298.0,284.0
2026-03-31,2.0,0.68,298.0,,285543,973,298.2,299.9,289.0
2026-03-30,-8.1,-2.66,296.0,,510443,1441,304.0,307.8,294.0
2026-03-29,-9.9,-3.15,304.1,,478250,1256,315.0,315.0,303.0
2026-03-26,4.0,1.29,314.0,,389922,813,316.2,316.2,307.0
2026-03-25,-6.9,-2.18,310.0,,378520,1022,316.5,318.8,309.1
2026-03-24,6.5,2.09,316.9,,766375,1923,314.0,322.3,310.0
2026-03-23,-2.1,-0.67,310.4,,327077,931,315.1,317.0,307.0
2026-03-22,-0.2,-0.06,312.5,,831577,1968,312.7,316.0,306.2
2026-03-19,2.7,0.87,312.7,,1029656,2505,315.0,323.3,312.0
2026-03-17,9.1,3.02,310.0,,609368,1531,301.7,312.0,296.3
2026-03-16,-7.1,-2.31,300.9,,299605,979,310.5,310.5,300.0
2026-03-15,2.0,0.65,308.0,,595886,1416,310.0,312.1,305.1
2026-03-12,5.0,1.66,306.0,,451036,1312,302.0,309.7,296.4
2026-03-11,-2.0,-0.66,301.0,,724925,2003,309.0,314.7,299.1
2026-03-10,-7.0,-2.26,303.0,,1020752,2795,315.0,315.0,290.3
2026-03-09,22.6,7.86,310.0,,42929,103,293.1,316.1,293.1
2026-03-03,8.4,3.01,287.4,,320466,799,280.0,288.5,275.0
2026-03-01,-1.0,-0.36,279.0,,191835,526,280.0,282.0,269.0
2026-02-26,5.0,1.82,280.0,,244579,618,271.0,283.8,271.0
2026-02-25,3.0,1.1,275.0,,86213,402,277.0,277.0,270.3
2026-02-24,2.7,1.0,272.0,,130188,398,270.0,272.3,269.0
2026-02-23,-2.6,-0.96,269.3,,220668,670,268.2,274.0,268.0
2026-02-22,-4.0,-1.45,271.9,,264237,675,276.0,276.0,270.0
2026-02-17,-4.2,-1.5,275.9,,375967,976,283.9,285.7,274.3
2026-02-16,-13.8,-4.7,280.1,,465743,1346,293.9,296.0,280.0
2026-02-12,-4.1,-1.38,293.9,,478502,1282,292.1,301.0,291.0
2026-02-11,3.5,1.19,298.0,,609216,1605,300.0,300.0,288.2
2026-02-10,14.5,5.18,294.5,,1530888,3910,281.0,303.9,280.0
2026-02-09,4.6,1.67,280.0,,284914,679,279.9,284.0,271.1
2026-02-08,-1.6,-0.58,275.4,,409323,969,280.0,290.0,275.0
2026-02-05,14.9,5.68,277.0,,310697,920,267.0,282.5,262.6
2026-02-04,-1.9,-0.72,262.1,,83481,326,265.0,267.9,261.0
2026-02-03,-2.1,-0.79,264.0,,90441,357,267.0,270.0,264.0
2026-02-02,-4.1,-1.52,266.1,,83788,326,272.7,273.0,266.0
2026-02-01,-1.8,-0.66,270.2,,84613,354,272.1,275.0,270.0
2026-01-29,3.5,1.3,272.0,,312612,803,270.0,278.9,269.5
2026-01-28,-0.5,-0.19,268.5,,81947,362,265.6,270.0,263.7
2026-01-27,-4.6,-1.68,269.0,,275716,778,275.0,280.0,265.6
2026-01-26,-5.4,-1.94,273.6,,184642,659,273.5,282.0,273.0
2026-01-25,12.0,4.49,279.0,,220235,693,270.0,279.0,268.0
2026-01-22,0.3,0.11,267.0,,90545,337,265.0,268.0,262.0
2026-01-21,-1.7,-0.63,266.7,,108567,366,269.0,270.9,265.4
2026-01-20,4.4,1.67,268.4,,186761,578,267.0,270.0,266.0
2026-01-18,5.5,2.13,264.0,,125046,436,261.0,266.1,258.1
2026-01-14,1.5,0.58,258.5,,43036,225,255.0,260.0,255.0
2026-01-13,3.0,1.18,257.0,,107332,312,250.1,257.0,250.1
2026-01-12,-3.1,-1.21,254.0,,88049,327,259.8,259.8,254.0
2026-01-08,0.2,0.08,257.1,,82839,297,256.0,262.0,255.0
2026-01-07,-1.5,-0.58,256.9,,84299,352,261.0,261.0,256.0
2026-01-06,-2.1,-0.81,258.4,,143661,397,263.1,263.1,258.0
2026-01-05,1.5,0.58,260.5,,63265,311,260.9,261.6,258.0
2026-01-04,-1.86,-0.71,259.0,,152539,532,265.0,265.0,256.0
2026-01-01,-3.5,-1.26,273.9,,143554,442,278.0,278.0,273.6
2025-12-31,2.4,0.87,277.4,,135284,315,277.9,279.0,275.0
2025-12-29,-3.0,-1.08,275.0,,93875,314,283.5,283.5,274.1
2025-12-28,5.7,2.09,278.0,,93951,333,277.6,278.8,270.1
2025-12-24,-1.1,-0.4,272.3,,96682,350,272.0,274.0,269.0
2025-12-23,0.8,0.29,273.4,,80001,260,278.0,278.0,271.0
2025-12-22,-3.3,-1.2,272.6,,76466,313,281.0,281.0,272.0
2025-12-21,-2.7,-0.97,275.9,,55253,266,278.0,278.9,275.8
2025-12-18,-2.9,-1.03,278.6,,70444,226,281.9,281.9,277.0
2025-12-17,0.5,0.18,281.5,,59127,196,280.5,284.0,280.1
2025-12-16,3.0,1.08,281.0,,63161,249,279.9,282.0,277.0
2025-12-15,0.5,0.18,278.0,,76302,281,277.0,279.8,275.6
2025-12-14,-1.0,-0.36,277.5,,67190,217,276.5,279.9,276.4
2025-12-11,-0.1,-0.04,278.5,,59136,190,277.0,281.9,276.3
2025-12-10,-0.4,-0.14,278.6,,39724,197,279.0,282.0,278.2
2025-12-09,-0.6,-0.21,279.0,,39433,211,280.0,282.0,278.5
2025-12-08,-1.4,-0.5,279.6,,63987,260,280.3,282.5,279.6
2025-12-07,-0.5,-0.18,281.0,,62480,256,280.2,286.4,280.1
2025-12-03,-3.4,-1.19,281.5,,107813,314,290.5,290.5,281.4
2025-12-02,0.9,0.32,284.9,,93441,314,289.6,289.6,283.5
2025-12-01,0.5,0.18,284.0,,82268,300,282.0,286.7,281.1
2025-11-30,-1.5,-0.53,283.5,,132840,391,285.0,287.7,282.1
