DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,19.0,5.48,365.9,,268683,529,344.0,365.9,344.0
2026-05-07,-3.0,-0.86,346.9,,235332,420,332.7,352.6,332.7
2026-05-06,-3.0,-0.85,349.9,,182309,435,370.0,370.0,343.1
2026-05-05,1.9,0.54,352.9,,229903,533,368.0,368.0,347.0
2026-05-04,-24.0,-6.4,351.0,,424809,724,389.0,389.0,349.7
2026-04-30,1.0,0.27,375.0,,602146,993,373.0,377.1,355.0
2026-04-29,-10.9,-2.83,374.0,,393154,827,404.1,404.1,365.0
2026-04-28,-11.8,-2.97,384.9,,425841,672,376.9,399.0,376.9
2026-04-27,6.8,1.74,396.7,,665750,905,405.0,405.0,385.3
2026-04-24,-3.1,-0.79,389.9,,520164,802,390.0,397.8,384.0
2026-04-23,10.0,2.61,393.0,,674988,831,402.0,402.0,372.1
2026-04-22,8.0,2.13,383.0,,565247,871,375.0,388.2,362.0
2026-04-21,-7.8,-2.04,375.0,,343885,660,363.7,389.5,363.7
2026-04-20,-9.2,-2.35,382.8,,622166,1014,411.6,411.6,376.0
2026-04-17,6.0,1.55,392.0,,359221,664,390.0,397.5,383.1
2026-04-16,-17.5,-4.34,386.0,,712262,1202,404.5,404.5,385.5
2026-04-15,1.9,0.47,403.5,,727048,1167,405.9,413.1,400.0
2026-04-13,-4.4,-1.08,401.6,,963143,1230,406.0,411.0,399.0
2026-04-10,6.0,1.5,406.0,,771206,1277,408.0,415.0,400.0
2026-04-09,7.4,1.88,400.0,,860475,1225,395.0,406.0,386.0
2026-04-08,2.6,0.67,392.6,,465936,795,394.9,400.0,386.0
2026-04-07,9.0,2.36,390.0,,612515,848,388.6,392.0,377.1
2026-04-06,21.4,5.95,381.0,,684434,1168,366.7,389.0,359.4
2026-04-05,-28.8,-7.42,359.6,,712721,1185,380.7,380.7,356.0
2026-04-02,11.4,3.02,388.4,,659026,983,370.2,394.8,369.3
2026-04-01,-18.5,-4.68,377.0,,1114099,1476,388.0,396.0,370.0
2026-03-31,-0.5,-0.13,395.5,,649934,1232,398.0,403.0,386.0
2026-03-30,-10.9,-2.68,396.0,,703298,1127,406.9,412.2,395.9
2026-03-29,-8.1,-1.95,406.9,,565146,1025,415.0,420.1,402.0
2026-03-26,12.9,3.21,415.0,,808865,1104,395.0,415.0,395.0
2026-03-25,-9.3,-2.26,402.1,,709740,1150,404.0,414.9,401.8
2026-03-24,-7.6,-1.81,411.4,,578832,1026,419.2,420.0,410.0
