DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.7,2.17,268.8,,66416,266,270.0,270.0,261.9
2026-05-07,1.1,0.42,263.1,,68258,258,264.0,264.0,260.0
2026-05-06,-1.1,-0.42,262.0,,59128,227,261.1,265.9,261.1
2026-05-05,1.2,0.46,263.1,,86082,354,261.9,267.8,258.1
2026-05-04,-5.9,-2.2,261.9,,73485,326,255.0,273.1,255.0
2026-04-30,0.6,0.22,267.8,,134064,405,280.4,280.4,260.5
2026-04-29,-4.8,-1.76,267.2,,68788,312,285.4,285.4,266.0
2026-04-28,-1.9,-0.69,272.0,,130585,469,273.9,276.9,271.0
2026-04-27,5.9,2.2,273.9,,166656,640,270.0,276.0,269.0
2026-04-24,0.0,0.0,268.0,,117700,398,272.0,272.0,263.5
2026-04-23,-7.0,-2.55,268.0,,158300,460,272.0,275.5,267.0
2026-04-22,2.9,1.07,275.0,,171776,573,258.5,278.0,258.5
2026-04-21,-5.9,-2.12,272.1,,107684,354,278.0,279.8,272.0
2026-04-20,-4.0,-1.42,278.0,,105502,369,280.1,281.6,275.0
2026-04-17,5.1,1.84,282.0,,214197,579,280.9,283.0,275.0
2026-04-16,-9.6,-3.35,276.9,,267302,799,292.2,292.2,276.0
2026-04-15,8.5,3.06,286.5,,380076,1137,279.0,291.0,278.3
2026-04-13,2.0,0.72,278.0,,158325,477,275.0,281.0,272.0
2026-04-10,-6.0,-2.13,276.0,,225775,726,280.0,284.0,274.0
2026-04-09,4.5,1.62,282.0,,266185,816,278.0,285.0,275.0
2026-04-08,7.5,2.78,277.5,,192682,586,275.0,278.0,272.0
2026-04-07,-2.0,-0.74,270.0,,287220,817,275.0,277.9,269.0
2026-04-06,14.1,5.47,272.0,,351747,1128,253.0,277.0,253.0
2026-04-05,-14.0,-5.15,257.9,,472952,1304,272.0,272.0,257.9
2026-04-02,-0.1,-0.04,271.9,,304627,1004,270.0,278.4,265.0
2026-04-01,-13.0,-4.56,272.0,,449822,1252,282.0,285.0,270.0
2026-03-31,1.4,0.49,285.0,,401301,1162,285.0,290.7,278.2
2026-03-30,-8.3,-2.84,283.6,,524734,1387,292.1,295.1,282.1
2026-03-29,-13.0,-4.26,291.9,,547794,1669,304.9,305.0,291.2
2026-03-26,2.9,0.96,304.9,,400064,1144,296.0,305.0,296.0
2026-03-25,-6.0,-1.95,302.0,,468970,1383,309.9,309.9,299.0
2026-03-24,2.0,0.65,308.0,,563162,1584,312.1,315.0,305.2
2026-03-23,0.9,0.29,306.0,,609068,1653,311.1,311.1,299.0
2026-03-22,-4.9,-1.58,305.1,,1073297,2697,315.0,315.0,300.1
2026-03-19,10.5,3.51,310.0,,1694102,4661,305.0,317.0,301.2
2026-03-17,9.6,3.31,299.5,,1250967,2231,290.0,300.0,284.5
2026-03-16,-3.1,-1.06,289.9,,414888,1060,293.0,294.1,284.2
2026-03-15,-2.0,-0.68,293.0,,562706,1171,300.0,300.0,290.0
2026-03-12,9.0,3.15,295.0,,985982,2010,282.1,297.5,282.0
2026-03-11,-3.0,-1.04,286.0,,581995,1395,291.0,298.5,286.0
2026-03-10,-10.0,-3.34,289.0,,1022629,2689,303.0,304.0,283.6
2026-03-09,26.1,9.56,299.0,40.78,13810,32,278.3,300.0,278.3
2026-03-03,5.4,2.02,272.9,,253442,640,272.8,274.8,257.4
2026-03-01,3.7,1.4,267.5,,209735,539,260.0,267.5,259.1
2026-02-26,3.8,1.46,263.8,,203635,534,265.0,268.0,258.8
2026-02-25,0.1,0.04,260.0,,125242,312,262.0,262.0,257.2
2026-02-24,3.9,1.52,259.9,,83838,299,258.0,261.0,256.1
2026-02-23,-0.8,-0.31,256.0,,116004,439,261.9,261.9,254.0
2026-02-22,-8.2,-3.09,256.8,,274699,723,270.3,270.3,255.2
2026-02-17,-4.0,-1.49,265.0,,510157,1195,274.3,274.3,258.8
2026-02-16,-8.0,-2.89,269.0,,366580,939,277.5,279.0,265.0
2026-02-12,-6.2,-2.19,277.0,,548623,1355,277.6,287.5,277.0
2026-02-11,5.9,2.13,283.2,,625131,1490,277.3,285.6,272.0
2026-02-10,10.4,3.9,277.3,,1170140,2754,270.0,288.6,267.1
2026-02-09,-2.1,-0.78,266.9,,361747,814,273.0,273.0,264.6
2026-02-08,-2.0,-0.74,269.0,,753935,1372,272.0,279.0,267.0
2026-02-05,7.1,2.69,271.0,,649837,1166,263.9,273.0,261.0
2026-02-04,-1.1,-0.42,263.9,,149718,399,268.0,270.0,262.6
2026-02-03,-3.0,-1.12,265.0,,428824,488,265.1,271.9,265.0
2026-02-02,1.2,0.45,268.0,,544698,802,267.0,271.0,266.0
2026-02-01,-4.2,-1.55,266.8,,265681,546,275.0,275.0,265.0
2026-01-29,4.0,1.5,271.0,,820426,1469,270.0,278.0,269.0
2026-01-28,-2.0,-0.74,267.0,,448218,877,269.0,281.0,264.5
2026-01-27,-3.9,-1.43,269.0,,773282,1437,278.3,279.5,265.0
2026-01-26,8.9,3.37,272.9,,895590,1665,259.0,274.0,259.0
2026-01-25,9.0,3.53,264.0,,255297,794,259.0,264.5,256.5
2026-01-22,0.4,0.16,255.0,,139766,403,253.0,255.0,251.1
2026-01-21,0.1,0.04,254.6,,325470,568,255.1,258.8,252.0
2026-01-20,7.4,2.99,254.5,,248194,690,250.0,256.0,250.0
2026-01-18,1.1,0.45,247.1,,114201,310,250.9,250.9,246.1
2026-01-14,-2.0,-0.81,246.0,,61791,185,248.0,250.0,245.1
2026-01-13,1.8,0.73,248.0,,88201,223,246.2,249.8,245.1
2026-01-12,-3.3,-1.32,246.2,,56646,194,245.2,249.5,245.0
2026-01-08,2.6,1.05,249.5,,77940,250,249.1,249.9,245.5
2026-01-07,-1.1,-0.44,246.9,,137565,290,246.0,250.9,246.0
2026-01-06,3.1,1.27,248.0,,157115,354,245.0,250.3,245.0
2026-01-05,2.4,0.99,244.9,,87311,228,243.0,247.0,242.0
2026-01-04,-3.3,-1.34,242.5,95.07,39069,168,247.8,247.8,242.1
2026-01-01,-1.2,-0.49,245.8,,61915,186,251.0,251.0,244.1
2025-12-31,0.0,0.0,247.0,,88534,290,247.0,251.0,247.0
2025-12-29,-1.9,-0.76,247.0,,139257,259,251.0,251.0,245.0
2025-12-28,4.9,2.01,248.9,,102540,325,244.6,249.0,244.6
2025-12-24,-1.6,-0.65,244.0,,49807,157,245.8,246.9,242.1
2025-12-23,2.7,1.11,245.6,,98123,213,241.1,245.7,240.8
2025-12-22,1.9,0.79,242.9,,102466,223,241.0,245.0,239.5
