DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.0,0.36,1110.0,,20892,121,1070.0,1169.0,1070.0
2026-05-07,1.0,0.09,1106.0,45.31,4143,104,1088.0,1119.0,1088.0
2026-05-06,-2.0,-0.18,1105.0,69.73,6372,104,1100.0,1113.0,1081.0
2026-05-05,-2.9,-0.26,1107.0,34.06,3103,83,1100.0,1110.0,1086.0
2026-05-04,-5.1,-0.46,1109.9,25.5,2307,113,1070.0,1135.0,1070.0
2026-04-30,5.0,0.45,1115.0,,14708,153,1100.0,1128.0,1095.0
2026-04-29,-14.0,-1.25,1110.0,,14645,101,1067.8,1135.0,1067.8
2026-04-28,-5.5,-0.49,1124.0,30.24,2711,134,1100.0,1170.0,1100.0
2026-04-27,0.5,0.04,1129.5,,34960,169,1086.0,1172.0,1086.0
2026-04-24,-8.9,-0.78,1129.0,24.14,2154,96,1170.0,1170.0,1103.0
2026-04-23,-0.1,-0.01,1137.9,39.67,3527,126,1194.9,1194.9,1116.1
2026-04-22,-6.9,-0.6,1138.0,69.55,6188,138,1202.1,1202.1,1118.1
2026-04-21,-5.1,-0.44,1144.9,51.74,4583,122,1119.0,1148.0,1115.0
2026-04-20,-6.0,-0.52,1150.0,44.38,3882,89,1213.0,1213.0,1135.9
2026-04-17,-1.7,-0.15,1156.0,,9180,153,1134.6,1179.0,1134.0
2026-04-16,-3.3,-0.28,1157.7,94.38,8209,94,1137.8,1203.0,1135.0
2026-04-15,13.1,1.14,1161.0,,9881,216,1125.0,1173.0,1125.0
2026-04-13,-14.0,-1.2,1147.9,,16795,261,1138.7,1184.6,1128.5
2026-04-10,-16.0,-1.36,1161.9,,9656,202,1154.4,1197.9,1142.0
2026-04-09,6.9,0.59,1177.9,,10171,187,1147.6,1203.0,1147.6
2026-04-08,0.0,0.0,1171.0,,23083,188,1147.6,1193.3,1147.6
