DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,130.1,2.2,6050.0,21.39,371,16,5625.1,6050.0,5625.1
2026-05-07,-30.1,-0.51,5919.9,39.03,687,27,5772.0,5919.9,5607.2
2026-05-06,-143.9,-2.36,5950.0,12.16,207,22,5800.0,6000.0,5800.0
2026-05-05,93.8,1.56,6093.9,,2059,22,5821.0,6100.0,5760.1
2026-05-04,-284.9,-4.53,6000.1,12.8,213,19,6100.0,6100.0,6000.0
2026-04-30,10.0,0.16,6285.0,1.3,21,3,6200.0,6285.0,6200.0
2026-04-29,24.0,0.38,6275.0,6.19,101,9,6100.0,6275.0,6100.0
2026-04-28,-31.0,-0.49,6251.0,32.2,524,32,6282.0,6251.0,6115.1
2026-04-27,0.0,0.0,6282.0,10.12,164,15,6282.0,6330.0,6135.0
2026-04-24,46.1,0.74,6282.0,30.96,503,32,6235.9,6282.0,6096.0
2026-04-23,-49.1,-0.78,6235.9,16.33,265,12,6111.1,6244.0,6106.1
2026-04-22,-44.0,-0.7,6285.0,36.26,588,28,6056.0,6424.0,6056.0
2026-04-21,-51.0,-0.8,6329.0,16.73,268,25,6200.0,6329.9,6200.0
2026-04-20,-24.9,-0.39,6380.0,85.02,1362,47,6300.0,6477.0,6215.0
2026-04-17,-53.9,-0.83,6404.9,29.11,459,39,6329.7,6987.0,6203.2
2026-04-16,-131.2,-1.99,6458.8,52.99,833,53,6458.2,6989.0,6310.0
2026-04-15,125.0,1.93,6590.0,28.25,441,32,6336.0,6655.0,6230.0
2026-04-13,96.9,1.52,6465.0,31.25,492,48,6240.8,6492.0,6240.8
2026-04-10,239.5,3.91,6368.1,34.53,552,39,6128.6,6399.8,6128.6
2026-04-09,557.13,10.0,6128.6,88.4,1470,62,5682.8,6128.6,5682.8
2026-04-08,-110.6,-1.71,6365.4,56.35,881,49,6476.0,6599.0,6361.0
2026-04-07,-24.0,-0.37,6476.0,18.3,287,16,6370.0,6476.0,6331.0
2026-04-06,189.0,2.99,6500.0,71.5,1122,62,6184.8,6548.0,6184.8
2026-04-05,-238.8,-3.65,6311.0,20.75,326,31,6420.1,6450.0,6295.0
2026-04-02,233.8,3.7,6549.8,50.83,791,31,6316.0,6549.8,6316.0
2026-04-01,-65.0,-1.02,6316.0,44.22,694,35,6381.0,6474.9,6303.0
2026-03-31,-125.3,-1.93,6381.0,19.1,298,18,6506.3,6540.0,6381.0
2026-03-30,-132.7,-2.0,6506.3,22.88,351,25,6515.0,6597.0,6506.3
2026-03-29,-8.0,-0.12,6639.0,11.42,175,23,6514.1,6639.0,6455.0
2026-03-26,185.7,2.87,6647.0,,4414,62,6400.0,6649.0,6400.0
2026-03-25,-125.7,-1.91,6461.3,7.13,110,13,6561.0,6561.0,6461.3
2026-03-24,23.0,0.35,6587.0,22.73,351,26,6560.0,6587.0,6460.2
2026-03-23,-16.0,-0.24,6564.0,35.93,552,48,6448.4,6597.0,6438.6
2026-03-22,80.0,1.23,6580.0,20.42,314,31,6500.0,6624.0,6370.0
2026-03-19,0.0,0.0,6500.0,45.89,710,55,6370.0,6599.0,6266.1
2026-03-17,50.0,0.78,6500.0,13.02,202,17,6421.0,6500.0,6420.0
