DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.7,1.41,337.0,,96734,410,332.0,338.9,330.1
2026-05-07,1.3,0.39,332.3,,210088,415,333.8,335.0,329.7
2026-05-06,-2.5,-0.75,331.0,,148569,475,330.0,335.0,329.0
2026-05-05,3.5,1.06,333.5,,137642,524,330.0,335.0,326.0
2026-05-04,-4.9,-1.46,330.0,,142392,525,341.0,341.0,329.0
2026-04-30,-1.0,-0.3,334.9,,155102,535,352.6,352.6,326.0
2026-04-29,-3.2,-0.94,335.9,,197327,585,336.1,340.5,334.0
2026-04-28,-1.9,-0.56,339.1,,308091,777,341.0,347.0,339.0
2026-04-27,1.1,0.32,341.0,,206969,543,339.9,345.0,340.0
2026-04-24,0.0,0.0,339.9,,255929,549,338.0,341.0,331.1
2026-04-23,-1.1,-0.32,339.9,,189547,626,350.0,350.0,335.0
2026-04-22,1.9,0.56,341.0,,383874,997,340.0,347.0,332.0
2026-04-21,-5.9,-1.71,339.1,,241252,829,346.1,348.0,339.0
2026-04-20,-4.0,-1.15,345.0,,223229,714,350.0,350.0,341.5
2026-04-17,-0.5,-0.14,349.0,,303048,757,349.8,352.0,345.1
2026-04-16,-4.2,-1.19,349.5,,511242,1253,350.0,357.0,348.8
2026-04-15,5.5,1.58,353.7,,568585,1373,345.0,357.2,345.0
2026-04-13,-2.8,-0.8,348.2,,382840,920,351.0,354.0,345.0
2026-04-10,-1.2,-0.34,351.0,,571583,1227,354.0,355.0,346.0
2026-04-09,3.2,0.92,352.2,,740288,1634,347.0,355.0,344.0
2026-04-08,7.5,2.2,349.0,,472857,1152,345.0,350.0,342.0
2026-04-07,-4.5,-1.3,341.5,,428867,1270,350.0,350.8,339.2
2026-04-06,21.0,6.46,346.0,,936872,2345,325.0,348.0,324.0
2026-04-05,-28.0,-7.93,325.0,,979663,2612,350.5,350.5,324.6
2026-04-02,3.0,0.86,353.0,,787287,2125,350.0,356.8,343.0
