DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.1,0.46,1123.0,73.7,6580,84,1110.0,1135.0,1103.1
2026-05-07,-0.1,-0.01,1117.9,16.3,1461,36,1120.0,1120.0,1100.4
2026-05-06,-10.0,-0.89,1118.0,58.12,5201,83,1071.6,1130.0,1071.6
2026-05-05,13.0,1.17,1128.0,97.69,8716,120,1059.3,1128.0,1059.3
2026-05-04,15.0,1.36,1115.0,,10880,195,1100.0,1158.7,1100.0
2026-04-30,-0.4,-0.04,1100.0,76.36,6954,98,1080.0,1180.0,1080.0
2026-04-29,-15.5,-1.39,1100.4,57.87,5220,98,1093.0,1117.0,1088.2
2026-04-28,21.9,2.0,1115.9,83.38,7530,138,1094.0,1120.0,1088.1
2026-04-27,4.3,0.39,1094.0,34.37,3124,82,1089.7,1115.0,1064.0
2026-04-24,-10.3,-0.94,1089.7,26.48,2458,62,1100.0,1100.0,1067.0
2026-04-23,20.0,1.85,1100.0,64.42,5886,116,1080.0,1180.0,1062.0
2026-04-22,-25.5,-2.31,1080.0,,10634,156,1106.0,1129.0,1068.1
2026-04-21,-43.5,-3.79,1105.5,71.96,6470,116,1149.0,1149.0,1101.1
2026-04-20,14.0,1.23,1149.0,91.06,8147,129,1078.3,1149.0,1078.3
2026-04-17,1.0,0.09,1135.0,59.72,5255,94,1111.4,1201.5,1111.4
2026-04-16,-36.0,-3.08,1134.0,77.74,6778,122,1193.0,1193.0,1132.0
2026-04-15,6.9,0.59,1170.0,,10297,146,1150.0,1184.0,1150.0
2026-04-13,-35.6,-2.97,1163.1,80.89,6895,116,1174.8,1198.0,1160.0
2026-04-10,16.7,1.41,1198.7,,19577,261,1158.4,1224.0,1158.4
2026-04-09,52.0,4.6,1182.0,,9523,131,1107.4,1195.0,1107.4
2026-04-08,30.0,2.73,1130.0,,13668,147,1122.0,1175.0,1101.0
2026-04-07,-35.0,-3.08,1100.0,,17755,256,1154.0,1154.0,1089.0
2026-04-06,21.0,1.89,1135.0,,20606,307,1100.0,1212.7,1090.8
2026-04-05,-75.0,-6.31,1114.0,,14422,268,1189.0,1198.0,1070.1
2026-04-02,-32.0,-2.62,1189.0,,29686,410,1196.6,1225.5,1153.1
2026-04-01,10.0,0.83,1221.0,,23730,291,1186.8,1283.0,1137.0
2026-03-31,11.1,0.93,1211.0,,25104,322,1176.0,1215.0,1165.1
2026-03-30,-10.1,-0.83,1199.9,,20407,351,1200.0,1272.0,1162.1
2026-03-29,-69.0,-5.39,1210.0,,21765,305,1253.5,1275.0,1200.0
