DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,29.0,3.61,832.0,,44684,828,792.5,835.0,791.0
2026-05-07,0.0,0.0,803.0,,25441,478,803.0,805.0,790.0
2026-05-06,0.0,0.0,803.0,,14227,387,800.0,815.0,800.0
2026-05-05,2.0,0.25,803.0,,16070,561,795.0,817.0,792.0
2026-05-04,-23.7,-2.87,801.0,,29428,670,825.0,829.7,797.0
2026-04-30,10.7,1.31,824.7,,45389,849,810.0,835.0,790.1
2026-04-29,-17.0,-2.05,814.0,,28534,791,808.0,845.0,808.0
2026-04-28,-16.0,-1.89,831.0,,28012,803,804.7,858.0,804.7
2026-04-27,4.0,0.47,847.0,,35927,740,801.0,880.0,801.0
2026-04-24,-12.0,-1.4,843.0,,27672,608,812.3,907.0,812.3
2026-04-23,-7.0,-0.81,855.0,,36224,678,870.0,877.9,850.0
2026-04-22,-17.5,-1.99,862.0,,58291,962,921.9,921.9,850.3
2026-04-21,4.5,0.51,879.5,,37663,870,875.0,899.0,860.0
2026-04-20,-8.0,-0.91,875.0,,22829,662,927.0,927.0,865.4
2026-04-17,-4.9,-0.55,883.0,,40034,699,880.0,896.0,872.0
2026-04-16,-16.1,-1.78,887.9,,52856,812,900.0,904.0,882.2
2026-04-15,15.0,1.69,904.0,,74798,1300,889.0,927.9,887.1
2026-04-13,-13.1,-1.45,889.0,,56402,1041,900.0,910.0,884.2
2026-04-10,-21.9,-2.37,902.1,,83512,1108,942.4,942.4,891.2
2026-04-09,17.0,1.87,924.0,,94954,1280,890.0,949.0,890.0
2026-04-08,68.6,8.18,907.0,,111596,1251,845.0,908.0,840.0
2026-04-07,-1.6,-0.19,838.4,,57172,718,840.0,865.0,835.0
2026-04-06,41.0,5.13,840.0,,58017,976,800.0,852.0,800.0
2026-04-05,-73.0,-8.37,799.0,,107665,1397,872.0,872.0,799.0
2026-04-02,-6.0,-0.68,872.0,,60460,898,878.0,883.0,861.2
2026-04-01,-44.1,-4.78,878.0,,75225,1003,920.0,920.0,875.0
2026-03-31,-0.9,-0.1,922.1,,42381,933,915.0,935.0,900.5
2026-03-30,-18.0,-1.91,923.0,,73956,1118,936.0,953.0,920.0
2026-03-29,-44.0,-4.47,941.0,,81178,1233,985.0,985.0,939.0
2026-03-26,12.0,1.23,985.0,,95093,1462,970.0,999.9,969.0
2026-03-25,24.0,2.53,973.0,,112278,1537,967.0,985.0,940.0
2026-03-24,4.1,0.43,949.0,,50303,917,944.9,955.0,937.0
2026-03-23,-14.1,-1.47,944.9,,85731,1135,950.0,970.0,940.0
2026-03-22,16.0,1.7,959.0,,121031,1513,943.0,973.9,943.0
2026-03-19,4.0,0.43,943.0,,109303,1497,930.0,954.0,930.0
2026-03-17,-4.0,-0.42,939.0,,45505,782,926.0,950.0,926.0
2026-03-16,3.2,0.34,943.0,,55222,931,930.0,962.0,925.3
2026-03-15,-25.2,-2.61,939.8,,108492,1385,960.0,969.0,926.1
2026-03-12,-19.0,-1.93,965.0,,85676,1190,964.4,1003.0,959.9
2026-03-11,-33.0,-3.24,984.0,,62790,1175,1037.0,1037.0,980.1
2026-03-10,-21.0,-2.02,1017.0,,168640,2360,1058.0,1058.0,1000.0
2026-03-09,73.0,7.56,1038.0,66.25,6402,58,984.3,1050.0,984.3
2026-03-03,25.0,2.66,965.0,,75394,974,940.0,968.2,931.2
2026-03-01,2.1,0.22,940.0,,59901,925,919.2,951.0,902.0
2026-02-26,-19.1,-2.0,937.9,,59677,880,957.0,957.0,935.0
2026-02-25,9.0,0.95,957.0,,108341,1355,966.9,980.0,936.0
