DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.9,1.76,341.9,,31872,150,338.0,343.0,337.0
2026-05-07,-2.0,-0.59,336.0,63.17,18731,113,340.0,340.0,335.6
2026-05-06,0.0,0.0,338.0,59.44,17549,119,341.8,343.8,336.0
2026-05-05,3.0,0.9,338.0,,29737,185,333.5,344.0,330.1
2026-05-04,-5.0,-1.47,335.0,,51703,232,340.0,345.0,334.1
2026-04-30,-1.5,-0.44,340.0,,69616,301,341.5,345.0,335.0
2026-04-29,-3.5,-1.01,341.5,,34851,188,346.0,347.0,340.3
2026-04-28,-2.6,-0.75,345.0,,44295,248,347.6,352.0,343.0
2026-04-27,1.6,0.46,347.6,,37471,195,346.0,352.0,346.8
2026-04-24,0.0,0.0,346.0,,62666,250,345.0,350.0,339.0
2026-04-23,-3.0,-0.86,346.0,92.86,26706,182,350.1,353.9,343.0
2026-04-22,-1.0,-0.29,349.0,,136267,561,349.0,358.0,340.7
2026-04-21,-7.5,-2.1,350.0,,49973,286,357.5,360.0,348.5
2026-04-20,-3.5,-0.97,357.5,,33199,188,361.0,361.0,355.0
2026-04-17,-0.8,-0.22,361.0,,80257,339,360.0,367.0,356.4
2026-04-16,-8.1,-2.19,361.8,,107213,434,369.9,374.0,358.7
2026-04-15,0.0,0.0,369.9,,107080,401,372.0,377.0,369.9
2026-04-13,2.1,0.57,369.9,,103996,305,375.1,375.1,367.0
2026-04-10,-9.2,-2.44,367.8,,127441,500,376.9,376.9,366.0
2026-04-09,17.0,4.72,377.0,,186472,665,362.0,377.0,357.1
2026-04-08,7.0,1.98,360.0,,97047,468,354.0,363.5,353.0
2026-04-07,-4.0,-1.12,353.0,,93867,483,359.9,364.0,350.5
2026-04-06,23.0,6.89,357.0,,178742,825,334.0,360.8,334.0
2026-04-05,-19.0,-5.38,334.0,,172225,830,346.0,350.0,332.9
2026-04-02,6.9,1.99,353.0,,185301,770,352.0,359.0,340.0
2026-04-01,-13.9,-3.86,346.1,,145292,761,361.0,362.0,345.0
2026-03-31,-0.8,-0.22,360.0,,117194,620,358.1,368.0,353.7
