DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-4.0,-0.08,4795.0,16.89,351,14,4844.0,4844.0,4740.0
2026-05-07,83.9,1.78,4799.0,14.29,301,20,4814.0,4814.0,4722.1
2026-05-06,-14.9,-0.32,4715.1,15.26,321,23,4831.0,4831.0,4707.0
2026-05-05,-20.0,-0.42,4730.0,11.42,240,20,4701.2,4814.0,4701.2
2026-05-04,-64.9,-1.35,4750.0,21.74,459,19,4730.2,4830.0,4700.2
2026-04-30,-26.1,-0.54,4814.9,6.24,130,8,4840.0,4840.0,4710.0
2026-04-29,61.0,1.28,4841.0,24.63,515,37,4884.0,4884.0,4755.1
2026-04-28,-19.0,-0.4,4780.0,24.75,511,41,4799.0,5242.0,4757.1
2026-04-27,-89.8,-1.84,4799.0,17.91,372,23,4888.8,4896.0,4780.1
2026-04-24,24.8,0.51,4888.8,23.38,488,36,4755.0,4889.9,4719.0
2026-04-23,24.1,0.5,4864.0,22.24,459,26,4880.0,4900.0,4790.0
2026-04-22,-55.1,-1.13,4839.9,15.18,315,23,4774.0,4900.0,4774.0
2026-04-21,-50.0,-1.01,4895.0,19.32,400,29,4836.0,4920.0,4785.0
2026-04-20,31.0,0.63,4945.0,32.13,660,37,4780.1,4990.0,4780.1
2026-04-17,4.0,0.08,4914.0,7.85,161,15,4968.8,4968.8,4835.0
2026-04-16,-59.0,-1.19,4910.0,27.56,562,34,4975.0,4975.0,4851.0
2026-04-15,117.9,2.43,4969.0,21.54,435,22,4928.9,5000.0,4920.0
2026-04-13,-5.9,-0.12,4851.1,23.0,472,37,4775.0,4931.0,4775.0
2026-04-10,-55.0,-1.12,4857.0,34.93,712,52,4960.0,5006.7,4857.0
2026-04-09,24.0,0.49,4912.0,51.61,1044,59,4968.0,5060.0,4869.7
2026-04-08,29.0,0.6,4888.0,46.52,964,51,4956.1,4956.1,4798.1
2026-04-07,-99.0,-2.0,4859.0,28.6,584,42,5050.0,5050.0,4859.0
2026-04-06,121.0,2.5,4958.0,27.28,558,41,4827.0,4998.0,4827.0
2026-04-05,-187.0,-3.72,4837.0,80.77,1686,103,5024.0,5024.0,4729.5
2026-04-02,138.0,2.82,5024.0,28.37,572,42,4801.0,5082.0,4791.0
2026-04-01,-214.0,-4.2,4886.0,42.53,853,54,5100.0,5197.0,4850.0
2026-03-31,37.0,0.73,5100.0,47.08,927,64,4966.0,5479.0,4905.0
2026-03-30,-137.0,-2.63,5063.0,70.31,1386,66,5096.0,5187.0,4994.0
2026-03-29,-132.0,-2.48,5200.0,76.33,1472,92,5225.4,5300.0,5067.6
2026-03-26,-167.0,-3.04,5332.0,64.54,1209,73,5391.0,5495.0,5202.0
2026-03-25,200.0,3.77,5499.0,,6884,272,5200.0,5600.0,5100.0
2026-03-24,478.0,9.91,5299.0,,5425,260,4887.9,5303.0,4850.0
2026-03-23,-30.1,-0.62,4821.0,28.75,593,52,4939.9,4939.9,4800.0
2026-03-22,-6.9,-0.14,4851.1,28.95,594,44,4870.0,4900.0,4851.1
2026-03-19,15.0,0.31,4858.0,42.11,872,48,4910.0,4910.0,4794.0
2026-03-17,-15.6,-0.32,4843.0,10.69,222,21,4918.0,4918.0,4773.0
2026-03-16,-8.4,-0.17,4858.6,22.64,470,33,4890.0,4890.0,4792.2
2026-03-15,141.0,2.98,4867.0,86.69,1802,113,4720.0,5187.0,4701.0
2026-03-12,10.1,0.21,4726.0,17.96,378,37,4701.0,4789.9,4701.0
2026-03-11,-174.1,-3.56,4715.9,38.91,815,42,4792.6,4886.9,4710.0
2026-03-10,-110.0,-2.2,4890.0,67.73,1394,92,5050.0,5050.0,4793.0
2026-03-09,379.0,8.2,5000.0,3.4,70,7,4713.0,5000.0,4713.0
2026-03-03,-47.0,-1.01,4621.0,49.12,1051,81,4581.4,4748.9,4581.4
2026-03-01,48.0,1.04,4668.0,14.0,301,25,4601.0,4696.5,4582.0
2026-02-26,12.8,0.28,4620.0,28.9,626,38,4695.9,4695.9,4600.0
2026-02-25,-62.8,-1.34,4607.2,19.98,431,34,4600.5,4683.7,4600.5
2026-02-24,70.0,1.52,4670.0,7.23,156,14,4659.0,4689.0,4601.0
2026-02-23,0.0,0.0,4600.0,37.63,812,58,4692.0,4739.0,4600.0
2026-02-22,-193.0,-4.03,4600.0,,2702,110,4700.0,4794.0,4515.1
2026-02-17,13.0,0.27,4793.0,26.13,547,44,4825.0,4837.0,4750.0
2026-02-16,-37.0,-0.77,4780.0,15.39,322,27,4769.0,4834.0,4769.0
2026-02-12,-9.0,-0.19,4817.0,22.07,460,31,4820.0,4840.0,4768.0
2026-02-11,-17.0,-0.35,4826.0,8.18,170,17,4770.0,4865.0,4770.0
2026-02-10,27.1,0.56,4843.0,15.99,330,31,4773.4,4909.9,4773.4
2026-02-09,15.9,0.33,4815.9,13.45,280,26,4859.0,4859.0,4773.3
2026-02-08,-65.0,-1.34,4800.0,61.8,1287,73,4811.0,4888.9,4778.0
2026-02-05,-24.0,-0.49,4865.0,21.82,452,35,4800.0,4894.4,4800.0
2026-02-04,30.0,0.62,4889.0,34.29,708,59,4762.0,4925.0,4762.0
2026-02-03,-24.0,-0.49,4859.0,31.6,655,43,4900.0,4900.0,4786.4
2026-02-02,4.0,0.08,4883.0,46.7,957,70,4790.0,4970.0,4790.0
2026-02-01,30.1,0.62,4879.0,52.8,1088,80,4802.3,4900.0,4802.3
2026-01-29,-7.7,-0.16,4848.9,13.29,275,23,4856.6,4878.0,4808.1
2026-01-28,2.6,0.05,4856.6,12.24,254,16,4878.0,4878.0,4781.0
2026-01-27,-24.0,-0.49,4854.0,15.1,312,21,4895.0,4895.0,4809.0
2026-01-26,-0.3,-0.01,4878.0,23.91,492,39,4964.9,4965.0,4816.0
2026-01-25,77.3,1.61,4878.3,31.91,661,45,4890.0,4890.0,4805.0
2026-01-22,-59.0,-1.21,4801.0,52.22,1078,72,4820.0,4932.0,4801.0
2026-01-21,-74.0,-1.5,4860.0,13.54,277,20,4966.7,4966.7,4860.0
2026-01-20,20.0,0.41,4934.0,35.94,733,39,4926.0,4951.0,4850.0
2026-01-18,28.0,0.57,4914.0,31.73,649,39,4797.0,4920.0,4796.0
2026-01-14,36.0,0.74,4886.0,16.39,340,26,4800.0,4899.8,4800.0
2026-01-13,50.0,1.04,4850.0,26.0,540,29,4880.0,4880.0,4800.0
2026-01-12,-65.0,-1.34,4800.0,40.98,853,51,4802.0,4874.3,4769.0
2026-01-08,-15.0,-0.31,4865.0,18.96,390,20,4831.0,4890.0,4806.0
2026-01-07,2.1,0.04,4880.0,13.58,280,23,4785.1,4888.7,4785.1
2026-01-06,29.9,0.62,4877.9,24.16,497,32,4779.0,4879.9,4779.0
2026-01-05,9.0,0.19,4848.0,15.97,332,26,4766.0,4860.0,4766.0
2026-01-04,20.1,0.42,4839.0,6.48,135,13,4847.0,4848.0,4755.0
2026-01-01,-58.1,-1.19,4818.9,20.07,417,27,4829.0,4869.0,4795.0
2025-12-31,17.0,0.35,4877.0,8.06,166,13,4860.0,4888.7,4840.0
2025-12-29,-36.6,-0.75,4860.0,12.63,260,23,4800.0,4895.6,4800.0
2025-12-28,32.6,0.67,4896.6,7.61,156,14,4900.0,4900.0,4820.7
2025-12-24,14.0,0.29,4864.0,11.36,234,21,4755.1,4938.9,4755.1
2025-12-23,0.0,0.0,4850.0,5.94,123,9,4859.0,4859.0,4820.0
2025-12-22,29.9,0.62,4850.0,3.86,80,7,4820.0,4865.7,4811.0
2025-12-21,-53.8,-1.1,4820.1,14.04,291,25,4790.1,4873.0,4790.1
2025-12-18,24.8,0.51,4873.9,7.88,162,13,4807.1,4882.0,4807.1
2025-12-17,-13.9,-0.29,4849.1,8.45,174,15,4860.0,4890.0,4849.0
2025-12-16,-6.9,-0.14,4863.0,8.56,177,15,4792.1,4871.9,4792.1
2025-12-15,14.9,0.31,4869.9,4.75,98,9,4878.9,4878.9,4797.0
2025-12-14,-24.9,-0.51,4855.0,6.57,136,13,4820.0,4888.9,4793.4
2025-12-11,0.9,0.02,4879.9,7.9,163,14,4883.8,4887.0,4806.3
2025-12-10,-4.0,-0.08,4879.0,58.74,1220,58,4895.0,4895.0,4733.7
2025-12-09,3.1,0.06,4883.0,7.84,161,16,4925.0,4925.0,4842.3
2025-12-08,19.9,0.41,4879.9,7.78,160,14,4840.0,4903.5,4840.0
2025-12-07,-64.9,-1.32,4860.0,14.05,289,18,4920.0,4920.0,4831.0
2025-12-03,-13.1,-0.27,4924.9,29.2,599,34,4985.0,4985.0,4840.3
2025-12-02,38.0,0.78,4938.0,5.39,110,9,4835.0,4940.0,4835.0
2025-12-01,-4.3,-0.09,4900.0,63.35,1302,63,4997.0,4997.0,4802.1
2025-11-30,-23.7,-0.48,4904.3,70.48,1406,80,4855.0,5398.0,4855.0
2025-11-27,-11.0,-0.22,4928.0,12.39,251,18,4990.0,5000.0,4890.1
2025-11-26,38.9,0.79,4939.0,8.74,177,17,4989.0,4989.0,4890.3
2025-11-25,-66.7,-1.34,4900.1,15.95,324,28,5000.0,5000.0,4900.1
2025-11-24,37.8,0.77,4966.8,21.37,433,32,4960.0,4996.0,4862.1
2025-11-23,9.0,0.18,4929.0,17.18,350,29,4832.0,4990.0,4832.0
2025-11-20,5.4,0.11,4920.0,13.21,270,27,4823.0,4939.9,4823.0
2025-11-19,16.6,0.34,4914.6,16.34,333,27,4994.0,4994.0,4857.0
