DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.3,1.49,360.0,,28371,164,356.7,360.0,352.0
2026-05-07,1.7,0.48,354.7,82.55,23449,183,359.6,359.6,350.0
2026-05-06,-4.0,-1.12,353.0,,30774,196,373.5,373.5,350.1
2026-05-05,-1.0,-0.28,357.0,,60577,302,358.0,363.0,345.0
2026-05-04,-7.9,-2.16,358.0,,57202,306,366.1,370.0,354.2
2026-04-30,0.9,0.25,365.9,,71340,444,346.8,366.0,346.8
2026-04-29,-14.0,-3.69,365.0,,85926,480,379.0,380.0,365.0
2026-04-28,-8.0,-2.07,379.0,,82583,508,388.0,394.0,376.0
2026-04-27,0.1,0.03,387.0,,36717,293,406.0,406.0,386.0
2026-04-24,-8.1,-2.05,386.9,,63573,411,414.7,414.7,385.0
2026-04-23,-4.9,-1.23,395.0,,103390,579,380.0,408.0,380.0
2026-04-22,-4.1,-1.01,399.9,,99682,708,404.1,406.3,393.6
2026-04-21,-12.0,-2.88,404.0,,81215,586,435.0,435.0,402.0
2026-04-20,-11.6,-2.71,416.0,,229272,1112,425.0,431.0,406.0
2026-04-17,-10.4,-2.37,427.6,,349240,1569,442.0,442.0,410.0
2026-04-16,-37.0,-7.79,438.0,,712762,2346,465.5,470.0,427.5
2026-04-15,11.0,2.37,475.0,50.51,10726,169,464.0,475.0,460.0
2026-04-13,13.2,2.93,464.0,98.77,21661,217,459.8,467.0,442.1
2026-04-10,-3.9,-0.86,450.8,58.39,13033,124,447.0,455.9,444.0
2026-04-09,8.1,1.81,454.7,39.31,8728,105,455.0,455.0,446.0
2026-04-08,1.6,0.36,446.6,41.26,9183,100,446.0,453.0,445.5
2026-04-07,-3.0,-0.67,445.0,58.84,13043,147,456.9,465.5,441.5
2026-04-06,17.8,4.14,448.0,57.1,12704,179,424.0,465.0,424.0
2026-04-05,-47.8,-10.0,430.2,,24011,247,470.0,483.5,430.2
2026-04-02,-15.1,-3.06,478.0,89.8,18633,197,490.0,490.0,478.0
2026-04-01,-15.9,-3.12,493.1,64.54,13072,123,500.0,515.0,488.1
2026-03-31,-1.5,-0.29,509.0,73.66,14663,180,510.0,515.0,482.0
2026-03-30,-11.5,-2.2,510.5,65.65,12709,150,514.5,526.9,510.0
2026-03-29,-9.0,-1.69,522.0,42.9,8164,119,534.0,539.0,520.0
2026-03-26,-4.0,-0.75,531.0,36.23,6859,84,529.0,534.0,525.2
2026-03-25,2.0,0.38,535.0,71.96,13610,157,523.2,535.0,523.2
2026-03-24,-1.0,-0.19,533.0,69.91,13192,115,534.0,538.9,527.6
2026-03-23,-3.4,-0.63,534.0,37.79,7114,117,543.0,543.0,529.0
2026-03-22,3.9,0.73,537.4,,29570,234,533.5,544.0,525.0
2026-03-19,-5.0,-0.93,533.5,,30241,269,538.0,545.7,526.0
2026-03-17,6.5,1.22,538.5,78.98,14882,128,540.0,540.0,525.0
2026-03-16,-8.0,-1.48,532.0,32.31,6037,91,545.0,545.4,529.0
2026-03-15,12.0,2.27,540.0,,23188,217,530.0,541.0,526.2
2026-03-12,7.0,1.34,528.0,88.25,16744,160,520.0,531.4,520.0
2026-03-11,-20.0,-3.7,521.0,62.35,11828,118,539.0,539.0,520.4
2026-03-10,-2.9,-0.53,541.0,,35598,253,554.7,555.6,515.0
2026-03-09,21.0,4.02,543.9,,20,2,533.3,543.9,533.3
2026-03-03,5.0,0.97,522.9,22.39,4326,77,508.0,525.0,500.0
2026-03-01,4.0,0.78,517.9,27.71,5407,78,510.0,517.9,510.0
2026-02-26,3.9,0.76,513.9,75.47,14763,90,510.0,515.0,507.0
2026-02-25,1.0,0.2,510.0,41.73,8148,97,518.0,519.0,509.0
2026-02-24,-5.9,-1.15,509.0,29.7,5807,81,525.1,534.0,509.0
2026-02-23,0.8,0.16,514.9,34.33,6660,92,507.1,535.5,507.1
2026-02-22,-7.9,-1.51,514.1,39.3,7617,87,515.0,520.0,513.0
2026-02-17,11.0,2.15,522.0,90.24,17349,186,508.0,540.0,508.0
2026-02-16,-8.5,-1.64,511.0,82.58,16163,175,517.0,520.0,505.0
2026-02-12,-8.6,-1.63,519.5,,20791,186,525.0,530.0,519.0
2026-02-11,-5.8,-1.09,528.1,35.1,6621,92,531.0,539.0,524.0
2026-02-10,1.9,0.36,533.9,63.18,11909,119,539.0,539.0,528.1
2026-02-09,-8.0,-1.48,532.0,75.07,14026,160,549.5,549.5,531.2
2026-02-08,2.0,0.37,540.0,91.31,16845,154,540.0,549.9,538.0
2026-02-05,3.0,0.56,538.0,87.37,16212,144,535.1,545.0,534.0
2026-02-04,0.0,0.0,535.0,,19914,157,535.0,542.0,530.0
2026-02-03,-5.1,-0.94,535.0,76.68,14287,145,545.0,549.0,530.0
2026-02-02,-12.8,-2.32,540.1,80.8,14863,148,551.0,551.0,533.0
2026-02-01,2.9,0.53,552.9,,19415,245,555.0,561.0,543.0
2026-01-29,7.0,1.29,550.0,,43787,358,550.0,554.5,545.0
2026-01-28,5.0,0.93,543.0,,28880,194,537.0,548.5,535.0
2026-01-27,-8.0,-1.47,538.0,,33545,317,550.3,555.0,537.0
2026-01-26,10.0,1.87,546.0,,32125,312,540.0,550.4,537.0
2026-01-25,7.5,1.42,536.0,,21079,238,527.0,538.9,527.0
2026-01-22,-1.5,-0.28,528.5,,22141,171,526.0,535.9,526.0
2026-01-21,-2.0,-0.38,530.0,61.25,11527,128,539.9,539.9,528.5
2026-01-20,3.0,0.57,532.0,,22259,183,539.5,542.9,529.0
2026-01-18,-2.0,-0.38,529.0,91.65,17309,228,540.0,540.0,525.1
2026-01-14,1.0,0.19,531.0,,43261,298,532.0,556.0,530.1
2026-01-13,-7.0,-1.3,530.0,,66857,348,527.0,537.0,514.0
2026-01-12,-2.8,-0.52,537.0,26.49,4964,83,547.0,547.0,530.0
2026-01-08,6.6,1.24,539.8,32.56,6117,84,523.0,539.8,523.0
2026-01-07,-0.8,-0.15,533.2,55.85,10485,114,530.0,539.9,528.0
2026-01-06,2.0,0.38,534.0,49.97,9341,120,522.0,542.0,522.0
2026-01-05,0.0,0.0,532.0,,24030,206,539.0,547.0,530.0
2026-01-04,-7.0,-1.3,532.0,43.35,8127,99,537.0,537.0,530.0
2026-01-01,-1.0,-0.19,539.0,70.64,13156,96,537.0,542.7,530.0
2025-12-31,0.2,0.04,540.0,38.96,7177,100,540.0,548.9,539.0
2025-12-29,13.8,2.62,539.8,,22454,203,530.0,547.0,526.3
2025-12-28,4.0,0.77,526.0,98.52,18592,196,522.0,547.9,520.0
2025-12-24,-2.0,-0.38,522.0,21.12,4047,67,525.0,528.0,519.0
2025-12-23,1.0,0.19,524.0,53.59,10254,121,533.4,543.0,519.8
2025-12-22,-7.0,-1.32,523.0,56.29,10742,111,530.0,540.0,520.0
2025-12-21,-12.9,-2.38,530.0,42.56,7954,105,541.0,541.0,530.0
2025-12-18,-1.1,-0.2,542.9,,23664,199,540.0,547.0,537.0
2025-12-17,0.0,0.0,544.0,56.1,10301,129,548.0,551.0,541.0
2025-12-16,1.9,0.35,544.0,26.4,4823,91,545.0,555.9,540.0
2025-12-15,-3.0,-0.55,542.1,20.91,3854,89,539.0,549.0,539.0
2025-12-14,-9.8,-1.77,545.1,31.28,5693,84,555.0,559.0,545.0
2025-12-11,0.0,0.0,554.9,58.94,10649,104,550.0,557.4,550.0
2025-12-10,1.0,0.18,554.9,49.51,8920,106,548.0,562.0,548.0
2025-12-09,3.9,0.71,553.9,37.85,6865,102,553.0,558.5,540.0
2025-12-08,-1.2,-0.22,550.0,71.59,13124,136,546.0,557.0,540.2
2025-12-07,-9.8,-1.75,551.2,66.42,12011,138,561.0,566.9,549.8
2025-12-03,1.0,0.18,561.0,,33611,212,571.0,571.2,541.0
2025-12-02,4.0,0.72,560.0,60.13,10758,111,553.0,567.0,545.0
2025-12-01,-10.0,-1.77,556.0,91.62,16304,139,566.0,570.0,556.0
2025-11-30,-9.0,-1.57,566.0,45.32,7962,97,572.0,574.0,565.0
2025-11-27,-3.0,-0.52,575.0,78.54,13670,140,573.0,580.0,571.0
2025-11-26,13.0,2.3,578.0,,23377,190,571.0,580.0,570.0
2025-11-25,-15.9,-2.74,565.0,,23873,179,590.5,590.5,565.0
2025-11-24,5.9,1.03,580.9,,19985,122,577.0,588.0,575.0
2025-11-23,7.9,1.39,575.0,52.15,8995,146,570.0,590.0,567.0
2025-11-20,-2.9,-0.51,567.1,,24685,207,581.4,581.4,559.0
2025-11-19,-15.0,-2.56,570.0,89.53,15549,152,595.0,595.0,570.0
2025-11-18,5.0,0.86,585.0,,20964,212,583.4,595.1,570.1
2025-11-17,-64.4,-9.99,580.0,,119206,663,631.6,631.6,580.0
2025-11-16,-71.6,-10.0,644.4,,16065,120,701.7,701.7,644.4
2025-11-13,34.0,4.99,716.0,,93062,524,669.0,716.0,613.8
2025-11-12,62.0,10.0,682.0,,98551,698,607.6,682.0,595.5
2025-11-11,15.0,2.48,620.0,,26923,212,593.0,621.0,592.0
2025-11-10,44.9,8.02,605.0,,66340,391,570.0,606.0,560.1
2025-11-09,-5.9,-1.04,560.1,85.63,15272,77,577.3,577.3,554.0
2025-11-06,-4.9,-0.86,566.0,22.92,4047,74,570.9,580.0,560.1
2025-11-05,5.8,1.03,570.9,62.19,11029,83,576.4,576.4,554.0
2025-11-04,-3.9,-0.69,565.1,98.05,17444,102,580.3,580.3,550.0
2025-11-03,-15.0,-2.57,569.0,,19181,143,595.6,595.6,560.0
2025-11-02,-3.0,-0.51,584.0,83.29,14435,162,598.7,598.7,566.1
2025-10-30,6.9,1.19,587.0,,72524,410,580.1,607.0,570.0
2025-10-29,15.1,2.67,580.1,,40102,205,553.7,594.0,543.0
2025-10-28,17.0,3.1,565.0,56.51,10140,137,537.1,566.0,537.1
2025-10-26,26.5,5.08,548.0,,26502,204,511.1,554.4,511.1
2025-10-19,-5.5,-1.04,521.5,47.27,8996,125,519.0,537.0,501.0
2025-10-16,-23.0,-4.18,527.0,,22448,143,539.1,561.0,514.0
2025-10-15,-23.0,-4.01,550.0,81.79,14876,151,561.6,595.0,539.5
2025-10-14,-31.0,-5.13,573.0,,52642,256,592.0,597.9,553.8
2025-10-13,10.0,1.68,604.0,89.96,15238,159,582.2,607.0,570.0
2025-10-12,-15.0,-2.46,594.0,91.37,15489,161,596.9,605.0,565.1
2025-10-09,-35.0,-5.43,609.0,,47500,368,631.2,667.0,579.6
2025-10-08,0.5,0.08,644.0,73.56,11670,128,654.0,654.0,623.5
2025-10-07,-71.4,-9.99,643.5,,48660,285,700.7,700.7,643.5
2025-09-28,33.2,4.87,714.9,,32788,196,669.1,715.0,642.8
2025-09-25,-8.3,-1.2,681.7,97.18,14580,116,699.0,699.0,660.0
2025-09-24,-8.1,-1.16,690.0,,71618,218,712.0,728.0,655.8
2025-09-23,63.4,9.99,698.1,,15314,151,647.0,698.1,647.0
2025-09-21,57.7,10.0,634.7,69.9,11389,137,565.5,634.7,565.5
