DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.0,0.89,454.0,35.06,7733,55,456.0,457.0,449.0
2026-05-07,-2.0,-0.44,450.0,25.17,5603,39,456.0,457.0,447.0
2026-05-06,4.0,0.89,452.0,12.18,2709,35,454.0,454.0,446.1
2026-05-05,5.0,1.13,448.0,19.41,4335,47,450.0,452.0,440.3
2026-05-04,-6.0,-1.34,443.0,41.55,9306,99,451.0,451.0,441.0
2026-04-30,-4.0,-0.88,449.0,51.29,11432,119,450.0,452.4,444.0
2026-04-29,-5.0,-1.09,453.0,34.24,7562,75,455.0,463.9,450.0
2026-04-28,-2.0,-0.43,458.0,21.89,4746,55,460.0,473.8,457.0
2026-04-27,6.0,1.32,460.0,32.1,7020,52,454.0,460.0,454.0
2026-04-24,-6.0,-1.3,454.0,42.91,9470,68,452.0,460.0,451.2
2026-04-23,-7.9,-1.69,460.0,46.14,10034,61,471.0,471.0,457.0
2026-04-22,7.9,1.72,467.9,37.27,8124,72,462.5,469.6,452.0
2026-04-21,-2.0,-0.43,460.0,33.48,7253,57,469.0,469.0,460.0
2026-04-20,-4.0,-0.86,462.0,38.94,8389,76,460.0,470.0,459.0
2026-04-17,1.0,0.22,466.0,49.38,10648,72,473.4,473.4,459.0
2026-04-16,-12.5,-2.62,465.0,67.29,14375,94,469.0,477.0,465.0
2026-04-15,11.8,2.53,477.5,40.64,8547,72,475.0,481.0,470.0
2026-04-13,-4.3,-0.91,465.7,56.83,12162,113,468.0,470.0,465.0
2026-04-10,-2.2,-0.47,470.0,67.47,14384,93,471.0,477.0,465.3
2026-04-09,0.2,0.04,472.2,73.65,15471,110,472.0,480.0,472.0
2026-04-08,8.1,1.75,472.0,43.89,9316,79,471.9,473.1,465.1
2026-04-07,-0.1,-0.02,463.9,72.81,15635,115,466.0,470.0,460.0
2026-04-06,15.0,3.34,464.0,,28527,177,450.1,467.0,450.1
2026-04-05,-18.0,-3.85,449.0,,41274,262,460.0,465.8,449.0
2026-04-02,0.0,0.0,467.0,75.96,16232,150,463.0,476.0,460.0
2026-04-01,-13.0,-2.71,467.0,,23278,166,487.0,488.0,461.0
2026-03-31,7.0,1.48,480.0,,31922,208,474.0,487.0,470.0
2026-03-30,-13.0,-2.67,473.0,,33138,213,487.0,494.8,472.1
2026-03-29,-20.5,-4.05,486.0,,46321,297,506.0,507.1,485.0
2026-03-26,1.4,0.28,506.5,,28443,176,505.1,509.0,501.0
2026-03-25,-14.8,-2.85,505.1,,31140,203,519.0,520.0,505.0
