DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,17.4,3.5,515.0,88.27,17476,318,499,515.0,495.3
2026-05-07,-1.2,-0.24,497.6,46.15,9253,217,500,505.0,496.0
2026-05-06,-15.2,-2.96,498.8,,25689,302,501,517.0,495.0
2026-05-05,4.1,0.8,514.0,,33962,448,504,524.0,497.0
2026-05-04,-9.1,-1.75,509.9,57.57,11312,288,510,529.0,502.0
2026-04-30,-6.0,-1.14,519.0,,24060,395,522,522.0,510.6
2026-04-29,-11.2,-2.09,525.0,,19630,442,563,563.0,520.0
2026-04-28,-8.8,-1.61,536.2,,21757,505,545,554.8,535.0
2026-04-27,1.0,0.18,545.0,,20413,477,534,554.0,534.0
2026-04-24,-4.0,-0.73,544.0,97.83,18024,323,536,553.7,535.0
