DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.0,0.58,520.0,13.22,2550,45,519.9,527.9,515.5
2026-05-07,2.9,0.56,517.0,27.78,5397,55,520.0,520.0,511.0
2026-05-06,-0.9,-0.17,514.1,11.92,2311,47,515.0,525.0,514.0
2026-05-05,4.0,0.78,515.0,36.3,7057,87,502.0,523.8,501.0
2026-05-04,-9.2,-1.77,511.0,47.96,9253,114,524.8,538.0,511.0
2026-04-30,-6.6,-1.25,520.2,35.15,6767,79,520.1,525.0,513.0
2026-04-29,-0.2,-0.04,526.8,53.05,10130,96,527.0,534.8,521.0
2026-04-28,-8.6,-1.61,527.0,44.39,8371,115,535.6,545.0,525.2
2026-04-27,-0.4,-0.07,535.6,58.94,10985,85,536.0,547.8,533.2
2026-04-24,-2.0,-0.37,536.0,57.42,10756,97,547.9,547.9,530.0
2026-04-23,-8.0,-1.47,538.0,24.91,4618,61,546.0,546.0,536.0
2026-04-22,5.0,0.92,546.0,90.3,16722,155,549.8,557.0,531.0
2026-04-21,-9.0,-1.64,541.0,32.35,5926,86,577.5,577.5,541.0
2026-04-20,-3.0,-0.54,550.0,55.56,10137,96,580.6,580.6,541.4
2026-04-17,-6.5,-1.16,553.0,66.77,12081,81,559.0,559.0,547.9
2026-04-16,-1.5,-0.27,559.5,,21875,172,560.0,564.0,542.0
2026-04-15,1.1,0.2,561.0,46.04,8178,91,555.0,566.7,555.0
2026-04-13,-0.1,-0.02,559.9,45.84,8213,76,569.9,569.9,555.0
2026-04-10,-10.0,-1.75,560.0,74.15,13276,139,580.0,580.0,552.0
2026-04-09,15.7,2.83,570.0,,25452,155,555.0,570.0,545.1
2026-04-08,6.1,1.11,554.3,79.24,14238,145,558.0,569.0,546.9
2026-04-07,8.5,1.57,548.2,91.23,16685,146,530.0,559.9,530.0
2026-04-06,14.7,2.8,539.7,,32346,235,535.0,543.6,522.0
2026-04-05,-24.9,-4.53,525.0,,39973,290,554.0,554.0,518.0
2026-04-02,-8.1,-1.45,549.9,,35413,232,560.8,563.0,542.0
2026-04-01,-17.0,-2.96,558.0,,26918,214,567.0,570.0,550.0
2026-03-31,7.0,1.23,575.0,,24431,185,568.0,577.0,557.2
2026-03-30,-2.9,-0.51,568.0,,38239,239,559.5,580.0,559.5
2026-03-29,-18.0,-3.06,570.9,,48069,329,600.0,600.0,566.0
2026-03-26,3.9,0.67,588.9,,20710,162,596.0,596.0,577.0
2026-03-25,-13.0,-2.17,585.0,,45773,296,608.0,608.0,582.0
2026-03-24,-1.5,-0.25,598.0,,30727,231,611.4,611.4,596.0
2026-03-23,-4.5,-0.75,599.5,,41796,270,616.0,616.0,591.0
2026-03-22,-3.0,-0.49,604.0,,86460,521,619.1,619.1,592.1
2026-03-19,9.0,1.51,607.0,,106402,638,586.1,620.0,586.1
2026-03-17,4.0,0.67,598.0,,42144,314,605.8,605.8,587.0
