DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,32.0,3.27,1010.0,,18876,514,978.0,1022.0,963.0
2026-05-07,15.9,1.65,978.0,,10486,325,975.0,990.0,955.0
2026-05-06,-5.3,-0.55,962.1,80.52,8250,328,919.1,997.0,919.1
2026-05-05,7.4,0.77,967.4,,16784,544,912.0,1020.0,912.0
2026-05-04,-75.0,-7.25,960.0,,11405,431,1035.0,1064.9,950.0
2026-04-30,0.0,0.0,1035.0,,10144,512,1049.0,1049.0,990.0
2026-04-29,22.9,2.26,1035.0,,39440,1283,1000.0,1090.0,953.1
2026-04-28,-95.9,-8.66,1012.1,,35959,1296,1108.0,1108.0,1008.8
2026-04-27,-34.0,-2.98,1108.0,,19755,866,1142.0,1170.0,1091.0
2026-04-24,10.9,0.96,1142.0,,20195,913,1100.0,1163.0,1074.6
2026-04-23,-32.9,-2.83,1131.1,,25617,1132,1166.0,1200.0,1130.0
2026-04-22,-47.0,-3.88,1164.0,,27539,1215,1207.0,1211.0,1135.0
2026-04-21,-14.0,-1.14,1211.0,,42812,1615,1226.0,1280.0,1191.0
2026-04-20,45.0,3.81,1225.0,,43095,2274,1180.0,1280.0,1099.0
2026-04-17,-11.0,-0.92,1180.0,,56116,2816,1191.0,1205.0,1105.5
2026-04-16,-95.0,-7.39,1191.0,,55251,3057,1286.0,1300.0,1167.0
2026-04-15,46.0,3.71,1286.0,,50568,3131,1255.0,1305.0,1191.0
2026-04-13,48.2,4.04,1240.0,,85733,3647,1168.0,1305.0,1097.6
2026-04-10,108.3,10.0,1191.8,,19720,1089,1105.1,1191.8,1105.0
2026-04-09,98.5,10.0,1083.5,,29023,2842,990.0,1083.5,950.0
2026-04-08,53.3,5.72,985.0,,111652,10422,950.3,1024.8,852.9
2026-04-07,84.7,10.0,931.7,70.35,7560,570,863.9,931.7,863.9
2026-04-06,77.0,10.0,847.0,39.1,4620,461,770.0,847.0,770.0
2026-04-05,70.0,10.0,770.0,28.39,3690,369,714.0,770.0,714.0
2026-04-02,63.6,9.99,700.0,12.86,1840,184,649.1,700.0,649.1
2026-04-01,57.8,9.99,636.4,4.18,660,66,590.1,636.4,590.1
2026-03-31,52.6,10.0,578.6,2.7,470,47,536.0,578.6,536.0
2026-03-30,47.8,10.0,526.0,1.45,280,28,475.4,526.0,475.4
2026-03-29,43.4,9.98,478.2,1.41,300,30,430.8,478.2,430.8
2026-03-26,39.5,9.99,434.8,,198,20,391.4,434.8,391.4
2026-03-25,35.9,9.99,395.3,,100,10,366.5,395.3,366.5
2026-03-24,32.6,9.98,359.4,,120,12,323.5,359.4,323.5
2026-03-23,29.7,10.0,326.8,,160,16,294.1,326.8,294.1
2026-03-22,27.0,10.0,297.1,,80,8,270.1,297.1,270.1
