DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.0,1.58,322.0,9.33,2883,54,315.4,326.0,315.4
2026-05-07,2.5,0.79,317.0,4.57,1440,39,315.0,320.0,315.0
2026-05-06,-3.5,-1.1,314.5,23.88,7585,79,317.0,318.0,313.0
2026-05-05,-7.0,-2.15,318.0,27.79,8677,78,316.0,325.0,316.0
2026-05-04,-2.5,-0.76,325.0,30.47,9491,87,327.5,327.5,317.0
2026-04-30,2.5,0.77,327.5,26.76,8218,82,317.0,327.6,317.0
2026-04-29,-7.0,-2.11,325.0,11.17,3420,74,333.0,336.5,323.0
2026-04-28,6.0,1.84,332.0,29.12,8804,121,326.0,334.0,327.0
2026-04-27,-3.0,-0.91,326.0,17.92,5446,68,329.0,338.8,326.0
2026-04-24,-9.0,-2.66,329.0,,32814,176,335.0,335.0,325.0
2026-04-23,0.0,0.0,338.0,10.01,2983,44,345.9,345.9,332.1
2026-04-22,-2.0,-0.59,338.0,42.37,12641,116,340.0,340.0,330.1
2026-04-21,0.0,0.0,340.0,17.69,5194,80,340.0,350.0,334.1
2026-04-20,-5.0,-1.45,340.0,40.34,11859,96,345.0,355.2,337.0
2026-04-17,-1.0,-0.29,345.0,12.14,3501,54,352.9,352.9,339.5
2026-04-16,-8.0,-2.26,346.0,34.47,9915,114,351.3,352.0,345.0
2026-04-15,1.0,0.28,354.0,66.8,18890,154,353.0,355.0,351.1
2026-04-13,3.0,0.86,353.0,57.21,16199,120,350.0,357.0,350.0
2026-04-10,-1.5,-0.43,350.0,31.68,9044,98,353.0,353.0,348.5
2026-04-09,1.5,0.43,351.5,48.01,13650,108,355.0,355.0,348.1
2026-04-08,1.5,0.43,350.0,32.61,9348,105,355.0,355.0,345.0
2026-04-07,-2.5,-0.71,348.5,28.63,8172,114,351.0,355.0,345.0
2026-04-06,14.0,4.15,351.0,69.65,19908,173,343.0,358.4,335.0
2026-04-05,-8.0,-2.32,337.0,,57807,387,345.0,355.0,325.1
2026-04-02,-5.0,-1.43,345.0,56.04,16340,174,343.0,353.0,336.2
2026-04-01,-15.0,-4.11,350.0,53.93,15310,150,363.0,363.0,345.0
2026-03-31,8.0,2.24,365.0,84.11,23771,212,350.0,369.2,349.0
2026-03-30,-11.6,-3.15,357.0,54.41,14949,182,370.0,371.0,357.0
2026-03-29,-10.4,-2.74,368.6,97.45,26091,181,379.0,384.9,368.6
2026-03-26,6.0,1.61,379.0,,29079,229,380.4,380.4,372.0
2026-03-25,-1.9,-0.51,373.0,70.66,18927,157,367.7,382.0,367.7
