DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,7.1,1.26,569.1,41.74,7311,228,560.1,575.0,560.1
2026-05-07,-3.0,-0.53,562.0,22.44,3992,138,560.0,570.0,557.1
2026-05-06,-2.0,-0.35,565.0,19.66,3497,110,556.0,570.0,556.0
2026-05-05,7.0,1.25,567.0,44.37,7867,194,555.1,573.9,555.0
2026-05-04,-11.0,-1.93,560.0,40.5,7211,226,550.0,573.0,550.0
2026-04-30,1.0,0.18,571.0,48.94,8665,227,560.0,579.8,555.0
2026-04-29,-24.0,-4.04,570.0,,18619,306,583.1,589.9,560.1
2026-04-28,-6.0,-1.0,594.0,90.28,15363,333,570.0,603.0,570.0
2026-04-27,8.8,1.49,600.0,77.1,12977,333,591.2,603.0,590.0
2026-04-24,-5.2,-0.87,591.2,47.92,8118,207,586.0,597.0,585.0
2026-04-23,-13.6,-2.23,596.4,70.0,11698,289,601.2,607.9,592.0
2026-04-22,-9.0,-1.45,610.0,,17239,371,603.0,617.8,595.0
2026-04-21,-9.8,-1.56,619.0,80.37,12926,301,617.0,628.1,611.5
2026-04-20,10.7,1.73,628.8,,22429,427,631.2,631.2,596.1
2026-04-17,13.1,2.17,618.1,,24626,367,598.1,621.0,596.1
2026-04-16,-13.0,-2.1,605.0,,19013,378,615.0,625.0,601.0
2026-04-15,3.0,0.49,618.0,98.78,15769,442,615.0,633.3,610.1
2026-04-13,-7.9,-1.27,615.0,,17249,351,610.8,623.0,600.0
2026-04-10,-10.1,-1.6,622.9,,19547,347,640.0,640.0,612.7
2026-04-09,10.0,1.61,633.0,,27276,466,634.9,648.7,612.0
2026-04-08,39.0,6.68,623.0,,33455,530,588.6,626.0,582.0
2026-04-07,4.0,0.69,584.0,76.85,13100,273,588.9,595.0,578.4
2026-04-06,16.0,2.84,580.0,99.55,17129,344,555.1,598.0,555.1
2026-04-05,-48.0,-7.84,564.0,,25673,438,602.0,602.0,558.0
2026-04-02,1.0,0.16,612.0,,16792,334,600.0,620.0,599.0
2026-04-01,-15.0,-2.4,611.0,,19951,383,620.0,634.9,605.7
2026-03-31,-9.0,-1.42,626.0,,23577,432,626.0,640.0,614.0
2026-03-30,-18.0,-2.76,635.0,,18046,398,645.1,653.0,633.0
2026-03-29,-25.0,-3.69,653.0,,22456,445,664.5,684.9,650.0
2026-03-26,12.5,1.88,678.0,,32916,624,673.0,686.0,666.1
2026-03-25,9.6,1.46,665.5,,33893,604,663.0,678.0,647.1
