DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,12.0,2.46,499.0,38.41,7739,57,491.0,501.0,491.0
2026-05-07,-4.6,-0.94,487.0,12.4,2534,28,493.0,493.0,486.0
2026-05-06,-4.1,-0.83,491.6,31.79,6483,44,490.4,500.0,489.0
2026-05-05,6.9,1.41,495.7,21.37,4343,42,488.8,499.0,488.8
2026-05-04,-4.2,-0.85,488.8,43.08,8847,85,488.1,500.0,480.0
2026-04-30,-3.9,-0.78,493.0,41.25,8441,98,491.0,496.0,482.1
2026-04-29,-12.1,-2.38,496.9,12.98,2620,32,496.1,505.0,492.0
2026-04-28,3.1,0.61,509.0,34.92,6971,62,505.9,509.0,497.0
2026-04-27,0.9,0.18,505.9,18.25,3607,41,505.0,510.0,503.0
2026-04-24,-4.0,-0.79,505.0,30.15,6030,58,534.4,534.4,490.0
2026-04-23,1.5,0.3,509.0,49.26,9818,67,514.0,514.0,495.0
2026-04-22,-4.0,-0.78,507.5,79.66,15789,104,505.1,517.0,500.0
2026-04-21,-6.4,-1.24,511.5,24.52,4802,48,543.7,543.7,508.0
2026-04-20,2.9,0.56,517.9,48.41,9507,68,540.7,540.7,500.0
2026-04-17,-8.9,-1.7,515.0,46.18,8932,76,534.3,534.3,512.0
2026-04-16,-6.1,-1.15,523.9,38.44,7392,65,525.0,526.0,515.0
2026-04-15,1.9,0.36,530.0,60.47,11343,74,538.1,539.0,521.3
2026-04-13,-1.8,-0.34,528.1,44.1,8362,60,529.0,530.0,522.0
2026-04-10,-7.1,-1.32,529.9,63.16,11951,71,542.0,547.5,521.5
2026-04-09,15.0,2.87,537.0,,20314,100,519.2,538.0,519.0
2026-04-08,8.0,1.56,522.0,90.23,17409,85,512.3,523.8,509.3
2026-04-07,-4.0,-0.77,514.0,36.96,7172,84,520.0,528.3,508.0
2026-04-06,29.1,5.95,518.0,,34492,202,488.0,522.0,480.0
2026-04-05,-28.1,-5.44,488.9,,25383,209,507.0,522.9,486.0
2026-04-02,-12.8,-2.42,517.0,,22301,150,520.0,534.0,502.0
2026-04-01,-12.1,-2.23,529.8,,29560,138,535.0,540.0,522.0
2026-03-31,-0.1,-0.02,541.9,,23807,117,551.8,551.8,529.0
2026-03-30,-7.7,-1.4,542.0,,21520,120,539.0,549.0,534.0
2026-03-29,-17.3,-3.05,549.7,,47872,188,561.0,564.0,538.6
2026-03-26,0.0,0.0,567.0,96.48,17159,112,568.0,570.0,558.0
2026-03-25,-10.0,-1.73,567.0,,22024,162,577.0,577.0,556.7
2026-03-24,5.0,0.87,577.0,,35597,154,580.0,580.0,568.1
2026-03-23,-1.0,-0.17,572.0,,26137,130,584.0,584.0,565.0
2026-03-22,-0.3,-0.05,573.0,,49092,286,573.0,584.0,570.0
2026-03-19,16.3,2.93,573.3,,49887,277,565.0,575.0,557.0
2026-03-17,0.0,0.0,557.0,,23673,110,560.0,560.0,548.2
2026-03-16,-0.8,-0.14,557.0,,49815,246,563.7,570.0,554.0
2026-03-15,7.8,1.42,557.8,,44580,184,550.0,557.9,546.1
2026-03-12,5.0,0.92,550.0,,39882,177,545.0,555.5,542.0
2026-03-11,-13.0,-2.33,545.0,,26742,200,559.0,559.0,541.0
2026-03-10,-1.6,-0.29,558.0,,51162,322,570.0,570.0,549.0
2026-03-09,21.6,4.01,559.6,2.58,470,4,548.7,559.6,548.7
2026-03-03,1.0,0.19,538.0,,18628,115,530.0,541.7,530.0
2026-03-01,14.7,2.81,537.0,,28477,175,520.0,540.0,510.0
2026-02-26,-0.7,-0.13,522.3,88.69,17005,85,520.9,527.0,520.0
2026-02-25,-12.9,-2.41,523.0,,36130,189,539.8,541.7,518.0
2026-02-24,8.9,1.69,535.9,62.23,11679,83,533.9,548.2,527.0
2026-02-23,-7.0,-1.31,527.0,80.18,15131,90,534.0,543.0,524.0
2026-02-22,-1.0,-0.19,534.0,,21745,85,539.0,539.9,528.2
2026-02-17,-19.0,-3.43,535.0,,23391,117,550.0,554.0,535.0
2026-02-16,29.0,5.52,554.0,,82621,329,524.0,555.0,524.0
2026-02-12,-2.9,-0.55,525.0,,20838,127,518.0,559.0,518.0
2026-02-11,-7.0,-1.31,527.9,69.14,12933,100,543.0,545.0,525.4
2026-02-10,-8.1,-1.49,534.9,,19957,127,535.0,549.0,532.3
2026-02-09,-23.0,-4.06,543.0,,35002,159,555.1,560.0,541.1
2026-02-08,6.1,1.09,566.0,,45616,185,568.0,579.8,552.0
2026-02-05,-0.1,-0.02,559.9,,42108,188,560.0,571.2,550.0
2026-02-04,5.0,0.9,560.0,,22190,116,563.0,574.0,550.3
2026-02-03,1.9,0.34,555.0,,28552,147,564.1,570.0,551.5
2026-02-02,-6.9,-1.23,553.1,,38115,199,548.8,578.3,548.8
2026-02-01,-20.0,-3.45,560.0,,73720,351,579.0,582.0,550.1
2026-01-29,-12.0,-2.03,580.0,,94204,437,597.0,608.5,575.0
2026-01-28,12.1,2.09,592.0,,96023,382,580.0,596.5,570.0
2026-01-27,7.8,1.36,579.9,,240939,1006,573.2,602.0,572.0
2026-01-26,-5.8,-1.0,572.1,,132013,497,580.0,595.0,561.0
2026-01-25,7.9,1.39,577.9,,108309,432,572.0,583.0,567.0
2026-01-22,26.1,4.8,570.0,,102757,504,535.0,575.0,535.0
2026-01-21,-6.2,-1.13,543.9,,54808,271,559.7,559.8,531.4
2026-01-20,-5.2,-0.94,550.1,,110212,635,545.0,565.5,540.4
2026-01-18,45.3,8.88,555.3,,122358,764,520.2,556.0,519.0
2026-01-14,16.0,3.24,510.0,,60792,325,484.2,517.0,484.2
2026-01-13,-4.0,-0.8,494.0,60.02,12190,106,488.1,505.9,488.1
2026-01-12,-3.8,-0.76,498.0,,24834,203,500.0,510.0,494.0
2026-01-08,6.6,1.33,501.8,,26423,201,495.0,502.6,490.0
2026-01-07,8.4,1.73,495.2,,81059,578,495.0,506.8,488.0
2026-01-06,11.8,2.48,486.8,,27550,179,477.0,489.5,475.0
2026-01-05,3.7,0.79,475.0,28.05,5931,56,475.0,475.0,470.0
2026-01-04,1.3,0.28,471.3,17.16,3631,31,466.0,475.0,465.2
2026-01-01,-7.0,-1.47,470.0,47.79,10110,58,484.0,484.0,470.0
2025-12-31,0.0,0.0,477.0,36.18,7518,44,485.0,486.0,476.3
2025-12-29,2.0,0.42,477.0,,23985,125,480.0,488.0,475.0
2025-12-28,12.9,2.79,475.0,63.27,13482,77,467.0,477.0,463.1
2025-12-24,-7.9,-1.68,462.1,53.22,11470,74,460.6,470.0,460.6
