DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-0.4,-0.05,803.0,,14211,100,801.0,808.0,801.0
2026-05-07,1.4,0.17,803.4,38.5,4799,65,802.3,810.0,800.0
2026-05-06,-1.0,-0.12,802.0,48.64,6058,73,801.2,814.0,801.2
2026-05-05,-2.1,-0.26,803.0,73.88,9186,111,802.5,809.0,800.1
2026-05-04,-2.4,-0.3,805.1,94.15,11678,89,802.1,817.0,802.1
2026-04-30,-1.5,-0.19,807.5,55.36,6861,104,809.0,811.9,802.0
2026-04-29,-3.0,-0.37,809.0,,14155,141,806.7,815.0,805.0
2026-04-28,-3.0,-0.37,812.0,74.82,9185,116,815.0,830.0,812.0
2026-04-27,2.0,0.25,815.0,58.22,7135,91,813.0,819.9,815.0
2026-04-24,-3.0,-0.37,813.0,34.99,4303,72,810.0,817.0,810.0
2026-04-23,-4.0,-0.49,816.0,67.69,8285,71,820.0,825.0,815.0
2026-04-22,0.0,0.0,820.0,,14098,148,815.0,824.0,814.0
2026-04-21,1.0,0.12,820.0,,12686,107,810.0,825.0,810.0
2026-04-20,-7.0,-0.85,819.0,66.02,8050,101,820.0,826.9,816.4
2026-04-17,1.0,0.12,826.0,67.5,8190,107,825.0,828.0,822.0
2026-04-16,-11.0,-1.32,825.0,,12236,140,830.0,835.0,822.0
2026-04-15,9.0,1.09,836.0,,18098,203,820.0,840.8,820.0
2026-04-13,1.0,0.12,827.0,88.84,10739,151,830.0,835.0,822.3
2026-04-10,-10.0,-1.2,826.0,,24587,176,825.0,835.0,825.0
2026-04-09,5.1,0.61,836.0,,25320,206,832.3,844.0,829.0
2026-04-08,4.9,0.59,830.9,,21399,179,826.0,835.0,820.0
2026-04-07,-2.9,-0.35,826.0,87.6,10585,168,828.9,837.0,816.0
2026-04-06,19.9,2.46,828.9,,37704,302,800.0,832.0,798.0
2026-04-05,-15.0,-1.82,809.0,,44669,372,815.2,820.0,807.1
2026-04-02,3.9,0.48,824.0,,18111,214,815.0,830.0,806.1
2026-04-01,-19.9,-2.37,820.1,,57180,428,840.0,856.0,816.1
2026-03-31,-1.1,-0.13,840.0,,32140,329,841.0,850.0,830.0
2026-03-30,-14.9,-1.74,841.1,,30563,350,856.0,861.0,841.0
2026-03-29,-21.5,-2.45,856.0,,30844,298,868.1,878.1,850.0
2026-03-26,2.4,0.27,877.5,,11651,168,875.0,880.0,872.1
2026-03-25,-11.9,-1.34,875.1,,30007,184,895.0,895.0,875.1
2026-03-24,-1.0,-0.11,887.0,,37467,235,885.0,899.7,879.0
2026-03-23,-13.0,-1.44,888.0,,33863,285,899.0,903.0,884.0
2026-03-22,42.5,4.95,901.0,,60469,470,862.2,901.0,862.2
2026-03-19,7.3,0.86,858.5,,57623,334,852.1,875.0,851.3
2026-03-17,-2.7,-0.32,851.2,,16638,131,855.0,855.5,845.0
2026-03-16,-5.1,-0.59,853.9,,22110,186,859.0,860.0,850.0
2026-03-15,-11.0,-1.26,859.0,,39777,303,873.0,879.0,857.0
2026-03-12,2.9,0.33,870.0,,29015,210,867.0,882.0,860.0
2026-03-11,-9.9,-1.13,867.1,,18412,186,877.0,887.0,867.0
2026-03-10,-23.0,-2.56,877.0,,86634,581,918.0,918.0,864.0
2026-03-09,63.0,7.53,900.0,15.21,1763,9,853.7,900.0,853.7
2026-03-03,9.2,1.11,837.0,88.47,10599,124,843.1,843.1,820.0
2026-03-01,1.8,0.22,827.8,,13329,117,815.2,828.0,815.2
2026-02-26,0.9,0.11,826.0,52.71,6387,93,820.0,830.0,817.6
2026-02-25,14.5,1.79,825.1,96.2,11690,114,815.1,830.0,815.1
2026-02-24,-4.4,-0.54,810.6,,26700,214,815.0,824.0,804.0
2026-02-23,1.5,0.18,815.0,,18122,146,827.5,827.5,810.0
2026-02-22,-7.6,-0.93,813.5,,15282,156,832.8,832.8,811.0
2026-02-17,-13.9,-1.66,821.1,,63227,458,849.0,849.0,813.4
2026-02-16,10.0,1.21,835.0,,28657,222,830.0,850.0,830.0
2026-02-12,-13.0,-1.55,825.0,,92118,440,836.0,838.0,820.0
2026-02-11,-6.0,-0.71,838.0,,25745,244,848.0,858.9,835.0
2026-02-10,-4.0,-0.47,844.0,,34033,242,840.0,850.0,836.0
2026-02-09,-11.9,-1.38,848.0,,75363,458,860.0,868.0,843.0
2026-02-08,-15.1,-1.73,859.9,,133312,613,872.5,887.0,855.0
2026-02-05,-11.9,-1.34,875.0,,39666,298,885.0,895.0,870.0
2026-02-04,-4.1,-0.46,886.9,,27520,213,908.8,908.8,880.0
2026-02-03,23.0,2.65,891.0,,45386,351,885.0,902.0,864.0
2026-02-02,2.0,0.23,868.0,98.85,11373,119,866.0,875.0,863.0
2026-02-01,-18.0,-2.04,866.0,,35443,230,870.0,882.0,862.0
2026-01-29,-12.0,-1.34,884.0,,32888,174,913.0,913.0,883.0
2026-01-28,-0.7,-0.08,896.0,,30292,207,900.0,901.0,882.0
2026-01-27,-1.2,-0.13,896.7,,121304,568,882.0,930.0,882.0
2026-01-26,-11.6,-1.28,897.9,,52333,232,920.0,920.0,891.1
2026-01-25,32.0,3.65,909.5,,47040,339,880.0,915.0,880.0
2026-01-22,-1.4,-0.16,877.5,,24594,151,896.4,896.4,870.0
2026-01-21,-2.1,-0.24,878.9,,13880,132,890.0,894.0,871.0
2026-01-20,11.0,1.26,881.0,,25380,224,887.4,895.0,872.0
2026-01-18,19.0,2.23,870.0,,50874,209,851.1,870.0,850.5
2026-01-14,1.7,0.2,851.0,,17338,117,849.0,855.0,847.0
2026-01-13,-1.0,-0.12,849.3,,22760,136,850.3,860.0,845.0
2026-01-12,-1.7,-0.2,850.3,,15632,118,869.0,869.0,850.3
2026-01-08,0.0,0.0,852.0,62.22,7288,95,856.0,859.7,850.5
2026-01-07,-12.0,-1.39,852.0,,14919,146,881.2,881.2,852.0
2026-01-06,4.0,0.47,864.0,75.9,8774,89,877.0,877.0,860.0
2026-01-05,5.0,0.58,860.0,,13193,127,850.0,869.2,850.0
2026-01-04,-4.0,-0.47,855.0,36.08,4212,61,869.0,869.0,852.1
2026-01-01,-6.0,-0.69,859.0,,11725,85,865.0,870.0,848.0
2025-12-31,10.0,1.17,865.0,,13678,87,865.0,870.0,863.0
2025-12-29,-1.0,-0.12,855.0,,22684,151,860.0,870.0,855.0
2025-12-28,12.19,1.44,856.0,,15343,154,860.0,864.9,854.0
2025-12-24,1.0,0.11,886.0,,11897,179,899.0,899.0,885.0
2025-12-23,2.8,0.32,885.0,,14445,150,882.2,885.0,881.0
2025-12-22,-3.9,-0.44,882.2,,17055,141,887.0,890.0,880.0
2025-12-21,-7.9,-0.88,886.1,,11976,180,908.0,908.0,886.0
2025-12-18,-6.0,-0.67,894.0,,14561,177,918.0,918.0,890.2
2025-12-17,-5.0,-0.55,900.0,,18991,219,923.1,923.1,896.0
2025-12-16,38.0,4.38,905.0,,57201,577,884.3,915.0,884.3
2025-12-15,-4.1,-0.47,867.0,47.97,5524,81,870.0,875.0,865.1
2025-12-14,-11.4,-1.29,871.1,,18163,122,882.0,889.1,870.0
2025-12-11,-6.4,-0.72,882.5,,18368,151,882.0,900.0,880.0
2025-12-10,3.9,0.44,888.9,,21640,140,889.5,893.0,879.0
2025-12-09,15.0,1.72,885.0,99.25,11291,109,879.0,887.4,864.0
2025-12-08,-11.2,-1.27,870.0,,12519,138,871.0,880.0,870.0
2025-12-07,-8.8,-0.99,881.2,92.52,10493,101,907.8,907.8,879.3
2025-12-03,10.2,1.16,890.0,,32652,251,885.0,894.0,878.0
2025-12-02,11.5,1.32,879.8,75.57,8586,104,866.0,897.0,866.0
2025-12-01,-3.7,-0.42,868.3,,17233,137,867.2,877.0,867.0
2025-11-30,-10.1,-1.14,872.0,,22713,197,882.5,891.0,870.0
2025-11-27,0.0,0.0,882.1,,26762,170,880.1,898.8,875.4
2025-11-26,-4.9,-0.55,882.1,,27343,166,899.9,903.0,882.0
2025-11-25,6.8,0.77,887.0,82.85,9377,106,890.0,890.0,880.0
2025-11-24,2.2,0.25,880.2,,20797,157,887.9,892.8,880.1
2025-11-23,24.0,2.81,878.0,,27836,203,861.0,892.0,860.0
2025-11-20,-6.9,-0.8,854.0,,19828,166,861.0,862.0,848.0
2025-11-19,-0.1,-0.01,860.9,,19354,94,863.0,868.0,855.0
2025-11-18,3.9,0.46,861.0,,19039,116,860.0,869.9,850.0
2025-11-17,-2.9,-0.34,857.1,50.0,5843,73,858.0,867.0,851.0
2025-11-16,-15.0,-1.71,860.0,,19416,160,875.0,878.0,845.0
2025-11-13,15.0,1.74,875.0,,21701,141,842.8,877.0,842.8
2025-11-12,-18.0,-2.05,860.0,,46302,227,874.0,887.9,823.0
2025-11-11,-12.0,-1.35,878.0,,18223,179,907.8,907.8,872.5
2025-11-10,-10.0,-1.11,890.0,,26236,154,905.0,910.0,887.0
2025-11-09,-19.0,-2.07,900.0,,35827,192,937.3,937.3,896.0
2025-11-06,18.8,2.09,919.0,,52667,301,918.0,954.7,900.0
2025-11-05,-24.7,-2.67,900.2,,24362,181,926.0,926.0,892.0
2025-11-04,14.9,1.64,924.9,,169476,387,891.8,983.0,891.8
2025-11-03,0.0,0.0,910.0,,49209,233,892.0,913.0,891.8
2025-11-02,42.0,4.84,910.0,,189689,365,860.0,910.0,852.0
2025-10-30,25.0,2.97,868.0,,29001,162,840.0,921.0,831.1
2025-10-29,-2.0,-0.24,843.0,,14951,176,847.0,912.9,839.1
2025-10-28,15.0,1.81,845.0,,21556,160,815.0,860.0,815.0
2025-10-26,3.0,0.36,830.0,,17093,138,811.0,830.0,800.2
2025-10-19,3.2,0.39,827.0,49.43,6013,59,820.0,833.0,817.5
2025-10-16,-3.2,-0.39,823.8,,20696,164,827.0,830.0,805.0
2025-10-15,-11.0,-1.31,827.0,,13864,119,854.0,854.0,824.0
2025-10-14,-16.0,-1.87,838.0,,18907,151,856.8,857.0,830.0
2025-10-13,34.0,4.15,854.0,,27248,220,810.0,854.0,803.0
2025-10-12,-44.0,-5.09,820.0,,44601,379,864.0,864.0,810.0
2025-10-09,4.0,0.47,864.0,,26288,201,877.2,925.0,864.0
2025-10-08,-8.1,-0.93,860.0,,23921,214,885.0,899.0,850.0
2025-10-07,-32.9,-3.65,868.1,,36060,304,917.8,917.8,867.0
2025-09-28,-33.9,-3.63,901.0,,16549,146,917.1,929.0,900.1
2025-09-25,1.0,0.11,934.9,,29932,191,920.0,934.9,905.0
2025-09-24,0.9,0.1,933.9,,27970,214,933.0,945.0,915.6
2025-09-23,40.92,4.59,933.0,,51005,340,898.1,934.0,885.0
2025-09-21,4.08,0.46,892.08,,123737,857,870.3,940.0,803.0
2025-09-18,-98.47,-9.98,888.0,26.3,2808,22,1005.0,1005.0,888.0
2025-09-08,-23.84,-2.36,986.47,,28180,256,1018.9,1018.9,982.0
2025-09-07,-2.93,-0.29,1010.31,,22357,188,1012.0,1029.0,1000.0
2025-09-04,1.96,0.19,1013.24,,29890,233,1003.0,1020.0,1002.5
2025-09-03,-11.92,-1.16,1011.28,,24679,258,1035.0,1035.0,1006.0
2025-09-02,-19.67,-1.89,1023.2,,29620,230,1060.0,1060.0,1022.0
2025-09-01,15.49,1.51,1042.87,,50624,269,1042.0,1050.0,1021.5
2025-08-31,-29.11,-2.76,1027.38,,38015,321,1046.6,1055.5,1025.0
2025-08-28,-6.17,-0.58,1056.49,,178031,736,1055.0,1104.0,1042.4
2025-08-27,24.51,2.36,1062.66,,116127,560,1058.9,1070.7,1038.0
2025-08-26,-1.89,-0.18,1038.15,,22195,215,1035.0,1044.0,1030.0
2025-08-25,15.63,1.53,1040.04,,124829,514,1025.0,1055.0,1010.0
2025-08-24,-33.65,-3.18,1024.41,,94909,467,1058.5,1058.5,1021.0
2025-08-21,3.76,0.36,1058.06,,96275,768,1065.0,1068.0,1041.0
2025-08-20,72.86,7.42,1054.3,,187779,1379,982.1,1063.0,982.1
2025-08-19,-9.15,-0.92,981.44,,29524,225,991.0,999.0,977.1
2025-08-18,-0.99,-0.1,990.59,,32323,255,985.1,1005.0,985.1
2025-08-17,10.08,1.03,991.58,,29900,252,996.0,1035.0,982.0
2025-08-14,2.11,0.22,981.5,,36260,220,975.0,997.0,975.0
2025-08-13,-0.29,-0.03,979.39,,28248,235,971.0,999.0,971.0
2025-08-12,-5.59,-0.57,979.68,,30251,281,990.0,993.8,975.3
2025-08-11,-18.22,-1.82,985.27,,51755,377,1006.9,1011.0,974.2
2025-08-07,13.28,1.34,1003.49,,39763,280,997.5,1009.0,991.1
2025-08-06,-8.03,-0.8,990.21,,34597,250,1000.0,1002.0,985.6
2025-08-05,-4.58,-0.46,998.24,,72548,432,1004.0,1028.1,991.0
2025-08-04,2.74,0.27,1002.82,,121056,584,1000.2,1014.0,990.2
2025-08-03,-39.12,-3.76,1000.08,,196799,930,1038.0,1050.0,998.0
2025-07-31,-24.66,-2.32,1039.2,,124905,800,1063.0,1080.0,1030.1
2025-07-30,-33.33,-3.04,1063.86,,133426,786,1109.0,1109.0,1060.6
2025-07-29,-3.65,-0.33,1097.19,,104397,695,1109.0,1120.2,1090.0
2025-07-28,9.98,0.91,1100.84,,183126,992,1072.2,1115.0,1072.2
2025-07-27,-38.87,-3.44,1090.86,,225372,1521,1129.0,1150.0,1065.0
2025-07-24,12.79,1.15,1129.73,,186929,1107,1120.0,1140.0,1100.0
2025-07-23,20.77,1.89,1116.94,,199361,1486,1118.0,1125.0,1065.0
2025-07-22,34.69,3.27,1096.17,,195971,1269,1080.0,1099.9,1073.0
2025-07-21,46.42,4.57,1061.48,,275925,1647,1014.9,1065.0,1001.1
2025-07-20,19.42,1.95,1015.06,,154667,1038,1015.5,1038.0,990.0
2025-07-17,39.62,4.14,995.64,,85971,671,973.0,1009.0,965.0
2025-07-16,-4.43,-0.46,956.02,,50778,321,969.0,970.0,951.0
2025-07-15,11.26,1.19,960.45,,41112,313,946.0,970.0,946.0
2025-07-14,-2.88,-0.3,949.19,,31652,212,965.0,965.0,947.0
2025-07-13,-3.3,-0.35,952.07,,61886,408,974.4,990.0,950.4
2025-07-10,-1.35,-0.14,955.37,,51449,370,960.0,970.0,950.0
2025-07-09,3.2,0.34,956.72,,36088,249,945.0,960.0,945.0
2025-07-08,3.8,0.4,953.52,,63711,332,942.0,965.0,942.0
2025-07-07,8.96,0.95,949.72,,122356,483,935.9,973.0,935.9
2025-07-06,-8.42,-0.89,940.76,,36006,336,968.1,968.1,938.9
2025-07-03,-5.44,-0.57,949.18,,56465,394,973.7,973.7,948.0
2025-07-02,2.42,0.25,954.62,,60583,393,965.0,971.2,947.0
2025-07-01,-0.93,-0.1,952.2,,38944,283,972.1,972.1,950.0
2025-06-30,2.29,0.24,953.13,,73744,331,968.9,979.9,950.0
