DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.0,0.85,474.0,80.84,17142,140,478.0,478.0,469.0
2026-05-07,-4.0,-0.84,470.0,,51185,238,450.3,480.0,450.3
2026-05-06,-1.0,-0.21,474.0,,54070,216,467.0,475.0,467.0
2026-05-05,3.1,0.66,475.0,,30814,201,470.5,479.0,468.0
2026-05-04,-6.6,-1.38,471.9,,21695,225,480.0,480.0,471.0
2026-04-30,-0.6,-0.13,478.5,,38316,200,477.0,484.9,473.0
2026-04-29,-0.9,-0.19,479.1,,21272,180,483.0,483.0,475.0
2026-04-28,0.0,0.0,480.0,,27724,183,480.0,484.0,478.0
2026-04-27,1.0,0.21,480.0,,33315,150,479.0,483.0,476.1
2026-04-24,-3.1,-0.64,479.0,67.41,14082,133,486.9,486.9,475.0
2026-04-23,-2.9,-0.6,482.1,77.71,16085,126,483.0,486.0,482.0
2026-04-22,1.0,0.21,485.0,,33048,276,482.2,489.9,476.0
2026-04-21,-3.0,-0.62,484.0,71.23,14699,170,494.0,494.8,483.0
2026-04-20,-5.0,-1.02,487.0,87.85,18028,215,497.1,497.1,485.0
2026-04-17,0.6,0.12,492.0,,21075,208,501.2,501.2,488.1
2026-04-16,-5.6,-1.13,491.4,,27568,201,502.9,502.9,490.0
2026-04-15,1.6,0.32,497.0,,36272,244,495.1,500.2,492.0
2026-04-13,2.4,0.49,495.4,,29632,193,502.8,502.8,490.3
2026-04-10,-2.0,-0.4,493.0,,62674,187,498.0,503.0,485.0
2026-04-09,5.0,1.02,495.0,,24915,194,490.0,495.0,485.0
2026-04-08,4.1,0.84,490.0,,40232,226,488.5,494.5,479.0
2026-04-07,-0.1,-0.02,485.9,,22499,194,495.5,499.6,483.0
2026-04-06,10.0,2.1,486.0,,62785,384,476.0,497.0,476.0
2026-04-05,-17.8,-3.6,476.0,,57591,515,489.0,489.0,473.0
2026-04-02,0.8,0.16,493.8,,54700,309,495.0,497.0,484.2
2026-04-01,-14.4,-2.84,493.0,,52270,373,499.1,508.7,491.1
2026-03-31,6.4,1.28,507.4,,55860,307,491.1,507.8,491.1
2026-03-30,3.0,0.6,501.0,,96376,506,496.0,513.0,491.8
2026-03-29,-12.5,-2.45,498.0,,128953,605,520.7,520.7,498.0
2026-03-26,-1.4,-0.27,510.5,,56682,316,510.0,510.7,504.1
2026-03-25,-2.1,-0.41,511.9,,51533,326,514.0,515.0,506.1
2026-03-24,3.5,0.69,514.0,,112908,453,510.0,516.0,505.1
2026-03-23,2.5,0.49,510.5,,120244,489,500.0,515.0,500.0
2026-03-22,-1.7,-0.33,508.0,,135827,577,517.0,517.0,507.3
2026-03-19,12.6,2.53,509.7,,110706,560,506.0,515.0,499.1
2026-03-17,0.2,0.04,497.1,,29246,215,499.9,499.9,492.1
2026-03-16,-11.7,-2.3,496.9,,72601,344,508.6,508.6,496.9
2026-03-15,-1.4,-0.27,508.6,,41296,296,500.0,520.0,500.0
2026-03-12,7.0,1.39,510.0,,68795,360,503.0,510.0,500.0
2026-03-11,2.9,0.58,503.0,,117369,586,510.0,518.0,495.0
2026-03-10,-8.9,-1.75,500.1,,154523,911,519.1,525.0,492.0
2026-03-09,29.1,6.06,509.0,,30,3,489.4,509.0,489.4
2026-03-03,10.9,2.32,479.9,,39111,248,478.3,481.0,468.8
2026-03-01,1.0,0.21,469.0,,42208,228,468.0,475.0,463.0
2026-02-26,2.0,0.43,468.0,,29534,170,475.3,475.3,461.1
2026-02-25,3.1,0.67,466.0,,21656,154,460.0,470.0,456.1
2026-02-24,2.0,0.43,462.9,77.12,16692,130,461.0,466.0,460.9
2026-02-23,-1.0,-0.22,460.9,94.76,20552,163,462.0,465.0,458.2
2026-02-22,-5.0,-1.07,461.9,,43181,350,470.0,470.0,457.0
2026-02-17,-3.1,-0.66,466.9,,41946,265,474.0,474.0,464.0
2026-02-16,-7.0,-1.47,470.0,,37653,277,478.0,482.5,467.5
2026-02-12,7.1,1.51,477.0,,62819,366,474.0,480.0,468.2
2026-02-11,1.2,0.26,469.9,,27179,196,478.0,478.0,466.0
2026-02-10,0.7,0.15,468.7,,36142,230,465.5,471.0,464.0
2026-02-09,-2.0,-0.43,468.0,,27960,243,472.0,474.8,466.0
2026-02-08,0.0,0.0,470.0,,25141,212,470.0,476.0,468.1
2026-02-05,3.0,0.64,470.0,,23969,196,466.1,474.0,466.1
2026-02-04,-2.0,-0.43,467.0,78.01,16641,151,460.0,475.0,460.0
2026-02-03,-3.0,-0.64,469.0,,29136,194,474.0,474.9,468.1
2026-02-02,1.9,0.4,472.0,,28526,168,475.9,475.9,470.0
2026-02-01,-3.9,-0.82,470.1,,42161,314,480.0,480.0,469.5
2026-01-29,-0.5,-0.11,474.0,,58347,292,479.0,482.0,471.1
2026-01-28,4.1,0.87,474.5,,55505,272,479.0,479.0,470.0
2026-01-27,-13.5,-2.79,470.4,,75032,392,480.0,487.0,470.0
2026-01-26,-2.1,-0.43,483.9,,59858,347,486.0,490.0,480.0
2026-01-25,12.9,2.73,486.0,,61423,327,475.0,486.0,475.0
2026-01-22,-3.7,-0.78,473.1,,28659,207,476.8,476.8,473.1
2026-01-21,1.4,0.29,476.8,,37350,223,484.9,484.9,473.0
2026-01-20,2.4,0.51,475.4,,50804,287,478.0,480.0,474.2
2026-01-18,3.0,0.64,473.0,,28576,216,470.0,474.9,470.0
