DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,88.8,4.02,2299.0,,18285,239,2210.5,2311.0,2210.0
2026-05-07,10.2,0.46,2210.2,,7554,123,2177.0,2220.0,2177.0
2026-05-06,2.0,0.09,2200.0,,7240,121,2210.0,2229.0,2156.1
2026-05-05,0.6,0.03,2198.0,,20712,301,2192.0,2271.0,2140.0
2026-05-04,-63.5,-2.81,2197.4,,10682,197,2261.1,2262.0,2195.2
2026-04-30,-29.1,-1.27,2260.9,,15008,219,2236.1,2280.0,2222.0
2026-04-29,-23.0,-0.99,2290.0,,9090,169,2318.0,2319.5,2251.0
2026-04-28,-1.5,-0.06,2313.0,,17435,218,2314.5,2349.0,2291.0
2026-04-27,14.5,0.63,2314.5,,11317,167,2300.0,2329.1,2295.0
2026-04-24,-10.0,-0.43,2300.0,,9674,145,2300.0,2320.0,2281.0
2026-04-23,-40.0,-1.7,2310.0,,10482,124,2350.0,2350.0,2298.0
2026-04-22,6.0,0.26,2350.0,,34392,327,2325.0,2350.0,2288.0
2026-04-21,-26.0,-1.1,2344.0,,14892,196,2398.2,2398.9,2328.0
2026-04-20,-10.1,-0.42,2370.0,,12308,209,2370.0,2388.0,2350.0
2026-04-17,-22.9,-0.95,2380.1,,22220,256,2403.0,2417.9,2365.0
2026-04-16,-37.0,-1.52,2403.0,,11684,199,2400.1,2440.0,2400.0
2026-04-15,-30.0,-1.21,2440.0,,18645,236,2480.0,2480.0,2440.0
2026-04-13,20.1,0.82,2470.0,,26743,260,2449.9,2470.0,2405.1
2026-04-10,-19.1,-0.77,2449.9,,34201,277,2518.0,2518.0,2423.0
2026-04-09,30.0,1.23,2469.0,,42053,355,2441.0,2487.0,2419.0
2026-04-08,70.0,2.95,2439.0,,26193,349,2350.0,2439.0,2350.0
2026-04-07,-9.0,-0.38,2369.0,,15814,260,2378.0,2417.0,2332.0
2026-04-06,93.0,4.07,2378.0,,41715,371,2290.0,2395.0,2290.0
2026-04-05,-131.5,-5.44,2285.0,,102194,580,2380.0,2380.0,2280.0
2026-04-02,18.5,0.77,2416.5,,44013,344,2388.0,2430.0,2325.3
2026-04-01,-86.0,-3.46,2398.0,,35370,398,2500.0,2500.0,2394.0
2026-03-31,69.0,2.86,2484.0,,30668,365,2366.7,2495.9,2366.7
2026-03-30,-75.0,-3.01,2415.0,,58040,577,2491.0,2500.0,2415.0
2026-03-29,-100.0,-3.86,2490.0,,36782,529,2561.0,2575.0,2480.0
2026-03-26,16.0,0.62,2590.0,,67386,699,2570.0,2590.0,2540.0
2026-03-25,-21.0,-0.81,2574.0,,35849,321,2566.0,2605.0,2566.0
2026-03-24,-8.0,-0.31,2595.0,,29677,319,2613.9,2614.0,2580.0
2026-03-23,73.0,2.89,2603.0,,42924,407,2530.0,2606.0,2521.5
2026-03-22,0.0,0.0,2530.0,,32428,357,2580.0,2580.0,2515.0
2026-03-19,21.0,0.84,2530.0,,46339,414,2520.0,2538.0,2506.0
2026-03-17,-6.0,-0.24,2509.0,,24310,263,2565.0,2565.0,2500.0
2026-03-16,-33.0,-1.3,2515.0,,36539,302,2539.9,2560.0,2512.0
2026-03-15,-12.0,-0.47,2548.0,,21353,286,2550.0,2590.0,2541.0
2026-03-12,-4.0,-0.16,2560.0,,40682,298,2542.0,2588.0,2542.0
2026-03-11,-60.0,-2.29,2564.0,,52156,406,2615.0,2615.0,2508.8
2026-03-10,-84.0,-3.1,2624.0,,54268,583,2717.0,2717.0,2585.0
2026-03-09,173.1,6.83,2708.0,40.69,1545,19,2585.5,2708.0,2585.5
2026-03-03,15.9,0.63,2534.9,,14747,235,2519.0,2545.0,2500.0
2026-03-01,22.0,0.88,2519.0,,19880,210,2462.3,2519.0,2461.3
2026-02-26,-9.5,-0.38,2497.0,,23085,239,2530.0,2530.0,2486.7
2026-02-25,-24.6,-0.97,2506.5,,25934,337,2531.1,2550.5,2490.0
2026-02-24,-3.9,-0.15,2531.1,,26954,401,2560.0,2570.0,2528.0
2026-02-23,40.0,1.6,2535.0,,75439,719,2492.0,2560.0,2469.0
2026-02-22,-16.0,-0.64,2495.0,,57486,530,2561.0,2561.0,2463.1
2026-02-17,81.0,3.33,2511.0,,123830,1381,2430.0,2560.0,2430.0
2026-02-16,80.0,3.4,2430.0,,60057,638,2397.0,2454.5,2360.0
2026-02-12,40.0,1.73,2350.0,,27477,255,2310.0,2450.0,2310.0
2026-02-11,-30.0,-1.28,2310.0,,22979,225,2379.3,2379.3,2292.0
2026-02-10,-34.0,-1.43,2340.0,,30157,241,2399.9,2399.9,2322.0
2026-02-09,-22.0,-0.92,2374.0,,28926,243,2385.1,2410.0,2350.0
2026-02-08,-29.0,-1.2,2396.0,,34676,266,2400.1,2470.0,2395.0
2026-02-05,56.0,2.36,2425.0,,24116,279,2372.0,2440.0,2372.0
2026-02-04,22.0,0.94,2369.0,,29169,267,2350.0,2407.0,2333.4
2026-02-03,-47.0,-1.96,2347.0,,22496,331,2400.0,2401.1,2331.0
2026-02-02,-11.0,-0.46,2394.0,,17337,266,2410.0,2450.0,2382.0
2026-02-01,-50.0,-2.04,2405.0,,24262,265,2450.0,2451.0,2405.0
2026-01-29,-11.0,-0.45,2455.0,,37692,327,2425.1,2493.0,2425.1
2026-01-28,10.0,0.41,2466.0,,31964,304,2480.0,2499.0,2430.0
2026-01-27,-65.0,-2.58,2456.0,,51262,482,2571.0,2571.0,2455.0
2026-01-26,68.0,2.77,2521.0,,109837,821,2470.0,2545.0,2466.1
2026-01-25,18.0,0.74,2453.0,,36768,385,2395.0,2475.0,2395.0
2026-01-22,-5.0,-0.2,2435.0,,34003,415,2400.1,2450.0,2376.5
2026-01-21,-8.0,-0.33,2440.0,,40813,399,2457.0,2551.7,2430.5
2026-01-20,111.8,4.79,2448.0,,57562,573,2382.0,2456.0,2352.1
2026-01-18,31.2,1.35,2336.2,,32310,290,2305.0,2370.0,2300.0
2026-01-14,-9.0,-0.39,2305.0,,33211,242,2340.0,2354.0,2295.0
2026-01-13,55.0,2.43,2314.0,,33890,362,2265.1,2343.0,2265.1
2026-01-12,15.0,0.67,2259.0,,26741,260,2220.0,2280.0,2220.0
2026-01-08,-0.7,-0.03,2244.0,,12804,142,2235.0,2249.9,2230.0
2026-01-07,4.6,0.21,2244.7,,17168,172,2233.0,2260.0,2233.0
2026-01-06,-6.4,-0.28,2240.1,,19610,208,2265.0,2290.0,2240.1
2026-01-05,16.5,0.74,2246.5,,21715,205,2250.0,2265.0,2223.3
2026-01-04,-13.0,-0.58,2230.0,,10378,124,2227.0,2246.9,2227.0
2026-01-01,-17.0,-0.75,2243.0,,9113,142,2270.0,2279.0,2236.0
2025-12-31,17.0,0.76,2260.0,,24051,195,2207.7,2284.9,2207.7
2025-12-29,-10.0,-0.44,2243.0,,21245,186,2255.0,2284.8,2242.0
2025-12-28,45.1,2.04,2253.0,,18272,230,2211.0,2260.0,2211.0
2025-12-24,13.9,0.63,2207.9,,15468,206,2201.0,2222.0,2196.0
2025-12-23,-26.0,-1.17,2194.0,,33894,300,2233.0,2233.0,2175.0
2025-12-22,-15.0,-0.67,2220.0,,11790,140,2191.0,2233.7,2191.0
2025-12-21,6.0,0.27,2235.0,,23877,210,2220.0,2250.0,2202.2
2025-12-18,-6.0,-0.27,2229.0,,22472,232,2192.0,2366.0,2192.0
2025-12-17,5.0,0.22,2235.0,,16674,200,2201.0,2270.0,2201.0
2025-12-16,15.0,0.68,2230.0,,41845,319,2240.0,2258.9,2190.0
2025-12-15,-25.0,-1.12,2215.0,,43354,375,2239.9,2270.0,2200.0
2025-12-14,-16.9,-0.75,2240.0,,29667,217,2212.0,2278.6,2212.0
2025-12-11,-6.0,-0.27,2256.9,,27500,243,2218.0,2307.0,2218.0
2025-12-10,-16.1,-0.71,2262.9,,19780,163,2246.0,2300.0,2246.0
2025-12-09,-1.0,-0.04,2279.0,,20844,258,2299.0,2299.0,2242.0
2025-12-08,-19.0,-0.83,2280.0,,15949,221,2298.0,2300.0,2271.0
2025-12-07,-56.0,-2.38,2299.0,,22537,290,2350.0,2390.0,2290.0
2025-12-03,-14.0,-0.59,2355.0,,14284,196,2345.0,2374.0,2342.0
2025-12-02,2.0,0.08,2369.0,,15947,202,2350.1,2396.0,2342.0
2025-12-01,-22.0,-0.92,2367.0,,13998,242,2351.0,2433.0,2342.0
2025-11-30,-41.0,-1.69,2389.0,,24511,303,2390.4,2469.0,2370.0
2025-11-27,50.0,2.1,2430.0,,65359,594,2370.1,2459.0,2361.0
2025-11-26,-19.0,-0.79,2380.0,,30121,327,2380.0,2440.0,2364.0
2025-11-25,-6.0,-0.25,2399.0,,23945,279,2361.0,2445.0,2361.0
2025-11-24,108.1,4.71,2405.0,,78345,631,2296.9,2423.0,2296.9
2025-11-23,33.9,1.5,2296.9,,36539,379,2260.0,2320.0,2260.0
2025-11-20,8.1,0.36,2263.0,,14162,164,2242.0,2285.0,2241.0
2025-11-19,-25.1,-1.1,2254.9,,20837,212,2252.0,2310.0,2246.1
2025-11-18,-9.0,-0.39,2280.0,,25589,311,2265.0,2335.0,2265.0
2025-11-17,59.3,2.66,2289.0,,44682,377,2187.0,2289.0,2187.0
2025-11-16,-17.3,-0.77,2229.7,,26822,327,2226.0,2270.5,2195.0
2025-11-13,-15.0,-0.66,2247.0,,37153,403,2216.8,2304.0,2216.8
2025-11-12,-35.0,-1.52,2262.0,,32493,307,2260.0,2397.0,2260.0
2025-11-11,-35.0,-1.5,2297.0,,10765,186,2295.0,2380.0,2295.0
2025-11-10,-3.0,-0.13,2332.0,,17990,231,2293.0,2370.9,2293.0
2025-11-09,-15.1,-0.64,2335.0,,18069,257,2312.0,2389.9,2312.0
2025-11-06,-28.9,-1.21,2350.1,,19687,322,2336.1,2450.0,2336.1
2025-11-05,19.0,0.81,2379.0,,22627,263,2407.0,2407.0,2350.0
2025-11-04,-4.0,-0.17,2360.0,,34940,359,2335.0,2405.0,2335.0
2025-11-03,26.0,1.11,2364.0,,51577,463,2293.0,2380.0,2293.0
2025-11-02,-3.0,-0.13,2338.0,,53428,511,2311.0,2404.0,2308.0
2025-10-30,50.0,2.18,2341.0,,49374,598,2271.0,2380.0,2267.0
2025-10-29,24.0,1.06,2291.0,,78918,831,2241.0,2395.0,2241.0
2025-10-28,119.2,5.55,2267.0,,67943,674,2150.0,2299.0,2111.0
2025-10-26,4.8,0.22,2147.8,,27614,304,2144.0,2148.9,2085.0
2025-10-19,13.0,0.61,2143.0,,42899,395,2091.0,2200.0,2091.0
2025-10-16,-45.0,-2.07,2130.0,,41251,386,2156.0,2262.0,2121.7
2025-10-15,5.0,0.23,2175.0,,39183,506,2141.0,2220.0,2131.0
2025-10-14,1.0,0.05,2170.0,,57892,508,2175.0,2245.0,2133.0
2025-10-13,169.0,8.45,2169.0,,100234,840,2040.0,2179.8,2000.0
2025-10-12,-184.6,-8.45,2000.0,,109749,985,2151.0,2191.9,1990.0
2025-10-09,9.6,0.44,2184.6,,50723,525,2218.5,2297.0,2175.1
2025-10-08,-95.0,-4.19,2175.0,,54883,607,2236.0,2265.0,2156.0
2025-10-07,-86.0,-3.65,2270.0,,31880,355,2360.0,2360.0,2260.0
2025-09-28,14.0,0.6,2356.0,,11957,161,2342.0,2370.0,2320.0
2025-09-25,-31.0,-1.31,2342.0,,24412,265,2326.0,2370.0,2326.0
2025-09-24,-75.0,-3.06,2373.0,,52845,590,2410.0,2449.0,2348.0
2025-09-23,51.17,2.13,2448.0,,31425,338,2348.9,2450.0,2348.9
2025-09-21,151.83,6.76,2396.83,,100655,697,2200.1,2434.0,2200.1
2025-09-18,-235.79,-9.5,2245.0,,17867,123,2431.2,2431.2,2235.0
2025-09-08,-35.84,-1.42,2480.79,,22969,363,2534.0,2534.0,2460.0
2025-09-07,-11.27,-0.45,2516.63,,13160,197,2527.0,2540.0,2511.3
2025-09-04,-4.51,-0.18,2527.9,,18260,275,2532.41,2539.0,2505.5
2025-09-03,-14.19,-0.56,2532.41,,14402,168,2550.0,2552.0,2530.0
2025-09-02,3.78,0.15,2546.6,,15354,216,2542.8,2575.0,2517.1
2025-09-01,20.21,0.8,2542.82,,20069,248,2522.0,2560.0,2501.0
2025-08-31,-61.88,-2.39,2522.61,,44540,537,2610.0,2610.0,2500.0
2025-08-28,-55.91,-2.12,2584.49,,27548,425,2675.0,2675.0,2580.0
2025-08-27,80.8,3.16,2640.4,,27551,342,2600.0,2649.8,2555.0
2025-08-26,16.24,0.64,2559.6,,9661,152,2545.0,2574.0,2545.0
2025-08-25,14.94,0.59,2543.36,,20099,325,2520.0,2568.9,2505.0
2025-08-24,-45.61,-1.77,2528.42,,33789,387,2574.0,2590.0,2500.0
2025-08-21,-15.26,-0.59,2574.03,,11074,279,2566.0,2610.0,2566.0
2025-08-20,-3.89,-0.15,2589.29,,25104,324,2580.0,2614.9,2575.2
