DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.0,2.11,290.0,53.41,18597,104,290.0,290.0,285.0
2026-05-07,0.0,0.0,284.0,25.48,8936,74,281.5,288.9,281.5
2026-05-06,1.0,0.35,284.0,39.47,13889,108,289.9,289.9,280.4
2026-05-05,5.0,1.8,283.0,52.61,18752,112,272.6,286.0,272.3
2026-05-04,-5.0,-1.77,278.0,,38742,165,283.0,285.0,275.0
2026-04-30,-3.0,-1.05,283.0,80.85,28397,135,285.0,288.0,281.0
2026-04-29,-4.5,-1.55,286.0,53.96,18846,107,293.0,293.0,285.0
2026-04-28,-2.6,-0.89,290.5,65.62,22507,121,293.1,300.0,290.0
2026-04-27,1.1,0.38,293.1,84.2,28570,147,277.4,299.7,277.4
2026-04-24,-0.1,-0.03,292.0,64.96,22335,123,285.6,294.0,285.6
2026-04-23,-9.9,-3.28,292.1,71.63,24203,117,302.0,302.0,292.0
2026-04-22,4.0,1.34,302.0,,67286,252,294.0,306.0,290.0
2026-04-21,-10.5,-3.4,298.0,94.05,31151,150,301.0,304.9,296.0
2026-04-20,-7.5,-2.37,308.5,,39549,165,316.0,316.0,307.0
2026-04-17,5.0,1.61,316.0,,121691,482,317.0,317.0,310.1
2026-04-16,4.5,1.47,311.0,,145276,488,302.0,315.0,302.0
2026-04-15,7.5,2.51,306.5,,105983,377,300.1,315.0,300.1
2026-04-13,-1.9,-0.63,299.0,,44381,165,299.9,303.0,298.5
2026-04-10,-3.9,-1.28,300.9,,65944,277,305.0,305.0,295.2
2026-04-09,14.8,5.1,304.8,,73573,310,294.0,305.0,290.9
2026-04-08,3.2,1.12,290.0,88.63,30684,179,292.5,292.5,285.3
2026-04-07,-1.2,-0.42,286.8,,36118,191,293.0,293.6,282.0
2026-04-06,18.0,6.67,288.0,,87431,361,274.8,293.7,270.0
2026-04-05,-15.7,-5.5,270.0,,73771,360,284.0,284.0,265.0
2026-04-02,-4.3,-1.48,285.7,,57241,259,285.1,294.0,282.0
2026-04-01,-13.0,-4.29,290.0,,96989,352,300.2,302.0,287.0
2026-03-31,3.0,1.0,303.0,,61754,323,300.0,305.0,295.0
