DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.9,0.93,424.0,44.6,10538,117,399.1,428.0,399.1
2026-05-07,-3.9,-0.92,420.1,41.53,9785,124,427.0,436.0,420.1
2026-05-06,-12.0,-2.75,424.0,42.4,9849,142,434.0,447.0,424.0
2026-05-05,2.0,0.46,436.0,35.99,8238,125,430.1,442.4,423.1
2026-05-04,-14.0,-3.12,434.0,92.84,21261,239,450.0,450.0,434.0
2026-04-30,-14.0,-3.03,448.0,62.84,13892,176,450.2,460.0,447.1
2026-04-29,-12.8,-2.7,462.0,32.88,7169,126,460.6,470.0,455.0
2026-04-28,-48.4,-9.25,474.8,,47552,537,497.1,497.1,456.0
2026-04-27,68.2,14.99,523.2,80.15,17542,184,455.0,523.2,428.3
2026-04-24,0.1,0.02,455.0,31.22,6964,97,442.0,455.0,442.0
2026-04-23,-0.7,-0.15,454.9,40.52,8957,131,455.0,455.7,450.0
2026-04-22,0.1,0.02,455.6,53.16,11842,161,478.2,478.2,440.3
2026-04-21,-10.8,-2.32,455.5,61.16,13322,204,465.0,465.0,453.3
2026-04-20,-11.4,-2.39,466.3,53.56,11487,141,477.7,477.7,460.0
2026-04-17,1.7,0.36,477.7,50.71,10699,128,474.6,480.0,471.3
2026-04-16,-16.3,-3.31,476.0,44.71,9342,133,485.0,490.0,475.0
2026-04-15,18.9,3.99,492.3,,24197,324,473.0,498.0,471.1
2026-04-13,-0.6,-0.13,473.4,21.47,4563,95,474.0,479.0,468.1
2026-04-10,-7.0,-1.46,474.0,46.93,9914,118,482.9,482.9,472.0
2026-04-09,3.1,0.65,481.0,47.12,9855,137,477.9,482.0,471.5
2026-04-08,5.9,1.25,477.9,43.7,9217,112,466.5,478.0,466.5
2026-04-07,2.0,0.43,472.0,26.74,5660,106,473.2,477.0,468.0
2026-04-06,18.0,3.98,470.0,42.34,9147,131,461.0,470.0,452.1
2026-04-05,-22.0,-4.64,452.0,84.29,18365,253,472.0,472.0,452.0
2026-04-02,-3.0,-0.63,474.0,43.79,9194,133,477.7,480.0,470.0
2026-04-01,-14.0,-2.85,477.0,,35261,177,499.0,499.0,473.0
2026-03-31,5.8,1.2,491.0,85.12,17568,183,483.1,492.7,480.0
2026-03-30,-7.8,-1.58,485.2,53.96,11024,166,486.1,495.0,485.1
2026-03-29,-17.0,-3.33,493.0,71.06,14304,208,512.0,512.0,491.1
2026-03-26,9.9,1.98,510.0,95.16,18872,186,500.2,512.0,496.0
2026-03-25,-8.9,-1.75,500.1,,20229,222,509.0,510.5,499.0
2026-03-24,-2.1,-0.41,509.0,75.41,14787,170,507.0,514.0,506.5
2026-03-23,-7.9,-1.52,511.1,93.78,18426,194,515.0,515.0,500.0
