DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,10.0,0.57,1770.0,69.3,3920,182,1761.0,1775.0,1750.0
2026-05-07,-5.0,-0.28,1760.0,61.24,3489,108,1770.0,1770.0,1750.0
2026-05-06,12.6,0.72,1765.0,40.4,2299,79,1699.9,1770.0,1699.9
2026-05-05,1.4,0.08,1752.4,54.72,3122,111,1750.0,1770.0,1745.0
2026-05-04,-15.0,-0.85,1751.0,72.14,4117,157,1774.0,1774.0,1746.0
2026-04-30,-2.0,-0.11,1766.0,,5856,141,1780.0,1780.0,1746.0
2026-04-29,0.9,0.05,1768.0,,6037,133,1765.0,1769.9,1763.0
2026-04-28,-2.9,-0.16,1767.1,80.6,4559,117,1770.0,1774.0,1760.0
2026-04-27,-2.4,-0.14,1770.0,,6121,124,1772.4,1780.0,1765.0
2026-04-24,-7.6,-0.43,1772.4,,7476,148,1780.0,1785.0,1765.1
2026-04-23,-10.0,-0.56,1780.0,42.72,2402,63,1770.0,1788.0,1770.0
2026-04-22,4.9,0.27,1790.0,88.2,4962,126,1785.0,1793.0,1767.1
2026-04-21,0.1,0.01,1785.1,82.97,4642,79,1799.0,1799.0,1782.0
2026-04-20,-2.0,-0.11,1785.0,85.76,4814,111,1800.0,1800.0,1775.0
2026-04-17,-1.1,-0.06,1787.0,54.24,3036,78,1790.0,1791.0,1781.1
2026-04-16,-10.9,-0.61,1788.1,81.89,4564,107,1805.0,1819.9,1786.5
2026-04-15,3.0,0.17,1799.0,,7193,117,1796.0,1809.0,1791.0
2026-04-13,3.0,0.17,1796.0,,7086,110,1785.0,1802.0,1785.0
2026-04-10,-7.0,-0.39,1793.0,93.41,5200,96,1790.0,1803.9,1783.0
2026-04-09,5.0,0.28,1800.0,,12048,187,1791.0,1800.0,1775.0
2026-04-08,15.1,0.85,1795.0,,6869,148,1815.4,1815.4,1780.2
2026-04-07,-9.9,-0.55,1779.9,96.68,5407,171,1795.0,1812.0,1773.0
2026-04-06,31.8,1.81,1789.8,,9604,249,1758.0,1794.0,1758.0
2026-04-05,-38.0,-2.12,1758.0,,19941,351,1790.0,1790.0,1746.0
2026-04-02,-4.0,-0.22,1796.0,,12383,264,1780.0,1807.0,1750.0
2026-04-01,-24.0,-1.32,1800.0,,17849,387,1824.0,1824.0,1780.0
2026-03-31,-5.0,-0.27,1824.0,,11446,274,1820.0,1826.0,1800.0
2026-03-30,-18.5,-1.0,1829.0,,12689,230,1847.0,1848.0,1827.0
2026-03-29,-32.5,-1.73,1847.5,,13265,271,1880.0,1880.0,1847.5
2026-03-26,10.0,0.53,1880.0,,10619,170,1850.0,1880.0,1850.0
2026-03-25,-18.0,-0.95,1870.0,,11117,213,1895.0,1900.0,1862.0
2026-03-24,15.0,0.8,1888.0,,21020,279,1875.1,1900.0,1860.0
2026-03-23,16.9,0.91,1873.0,,16261,284,1860.0,1873.0,1846.0
2026-03-22,16.1,0.87,1856.1,,22089,327,1826.0,1864.0,1826.0
2026-03-19,15.0,0.82,1840.0,,15716,310,1850.0,1850.0,1822.0
2026-03-17,4.0,0.22,1825.0,95.72,5260,132,1830.0,1830.0,1815.0
2026-03-16,-22.9,-1.24,1821.0,,8471,204,1858.0,1858.0,1820.0
2026-03-15,-0.1,-0.01,1843.9,96.85,5249,169,1850.0,1855.0,1840.0
2026-03-12,11.0,0.6,1844.0,,6032,182,1816.0,1860.0,1801.0
2026-03-11,-35.0,-1.87,1833.0,,12067,262,1869.0,1888.0,1817.0
2026-03-10,-7.7,-0.41,1868.0,,31528,628,1913.0,1913.0,1800.0
2026-03-09,72.7,4.03,1875.7,,50,3,1839.0,1875.7,1839.0
2026-03-03,13.5,0.75,1803.0,,8293,202,1789.6,1805.0,1778.0
2026-03-01,20.5,1.16,1789.5,,10523,190,1760.0,1798.0,1745.0
2026-02-26,14.0,0.8,1769.0,,6296,136,1765.0,1771.5,1758.0
2026-02-25,4.9,0.28,1755.0,98.82,5638,116,1750.0,1755.0,1748.0
2026-02-24,8.6,0.49,1750.1,,8589,128,1742.0,1755.0,1737.0
2026-02-23,0.5,0.03,1741.5,84.74,4859,125,1747.9,1750.0,1740.0
2026-02-22,5.5,0.32,1741.0,,13081,233,1740.0,1755.0,1735.1
2026-02-17,-5.5,-0.32,1735.5,,14124,227,1750.0,1750.0,1735.1
2026-02-16,-15.0,-0.85,1741.0,,6167,167,1760.0,1760.0,1740.0
2026-02-12,4.0,0.23,1756.0,,11388,158,1755.0,1760.0,1755.0
2026-02-11,12.3,0.71,1752.0,,13510,153,1750.0,1755.0,1745.0
2026-02-10,-5.4,-0.31,1739.7,,9987,226,1746.0,1750.0,1739.0
2026-02-09,-14.9,-0.85,1745.1,,7907,236,1757.0,1760.0,1745.1
2026-02-08,2.0,0.11,1760.0,,10344,213,1783.0,1783.0,1755.0
2026-02-05,-1.0,-0.06,1758.0,,6960,201,1760.0,1762.0,1750.0
2026-02-04,1.0,0.06,1759.0,,8537,189,1740.0,1768.0,1740.0
2026-02-03,-7.0,-0.4,1758.0,96.24,5468,153,1775.0,1785.0,1756.0
2026-02-02,0.9,0.05,1765.0,,5866,157,1759.0,1780.0,1759.0
2026-02-01,-8.9,-0.5,1764.1,,5944,180,1773.0,1780.0,1752.0
2026-01-29,-10.0,-0.56,1773.0,,8369,202,1783.0,1783.0,1771.0
2026-01-28,1.0,0.06,1783.0,,10328,169,1797.9,1797.9,1770.0
2026-01-27,-7.0,-0.39,1782.0,,13637,172,1790.0,1798.0,1775.0
2026-01-26,-7.9,-0.44,1789.0,,16632,287,1800.0,1818.1,1780.0
2026-01-25,21.9,1.23,1796.9,,14842,303,1799.9,1800.0,1775.0
2026-01-22,-1.9,-0.11,1775.0,,6255,164,1777.0,1785.0,1770.0
2026-01-21,1.9,0.11,1776.9,99.51,5599,164,1770.0,1800.0,1770.0
2026-01-20,8.9,0.5,1775.0,,10948,231,1800.0,1800.0,1769.3
2026-01-18,-7.9,-0.45,1766.1,,11569,251,1780.0,1785.0,1765.2
2026-01-14,-1.0,-0.06,1774.0,62.51,3522,125,1790.0,1790.0,1770.0
