DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-8.0,-1.17,675.0,7.82,1165,17,672.1,685.0,670.1
2026-05-07,-6.0,-0.87,683.0,3.51,520,16,672.0,690.0,672.0
2026-05-06,-5.0,-0.72,689.0,48.57,7137,40,683.1,689.0,673.5
2026-05-05,-1.0,-0.14,694.0,1.77,260,18,675.1,694.0,675.1
2026-05-04,-4.0,-0.57,695.0,2.3,336,18,681.0,695.0,681.0
2026-04-30,1.1,0.16,699.0,11.06,1620,30,680.2,699.0,680.2
2026-04-29,0.9,0.13,697.9,8.36,1220,34,663.2,703.4,663.2
2026-04-28,-5.2,-0.74,697.0,14.47,2076,44,682.3,714.7,682.3
2026-04-27,14.2,2.06,702.2,,14898,133,660.2,723.0,660.2
2026-04-24,12.9,1.91,688.0,23.28,3413,45,642.0,708.0,642.0
2026-04-23,-8.4,-1.23,675.1,13.41,1970,28,663.0,690.1,663.0
2026-04-22,5.5,0.81,683.5,,17136,64,650.2,699.0,650.2
2026-04-21,-11.1,-1.61,678.0,33.44,4948,41,660.3,691.0,660.3
2026-04-20,-6.0,-0.86,689.1,9.06,1320,45,680.0,700.0,665.0
2026-04-17,-4.9,-0.7,695.1,11.28,1628,54,686.5,710.0,686.5
2026-04-16,-7.0,-0.99,700.0,23.8,3415,68,693.0,714.0,680.0
2026-04-15,-7.0,-0.98,707.0,47.84,6713,100,701.0,743.0,690.0
2026-04-13,14.0,2.0,714.0,47.61,6803,86,687.1,730.0,674.0
2026-04-10,1.0,0.14,700.0,9.92,1421,57,686.0,727.0,683.0
2026-04-09,17.0,2.49,699.0,51.56,7359,84,669.0,725.0,669.0
2026-04-08,14.0,2.1,682.0,63.59,9439,66,655.2,698.0,655.2
2026-04-07,-26.6,-3.83,668.0,38.24,5634,60,681.0,699.5,668.0
2026-04-06,57.6,9.04,694.6,,45662,105,625.3,700.7,625.3
2026-04-05,-53.0,-7.68,637.0,39.2,5945,64,686.0,686.0,637.0
2026-04-02,-7.0,-1.0,690.0,40.45,5915,63,683.9,693.5,664.0
2026-04-01,-1.0,-0.14,697.0,42.47,6180,64,685.0,698.5,660.9
2026-03-31,-7.9,-1.12,698.0,25.15,3580,71,692.6,732.0,692.0
2026-03-30,11.9,1.71,705.9,43.68,6256,98,680.9,705.9,680.9
2026-03-29,-24.0,-3.34,694.0,92.12,13130,62,704.5,717.5,694.0
2026-03-26,15.6,2.22,718.0,47.0,6657,112,689.5,721.0,689.5
2026-03-25,-3.6,-0.51,702.4,42.23,5967,88,695.1,735.0,694.1
2026-03-24,-9.0,-1.26,706.0,77.78,11010,121,702.0,722.2,700.0
2026-03-23,-15.0,-2.05,715.0,47.5,6670,88,715.9,730.0,701.7
2026-03-22,-14.0,-1.88,730.0,84.37,11665,137,730.5,744.0,701.8
2026-03-19,20.2,2.79,744.0,,15714,179,710.0,783.0,700.0
2026-03-17,-14.2,-1.92,723.8,57.04,7904,80,724.8,752.0,700.0
2026-03-16,29.5,4.16,738.0,63.01,8724,109,695.2,745.0,695.2
2026-03-15,-13.5,-1.87,708.5,87.73,12257,103,708.4,749.0,700.0
2026-03-12,4.0,0.56,722.0,32.91,4576,74,704.8,750.0,700.0
2026-03-11,-10.0,-1.37,718.0,77.94,10889,103,714.5,734.4,705.0
2026-03-10,-38.0,-4.96,728.0,,21611,203,780.0,780.0,711.1
2026-03-09,43.0,5.95,766.0,5.09,680,13,737.0,766.0,737.0
2026-03-03,40.0,5.86,723.0,42.7,6212,79,670.1,723.0,668.2
2026-03-01,-2.0,-0.29,683.0,25.17,3742,70,672.0,699.9,663.0
