DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.0,0.88,456.0,30.39,6678,191,452.0,458.0,452.0
2026-05-07,1.1,0.24,452.0,23.56,5216,167,450.9,459.0,447.1
2026-05-06,-2.1,-0.46,450.9,23.47,5213,179,449.2,451.0,449.2
2026-05-05,3.0,0.67,453.0,28.59,6340,210,448.3,453.0,448.2
2026-05-04,-2.6,-0.57,450.0,66.96,14901,269,445.1,453.0,445.1
2026-04-30,-1.4,-0.31,452.6,60.85,13491,222,449.0,455.0,448.2
2026-04-29,-2.1,-0.46,454.0,36.58,8046,249,456.0,456.5,453.0
2026-04-28,-0.9,-0.2,456.1,47.29,10338,323,457.0,461.0,455.0
2026-04-27,-2.0,-0.44,457.0,76.96,16827,292,459.0,465.0,455.0
2026-04-24,2.7,0.59,459.0,49.29,10823,239,450.1,460.0,450.1
2026-04-23,-1.9,-0.41,456.3,45.16,9923,257,455.0,457.8,452.0
2026-04-22,-4.8,-1.04,458.2,90.59,19796,300,460.1,463.0,455.0
2026-04-21,-0.8,-0.17,463.0,46.86,10134,294,461.0,465.0,460.0
2026-04-20,-1.2,-0.26,463.8,43.08,9333,265,465.0,465.0,460.2
2026-04-17,1.0,0.22,465.0,70.03,15161,242,460.0,466.5,460.0
2026-04-16,-3.0,-0.64,464.0,60.76,13096,224,467.0,470.0,463.0
2026-04-15,1.0,0.21,467.0,69.17,14824,405,466.0,470.0,461.2
2026-04-13,-2.5,-0.53,466.0,55.32,11890,260,468.5,468.5,461.1
2026-04-10,-3.5,-0.74,468.5,45.44,9688,210,472.0,475.0,465.0
2026-04-09,5.0,1.07,472.0,69.26,14718,332,467.0,473.0,467.0
2026-04-08,1.0,0.21,467.0,46.19,9911,204,465.0,469.0,457.1
2026-04-07,-2.0,-0.43,466.0,56.79,12120,248,467.0,475.5,465.5
2026-04-06,14.0,3.08,468.0,90.95,19674,353,450.0,468.9,450.0
2026-04-05,-13.1,-2.8,454.0,,48556,480,461.1,463.9,453.0
2026-04-02,-3.4,-0.72,467.1,92.24,19783,295,466.0,470.0,460.0
2026-04-01,-9.4,-1.96,470.5,,33633,353,475.0,480.0,466.0
2026-03-31,5.1,1.07,479.9,,21955,375,472.0,480.0,467.2
2026-03-30,-6.2,-1.29,474.8,,24301,366,490.0,490.0,472.1
2026-03-29,-10.0,-2.04,481.0,,39927,449,492.0,492.0,480.5
2026-03-26,0.7,0.14,491.0,97.11,19843,352,486.0,494.8,486.0
2026-03-25,-7.7,-1.55,490.3,,41452,381,490.0,499.0,490.0
2026-03-24,-2.0,-0.4,498.0,,39060,427,496.0,500.0,491.0
2026-03-23,-2.0,-0.4,500.0,,43211,562,503.0,511.0,496.1
2026-03-22,12.0,2.45,502.0,,73644,866,495.0,502.4,488.0
2026-03-19,11.3,2.36,490.0,,55838,688,475.0,491.9,475.0
2026-03-17,-1.3,-0.27,478.7,57.52,12040,252,475.0,479.9,475.0
2026-03-16,-4.2,-0.87,480.0,,32513,359,481.0,484.9,473.5
2026-03-15,-0.9,-0.19,484.2,,20602,341,481.0,490.0,481.0
2026-03-12,-0.9,-0.19,485.1,95.29,19593,354,480.0,492.0,480.0
2026-03-11,-9.0,-1.82,486.0,,25020,357,495.0,497.3,484.0
2026-03-10,2.2,0.45,495.0,,86553,718,502.0,502.0,483.0
2026-03-09,19.0,4.01,492.8,4.88,1010,6,483.2,492.8,483.2
2026-03-03,4.8,1.02,473.8,74.86,15877,202,470.0,474.9,462.1
2026-03-01,-5.0,-1.05,469.0,96.5,20615,276,470.0,474.5,453.0
2026-02-26,3.0,0.64,474.0,64.23,13648,224,462.1,474.3,462.1
2026-02-25,9.0,1.95,471.0,93.4,19924,293,456.1,472.2,456.1
2026-02-24,7.0,1.54,462.0,84.99,18695,297,455.0,462.0,450.0
2026-02-23,3.0,0.66,455.0,58.85,12983,250,447.0,457.0,447.0
2026-02-22,-4.9,-1.07,452.0,87.87,19375,322,454.0,457.0,450.1
2026-02-17,-3.1,-0.67,456.9,85.66,18647,294,460.0,463.7,456.3
2026-02-16,-4.0,-0.86,460.0,79.31,17216,314,459.2,466.0,459.0
2026-02-12,1.9,0.41,464.0,,27426,404,462.6,467.0,459.2
2026-02-11,-0.4,-0.09,462.1,58.66,12674,273,462.5,469.9,461.9
2026-02-10,-2.6,-0.56,462.5,72.73,15691,313,463.3,466.0,462.2
2026-02-09,-6.7,-1.42,465.1,,31226,341,471.8,471.8,465.0
2026-02-08,-1.2,-0.25,471.8,,21293,444,473.0,478.0,466.2
2026-02-05,3.0,0.64,473.0,97.92,20837,370,468.0,474.0,466.2
2026-02-04,4.8,1.03,470.0,90.56,19319,311,462.0,470.0,462.0
2026-02-03,-3.3,-0.7,465.2,,27227,343,469.2,473.0,465.0
2026-02-02,-3.5,-0.74,468.5,71.8,15315,334,472.0,475.0,465.3
2026-02-01,-2.1,-0.44,472.0,,28836,420,471.6,475.0,468.0
2026-01-29,-3.2,-0.67,474.1,,31671,458,475.0,483.0,472.8
2026-01-28,-2.5,-0.52,477.3,,29616,443,475.0,482.0,475.0
2026-01-27,-6.2,-1.28,479.8,,44867,522,481.0,490.0,477.0
2026-01-26,4.0,0.83,486.0,,62452,591,482.0,493.0,480.2
2026-01-25,6.0,1.26,482.0,,57147,581,476.0,484.0,473.2
2026-01-22,1.4,0.29,476.0,92.28,19471,388,474.0,477.0,470.0
2026-01-21,-5.9,-1.23,474.6,,32863,383,483.0,490.0,474.0
2026-01-20,3.6,0.75,480.5,,59499,603,485.0,486.4,478.0
2026-01-18,2.9,0.61,476.9,,29464,467,472.1,480.0,471.5
2026-01-14,-1.0,-0.21,474.0,,25644,308,475.0,480.0,471.5
2026-01-13,-0.5,-0.11,475.0,,30707,338,471.0,475.0,471.0
2026-01-12,-3.5,-0.73,475.5,,47799,415,471.2,480.0,471.1
2026-01-08,-0.9,-0.19,479.0,,33195,372,472.5,483.0,472.4
2026-01-07,6.0,1.27,479.9,,40390,403,470.1,480.0,468.3
2026-01-06,6.9,1.48,473.9,,42620,453,467.0,476.0,464.0
2026-01-05,2.2,0.47,467.0,,32647,441,464.8,468.0,461.4
2026-01-04,-2.2,-0.47,464.8,,23596,393,470.0,470.0,461.0
2026-01-01,-3.0,-0.64,467.0,,38469,361,473.0,473.0,464.2
2025-12-31,2.1,0.45,470.0,,38232,463,477.2,477.5,468.2
2025-12-29,-5.2,-1.1,467.9,,36302,441,482.5,482.5,466.0
2025-12-28,1.6,0.34,473.1,,69482,619,471.0,480.0,465.2
2025-12-24,-16.5,-3.38,471.5,,67041,543,497.7,497.7,470.0
2025-12-23,-31.0,-5.97,488.0,,103198,740,508.7,508.7,483.0
2025-12-22,3.0,0.58,519.0,,137877,1033,513.5,522.0,512.2
2025-12-21,-3.9,-0.75,516.0,,123345,850,519.9,523.0,513.5
2025-12-18,0.9,0.17,519.9,,104340,1012,520.0,523.0,515.1
2025-12-17,12.0,2.37,519.0,,135518,1311,509.0,526.0,506.0
2025-12-16,6.0,1.2,507.0,,70846,750,500.0,508.6,498.9
2025-12-15,1.9,0.38,501.0,,60873,632,497.0,504.0,497.0
2025-12-14,-0.6,-0.12,499.1,,70636,749,499.7,506.0,498.2
2025-12-11,1.7,0.34,499.7,,70476,706,500.0,506.0,496.0
2025-12-10,8.6,1.76,498.0,,103150,960,499.1,499.1,494.0
2025-12-09,4.4,0.91,489.4,91.81,18826,378,477.5,491.8,477.5
2025-12-08,2.0,0.41,485.0,86.78,17930,375,475.0,487.0,475.0
2025-12-07,-2.1,-0.43,483.0,83.77,17377,325,482.0,485.1,477.2
2025-12-03,-2.7,-0.55,485.1,,21196,314,485.0,491.6,481.5
2025-12-02,-0.2,-0.04,487.8,64.05,13167,228,479.0,490.0,479.0
2025-12-01,0.0,0.0,488.0,,40072,349,487.0,490.0,484.2
2025-11-30,-8.0,-1.61,488.0,,67766,606,488.0,504.0,486.0
2025-11-27,-1.0,-0.2,496.0,,46115,419,497.0,499.0,490.0
2025-11-26,-2.9,-0.58,497.0,,53519,435,504.0,504.0,490.1
2025-11-25,9.9,2.02,499.9,,65992,634,490.0,501.8,484.0
2025-11-24,20.0,4.26,490.0,,74567,803,475.0,493.0,472.0
2025-11-23,9.9,2.15,470.0,,27616,426,460.0,473.0,460.0
2025-11-20,-2.5,-0.54,460.1,49.43,10738,230,459.6,463.0,459.6
2025-11-19,2.6,0.57,462.6,34.31,7449,164,456.0,468.0,456.0
2025-11-18,1.1,0.24,460.0,51.65,11192,209,456.1,468.0,456.1
