DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,35.9,1.8,2035.9,55.05,2724,65,2000.0,2042.9,2000.0
2026-05-07,23.0,1.16,2000.0,87.65,4456,80,1944.2,2000.0,1944.1
2026-05-06,-9.0,-0.45,1977.0,,19360,183,2024.0,2050.0,1950.0
2026-05-05,-112.0,-5.34,1986.0,,10856,178,2200.0,2200.0,1934.0
2026-05-04,-302.0,-12.58,2098.0,,41148,457,2300.0,2300.0,2040.0
2026-04-30,-278.0,-10.38,2400.0,,47404,510,2544.1,2544.1,2276.3
2026-04-29,325.0,13.81,2678.0,,78592,721,2470.6,2678.0,2117.6
2026-04-28,-415.0,-14.99,2353.0,,118337,939,2629.6,3183.0,2352.8
2026-04-27,361.0,15.0,2768.0,,56156,581,2286.7,2768.0,2107.8
2026-04-24,269.8,12.62,2407.0,,60220,397,2100.0,2457.7,1985.0
2026-04-23,180.7,9.24,2137.2,,21099,402,2015.1,2160.0,1960.0
2026-04-22,-166.5,-7.84,1956.5,,54068,524,2050.0,2340.0,1956.5
2026-04-21,274.0,14.82,2123.0,,54300,698,1850.0,2123.0,1793.6
2026-04-20,59.0,3.3,1849.0,,5441,123,1841.9,1955.6,1746.0
2026-04-17,-10.0,-0.56,1790.0,,8141,128,1785.0,1825.7,1745.0
2026-04-16,-49.0,-2.65,1800.0,51.01,2799,77,1815.0,1885.0,1786.3
2026-04-15,26.0,1.43,1849.0,,6202,103,1800.0,1968.4,1800.0
2026-04-13,-46.0,-2.46,1823.0,38.71,2100,57,1831.7,1897.0,1795.0
2026-04-10,60.9,3.37,1869.0,,11053,145,1773.0,1890.0,1772.0
2026-04-09,-31.9,-1.73,1808.1,,8266,118,1805.0,1864.9,1750.0
2026-04-08,34.6,1.92,1840.0,,7009,153,1769.4,1984.4,1769.4
2026-04-07,-6.6,-0.36,1805.4,63.76,3553,94,1812.0,1836.0,1764.0
2026-04-06,163.0,9.88,1812.0,,11030,232,1617.1,1813.9,1616.1
2026-04-05,-156.0,-8.64,1649.0,,11002,218,1768.9,1785.0,1648.4
2026-04-02,-25.7,-1.4,1805.0,,7693,179,1795.3,1840.0,1724.8
2026-04-01,-69.3,-3.65,1830.7,,5662,146,1938.0,1938.0,1794.0
