DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,7.7,0.72,1081.5,61.46,5674,136,1120.0,1120.0,1054.0
2026-05-07,-0.1,-0.01,1073.8,49.18,4614,130,1127.5,1127.5,1055.0
2026-05-06,1.0,0.09,1073.9,51.35,4814,145,1126.5,1126.5,1050.8
2026-05-05,8.9,0.84,1072.9,66.39,6302,195,1020.0,1078.0,1017.0
2026-05-04,-48.1,-4.33,1064.0,78.39,7276,211,1080.0,1122.0,1055.1
2026-04-30,-27.9,-2.45,1112.1,84.2,7509,201,1130.0,1160.0,1112.0
2026-04-29,-54.7,-4.58,1140.0,,16915,293,1254.4,1254.4,1140.0
2026-04-28,4.7,0.39,1194.7,98.4,8399,236,1147.0,1242.3,1147.0
2026-04-27,-2.0,-0.17,1190.0,83.15,6997,188,1192.0,1224.0,1176.8
2026-04-24,-7.0,-0.58,1192.0,74.32,6263,177,1230.0,1271.0,1166.3
2026-04-23,-29.7,-2.42,1199.0,,21482,241,1240.0,1240.0,1188.0
2026-04-22,3.7,0.3,1228.7,,9463,250,1200.0,1229.9,1190.0
2026-04-21,-1.0,-0.08,1225.0,61.44,5034,185,1221.0,1230.0,1218.0
2026-04-20,-8.9,-0.72,1226.0,36.6,2973,138,1270.0,1309.0,1210.3
2026-04-17,4.9,0.4,1234.9,91.27,7466,179,1254.6,1279.0,1210.0
2026-04-16,-60.0,-4.65,1230.0,,30070,281,1270.0,1280.0,1227.0
2026-04-15,1.0,0.08,1290.0,95.31,7383,184,1281.0,1305.0,1281.0
2026-04-13,-23.8,-1.81,1289.0,,10445,198,1338.9,1365.5,1275.0
2026-04-10,-10.2,-0.77,1312.8,,8282,189,1339.0,1339.0,1277.0
2026-04-09,29.1,2.25,1323.0,,13120,245,1299.0,1325.0,1280.1
2026-04-08,48.9,3.93,1293.9,,9987,204,1250.0,1293.9,1241.0
2026-04-07,3.0,0.24,1245.0,,9664,230,1260.0,1284.0,1221.0
2026-04-06,46.0,3.85,1242.0,,19064,287,1172.1,1250.0,1172.1
2026-04-05,-119.2,-9.06,1196.0,,25520,460,1341.5,1341.5,1196.0
2026-04-02,-35.8,-2.65,1315.2,,9505,234,1324.0,1350.0,1311.0
2026-04-01,-1.0,-0.07,1351.0,,23261,358,1369.0,1369.0,1291.0
2026-03-31,5.0,0.37,1352.0,,11785,229,1347.0,1360.0,1330.0
2026-03-30,-21.0,-1.54,1347.0,,9679,258,1385.0,1385.0,1330.0
