DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,13.0,0.89,1470.0,24.88,1694,20,1457.0,1487.9,1457.0
2026-05-07,3.7,0.25,1457.0,7.25,495,20,1453.3,1484.8,1453.1
2026-05-06,-38.7,-2.59,1453.3,8.47,580,22,1462.0,1463.0,1453.3
2026-05-05,32.0,2.19,1492.0,8.36,572,36,1431.1,1503.0,1431.1
2026-05-04,-30.0,-2.01,1460.0,16.79,1148,40,1515.0,1515.0,1455.0
2026-04-30,10.0,0.68,1490.0,9.5,643,30,1480.0,1497.0,1455.3
2026-04-29,-15.0,-1.0,1480.0,14.66,994,45,1495.0,1519.8,1467.3
2026-04-28,-2.0,-0.13,1495.0,47.13,3194,82,1497.0,1523.9,1460.0
2026-04-27,5.0,0.34,1497.0,16.6,1102,45,1492.0,1536.0,1495.0
2026-04-24,-26.0,-1.71,1492.0,,6797,78,1518.0,1525.0,1455.0
2026-04-23,-22.0,-1.43,1518.0,8.29,545,23,1540.0,1540.0,1518.0
2026-04-22,-5.0,-0.32,1540.0,42.73,2805,46,1545.0,1545.0,1508.0
2026-04-21,-11.8,-0.76,1545.0,62.53,4088,84,1634.0,1634.0,1500.1
2026-04-20,6.8,0.44,1556.8,15.1,979,46,1627.5,1627.5,1531.4
2026-04-17,-8.0,-0.51,1550.0,23.81,1530,52,1526.9,1632.0,1526.9
2026-04-16,-12.0,-0.76,1558.0,48.86,3176,79,1574.0,1600.0,1530.0
2026-04-15,7.0,0.45,1570.0,7.99,511,49,1531.8,1574.0,1531.8
2026-04-13,-7.0,-0.45,1563.0,2.76,178,14,1552.0,1565.0,1551.0
2026-04-10,1.0,0.06,1570.0,18.01,1149,40,1600.0,1600.0,1538.0
2026-04-09,11.0,0.71,1569.0,17.63,1134,37,1585.0,1585.0,1534.1
2026-04-08,18.0,1.17,1558.0,26.58,1723,48,1551.0,1565.0,1536.1
2026-04-07,-28.0,-1.79,1540.0,38.82,2511,46,1552.0,1574.8,1540.0
2026-04-06,37.9,2.48,1568.0,21.13,1357,46,1540.0,1574.9,1540.0
2026-04-05,-59.9,-3.77,1530.1,,6571,78,1560.0,1598.0,1530.0
2026-04-02,0.0,0.0,1590.0,49.81,3144,75,1558.3,1600.0,1558.3
2026-04-01,-30.0,-1.85,1590.0,97.2,6102,115,1595.2,1649.0,1568.9
2026-03-31,-10.0,-0.61,1620.0,89.45,5571,90,1600.0,1690.0,1598.0
2026-03-30,-120.0,-6.86,1630.0,54.29,3331,98,1715.0,1715.0,1620.2
2026-03-29,116.0,7.1,1750.0,90.14,5491,153,1609.1,1768.4,1607.1
2026-03-26,-10.9,-0.66,1634.0,24.5,1512,62,1612.1,1634.0,1612.1
2026-03-25,-3.1,-0.19,1644.9,43.54,2662,64,1615.1,1650.0,1615.1
2026-03-24,3.0,0.18,1648.0,11.25,687,48,1612.1,1650.0,1612.1
2026-03-23,-4.0,-0.24,1645.0,55.47,3389,104,1681.0,1681.0,1613.0
2026-03-22,44.0,2.74,1649.0,,7476,199,1637.0,1650.0,1606.5
2026-03-19,5.0,0.31,1605.0,34.88,2186,75,1581.0,1606.0,1581.0
2026-03-17,-4.0,-0.25,1600.0,19.82,1244,44,1604.0,1607.5,1580.0
2026-03-16,-6.0,-0.37,1604.0,,6977,60,1600.0,1620.0,1580.0
2026-03-15,2.0,0.12,1610.0,30.62,1910,53,1640.0,1640.0,1591.1
2026-03-12,8.0,0.5,1608.0,,19632,90,1632.0,1632.0,1580.4
2026-03-11,-9.9,-0.61,1600.0,50.32,3136,83,1590.0,1615.0,1586.0
2026-03-10,-51.1,-3.08,1609.9,91.05,5686,120,1661.0,1665.0,1580.0
2026-03-09,64.0,4.01,1661.0,,40,3,1628.9,1661.0,1628.9
2026-03-03,24.0,1.53,1597.0,10.12,638,31,1573.0,1599.0,1560.0
2026-03-01,23.0,1.48,1573.0,68.49,4365,68,1543.1,1577.8,1543.1
2026-02-26,-30.0,-1.9,1550.0,40.1,2565,46,1555.0,1589.0,1549.0
2026-02-25,28.9,1.86,1580.0,95.62,6059,89,1528.0,1588.9,1528.0
2026-02-24,-12.9,-0.82,1551.1,24.7,1587,63,1550.0,1581.0,1540.0
2026-02-23,0.0,0.0,1564.0,26.76,1723,54,1532.8,1589.0,1532.8
2026-02-22,22.0,1.43,1564.0,44.02,2827,88,1572.0,1599.5,1540.0
2026-02-17,22.0,1.45,1542.0,,18915,255,1501.0,1616.5,1501.0
2026-02-16,-18.0,-1.17,1520.0,42.96,2834,54,1520.0,1540.0,1507.6
2026-02-12,-7.0,-0.45,1538.0,31.97,2093,67,1530.0,1560.0,1516.1
2026-02-11,16.2,1.06,1545.0,45.35,2968,91,1525.0,1570.8,1499.4
2026-02-10,-31.2,-2.0,1528.8,55.25,3596,66,1535.0,1573.0,1528.8
2026-02-09,-24.0,-1.52,1560.0,58.13,3750,87,1553.1,1584.0,1522.0
2026-02-08,-2.0,-0.13,1584.0,88.89,5648,117,1555.1,1600.0,1540.0
2026-02-05,1.0,0.06,1586.0,,8529,133,1554.0,1597.0,1530.0
2026-02-04,5.0,0.32,1585.0,97.49,6265,135,1548.4,1605.0,1518.0
2026-02-03,18.0,1.15,1580.0,,6654,128,1530.8,1624.0,1530.8
2026-02-02,-16.0,-1.01,1562.0,,16002,58,1560.0,1599.0,1560.0
2026-02-01,-2.0,-0.13,1578.0,25.91,1645,54,1549.0,1608.0,1549.0
2026-01-29,-26.0,-1.62,1580.0,,19937,119,1573.9,1647.0,1561.0
2026-01-28,41.0,2.62,1606.0,72.21,4563,95,1549.0,1606.0,1549.0
2026-01-27,-15.0,-0.95,1565.0,47.09,2998,77,1570.0,1590.0,1565.0
2026-01-26,-20.0,-1.25,1580.0,49.79,3152,69,1599.0,1599.0,1577.1
2026-01-25,26.1,1.66,1600.0,,9507,145,1573.9,1611.0,1567.0
2026-01-22,32.9,2.13,1573.9,,7271,113,1530.0,1575.0,1530.0
2026-01-21,-39.0,-2.47,1541.0,47.63,3083,96,1582.0,1582.0,1535.0
2026-01-20,15.1,0.96,1580.0,36.86,2361,76,1536.2,1584.0,1536.2
2026-01-18,37.9,2.48,1564.9,57.71,3718,136,1506.0,1615.0,1506.0
2026-01-14,16.7,1.11,1527.0,20.45,1351,50,1511.0,1528.0,1505.0
2026-01-13,-34.7,-2.25,1510.3,14.1,930,39,1515.0,1535.0,1505.2
2026-01-12,17.1,1.12,1545.0,30.83,2032,61,1513.1,1545.0,1513.0
2026-01-08,12.9,0.85,1527.9,16.51,1089,52,1510.5,1530.0,1510.5
2026-01-07,-7.0,-0.46,1515.0,34.08,2242,64,1530.0,1530.3,1515.0
2026-01-06,-18.0,-1.17,1522.0,28.46,1860,72,1526.0,1549.9,1520.0
