DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.4,2.67,207.5,,69121,215,205.0,210.0,202.0
2026-05-07,0.1,0.05,202.1,50.16,24706,141,204.9,204.9,200.8
2026-05-06,0.0,0.0,202.0,65.1,32176,129,200.1,204.9,199.5
2026-05-05,0.0,0.0,202.0,56.7,28050,138,202.0,203.2,200.0
2026-05-04,-2.5,-1.22,202.0,99.55,49497,167,204.5,206.9,200.1
2026-04-30,0.5,0.25,204.5,,66969,172,204.0,205.0,200.0
2026-04-29,-2.9,-1.4,204.0,,82139,264,204.1,206.0,202.0
2026-04-28,-2.0,-0.96,206.9,71.07,34486,169,208.9,211.0,205.1
2026-04-27,0.9,0.43,208.9,,50472,162,208.0,214.6,205.0
2026-04-24,1.0,0.48,208.0,,79575,209,217.0,217.0,203.5
2026-04-23,-4.9,-2.31,207.0,,50740,142,207.2,209.0,205.0
2026-04-22,2.1,1.0,211.9,,61566,199,210.0,211.9,200.0
2026-04-21,2.1,1.01,209.8,,66975,215,207.7,209.9,205.0
2026-04-20,-3.0,-1.42,207.7,68.29,32853,159,201.0,212.1,201.0
2026-04-17,-0.3,-0.14,210.7,,53243,205,211.0,211.0,207.6
2026-04-16,-4.0,-1.86,211.0,,168081,210,219.3,219.3,211.0
2026-04-15,4.8,2.28,215.0,,108348,347,210.0,217.5,210.0
2026-04-13,-0.8,-0.38,210.2,,55757,187,211.0,212.0,209.0
2026-04-10,-3.4,-1.59,211.0,,89925,215,211.0,214.9,210.0
2026-04-09,3.5,1.66,214.4,,75128,288,208.0,215.0,207.6
2026-04-08,2.9,1.39,210.9,,49628,226,210.0,211.9,206.2
2026-04-07,2.0,0.97,208.0,,173134,367,209.5,210.0,205.4
2026-04-06,6.0,3.0,206.0,,113461,368,197.2,209.9,197.2
2026-04-05,-8.0,-3.85,200.0,,177037,541,207.0,208.0,198.0
2026-04-02,-4.0,-1.89,208.0,,116287,394,208.1,212.8,204.4
2026-04-01,-3.1,-1.44,212.0,,92903,370,210.8,219.0,208.0
2026-03-31,-5.9,-2.67,215.1,,151899,514,216.6,226.4,212.3
2026-03-30,0.0,0.0,221.0,,164835,499,218.0,221.8,212.0
2026-03-29,-8.0,-3.49,221.0,,184043,514,233.5,233.5,218.8
2026-03-26,2.3,1.01,229.0,,165271,372,227.0,229.8,222.5
2026-03-25,-5.8,-2.49,226.7,,184044,455,235.0,235.0,225.4
2026-03-24,0.5,0.22,232.5,,320130,572,227.4,236.5,227.0
2026-03-23,-3.0,-1.28,232.0,,451007,745,230.3,238.0,227.0
2026-03-22,8.0,3.52,235.0,,399699,1220,230.0,238.6,228.0
2026-03-19,12.5,5.83,227.0,,622383,1441,210.3,231.0,210.3
2026-03-17,4.5,2.14,214.5,,121742,301,205.8,214.5,205.8
2026-03-16,-5.5,-2.55,210.0,,177258,398,219.8,219.8,208.5
2026-03-15,-1.2,-0.55,215.5,,211717,474,219.0,221.9,214.5
2026-03-12,5.6,2.65,216.7,,293827,689,207.0,220.3,205.0
2026-03-11,-0.9,-0.42,211.1,,117836,424,212.0,214.8,206.1
2026-03-10,-3.3,-1.53,212.0,,214007,790,219.0,219.0,200.0
2026-03-09,16.3,8.19,215.3,13.15,6371,17,202.9,215.3,202.9
2026-03-03,5.7,2.95,199.0,,122507,398,189.5,200.0,189.5
2026-03-01,0.5,0.26,193.3,65.09,34012,194,189.0,193.5,187.2
2026-02-26,3.2,1.69,192.8,88.11,46147,124,193.3,193.3,187.0
2026-02-25,1.6,0.85,189.6,38.41,20314,80,189.0,189.9,188.3
2026-02-24,-0.7,-0.37,188.0,21.26,11318,70,188.0,188.9,187.0
2026-02-23,1.6,0.86,188.7,65.14,34823,129,187.0,188.7,186.0
2026-02-22,-1.0,-0.53,187.1,83.71,44768,171,187.3,189.0,186.0
2026-02-17,-0.5,-0.27,188.1,69.4,36738,152,185.0,192.0,185.0
2026-02-16,-2.4,-1.26,188.6,59.58,31457,176,190.0,191.0,188.6
2026-02-12,0.0,0.0,191.0,54.48,28582,143,193.0,193.0,189.0
2026-02-11,-0.8,-0.42,191.0,,56844,156,195.6,195.6,190.0
2026-02-10,1.8,0.95,191.8,99.17,52298,200,188.2,192.0,188.1
