DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,17.8,3.06,599.0,89.42,15050,302,584.0,600.0,579.0
2026-05-07,-3.8,-0.65,581.2,39.99,6882,187,579.5,587.0,576.0
2026-05-06,-3.0,-0.51,585.0,58.69,9997,209,585.0,600.0,580.0
2026-05-05,2.0,0.34,588.0,90.64,15537,349,586.0,595.0,576.0
2026-05-04,-13.3,-2.22,586.0,71.1,12005,283,598.7,602.5,586.0
2026-04-30,-4.7,-0.78,599.3,,20350,352,634.2,634.2,594.0
2026-04-29,-6.0,-0.98,604.0,,17665,420,600.0,618.0,595.0
2026-04-28,-8.5,-1.37,610.0,,18721,496,618.5,622.0,605.0
2026-04-27,-1.5,-0.24,618.5,79.73,12859,406,638.6,638.6,615.0
2026-04-24,0.5,0.08,620.0,,20088,366,618.0,620.0,601.2
2026-04-23,-11.5,-1.82,619.5,,17531,361,631.0,639.9,618.0
2026-04-22,-9.0,-1.41,631.0,,26039,493,625.1,643.7,615.0
2026-04-21,-8.9,-1.37,640.0,,15599,391,681.3,681.3,635.0
2026-04-20,13.9,2.19,648.9,,26725,559,654.0,654.0,620.0
2026-04-17,0.0,0.0,635.0,90.63,14201,407,622.3,647.0,622.3
2026-04-16,-19.0,-2.91,635.0,,24253,429,645.0,653.0,633.2
2026-04-15,7.0,1.08,654.0,,29123,581,655.8,658.0,640.0
2026-04-13,-9.0,-1.37,647.0,,28521,460,650.0,659.9,640.0
2026-04-10,-13.0,-1.94,656.0,,32500,500,680.0,680.0,646.0
2026-04-09,14.0,2.14,669.0,,45194,582,665.0,678.3,655.0
2026-04-08,41.0,6.68,655.0,,52691,634,626.0,657.9,615.0
2026-04-07,-6.0,-0.97,614.0,,16836,336,625.0,642.0,611.4
2026-04-06,22.0,3.68,620.0,,34959,523,592.0,634.0,588.0
2026-04-05,-61.9,-9.38,598.0,,40562,675,659.9,660.0,594.0
2026-04-02,-1.1,-0.17,659.9,,29697,511,647.8,675.0,647.8
2026-04-01,-34.0,-4.89,661.0,,22369,459,695.0,695.0,653.1
2026-03-31,1.0,0.14,695.0,,29377,535,690.0,703.8,671.3
2026-03-30,-14.0,-1.98,694.0,,44493,657,705.0,711.0,689.0
2026-03-29,-24.9,-3.4,708.0,,36728,617,747.4,747.4,703.0
2026-03-26,17.9,2.5,732.9,,63123,893,715.0,734.0,715.0
2026-03-25,10.0,1.42,715.0,,46970,766,705.0,727.0,698.0
2026-03-24,3.0,0.43,705.0,,28442,554,703.0,707.7,698.0
2026-03-23,-5.0,-0.71,702.0,,40522,663,705.0,719.0,693.0
2026-03-22,1.9,0.27,707.0,,41639,723,705.1,716.0,701.0
2026-03-19,1.1,0.16,705.1,,57051,922,705.0,717.2,698.1
2026-03-17,-6.0,-0.85,704.0,,52110,731,711.0,711.0,695.0
2026-03-16,-19.0,-2.61,710.0,,64393,824,723.0,725.0,704.1
2026-03-15,-81.0,-10.0,729.0,,144193,1341,810.0,810.0,729.0
2026-03-12,70.0,9.46,810.0,,136276,1050,745.0,813.0,718.1
2026-03-11,-28.0,-3.65,740.0,,70389,635,768.0,788.0,735.3
2026-03-10,-27.9,-3.51,768.0,,94315,881,800.0,810.0,750.0
2026-03-09,60.0,8.15,795.9,10.41,1360,23,750.6,795.9,750.6
2026-03-03,10.9,1.5,735.9,,50814,408,724.0,740.0,717.1
2026-03-01,-4.0,-0.55,725.0,,29714,389,714.5,730.0,687.0
2026-02-26,-1.0,-0.14,729.0,,30786,404,744.6,744.6,710.0
2026-02-25,11.0,1.53,730.0,,35376,537,719.0,730.0,696.0
2026-02-24,39.0,5.74,719.0,,34247,588,690.0,719.0,673.1
2026-02-23,-3.0,-0.44,680.0,,36742,521,680.0,693.0,665.0
2026-02-22,-37.0,-5.14,683.0,,30816,647,720.0,729.0,680.0
2026-02-17,-9.0,-1.23,720.0,,34915,553,743.5,743.5,698.0
2026-02-16,8.0,1.11,729.0,,29374,704,721.0,740.0,712.0
2026-02-12,-21.0,-2.83,721.0,,47798,657,727.3,739.5,720.0
2026-02-11,0.0,0.0,742.0,,21483,488,756.8,770.0,722.0
2026-02-10,12.0,1.64,742.0,,35517,816,716.0,755.0,716.0
2026-02-09,-20.0,-2.67,730.0,,43473,756,735.0,753.0,715.0
2026-02-08,-8.0,-1.06,750.0,,56122,988,745.0,770.0,740.8
2026-02-05,-2.0,-0.26,758.0,,49424,886,744.8,774.7,744.8
2026-02-04,-29.0,-3.68,760.0,,65853,1098,789.1,790.0,755.1
2026-02-03,-27.0,-3.31,789.0,,210982,2245,820.0,877.0,784.0
2026-02-02,55.1,7.24,816.0,,104728,1800,761.0,820.0,761.0
2026-02-01,-2.1,-0.28,760.9,,74101,1660,747.8,777.0,721.0
2026-01-29,-79.0,-9.38,763.0,,128908,1863,825.2,840.0,760.0
2026-01-28,-9.0,-1.06,842.0,,144499,2126,834.0,918.9,794.0
2026-01-27,66.0,8.41,851.0,,141936,2175,790.0,860.0,775.0
2026-01-26,45.1,6.1,785.0,,169437,1936,739.0,813.8,717.0
2026-01-25,50.0,7.25,739.9,,130833,1531,689.0,753.0,689.0
2026-01-22,30.9,4.69,689.9,,118951,1446,652.0,700.0,652.0
2026-01-21,-6.0,-0.9,659.0,,58017,887,652.0,678.0,652.0
2026-01-20,-4.0,-0.6,665.0,,81375,1146,670.0,680.3,662.0
2026-01-18,21.0,3.24,669.0,,110938,1374,645.0,670.1,641.0
2026-01-14,-8.0,-1.22,648.0,,45157,901,650.0,679.0,642.0
2026-01-13,-7.0,-1.06,656.0,,106947,1187,650.0,679.8,650.0
2026-01-12,13.2,2.03,663.0,,135533,1681,662.0,673.2,639.1
2026-01-08,22.8,3.64,649.8,,85496,1381,615.0,650.0,611.1
2026-01-07,-27.0,-4.13,627.0,,98577,1485,642.0,664.0,620.0
2026-01-06,-12.0,-1.8,654.0,,133901,2018,675.0,708.0,642.1
2026-01-05,58.0,9.54,666.0,,194735,2493,620.0,666.0,605.0
2026-01-04,23.1,3.95,608.0,,108114,1865,584.0,608.0,575.1
2026-01-01,13.9,2.43,584.9,,73078,1245,568.0,589.9,560.0
2025-12-31,9.0,1.6,571.0,,56574,1140,570.0,576.0,556.0
2025-12-29,-5.6,-0.99,562.0,,38260,859,567.6,576.0,555.0
2025-12-28,13.6,2.45,567.6,,42156,1277,547.0,570.0,547.0
2025-12-24,-1.0,-0.18,554.0,,20131,762,555.0,577.0,550.0
2025-12-23,0.1,0.02,555.0,,27206,1050,555.0,565.0,546.2
2025-12-22,-4.3,-0.77,554.9,,37623,1289,559.0,567.9,547.0
2025-12-21,-13.3,-2.32,559.2,,34872,1130,572.0,573.9,556.0
2025-12-18,-4.5,-0.78,572.5,,38804,1175,565.5,585.0,565.5
2025-12-17,-10.0,-1.7,577.0,,34031,991,585.1,594.9,576.5
2025-12-16,8.1,1.4,587.0,,37183,1186,575.0,599.0,575.0
2025-12-15,6.9,1.21,578.9,,33111,1127,573.1,579.0,566.0
2025-12-14,-13.0,-2.22,572.0,,38705,1274,583.0,590.0,570.0
2025-12-11,-1.0,-0.17,585.0,,40600,1313,585.0,599.0,580.0
2025-12-10,-14.0,-2.33,586.0,,59011,1612,591.1,607.0,584.0
2025-12-09,12.0,2.04,600.0,,54340,1476,576.3,609.9,576.3
2025-12-08,-2.0,-0.34,588.0,,53314,1661,586.0,600.0,580.2
2025-12-07,-32.3,-5.19,590.0,,76902,1890,630.0,630.0,587.3
2025-12-03,17.3,2.86,622.3,,105304,1935,607.0,640.0,605.2
2025-12-02,35.7,6.27,605.0,,101883,2196,578.0,617.0,561.1
2025-12-01,5.3,0.94,569.3,,29522,1453,561.0,572.3,553.1
2025-11-30,-10.0,-1.74,564.0,,53028,1838,566.2,579.0,560.0
2025-11-27,3.0,0.53,574.0,,50931,1906,571.0,583.0,566.1
2025-11-26,-20.0,-3.38,571.0,,59458,2401,591.0,595.0,571.0
2025-11-25,38.0,6.87,591.0,,62170,3126,550.0,591.0,548.1
2025-11-24,-3.0,-0.54,553.0,,60367,2061,556.0,568.0,551.0
2025-11-23,-10.0,-1.77,556.0,,66360,2849,555.0,572.0,555.0
2025-11-20,-29.2,-4.91,566.0,,93546,2896,600.0,619.0,561.0
2025-11-19,54.1,10.0,595.2,,122135,3273,551.9,595.2,537.0
2025-11-18,2.1,0.39,541.1,,44476,2177,545.8,555.0,538.1
2025-11-17,15.0,2.86,539.0,,60615,3723,534.4,554.0,510.0
2025-11-16,-34.0,-6.09,524.0,,55621,3481,558.0,558.0,523.0
2025-11-13,35.9,6.88,558.0,,56540,5389,520.0,574.0,502.0
2025-11-12,-49.9,-8.72,522.1,,123835,12298,580.0,580.0,520.0
2025-11-11,36.8,6.88,572.0,,149771,14938,545.8,588.7,545.8
2025-11-10,48.6,9.99,535.2,17.54,3280,328,491.2,535.2,491.2
2025-11-09,44.2,9.99,486.6,4.7,970,97,451.0,486.6,451.0
2025-11-06,40.2,10.0,442.4,2.01,460,46,402.2,442.4,402.2
