DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.0,1.37,297.0,12.63,4291,29,307.6,307.6,292.0
2026-05-07,0.0,0.0,293.0,12.52,4296,27,293.0,295.0,290.0
2026-05-06,0.7,0.24,293.0,10.11,3455,35,306.9,306.9,291.5
2026-05-05,-2.7,-0.92,292.3,9.73,3292,27,299.0,299.2,292.2
2026-05-04,-5.0,-1.67,295.0,11.48,3913,41,304.0,304.0,291.0
2026-04-30,1.0,0.33,300.0,11.73,3969,36,298.0,300.0,293.0
2026-04-29,-2.0,-0.66,299.0,13.15,4401,29,301.0,301.0,296.3
2026-04-28,-3.0,-0.99,301.0,26.29,8736,30,304.0,306.0,300.0
2026-04-27,3.9,1.3,304.0,13.18,4346,43,300.1,309.0,300.0
2026-04-24,-6.9,-2.25,300.1,17.23,5726,43,307.0,305.5,298.0
2026-04-23,2.0,0.66,307.0,10.47,3460,29,305.0,312.9,301.6
2026-04-22,-4.0,-1.29,305.0,46.4,15241,73,300.3,314.9,299.9
2026-04-21,3.6,1.18,309.0,42.25,13728,102,320.0,320.0,292.0
2026-04-20,-7.6,-2.43,305.4,26.55,8593,56,317.0,317.0,305.4
2026-04-17,5.0,1.62,313.0,15.92,5154,46,305.0,313.0,303.5
2026-04-16,-11.5,-3.6,308.0,37.5,12130,81,313.2,318.0,307.0
2026-04-15,5.6,1.78,319.5,37.21,11717,70,319.0,321.0,307.7
2026-04-13,-0.1,-0.03,313.9,24.46,7867,56,308.0,314.0,308.0
2026-04-10,-3.0,-0.95,314.0,29.3,9455,83,312.0,323.0,306.0
2026-04-09,4.5,1.44,317.0,21.16,6703,54,307.3,317.9,307.3
2026-04-08,5.5,1.79,312.5,51.64,16672,53,313.0,313.0,302.0
2026-04-07,-3.0,-0.97,307.0,27.97,8999,70,316.0,316.0,304.1
2026-04-06,21.0,7.27,310.0,49.63,16564,99,289.0,312.9,289.0
2026-04-05,-18.0,-5.86,289.0,51.05,17225,136,304.29,306.0,288.0
2026-04-02,-3.0,-0.97,307.0,50.41,16428,102,305.0,312.1,300.2
2026-04-01,-10.3,-3.22,310.0,56.83,18173,121,325.9,325.9,308.0
2026-03-31,3.3,1.04,320.3,51.79,16322,102,316.0,328.0,310.7
2026-03-30,-9.5,-2.91,317.0,61.27,19105,109,325.0,331.0,313.1
2026-03-29,-13.5,-3.97,326.5,96.17,29197,132,342.0,344.0,321.1
2026-03-26,3.8,1.13,340.0,44.01,13062,84,342.0,342.0,332.0
2026-03-25,-3.8,-1.12,336.2,81.27,24078,88,340.0,340.9,335.0
2026-03-24,14.0,4.29,340.0,,57702,243,332.3,340.0,327.0
2026-03-23,-6.0,-1.81,326.0,91.69,28116,136,333.0,333.6,323.6
2026-03-22,-7.0,-2.06,332.0,,35600,211,344.0,345.0,323.0
2026-03-19,7.0,2.11,339.0,,37562,235,335.0,340.0,328.5
2026-03-17,16.0,5.06,332.0,,43176,188,314.0,332.0,314.0
2026-03-16,-8.5,-2.62,316.0,62.79,19734,96,321.3,322.0,315.0
2026-03-15,1.5,0.46,324.5,70.3,21732,102,325.0,327.0,320.0
2026-03-12,4.0,1.25,323.0,52.8,16427,105,319.0,325.5,315.0
2026-03-11,-3.8,-1.18,319.0,66.43,20771,127,325.0,325.9,313.0
2026-03-10,-1.2,-0.37,322.8,,55455,238,330.0,330.4,311.3
2026-03-09,18.0,5.88,324.0,,80,4,312.1,324.0,312.1
2026-03-03,4.0,1.32,306.0,26.43,8650,51,300.0,307.0,300.0
2026-03-01,2.5,0.83,302.0,27.5,9240,47,293.7,302.0,293.1
2026-02-26,3.5,1.18,299.5,17.95,5982,39,291.0,305.0,291.0
2026-02-25,-1.8,-0.6,296.0,7.3,2455,24,303.5,303.5,295.0
2026-02-24,3.8,1.29,297.8,16.94,5741,44,294.0,298.0,290.2
2026-02-23,-3.0,-1.01,294.0,27.49,9291,66,300.0,300.0,293.0
2026-02-22,-6.9,-2.27,297.0,31.58,10573,67,298.2,304.0,295.1
2026-02-17,-2.0,-0.65,303.9,40.49,13310,73,308.0,308.0,302.0
2026-02-16,-6.1,-1.96,305.9,39.1,12560,80,318.0,320.2,305.9
2026-02-12,6.0,1.96,312.0,77.79,24933,130,301.5,318.8,300.6
2026-02-11,-0.9,-0.29,306.0,40.94,13404,78,312.0,319.2,303.0
2026-02-10,-4.1,-1.32,306.9,56.31,18239,92,313.0,314.0,304.0
2026-02-09,-7.9,-2.48,311.0,28.07,8969,62,314.0,318.5,307.0
2026-02-08,4.8,1.53,318.9,,43005,227,320.0,328.0,316.2
2026-02-05,13.1,4.35,314.1,,38483,189,305.0,320.0,296.5
2026-02-04,0.0,0.0,301.0,22.22,7410,46,303.0,306.7,298.0
2026-02-03,-2.0,-0.66,301.0,27.21,9018,68,305.0,308.9,300.5
2026-02-02,-4.5,-1.46,303.0,24.13,7903,81,311.0,311.0,302.7
2026-02-01,2.2,0.72,307.5,42.73,13932,103,305.3,309.8,303.5
2026-01-29,3.3,1.09,305.3,,41455,218,302.0,317.9,302.0
2026-01-28,-2.0,-0.66,302.0,35.11,11644,87,303.0,308.0,298.1
2026-01-27,-9.4,-3.0,304.0,83.55,27233,142,310.0,318.0,299.0
2026-01-26,-1.5,-0.48,313.4,65.25,20867,143,309.1,321.0,308.7
2026-01-25,9.4,3.08,314.9,,35811,151,306.1,316.0,306.1
2026-01-22,4.5,1.5,305.5,65.76,21697,108,300.0,306.0,300.0
2026-01-21,-1.0,-0.33,301.0,47.26,15662,80,302.5,305.0,298.0
2026-01-20,7.0,2.37,302.0,80.45,26705,141,293.1,308.0,293.0
2026-01-18,5.5,1.9,295.0,23.49,8020,62,295.0,295.0,290.1
2026-01-14,4.5,1.58,289.5,38.08,13022,76,290.0,295.9,289.0
