DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,40.8,3.19,1319.0,32.93,2503,78,1214.3,1447.0,1214.3
2026-05-07,-29.8,-2.28,1278.2,11.51,891,27,1271.0,1309.1,1271.0
2026-05-06,-46.0,-3.4,1308.0,41.36,3225,65,1421.7,1421.7,1260.0
2026-05-05,89.0,7.04,1354.0,17.69,1346,59,1255.0,1409.0,1255.0
2026-05-04,-25.0,-1.94,1265.0,14.3,1119,26,1270.5,1300.0,1265.0
2026-04-30,-30.0,-2.27,1290.0,3.93,310,16,1333.0,1333.0,1255.0
2026-04-29,30.0,2.33,1320.0,16.8,1292,45,1290.0,1364.7,1260.0
2026-04-28,0.0,0.0,1290.0,4.31,337,20,1290.0,1291.0,1265.2
2026-04-27,-10.0,-0.77,1290.0,2.68,208,19,1300.0,1300.0,1265.0
2026-04-24,-9.0,-0.69,1300.0,4.38,340,17,1309.0,1300.0,1288.0
2026-04-23,-2.0,-0.15,1309.0,5.57,431,21,1305.0,1311.0,1285.1
2026-04-22,10.0,0.77,1311.0,30.56,2359,29,1301.0,1318.4,1271.1
2026-04-21,9.0,0.7,1301.0,7.22,554,26,1255.0,1310.2,1255.0
2026-04-20,-9.0,-0.69,1292.0,1.4,109,10,1263.2,1325.0,1263.2
2026-04-17,1.0,0.08,1301.0,5.99,458,33,1300.0,1333.1,1285.0
2026-04-16,-19.8,-1.5,1300.0,6.57,512,24,1320.0,1320.0,1275.0
2026-04-15,29.7,2.3,1319.8,4.57,352,21,1265.0,1320.0,1265.0
2026-04-13,-20.0,-1.53,1290.1,6.87,533,25,1301.0,1305.0,1283.9
2026-04-10,-26.9,-2.01,1310.1,14.19,1089,22,1337.0,1355.0,1292.0
2026-04-09,36.9,2.84,1337.0,6.05,457,28,1325.0,1349.0,1300.3
2026-04-08,5.1,0.39,1300.1,12.07,920,30,1320.0,1326.0,1300.0
2026-04-07,-22.0,-1.67,1295.0,9.9,764,23,1291.0,1325.0,1289.0
2026-04-06,41.9,3.29,1317.0,11.19,868,27,1300.5,1352.0,1276.1
2026-04-05,-24.9,-1.92,1275.1,27.46,2146,38,1300.0,1300.0,1275.0
2026-04-02,-19.0,-1.44,1300.0,16.67,1274,39,1319.0,1330.0,1298.1
2026-04-01,-21.3,-1.59,1319.0,27.58,2104,48,1337.0,1338.0,1295.0
2026-03-31,-38.6,-2.8,1340.3,15.07,1121,29,1375.0,1375.0,1326.1
2026-03-30,-6.1,-0.44,1378.9,9.11,670,27,1385.0,1410.0,1340.0
2026-03-29,-28.0,-1.98,1385.0,15.83,1157,37,1385.0,1385.0,1365.0
2026-03-26,-7.0,-0.49,1413.0,21.64,1566,39,1391.6,1417.0,1370.0
