DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-4.9,-1.45,332.0,,56440,297,353.0,353.0,329.0
2026-05-07,-8.7,-2.52,336.9,,51485,315,355.0,355.0,330.1
2026-05-06,-10.9,-3.06,345.6,,41033,311,374.0,374.0,344.0
2026-05-05,-3.5,-0.97,356.5,,47307,231,360.0,364.0,351.0
2026-05-04,-4.0,-1.1,360.0,72.32,20062,163,360.0,367.0,356.1
2026-04-30,-9.0,-2.41,364.0,,47272,235,364.0,368.0,360.0
2026-04-29,-6.7,-1.76,373.0,,77655,412,361.0,379.9,361.0
2026-04-28,3.7,0.98,379.7,63.06,16646,178,375.0,385.4,375.0
2026-04-27,-6.0,-1.57,376.0,,78929,319,364.0,389.4,364.0
2026-04-24,-6.9,-1.77,382.0,,87118,383,390.0,395.0,378.7
2026-04-23,-7.1,-1.79,388.9,,71477,419,415.8,415.8,387.0
2026-04-22,8.0,2.06,396.0,,168932,655,390.0,399.0,384.2
2026-04-21,-37.0,-8.71,388.0,,286319,1610,403.8,412.0,384.4
2026-04-20,-24.0,-5.35,425.0,,23393,290,445.0,447.1,422.5
2026-04-17,-14.0,-3.02,449.0,58.57,12910,151,463.0,465.0,441.0
2026-04-16,-17.0,-3.54,463.0,32.19,6853,83,488.9,488.9,463.0
2026-04-15,1.0,0.21,480.0,44.41,9280,120,479.0,488.0,470.0
2026-04-13,9.0,1.91,479.0,36.09,7660,109,464.0,479.0,464.0
2026-04-10,-2.0,-0.42,470.0,27.16,5841,95,463.0,475.0,460.2
2026-04-09,-1.9,-0.4,472.0,29.97,6363,98,474.0,478.5,465.0
2026-04-08,14.9,3.25,473.9,34.95,7466,101,451.8,488.9,451.8
2026-04-07,-6.0,-1.29,459.0,21.08,4554,74,469.9,469.9,459.0
2026-04-06,8.0,1.75,465.0,35.64,7699,134,456.9,467.9,449.0
2026-04-05,-22.0,-4.59,457.0,60.77,13353,178,479.0,479.0,445.0
2026-04-02,-6.0,-1.24,479.0,35.07,7300,117,480.0,487.0,477.0
2026-04-01,-13.5,-2.71,485.0,40.04,8236,112,490.0,497.9,478.1
2026-03-31,-1.5,-0.3,498.5,49.23,9969,120,495.0,504.9,490.0
2026-03-30,-11.9,-2.32,500.0,32.81,6525,90,503.0,511.0,497.5
2026-03-29,-5.1,-0.99,511.9,35.41,6966,119,515.0,517.0,500.0
2026-03-26,-0.9,-0.17,517.0,26.35,5107,82,512.1,519.0,512.1
2026-03-25,2.9,0.56,517.9,53.16,10277,141,524.0,524.0,510.0
2026-03-24,2.0,0.39,515.0,23.36,4546,92,523.2,523.2,511.0
2026-03-23,-6.0,-1.16,513.0,66.63,13031,147,520.0,520.0,506.1
2026-03-22,-1.0,-0.19,519.0,65.4,12608,131,529.0,529.0,514.1
2026-03-19,0.1,0.02,520.0,,20589,220,524.8,524.8,515.0
2026-03-17,-9.0,-1.7,519.9,42.46,8231,98,521.0,525.0,508.7
2026-03-16,3.9,0.74,528.9,37.51,7149,70,521.0,531.0,521.0
2026-03-15,-3.0,-0.57,525.0,28.57,5516,85,521.0,525.0,513.0
2026-03-12,3.0,0.57,528.0,69.93,13397,93,515.0,535.0,515.0
2026-03-11,-5.0,-0.94,525.0,29.21,5558,73,531.4,539.9,520.0
2026-03-10,0.0,0.0,530.0,95.6,17911,166,540.6,552.0,519.4
2026-03-09,20.0,3.92,530.0,1.08,204,8,520.2,530.6,520.2
2026-03-03,2.0,0.39,510.0,16.75,3317,52,502.0,510.0,500.0
2026-03-01,0.0,0.0,508.0,14.02,2779,47,502.0,508.5,500.0
2026-02-26,-1.0,-0.2,508.0,9.05,1779,46,510.0,519.0,508.0
2026-02-25,3.9,0.77,509.0,11.79,2328,38,495.0,513.9,495.0
2026-02-24,-1.9,-0.37,505.1,7.04,1390,32,517.0,517.1,503.1
2026-02-23,9.0,1.81,507.0,21.08,4209,65,498.0,528.0,493.0
2026-02-22,-10.0,-1.97,498.0,23.55,4693,78,497.9,507.8,497.9
2026-02-17,-7.1,-1.38,508.0,43.12,8488,95,509.0,525.0,506.0
2026-02-16,-4.9,-0.94,515.1,20.16,3906,77,520.0,520.0,513.0
2026-02-12,-1.8,-0.34,520.0,37.72,7237,74,521.8,525.0,520.0
2026-02-11,2.0,0.38,521.8,29.61,5690,78,521.0,524.0,516.0
2026-02-10,3.7,0.72,519.8,22.78,4376,76,520.0,536.0,517.1
