DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.4,0.77,576.4,4.54,787,8,575.0,582.0,575.0
2026-05-07,0.0,0.0,572.0,10.43,1831,15,571.0,575.9,563.1
2026-05-06,0.0,0.0,572.0,86.7,15167,43,588.0,588.0,566.0
2026-05-05,0.9,0.16,572.0,45.72,7899,29,555.0,583.0,555.0
2026-05-04,-6.6,-1.14,571.1,45.16,7891,41,577.7,579.0,569.6
2026-04-30,-4.3,-0.74,577.7,81.23,14063,62,580.0,583.2,572.0
2026-04-29,6.0,1.04,582.0,,25989,124,547.2,653.2,547.2
2026-04-28,-3.9,-0.67,576.0,39.27,6805,43,552.0,585.5,552.0
2026-04-27,-1.9,-0.33,579.9,31.54,5448,41,581.8,583.9,577.0
2026-04-24,1.8,0.31,581.8,29.35,5074,34,579.0,584.0,575.0
2026-04-23,0.0,0.0,580.0,50.76,8782,46,572.2,586.0,572.2
2026-04-22,-3.0,-0.51,580.0,36.97,6396,45,580.0,584.6,576.1
2026-04-21,-2.3,-0.39,583.0,44.91,7688,52,585.0,589.9,581.4
2026-04-20,-0.3,-0.05,585.3,73.32,12556,37,560.0,594.1,560.0
2026-04-17,0.0,0.0,585.6,97.03,16682,26,585.0,590.0,580.3
2026-04-16,-9.9,-1.66,585.6,75.85,12929,66,588.1,589.9,585.1
2026-04-15,6.9,1.17,595.5,67.78,11402,50,590.0,599.0,590.0
2026-04-13,-3.2,-0.54,588.6,41.62,7070,43,590.0,593.0,586.6
2026-04-10,-5.2,-0.87,591.8,41.94,7086,51,597.0,597.0,590.1
2026-04-09,12.9,2.21,597.0,69.82,11697,97,589.5,602.0,586.5
2026-04-08,8.0,1.39,584.1,51.56,8843,55,587.5,589.0,580.0
2026-04-07,-10.9,-1.86,576.1,,17503,83,585.0,593.0,576.1
2026-04-06,12.1,2.1,587.0,72.2,12371,74,567.2,590.0,567.2
2026-04-05,-17.1,-2.89,574.9,,27735,132,582.1,589.0,565.0
2026-04-02,-2.5,-0.42,592.0,,24319,92,586.0,597.0,585.5
2026-04-01,-13.4,-2.2,594.5,84.38,14214,85,601.0,606.9,590.6
2026-03-31,8.9,1.49,607.9,,24846,116,600.0,610.0,592.5
2026-03-30,-10.9,-1.79,599.0,,25466,140,598.4,615.0,598.0
2026-03-29,-12.1,-1.95,609.9,,20981,128,623.0,623.0,607.0
2026-03-26,1.9,0.31,622.0,80.72,13016,88,626.9,626.9,615.0
2026-03-25,-14.8,-2.33,620.1,,18517,128,645.0,645.0,620.0
2026-03-24,13.6,2.19,634.9,,27556,206,633.7,683.4,622.0
2026-03-23,-10.7,-1.69,621.3,,77275,171,635.0,636.0,620.2
2026-03-22,9.0,1.44,632.0,,64090,307,634.9,639.0,624.7
2026-03-19,15.0,2.47,623.0,,54267,218,604.1,626.0,604.1
2026-03-17,-0.2,-0.03,608.0,68.93,11334,76,610.0,611.0,603.5
2026-03-16,-4.8,-0.78,608.2,,24480,99,606.4,616.0,606.4
2026-03-15,1.0,0.16,613.0,,47546,195,615.0,619.9,609.8
2026-03-12,5.0,0.82,612.0,,20886,109,607.0,619.0,595.0
2026-03-11,-10.0,-1.62,607.0,,30342,123,617.0,617.0,605.0
2026-03-10,-37.0,-5.66,617.0,,77666,337,660.0,660.0,600.8
2026-03-09,57.1,9.57,654.0,10.72,1640,9,608.8,656.0,608.8
2026-03-03,12.9,2.21,596.9,85.7,14574,67,583.0,596.9,581.1
2026-03-01,0.8,0.14,584.0,29.55,5072,34,594.6,594.6,576.7
2026-02-26,0.6,0.1,583.2,40.18,6887,37,591.0,591.0,581.0
2026-02-25,-0.4,-0.07,582.6,25.23,4317,35,592.5,592.7,582.0
2026-02-24,4.1,0.71,583.0,15.57,2680,33,578.9,588.0,578.9
2026-02-23,2.8,0.49,578.9,72.41,12528,44,576.0,589.0,571.5
2026-02-22,-13.9,-2.36,576.1,24.21,4194,34,579.0,580.0,576.1
2026-02-17,0.0,0.0,590.0,73.24,12482,67,586.3,590.0,586.0
2026-02-16,3.9,0.67,590.0,91.56,15445,60,590.0,599.0,583.0
2026-02-12,7.1,1.23,586.1,51.35,8725,56,588.0,598.0,580.0
2026-02-11,0.0,0.0,579.0,88.53,15167,87,579.0,590.0,579.0
2026-02-10,-6.8,-1.16,579.0,,22658,126,581.0,587.0,576.2
2026-02-09,-10.7,-1.79,585.8,,18566,101,591.5,596.0,585.3
2026-02-08,-2.5,-0.42,596.5,,20167,104,610.0,613.0,596.0
2026-02-05,3.6,0.6,599.0,,20303,100,607.0,607.0,594.4
2026-02-04,-5.6,-0.93,595.4,,18211,85,612.0,612.0,595.4
2026-02-03,0.8,0.13,601.0,,23563,118,601.0,611.8,600.0
2026-02-02,0.2,0.03,600.2,85.06,14091,96,610.0,610.0,600.2
2026-02-01,-12.0,-1.96,600.0,,26806,153,612.0,617.9,600.0
2026-01-29,5.0,0.82,612.0,,56406,205,619.0,619.0,606.9
2026-01-28,-10.6,-1.72,607.0,,65812,232,611.1,622.0,607.0
2026-01-27,-10.4,-1.66,617.6,,40793,236,615.5,630.0,609.0
2026-01-26,-7.0,-1.1,628.0,,145881,305,622.3,672.0,622.3
2026-01-25,-33.0,-4.94,635.0,,210310,650,655.0,655.0,606.0
2026-01-22,60.0,9.87,668.0,,69558,123,595.9,668.0,595.9
2026-01-21,-6.0,-0.98,608.0,86.68,14239,106,625.0,625.0,602.0
2026-01-20,10.0,1.66,614.0,,59615,212,615.0,623.0,603.0
2026-01-18,9.0,1.51,604.0,,17755,55,604.9,604.9,595.0
2026-01-14,-4.0,-0.67,595.0,47.57,8015,37,594.1,597.9,592.5
2026-01-13,3.0,0.5,599.0,18.67,3135,19,591.1,600.0,591.1
2026-01-12,-5.0,-0.83,596.0,,27789,83,600.1,605.0,594.1
2026-01-08,6.0,1.01,601.0,78.06,13155,55,590.0,601.0,587.1
2026-01-07,-4.9,-0.82,595.0,67.3,11266,55,608.0,608.0,593.0
2026-01-06,9.9,1.68,599.9,99.99,16770,83,595.0,604.0,590.0
2026-01-05,17.0,2.97,590.0,60.56,10357,53,571.2,595.0,571.0
2026-01-04,-3.9,-0.68,573.0,42.32,7370,37,572.0,579.5,572.0
2026-01-01,-0.5,-0.09,576.9,44.92,7840,40,586.9,586.9,570.3
2025-12-31,-11.6,-1.97,577.4,,23582,51,590.0,590.0,577.4
2025-12-29,4.0,0.68,589.0,36.06,6214,40,580.1,590.0,577.0
2025-12-28,17.0,2.99,585.0,69.94,12014,48,578.0,587.0,575.0
2025-12-24,0.0,0.0,568.0,15.21,2670,19,577.0,577.0,566.1
2025-12-23,8.0,1.43,568.0,29.69,5242,43,571.0,571.0,561.1
2025-12-22,-8.3,-1.46,560.0,48.2,8576,71,570.0,570.0,560.0
2025-12-21,-8.7,-1.51,568.3,83.67,14715,40,575.0,575.0,566.2
2025-12-18,-2.0,-0.35,577.0,,29523,39,585.0,585.0,574.2
2025-12-17,-2.0,-0.34,579.0,54.41,9359,34,584.0,591.0,575.0
2025-12-16,5.3,0.92,581.0,28.82,4975,37,584.0,584.0,575.0
2025-12-15,1.3,0.23,575.7,29.04,5036,38,576.0,580.0,575.7
2025-12-14,-5.6,-0.97,574.4,56.13,9807,43,575.0,580.9,568.5
2025-12-11,1.6,0.28,580.0,55.38,9664,61,570.0,580.0,570.0
2025-12-10,-11.5,-1.95,578.4,36.66,6331,29,589.9,589.9,578.4
2025-12-09,7.8,1.34,589.9,58.36,10038,47,575.0,589.9,575.0
2025-12-08,4.6,0.8,582.1,23.49,4008,32,588.9,597.9,582.1
2025-12-07,2.2,0.38,577.5,71.0,12240,55,564.0,598.0,564.0
2025-12-03,-11.0,-1.88,575.3,63.05,10792,71,585.1,593.3,575.3
2025-12-02,-4.7,-0.8,586.3,49.34,8363,50,602.0,638.0,580.0
2025-12-01,4.0,0.68,591.0,47.02,8012,47,587.3,592.0,585.0
2025-11-30,-12.0,-2.0,587.0,86.17,14606,78,600.0,600.0,587.0
2025-11-27,-14.0,-2.28,599.0,,24860,66,603.5,613.0,599.0
2025-11-26,15.0,2.51,613.0,,104324,139,586.1,649.0,586.1
2025-11-25,-2.2,-0.37,598.0,51.14,8495,50,590.1,609.5,590.1
2025-11-24,1.2,0.2,600.2,55.28,9183,59,599.0,607.8,599.0
2025-11-23,13.8,2.36,599.0,50.07,8427,52,596.1,601.0,587.0
2025-11-20,-8.9,-1.5,585.2,31.46,5338,45,583.2,600.0,583.2
2025-11-19,-8.9,-1.48,594.1,71.75,12004,48,600.0,606.0,594.1
2025-11-18,9.0,1.52,603.0,67.77,11296,71,600.0,608.0,588.0
2025-11-17,10.0,1.71,594.0,81.59,13857,49,586.0,599.9,585.3
2025-11-16,-2.1,-0.36,584.0,21.73,3688,43,586.1,598.0,584.0
2025-11-13,1.0,0.17,586.1,61.38,10482,57,573.4,596.3,573.4
2025-11-12,-17.9,-2.97,585.1,,18313,54,591.0,614.0,584.0
2025-11-11,6.9,1.16,603.0,18.36,3076,44,584.2,619.0,584.2
2025-11-10,3.1,0.52,596.1,66.79,11171,81,581.2,640.0,581.2
2025-11-09,-20.0,-3.26,593.0,57.15,9419,83,600.8,666.0,588.9
2025-11-06,-15.0,-2.39,613.0,,30571,93,625.0,625.0,605.1
2025-11-05,8.3,1.34,628.0,,47547,154,607.4,665.0,607.4
2025-11-04,-47.3,-7.09,619.7,,20369,116,653.7,653.7,604.1
2025-11-03,60.5,9.98,667.0,,81822,162,600.0,667.0,600.0
2025-11-02,4.5,0.75,606.5,,22372,72,592.0,607.9,590.1
2025-10-30,-1.0,-0.17,602.0,,17376,52,596.0,607.7,595.0
2025-10-29,-15.0,-2.43,603.0,,22621,105,605.7,666.0,593.6
2025-10-28,56.1,9.98,618.0,96.73,16486,76,568.9,618.0,568.9
2025-10-26,-2.1,-0.37,561.9,12.28,2220,17,553.5,563.0,545.0
2025-10-19,7.7,1.38,564.0,50.07,8999,42,567.4,567.4,547.1
2025-10-16,-17.5,-3.05,556.3,38.35,6890,34,562.4,572.0,555.0
2025-10-15,-0.4,-0.07,573.8,10.49,1855,28,579.9,581.6,556.0
2025-10-14,5.2,0.91,574.2,46.55,8283,44,569.0,574.2,557.8
2025-10-13,12.0,2.15,569.0,43.04,7622,39,568.0,572.0,561.4
2025-10-12,-31.0,-5.27,557.0,72.48,12994,71,576.6,577.0,550.0
2025-10-09,-1.9,-0.32,588.0,51.26,8692,58,601.6,613.6,575.1
2025-10-08,-7.1,-1.19,589.9,,21186,82,608.9,621.0,560.0
2025-10-07,-28.0,-4.48,597.0,42.73,7066,58,612.6,613.1,596.3
2025-09-28,10.0,1.63,625.0,50.28,8123,65,615.1,625.0,615.0
