DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-4.0,-0.45,885.0,3.1,352,18,874.0,895.0,870.0
2026-05-07,-6.0,-0.67,889.0,12.83,1459,27,890.0,890.0,875.0
2026-05-06,1.0,0.11,895.0,2.43,274,17,920.0,920.0,869.0
2026-05-05,10.0,1.13,894.0,10.77,1221,18,901.0,901.0,875.0
2026-05-04,-15.8,-1.76,884.0,11.38,1290,27,873.0,889.0,873.0
2026-04-30,9.8,1.1,899.8,,111,9,872.0,899.9,872.0
2026-04-29,-5.0,-0.56,890.0,7.76,884,27,880.0,890.0,870.0
2026-04-28,-3.0,-0.33,895.0,5.89,658,27,898.0,905.0,890.0
2026-04-27,0.0,0.0,898.0,3.11,350,18,898.0,900.0,885.0
2026-04-24,-2.0,-0.22,898.0,4.35,490,20,873.2,899.0,873.2
2026-04-23,-16.8,-1.83,900.0,7.76,870,20,890.0,900.0,890.0
2026-04-22,19.8,2.21,916.8,3.54,395,19,898.0,916.8,880.6
2026-04-21,-8.0,-0.88,897.0,22.05,2444,29,905.0,930.0,896.1
2026-04-20,32.0,3.67,905.0,25.03,2771,69,869.5,911.0,869.5
2026-04-17,-32.5,-3.59,873.0,15.9,1776,21,900.0,900.0,873.0
2026-04-16,-9.0,-0.98,905.5,7.95,885,18,900.0,905.5,895.0
2026-04-15,9.5,1.05,914.5,3.59,395,18,922.0,922.0,905.0
2026-04-13,0.0,0.0,905.0,10.65,1196,25,900.0,905.0,890.0
2026-04-10,-18.0,-1.95,905.0,16.13,1781,26,910.0,910.0,904.6
2026-04-09,28.0,3.13,923.0,6.46,712,28,911.0,923.0,895.0
2026-04-08,21.0,2.4,895.0,8.09,910,23,888.0,895.0,876.1
2026-04-07,-12.0,-1.35,874.0,12.21,1394,33,885.1,890.0,870.3
2026-04-06,16.5,1.9,886.0,8.53,964,22,884.0,896.0,880.0
2026-04-05,-39.5,-4.35,869.5,31.0,3577,62,890.9,890.9,852.6
2026-04-02,-1.0,-0.11,909.0,6.35,703,16,892.2,909.0,892.1
2026-04-01,-10.0,-1.09,910.0,15.89,1741,30,903.1,921.0,902.2
2026-03-31,0.0,0.0,920.0,13.73,1515,39,902.1,922.0,900.0
2026-03-30,-30.0,-3.16,920.0,21.21,2280,43,931.0,936.0,920.0
2026-03-29,-19.0,-1.96,950.0,11.51,1212,35,956.0,956.8,943.0
2026-03-26,-5.0,-0.51,969.0,16.53,1735,36,954.6,969.0,941.1
2026-03-25,1.0,0.1,974.0,30.19,3138,53,954.2,986.9,950.0
2026-03-24,-2.0,-0.21,973.0,29.29,3011,31,975.1,977.0,968.0
2026-03-23,-1.0,-0.1,975.0,31.26,3185,63,967.0,993.0,967.0
2026-03-22,16.3,1.7,976.0,51.26,5256,102,950.0,995.0,950.0
2026-03-19,30.7,3.3,959.7,35.12,3681,71,920.2,967.0,920.2
2026-03-17,-6.0,-0.64,929.0,15.81,1710,15,918.0,931.0,918.0
2026-03-16,-1.0,-0.11,935.0,11.05,1190,19,926.2,936.0,926.2
2026-03-15,-14.0,-1.47,936.0,5.39,575,18,950.0,950.0,933.2
2026-03-12,-15.0,-1.55,950.0,15.26,1596,49,946.0,973.0,946.0
2026-03-11,-6.5,-0.67,965.0,13.97,1445,39,975.0,983.3,956.5
2026-03-10,16.4,1.72,971.5,71.06,7384,108,974.2,982.0,925.0
2026-03-09,20.1,2.15,955.1,,30,3,953.7,972.7,953.7
2026-03-03,28.5,3.14,935.0,8.06,870,21,922.0,935.0,912.9
2026-03-01,-7.5,-0.82,906.5,6.41,708,17,900.0,918.0,900.0
2026-02-26,4.0,0.44,914.0,9.87,1099,32,908.0,916.6,881.1
2026-02-25,7.0,0.78,910.0,3.65,408,18,918.0,918.0,894.5
2026-02-24,3.0,0.33,903.0,13.01,1450,38,915.6,918.0,890.0
2026-02-23,1.5,0.17,900.0,9.89,1102,23,905.0,908.0,890.3
2026-02-22,-18.5,-2.02,898.5,8.75,973,37,902.0,917.9,890.0
2026-02-17,-10.8,-1.16,917.0,15.34,1691,36,910.8,917.0,900.5
2026-02-16,-4.9,-0.53,927.8,15.54,1682,26,921.0,930.0,921.0
2026-02-12,4.7,0.51,932.7,11.56,1244,28,946.4,946.4,915.0
2026-02-11,5.0,0.54,928.0,5.14,560,17,913.1,938.0,912.0
2026-02-10,-6.9,-0.74,923.0,35.66,3868,31,920.0,928.7,915.0
2026-02-09,-10.1,-1.07,929.9,7.59,820,20,925.0,935.0,925.0
2026-02-08,20.4,2.22,940.0,44.8,4694,106,908.0,989.3,908.0
2026-02-05,4.5,0.49,919.6,17.53,1894,46,933.0,952.0,919.6
2026-02-04,-8.9,-0.96,915.1,13.9,1497,27,941.0,941.5,915.1
2026-02-03,9.0,0.98,924.0,5.05,549,18,910.1,933.0,910.0
2026-02-02,-20.0,-2.14,915.0,15.08,1626,34,953.0,953.0,915.0
2026-02-01,-15.0,-1.58,935.0,18.88,2005,52,968.9,968.9,920.0
2026-01-29,12.0,1.28,950.0,30.67,3279,58,956.5,956.5,925.1
2026-01-28,-7.0,-0.74,938.0,40.18,4301,41,932.1,940.0,920.0
2026-01-27,-34.0,-3.47,945.0,39.79,4153,85,961.0,978.0,945.0
2026-01-26,-13.0,-1.31,979.0,51.26,5301,88,973.0,990.0,952.8
2026-01-25,75.0,8.18,992.0,57.65,6044,111,918.0,993.0,915.0
2026-01-22,6.7,0.74,917.0,33.12,3635,30,901.2,917.0,901.2
2026-01-21,-10.7,-1.16,910.3,27.69,3030,40,917.3,929.9,905.2
2026-01-20,6.0,0.66,921.0,60.87,6581,62,900.1,936.3,900.1
2026-01-18,14.0,1.55,915.0,4.83,532,19,905.0,916.0,900.1
2026-01-14,8.8,0.99,901.0,6.17,688,16,890.0,901.1,890.0
