DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.8,0.6,804.8,50.04,6240,72,796.0,806.0,796.0
2026-05-07,20.0,2.56,800.0,,21452,181,760.0,807.0,760.0
2026-05-06,-8.0,-1.02,780.0,,35602,160,795.0,820.9,780.0
2026-05-05,-1.9,-0.24,788.0,81.96,10350,78,781.0,800.0,775.3
2026-05-04,-5.1,-0.64,789.9,87.75,11147,90,785.0,807.0,780.0
2026-04-30,-15.0,-1.85,795.0,,17754,111,769.5,817.0,769.5
2026-04-29,7.9,0.98,810.0,,13317,109,802.0,810.0,795.0
2026-04-28,-3.9,-0.48,802.1,83.87,10455,77,806.0,830.0,801.0
2026-04-27,5.7,0.71,806.0,33.21,4108,48,800.3,814.9,802.4
2026-04-24,-9.6,-1.19,800.3,66.39,8295,65,802.0,805.0,798.3
2026-04-23,-1.1,-0.14,809.9,48.81,6067,53,800.2,819.4,800.0
2026-04-22,9.0,1.12,811.0,,23960,169,800.0,824.0,795.0
2026-04-21,-6.8,-0.84,802.0,93.25,11576,92,848.9,848.9,800.0
2026-04-20,-11.2,-1.37,808.8,,21891,167,780.5,834.9,780.5
2026-04-17,0.0,0.0,820.0,,61220,266,820.5,829.0,795.0
2026-04-16,-20.0,-2.38,820.0,,23621,185,825.0,841.4,815.3
2026-04-15,14.5,1.76,840.0,,26925,153,830.0,848.0,828.0
2026-04-13,-5.6,-0.67,825.5,,13495,94,846.9,847.0,823.0
2026-04-10,-14.9,-1.76,831.1,,26883,187,846.0,860.0,826.1
2026-04-09,6.0,0.71,846.0,,31463,211,855.0,855.0,833.0
2026-04-08,31.0,3.83,840.0,,45129,262,810.0,849.0,810.0
2026-04-07,-1.0,-0.12,809.0,,21297,115,825.9,825.9,808.0
2026-04-06,21.0,2.66,810.0,,33616,228,795.0,826.0,788.5
2026-04-05,-28.0,-3.43,789.0,,44369,302,800.7,810.0,774.3
