DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-27.9,-2.47,1100.0,99.38,9020,168,1095.1,1130.0,1090.0
2026-05-07,-172.1,-13.24,1127.9,,64768,708,1364.0,1364.0,1105.0
2026-05-06,157.0,13.74,1300.0,,21202,144,1110.0,1314.0,1109.0
2026-05-05,-117.4,-9.31,1143.0,,37404,225,1268.0,1268.0,1072.0
2026-05-04,164.4,15.0,1260.4,95.92,8710,93,1100.0,1260.4,1082.0
2026-04-30,-27.0,-2.4,1096.0,30.71,2800,38,1105.0,1109.9,1090.3
2026-04-29,20.8,1.89,1123.0,56.14,5082,60,1120.0,1123.0,1083.2
2026-04-28,-27.8,-2.46,1102.2,52.78,4771,58,1130.0,1138.0,1100.0
2026-04-27,15.0,1.35,1130.0,51.47,4533,79,1069.5,1153.0,1069.5
2026-04-24,19.9,1.82,1115.0,55.47,5000,65,1080.0,1120.0,1080.0
2026-04-23,-39.9,-3.52,1095.1,98.23,8882,105,1140.0,1140.0,1095.1
2026-04-22,-8.0,-0.7,1135.0,62.17,5557,88,1200.0,1200.0,1110.0
2026-04-21,-11.0,-0.95,1143.0,54.4,4808,66,1210.0,1210.0,1120.0
2026-04-20,-9.0,-0.77,1154.0,70.38,6177,64,1142.1,1162.0,1121.2
2026-04-17,-23.9,-2.01,1163.0,,9029,76,1186.9,1186.9,1145.0
2026-04-16,3.9,0.33,1186.9,,30293,198,1190.0,1212.9,1160.0
2026-04-15,17.3,1.48,1183.0,,43823,343,1172.9,1220.0,1160.0
2026-04-13,5.7,0.49,1165.7,93.01,8048,67,1174.0,1174.0,1143.0
2026-04-10,10.0,0.87,1160.0,,10664,129,1169.9,1169.9,1134.0
2026-04-09,8.0,0.7,1150.0,,11008,106,1142.0,1156.9,1135.0
2026-04-08,32.0,2.88,1142.0,,11735,132,1101.0,1142.0,1101.0
2026-04-07,10.0,0.91,1110.0,60.31,5465,73,1110.0,1117.5,1081.0
2026-04-06,34.8,3.27,1100.0,40.39,3706,74,1085.0,1104.9,1066.0
2026-04-05,-59.8,-5.32,1065.2,,14262,138,1147.5,1147.5,1065.0
2026-04-02,-2.0,-0.18,1125.0,87.45,7799,88,1125.0,1131.9,1093.0
