DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.1,0.51,416.1,82.41,19853,122,414.0,417.0,412.9
2026-05-07,0.0,0.0,414.0,90.76,21976,116,414.0,414.0,410.1
2026-05-06,0.0,0.0,414.0,64.25,15521,96,415.0,417.0,412.0
2026-05-05,1.0,0.24,414.0,,25502,122,412.0,415.0,410.0
2026-05-04,-1.0,-0.24,413.0,77.77,18835,130,419.9,419.9,410.2
2026-04-30,4.0,0.98,414.0,,27568,187,404.0,415.0,404.0
2026-04-29,2.3,0.56,410.0,,31046,189,409.0,413.9,409.0
2026-04-28,1.7,0.42,407.7,73.48,17994,140,406.0,412.0,407.7
2026-04-27,-1.0,-0.25,406.0,63.38,15574,94,407.0,414.0,406.0
2026-04-24,-4.0,-0.97,407.0,69.98,17232,74,411.0,409.8,402.3
2026-04-23,-0.5,-0.12,411.0,87.29,21328,88,402.7,412.0,402.7
2026-04-22,2.4,0.59,411.5,78.86,19412,136,405.2,412.0,404.0
2026-04-21,-2.9,-0.7,409.1,29.4,7178,78,407.0,412.0,406.2
2026-04-20,4.0,0.98,412.0,50.7,12392,87,419.0,419.0,407.1
2026-04-17,-3.0,-0.73,408.0,97.33,23763,148,408.1,413.0,407.1
2026-04-16,-2.0,-0.48,411.0,,25039,130,413.0,413.0,409.1
2026-04-15,0.1,0.02,413.0,,30791,146,414.0,418.9,411.0
2026-04-13,0.9,0.22,412.9,80.12,19322,123,410.0,417.9,410.0
2026-04-10,-3.1,-0.75,412.0,,33216,158,417.0,417.0,411.1
2026-04-09,0.6,0.14,415.1,,74639,196,419.0,419.0,409.0
2026-04-08,4.6,1.12,414.5,68.23,16529,154,410.0,415.0,409.2
2026-04-07,2.9,0.71,409.9,,31839,167,407.0,415.0,404.0
2026-04-06,7.0,1.75,407.0,,64023,239,400.0,412.0,395.1
2026-04-05,-11.0,-2.68,400.0,,71901,363,412.0,412.0,398.0
2026-04-02,6.0,1.48,411.0,,34839,201,400.1,414.0,399.0
2026-04-01,-15.0,-3.57,405.0,,58345,297,417.0,420.0,405.0
2026-03-31,5.1,1.23,420.0,,41097,207,410.0,423.1,410.0
2026-03-30,2.7,0.66,414.9,,73623,339,410.0,417.0,407.1
2026-03-29,-15.8,-3.69,412.2,,88443,382,427.0,427.0,412.2
2026-03-26,0.0,0.0,428.0,,67997,260,426.0,429.0,420.0
2026-03-25,-6.9,-1.59,428.0,,52224,325,434.0,435.1,428.0
2026-03-24,-1.1,-0.25,434.9,,104468,369,435.0,439.6,430.0
