DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.0,1.3,234.0,,59947,311,230.0,234.0,230.0
2026-05-07,0.0,0.0,231.0,,62281,292,231.0,232.5,228.6
2026-05-06,1.0,0.43,231.0,,85095,373,233.0,233.0,229.0
2026-05-05,1.0,0.44,230.0,,63807,380,230.0,231.8,228.0
2026-05-04,-2.0,-0.87,229.0,,85181,433,219.5,232.8,219.5
2026-04-30,1.0,0.43,231.0,,77576,422,231.0,232.2,227.0
2026-04-29,-2.0,-0.86,230.0,,85732,443,230.0,233.8,228.4
2026-04-28,-3.0,-1.28,232.0,,214442,711,237.0,237.0,228.0
2026-04-27,2.5,1.08,235.0,,74903,430,232.5,235.0,232.0
2026-04-24,-0.5,-0.21,232.5,,74675,359,232.0,236.0,230.0
2026-04-23,-1.1,-0.47,233.0,,48025,279,236.0,236.0,231.1
2026-04-22,-0.9,-0.38,234.1,,88657,401,235.0,236.9,232.2
2026-04-21,-2.0,-0.84,235.0,,95056,360,237.0,239.9,234.5
2026-04-20,0.0,0.0,237.0,,78035,406,240.0,240.0,234.2
2026-04-17,-1.0,-0.42,237.0,,82417,369,240.0,242.0,234.5
2026-04-16,-2.0,-0.83,238.0,,78489,407,240.0,240.0,237.3
2026-04-15,2.0,0.84,240.0,,129675,526,240.5,242.7,236.0
2026-04-13,0.1,0.04,238.0,,50348,350,237.9,240.0,237.0
2026-04-10,-2.1,-0.87,237.9,,195135,580,240.0,243.0,234.0
2026-04-09,1.5,0.63,240.0,,127776,523,240.0,241.8,236.0
2026-04-08,3.5,1.49,238.5,,130276,532,239.7,239.7,230.5
2026-04-07,-2.8,-1.18,235.0,,124563,599,240.4,240.5,233.5
2026-04-06,8.5,3.71,237.8,,160876,769,228.0,238.1,226.1
2026-04-05,-7.0,-2.96,229.3,,308041,948,235.0,235.0,227.7
2026-04-02,-2.7,-1.13,236.3,,167409,641,242.0,242.0,235.0
2026-04-01,-5.0,-2.05,239.0,,388885,783,244.0,245.5,236.2
2026-03-31,3.0,1.24,244.0,,210803,640,241.0,246.8,240.0
2026-03-30,-5.1,-2.07,241.0,,310899,788,245.0,250.0,240.4
2026-03-29,-8.7,-3.41,246.1,,285651,971,254.0,254.0,246.1
2026-03-26,2.2,0.87,254.8,,490207,904,247.6,256.0,247.6
2026-03-25,-7.4,-2.85,252.6,,343362,804,260.0,260.0,252.0
2026-03-24,4.3,1.68,260.0,,288592,875,260.8,260.8,252.0
2026-03-23,-1.2,-0.47,255.7,,343618,990,257.9,258.9,251.0
2026-03-22,7.9,3.17,256.9,,790003,1829,253.9,258.2,250.0
2026-03-19,8.0,3.32,249.0,,413913,1167,237.0,251.0,237.0
2026-03-17,2.0,0.84,241.0,,100120,471,239.1,241.0,237.7
2026-03-16,-5.3,-2.17,239.0,,107705,503,244.3,244.3,238.4
2026-03-15,0.0,0.0,244.3,,220578,773,245.0,249.0,243.6
2026-03-12,4.6,1.92,244.3,,274074,730,244.4,248.0,236.0
2026-03-11,-5.9,-2.4,239.7,,125179,633,250.0,250.0,239.5
2026-03-10,-4.4,-1.76,245.6,,461869,1653,254.0,255.0,240.1
2026-03-09,19.0,8.23,250.0,7.1,2979,11,235.6,250.0,235.6
2026-03-03,3.0,1.32,231.0,,118156,419,232.5,232.5,221.5
2026-03-01,1.3,0.57,228.0,,115599,373,231.2,231.2,224.5
2026-02-26,1.8,0.8,226.7,,75123,272,229.3,229.3,225.0
2026-02-25,0.9,0.4,224.9,98.68,44087,250,224.0,225.0,222.0
2026-02-24,2.9,1.31,224.0,,67421,273,225.0,225.0,221.1
2026-02-23,-0.2,-0.09,221.1,,115620,404,224.0,224.0,220.5
2026-02-22,-1.9,-0.85,221.3,,132847,524,223.2,225.0,220.6
2026-02-17,-1.0,-0.45,223.2,,71273,378,224.0,225.0,223.1
2026-02-16,-0.7,-0.31,224.2,95.78,42658,318,229.0,229.0,224.0
2026-02-12,-1.1,-0.49,224.9,,92347,343,226.0,226.2,224.5
2026-02-11,1.5,0.67,226.0,,95890,335,228.9,229.4,224.1
2026-02-10,-0.1,-0.04,224.5,,78846,348,223.8,225.0,223.2
2026-02-09,-1.1,-0.49,224.6,,92658,407,227.0,227.0,223.8
2026-02-08,0.3,0.13,225.7,,92958,396,226.1,228.1,225.4
2026-02-05,-0.4,-0.18,225.4,,99731,427,227.5,227.5,225.0
2026-02-04,-0.3,-0.13,225.8,,109146,318,221.6,228.9,221.6
2026-02-03,-1.7,-0.75,226.1,,59078,279,226.1,228.0,224.0
2026-02-02,-0.1,-0.04,227.8,,53749,268,223.4,229.0,223.4
2026-02-01,1.3,0.57,227.9,,111683,379,228.9,228.9,226.1
2026-01-29,-1.9,-0.83,226.6,,151135,536,229.9,231.0,225.8
2026-01-28,-1.1,-0.48,228.5,,156966,523,229.0,229.8,225.0
2026-01-27,-3.3,-1.42,229.6,,130359,411,234.9,234.9,229.6
2026-01-26,-0.1,-0.04,232.9,,192953,663,233.0,238.0,231.3
2026-01-25,5.0,2.19,233.0,,245949,655,229.0,233.5,229.0
2026-01-22,-0.9,-0.39,228.0,,69966,323,228.5,229.7,227.1
2026-01-21,-1.1,-0.48,228.9,,207746,497,228.0,234.9,227.0
2026-01-20,1.8,0.79,230.0,,389051,699,232.7,234.1,228.0
2026-01-18,2.2,0.97,228.2,,111936,399,225.0,228.5,225.0
2026-01-14,-0.9,-0.4,226.0,,81854,365,226.1,228.0,225.0
2026-01-13,-1.1,-0.48,226.9,,52290,275,225.3,229.8,225.3
2026-01-12,0.0,0.0,228.0,,125875,415,232.5,232.5,225.0
2026-01-08,0.0,0.0,228.0,,60878,302,226.3,230.0,225.5
2026-01-07,-0.5,-0.22,228.0,,55204,230,230.0,230.0,226.6
2026-01-06,-1.5,-0.65,228.5,,55124,305,230.0,231.0,228.0
2026-01-05,3.9,1.72,230.0,,141991,446,226.1,230.0,224.9
2026-01-04,-0.9,-0.4,226.1,,53394,250,229.9,229.9,226.1
2026-01-01,-1.0,-0.44,227.0,91.97,40289,189,231.0,231.0,226.8
2025-12-31,-1.9,-0.83,228.0,,67132,290,230.0,232.0,228.0
2025-12-29,0.1,0.04,229.9,,100390,309,233.2,233.2,227.5
2025-12-28,1.8,0.79,229.8,,171040,479,229.0,230.0,224.5
2025-12-24,4.0,1.79,228.0,,89036,351,224.0,228.0,222.7
2025-12-23,-0.5,-0.22,224.0,,68164,265,224.5,226.0,223.0
2025-12-22,-1.4,-0.62,224.5,,52274,219,225.0,226.5,224.1
2025-12-21,-0.1,-0.04,225.9,,65870,307,226.0,228.0,225.0
2025-12-18,-1.0,-0.44,226.0,,63026,288,225.7,227.6,225.7
2025-12-17,0.8,0.35,227.0,,72596,268,228.9,228.9,225.7
2025-12-16,-0.5,-0.22,226.2,,64941,254,227.0,227.9,224.5
2025-12-15,2.7,1.21,226.7,,89120,301,223.0,226.9,222.9
2025-12-14,0.5,0.22,224.0,,73492,320,223.5,225.0,222.6
2025-12-11,-0.1,-0.04,223.5,,66611,285,226.0,226.0,222.6
2025-12-10,-0.3,-0.13,223.6,,63538,270,223.1,225.0,223.1
2025-12-09,-0.6,-0.27,223.9,,64370,255,227.0,227.0,223.0
2025-12-08,-1.5,-0.66,224.5,,49425,284,229.8,229.8,223.1
2025-12-07,1.0,0.44,226.0,,89809,385,221.0,226.0,221.0
2025-12-03,-2.5,-1.1,225.0,,91971,312,228.5,228.5,224.1
2025-12-02,0.5,0.22,227.5,,60803,203,227.0,229.0,226.2
2025-12-01,-3.0,-1.3,227.0,,52719,259,230.0,230.0,226.9
2025-11-30,-0.7,-0.3,230.0,,97589,364,230.0,234.8,229.9
2025-11-27,1.0,0.44,230.7,,91962,335,230.9,232.0,228.0
2025-11-26,0.9,0.39,229.7,,79063,337,228.0,231.8,226.7
2025-11-25,0.9,0.39,228.8,,101726,293,227.1,229.0,225.0
2025-11-24,4.4,1.97,227.9,,102265,356,224.0,228.0,224.0
2025-11-23,1.6,0.72,223.5,,105301,408,222.0,224.0,221.0
2025-11-20,-2.0,-0.89,221.9,,277777,623,223.9,224.8,218.9
2025-11-19,-0.6,-0.27,223.9,,56872,316,226.9,226.9,223.0
2025-11-18,0.0,0.0,224.5,,52253,306,224.1,227.0,224.1
2025-11-17,-1.5,-0.66,224.5,,92697,372,225.1,227.7,224.4
2025-11-16,-0.1,-0.04,226.0,,102360,349,227.0,228.4,224.0
2025-11-13,0.6,0.27,226.1,,88086,377,226.0,228.3,225.1
2025-11-12,-1.5,-0.66,225.5,,136513,340,227.0,228.9,223.5
2025-11-11,0.1,0.04,227.0,,164406,356,229.0,231.9,226.6
2025-11-10,-2.1,-0.92,226.9,,102425,311,229.0,232.0,226.1
2025-11-09,-1.0,-0.43,229.0,,194076,459,231.5,233.0,228.4
2025-11-06,-5.0,-2.13,230.0,,77053,306,232.0,235.0,230.0
2025-11-05,4.8,2.09,235.0,,383151,538,229.3,249.0,226.0
