DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.1,1.06,771.0,13.03,1697,49,769.9,772.8,752.5
2026-05-07,18.9,2.54,762.9,27.91,3712,74,744.0,763.8,733.3
2026-05-06,6.0,0.81,744.0,15.68,2119,36,730.0,744.9,730.0
2026-05-05,-2.1,-0.28,738.0,15.99,2159,49,740.0,747.0,738.0
2026-05-04,-9.9,-1.32,740.1,16.51,2221,48,750.0,750.0,740.1
2026-04-30,-2.0,-0.27,750.0,18.12,2432,42,740.2,753.0,740.0
2026-04-29,-11.0,-1.44,752.0,28.44,3784,39,763.0,763.0,749.2
2026-04-28,-5.0,-0.65,763.0,49.18,6516,97,768.0,769.8,748.2
2026-04-27,6.0,0.79,768.0,10.1,1328,42,762.0,770.0,757.2
2026-04-24,-5.9,-0.77,762.0,16.23,2149,43,750.0,762.0,745.0
2026-04-23,-6.5,-0.84,767.9,34.46,4531,44,756.0,767.9,756.0
2026-04-22,-0.6,-0.08,774.4,33.64,4429,62,776.0,776.0,756.0
2026-04-21,-3.5,-0.45,775.0,47.84,6244,69,778.5,778.5,761.0
2026-04-20,8.6,1.12,778.5,17.73,2294,41,753.0,779.0,753.0
2026-04-17,-3.1,-0.4,769.9,36.11,4721,62,775.0,775.0,761.0
2026-04-16,-7.0,-0.9,773.0,57.08,7426,73,780.0,789.0,766.0
2026-04-15,-5.0,-0.64,780.0,74.23,9528,114,799.5,799.5,773.0
2026-04-13,0.6,0.08,785.0,30.17,3869,66,769.0,800.0,769.0
2026-04-10,-5.6,-0.71,784.4,17.87,2288,42,775.1,790.0,775.1
2026-04-09,14.0,1.8,790.0,41.1,5247,124,776.0,790.0,764.0
2026-04-08,14.0,1.84,776.0,39.86,5157,80,762.0,776.2,760.0
2026-04-07,-8.0,-1.04,762.0,34.43,4485,79,765.0,780.0,756.5
2026-04-06,12.0,1.58,770.0,74.97,9825,79,765.0,772.0,760.0
2026-04-05,-17.0,-2.19,758.0,87.04,11461,105,768.0,775.0,755.0
2026-04-02,-4.0,-0.51,775.0,59.02,7593,67,775.1,781.3,765.0
2026-04-01,-16.0,-2.01,779.0,37.56,4815,86,781.0,790.0,770.0
2026-03-31,0.0,0.0,795.0,42.73,5433,86,803.0,803.0,776.2
2026-03-30,-5.0,-0.62,795.0,79.75,10090,115,800.0,802.9,781.1
2026-03-29,-14.0,-1.72,800.0,,15695,128,804.5,815.0,800.0
2026-03-26,1.0,0.12,814.0,90.45,11182,103,813.0,816.8,801.2
2026-03-25,-7.0,-0.85,813.0,,18284,149,820.0,824.8,813.0
2026-03-24,-5.0,-0.61,820.0,99.31,12089,161,825.0,833.8,815.1
2026-03-23,-10.9,-1.3,825.0,,12811,160,835.9,844.5,819.2
2026-03-22,39.0,4.89,835.9,,33922,372,808.0,843.8,800.0
2026-03-19,11.9,1.52,796.9,82.08,10374,142,799.8,799.8,782.2
2026-03-17,-4.0,-0.51,785.0,14.18,1816,41,789.0,789.0,777.0
2026-03-16,-7.0,-0.88,789.0,67.25,8518,78,793.1,802.0,783.2
2026-03-15,-8.0,-1.0,796.0,70.08,8783,95,796.0,810.0,790.0
2026-03-12,4.0,0.5,804.0,80.2,9977,100,800.0,810.0,790.1
2026-03-11,0.0,0.0,800.0,66.79,8397,85,800.0,808.0,787.0
2026-03-10,7.7,0.97,800.0,,24294,272,808.1,823.0,792.3
2026-03-09,15.5,2.0,792.3,,10,1,792.3,792.3,792.3
2026-03-03,14.8,1.94,776.8,39.27,5124,53,772.8,776.8,760.0
2026-03-01,6.8,0.9,762.0,31.07,4111,60,755.2,768.9,727.1
2026-02-26,0.2,0.03,755.2,24.97,3294,45,750.0,765.0,746.1
2026-02-25,5.0,0.67,755.0,33.7,4502,62,751.0,763.0,744.1
2026-02-24,8.0,1.08,750.0,8.1,1088,27,735.0,754.8,735.0
2026-02-23,-10.0,-1.33,742.0,63.96,8577,158,760.0,767.0,740.0
2026-02-22,-0.8,-0.11,752.0,33.39,4438,71,767.8,767.8,748.2
2026-02-17,-9.4,-1.23,752.8,45.21,5980,100,763.0,763.0,752.8
2026-02-16,2.2,0.29,762.2,16.03,2101,48,761.0,774.0,761.0
2026-02-12,-3.0,-0.39,760.0,52.49,6892,85,763.0,768.0,756.3
2026-02-11,-2.0,-0.26,763.0,33.21,4340,62,775.0,775.0,755.1
2026-02-10,-2.0,-0.26,765.0,38.77,5095,76,765.0,767.0,758.0
2026-02-09,1.8,0.24,767.0,34.86,4565,82,780.5,780.5,760.0
2026-02-08,-10.8,-1.39,765.2,81.04,10517,132,776.0,785.0,765.0
2026-02-05,9.0,1.17,776.0,29.34,3800,66,768.0,778.0,765.0
2026-02-04,-7.8,-1.01,767.0,23.02,2995,50,788.0,788.0,766.6
2026-02-03,3.8,0.49,774.8,35.71,4631,74,767.1,780.0,767.1
2026-02-02,-1.1,-0.14,771.0,24.16,3120,64,765.2,779.7,765.2
2026-02-01,-6.1,-0.78,772.1,48.76,6279,91,767.0,790.0,767.0
2026-01-29,-2.8,-0.36,778.2,74.14,9449,116,795.0,796.5,778.0
2026-01-28,-5.0,-0.64,781.0,47.87,6104,108,786.0,799.8,771.0
2026-01-27,-13.0,-1.63,786.0,74.25,9343,105,812.5,814.5,785.0
2026-01-26,-9.1,-1.13,799.0,,13754,165,810.0,816.0,799.0
2026-01-25,18.1,2.29,808.1,92.67,11466,137,790.1,816.0,790.1
2026-01-22,-10.0,-1.25,790.0,57.58,7279,105,816.0,816.0,786.0
