DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,9.7,1.59,619.7,29.62,4819,43,620.0,620.0,607.0
2026-05-07,7.0,1.16,610.0,26.63,4388,40,600.0,615.0,598.0
2026-05-06,1.0,0.17,603.0,32.95,5483,64,610.1,612.0,597.0
2026-05-05,-7.0,-1.15,602.0,49.25,8142,75,600.0,615.0,599.0
2026-05-04,-11.2,-1.81,609.0,33.88,5543,66,620.0,620.0,603.0
2026-04-30,-3.8,-0.61,620.2,32.15,5197,37,612.0,623.0,611.2
2026-04-29,2.5,0.4,624.0,37.55,6071,50,623.0,624.0,616.0
2026-04-28,-5.5,-0.88,621.5,41.48,6652,53,627.0,625.0,621.0
2026-04-27,2.0,0.32,627.0,29.79,4752,54,625.0,634.9,625.0
2026-04-24,0.5,0.08,625.0,31.51,5086,63,624.5,628.0,617.0
2026-04-23,1.4,0.22,624.5,87.62,14124,100,624.0,625.0,618.0
2026-04-22,0.6,0.1,623.1,99.35,15955,135,620.0,635.0,619.0
2026-04-21,-5.5,-0.88,622.5,54.55,8712,67,631.0,640.0,622.5
2026-04-20,-7.0,-1.1,628.0,30.53,4830,63,650.0,650.0,627.0
2026-04-17,-8.0,-1.24,635.0,55.39,8746,52,640.0,640.0,630.2
2026-04-16,-5.0,-0.77,643.0,,18417,112,648.0,654.9,630.0
2026-04-15,4.8,0.75,648.0,44.83,6899,80,655.9,655.9,646.0
2026-04-13,-4.9,-0.76,643.2,37.59,5823,58,658.9,658.9,643.2
2026-04-10,-5.9,-0.9,648.1,,29762,132,652.0,659.9,643.1
2026-04-09,12.0,1.87,654.0,,18037,106,644.0,654.8,640.0
2026-04-08,7.0,1.1,642.0,62.03,9691,76,647.0,647.0,635.0
2026-04-07,-5.0,-0.78,635.0,90.67,14289,109,640.0,650.0,628.3
2026-04-06,13.5,2.15,640.0,,34995,250,624.0,654.0,620.0
2026-04-05,-20.5,-3.17,626.5,,28121,210,636.0,640.2,622.4
2026-04-02,1.0,0.15,647.0,,21987,157,640.0,663.0,630.2
2026-04-01,-25.0,-3.73,646.0,,26515,209,671.0,671.0,645.0
2026-03-31,18.0,2.76,671.0,,17828,148,650.0,673.0,648.0
2026-03-30,-19.0,-2.83,653.0,,23968,182,660.0,684.0,652.0
2026-03-29,-18.0,-2.61,672.0,,29278,205,703.8,703.8,665.0
2026-03-26,7.0,1.02,690.0,,16696,143,687.0,690.0,676.0
2026-03-25,-17.0,-2.43,683.0,,27531,212,713.7,713.7,680.0
2026-03-24,-5.0,-0.71,700.0,,38105,195,706.0,706.0,691.0
2026-03-23,3.0,0.43,705.0,,25115,167,716.0,716.0,695.1
2026-03-22,20.0,2.93,702.0,,59281,349,695.0,706.0,685.1
2026-03-19,11.0,1.64,682.0,,33851,227,684.0,685.0,662.0
2026-03-17,-2.3,-0.34,671.0,99.08,14810,135,660.0,680.0,660.0
2026-03-16,-13.6,-1.98,673.3,81.48,12032,130,688.0,689.9,670.3
2026-03-15,4.6,0.67,686.9,,29227,173,690.0,690.0,677.0
2026-03-12,0.3,0.04,682.3,,25692,176,685.0,695.0,676.1
2026-03-11,-18.0,-2.57,682.0,,32128,219,708.0,708.0,675.0
2026-03-10,-15.7,-2.19,700.0,,95271,668,725.0,725.0,688.0
2026-03-09,41.1,6.09,715.7,1.57,220,5,688.0,715.7,688.0
2026-03-03,16.6,2.52,674.6,,20087,176,658.0,674.6,650.0
2026-03-01,23.0,3.62,658.0,,38588,279,629.0,670.0,611.3
2026-02-26,7.0,1.11,635.0,45.09,7116,66,628.0,638.0,628.0
2026-02-25,-5.0,-0.79,628.0,55.89,8852,66,637.59,640.0,628.0
2026-02-24,7.9,1.26,633.0,56.85,9044,55,622.1,634.8,622.1
2026-02-23,4.1,0.66,625.1,92.4,14768,90,633.0,640.0,616.0
2026-02-22,-19.0,-2.97,621.0,91.12,14536,115,635.0,638.0,620.0
2026-02-17,-10.0,-1.54,640.0,,23457,114,644.0,651.0,637.1
2026-02-16,9.0,1.4,650.0,,23838,123,649.9,656.8,643.0
2026-02-12,6.0,0.94,641.0,,25505,168,628.0,655.0,628.0
2026-02-11,-3.0,-0.47,635.0,74.73,11708,89,649.0,649.0,635.0
2026-02-10,-12.0,-1.85,638.0,,27090,193,652.0,652.0,633.2
2026-02-09,-15.0,-2.26,650.0,,27846,204,662.0,664.0,645.0
2026-02-08,7.7,1.17,665.0,,45416,287,659.0,680.0,657.0
2026-02-05,3.3,0.5,657.3,,25668,191,655.0,667.0,654.0
2026-02-04,-7.8,-1.18,654.0,,37748,271,651.0,667.5,651.0
2026-02-03,-10.2,-1.52,661.8,,27408,190,662.5,672.5,656.0
2026-02-02,-10.0,-1.47,672.0,,38609,264,677.0,684.9,662.0
2026-02-01,7.0,1.04,682.0,,88596,551,688.0,695.0,658.0
2026-01-29,-14.8,-2.15,675.0,,55630,310,703.0,706.0,666.0
2026-01-28,23.0,3.45,689.8,,58487,377,670.0,691.0,670.0
2026-01-27,-29.0,-4.17,666.8,,67612,509,696.0,699.0,665.0
2026-01-26,-8.2,-1.16,695.8,,81674,556,703.2,709.5,685.0
2026-01-25,-18.0,-2.49,704.0,,56739,441,725.0,730.0,700.0
2026-01-22,37.0,5.4,722.0,,86514,650,685.0,724.0,684.5
2026-01-21,-15.1,-2.16,685.0,,46315,347,700.0,708.0,676.3
2026-01-20,-9.9,-1.39,700.1,,98589,675,724.2,738.0,691.4
2026-01-18,46.0,6.93,710.0,,109933,730,660.0,712.0,660.0
2026-01-14,36.0,5.73,664.0,,95147,729,630.0,673.0,628.0
2026-01-13,-4.0,-0.63,628.0,,24583,139,639.8,639.8,625.0
2026-01-12,7.1,1.14,632.0,,50818,251,625.0,642.0,625.0
2026-01-08,-13.1,-2.05,624.9,,46772,226,647.5,647.5,624.5
2026-01-07,0.1,0.02,638.0,,57024,354,644.0,650.6,627.0
2026-01-06,33.0,5.46,637.9,,73056,486,611.0,648.7,606.0
2026-01-05,16.9,2.87,604.9,,46675,272,593.0,605.0,591.5
2026-01-04,-2.0,-0.34,588.0,,21382,110,590.0,595.0,582.0
2026-01-01,2.0,0.34,590.0,,29870,143,591.0,591.0,578.2
2025-12-31,3.2,0.55,588.0,52.14,8887,71,589.9,593.7,581.0
2025-12-29,9.9,1.72,584.8,,30556,174,585.9,594.8,579.0
2025-12-28,18.8,3.38,574.9,,18068,147,567.2,575.0,562.0
2025-12-24,-8.9,-1.58,556.1,,24313,109,568.0,574.0,555.0
2025-12-23,-4.0,-0.7,565.0,88.62,15778,102,565.0,566.1,560.0
2025-12-22,-1.0,-0.18,569.0,97.9,17335,95,581.4,581.4,560.0
2025-12-21,-11.2,-1.93,570.0,,19831,119,581.2,581.2,566.3
2025-12-18,-15.5,-2.6,581.2,75.94,12936,116,598.0,598.0,581.2
2025-12-17,4.2,0.71,596.7,66.01,11085,88,598.9,600.0,587.0
2025-12-16,1.5,0.25,592.5,26.23,4455,45,590.0,593.9,586.0
2025-12-15,18.0,3.14,591.0,56.79,9830,66,575.0,591.0,571.0
2025-12-14,-4.0,-0.69,573.0,27.86,4853,68,588.0,588.0,571.0
2025-12-11,-3.0,-0.52,577.0,30.36,5237,43,585.0,587.5,577.0
2025-12-10,-15.0,-2.52,580.0,55.59,9505,76,591.0,591.0,577.4
2025-12-09,0.1,0.02,595.0,9.99,1691,30,590.1,596.0,590.0
