DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.1,3.49,240.0,,72288,259,233.0,240.0,232.0
2026-05-07,-0.1,-0.04,231.9,,51383,192,232.0,233.9,230.0
2026-05-06,1.5,0.65,232.0,,49699,176,233.0,234.0,230.0
2026-05-05,3.1,1.36,230.5,,44415,211,229.0,235.0,227.0
2026-05-04,-6.6,-2.82,227.4,,78752,282,234.9,235.0,227.1
2026-04-30,0.0,0.0,234.0,,92953,307,228.7,237.0,227.0
2026-04-29,-4.0,-1.68,234.0,,46453,183,238.0,240.0,233.6
2026-04-28,-3.5,-1.45,238.0,,70705,197,241.5,248.5,237.3
2026-04-27,-0.5,-0.21,241.5,,57189,226,242.0,246.7,241.0
2026-04-24,1.1,0.46,242.0,,86633,250,235.0,242.0,233.0
2026-04-23,-2.1,-0.86,240.9,,63212,198,240.1,243.9,238.0
2026-04-22,-1.9,-0.78,243.0,,194397,478,245.0,249.0,235.0
2026-04-21,-4.9,-1.96,244.9,,88109,250,248.3,251.1,242.4
2026-04-20,-3.2,-1.26,249.8,,88185,248,255.0,259.7,245.0
2026-04-17,-1.0,-0.39,253.0,,171511,424,249.0,256.0,248.1
2026-04-16,-9.1,-3.46,254.0,,147316,454,258.0,262.0,250.5
2026-04-15,5.1,1.98,263.1,,222352,557,262.8,268.0,259.0
2026-04-13,2.0,0.78,258.0,,153192,392,255.0,260.0,255.0
2026-04-10,-2.5,-0.97,256.0,,263522,570,260.0,263.0,253.7
2026-04-09,10.5,4.23,258.5,,252210,614,250.0,261.0,245.0
2026-04-08,6.0,2.48,248.0,,132082,352,242.0,248.5,240.0
2026-04-07,-1.5,-0.62,242.0,,175401,562,246.0,250.8,240.3
2026-04-06,15.6,6.85,243.5,,296938,793,232.0,246.8,230.0
2026-04-05,-9.5,-4.0,227.9,,214244,621,237.4,237.4,225.1
2026-04-02,-2.5,-1.04,237.4,,235745,530,239.9,246.0,233.0
2026-04-01,-12.4,-4.91,239.9,,216834,699,248.0,256.0,237.0
2026-03-31,1.3,0.52,252.3,,237201,685,251.1,256.9,246.0
2026-03-30,-10.2,-3.91,251.0,,226485,661,261.2,265.0,250.1
2026-03-29,-12.3,-4.5,261.2,,290595,808,278.0,278.0,261.0
2026-03-26,3.5,1.3,273.5,,241466,649,274.0,274.3,267.6
2026-03-25,-4.3,-1.57,270.0,,275333,687,268.9,277.0,268.9
2026-03-24,0.3,0.11,274.3,,246023,623,277.0,279.1,273.0
2026-03-23,-2.0,-0.72,274.0,,386685,758,281.5,281.5,269.0
2026-03-22,-7.4,-2.61,276.0,,673229,1598,289.0,289.0,272.0
2026-03-19,0.2,0.07,283.4,,835647,1813,285.0,290.0,280.3
2026-03-17,15.3,5.71,283.2,,987533,2169,268.0,285.6,263.0
2026-03-16,-4.1,-1.51,267.9,,271711,747,266.6,274.5,265.0
2026-03-15,-1.0,-0.37,272.0,,489402,1186,278.4,278.4,267.0
2026-03-12,9.0,3.41,273.0,,636517,1538,268.9,275.0,262.8
2026-03-11,8.0,3.12,264.0,,649945,1472,261.1,268.0,252.0
2026-03-10,-7.1,-2.7,256.0,,453102,1179,268.0,268.0,249.0
2026-03-09,21.6,8.94,263.1,51.46,19879,22,246.3,263.1,246.3
2026-03-03,3.5,1.47,241.5,,206793,368,238.0,245.0,237.2
2026-03-01,-2.0,-0.83,238.0,,73959,206,238.0,239.5,231.4
2026-02-26,5.0,2.13,240.0,,89980,246,238.0,244.4,232.5
2026-02-25,1.0,0.43,235.0,,107101,246,238.0,238.0,233.0
2026-02-24,7.0,3.08,234.0,,84160,258,230.0,235.4,227.0
2026-02-23,-4.3,-1.86,227.0,,89725,292,230.5,235.0,226.5
2026-02-22,-8.7,-3.62,231.3,,115586,366,244.8,244.8,231.0
2026-02-17,-7.0,-2.83,240.0,,317369,680,249.0,251.9,236.0
2026-02-16,-9.9,-3.85,247.0,,317555,551,262.0,262.0,245.4
2026-02-12,-3.1,-1.19,256.9,,432655,1072,255.0,264.9,252.0
2026-02-11,14.0,5.69,260.0,,506940,1301,250.0,261.0,245.2
2026-02-10,-11.0,-4.28,246.0,,322376,828,252.1,260.0,244.2
2026-02-09,2.5,0.98,257.0,,593501,1232,249.5,264.5,249.0
2026-02-08,1.0,0.39,254.5,,589736,1682,258.5,266.9,253.0
2026-02-05,22.3,9.65,253.5,,844855,2251,232.0,254.3,230.1
2026-02-04,4.1,1.81,231.2,,102655,305,231.6,231.6,226.3
2026-02-03,-5.4,-2.32,227.1,,163756,419,232.2,236.0,225.5
2026-02-02,-3.5,-1.48,232.5,,103891,323,239.9,239.9,232.5
2026-02-01,-2.8,-1.17,236.0,,206439,586,242.0,244.7,235.8
2026-01-29,10.8,4.74,238.8,,610724,1808,232.5,247.8,230.7
2026-01-28,2.0,0.88,228.0,,136294,349,227.0,228.8,222.0
2026-01-27,-4.1,-1.78,226.0,,217899,556,234.7,234.9,224.0
2026-01-26,-6.4,-2.71,230.1,,286891,622,237.9,238.2,227.1
2026-01-25,2.5,1.07,236.5,,305734,623,237.9,239.3,229.4
2026-01-22,4.0,1.74,234.0,,174514,554,233.0,235.6,229.0
2026-01-21,8.2,3.7,230.0,,332915,998,226.2,234.0,219.1
2026-01-20,9.8,4.62,221.8,,177134,523,214.2,222.2,214.0
2026-01-18,1.0,0.47,212.0,,62923,209,212.9,213.4,210.3
2026-01-14,0.9,0.43,211.0,,87235,180,210.2,213.0,209.0
2026-01-13,0.1,0.05,210.1,,54177,166,211.9,212.0,209.0
2026-01-12,-1.6,-0.76,210.0,,56515,168,213.8,214.6,209.0
2026-01-08,0.7,0.33,211.6,,62160,161,213.0,213.8,208.2
2026-01-07,-2.4,-1.13,210.9,77.93,36846,104,214.0,214.0,210.0
2026-01-06,1.9,0.9,213.3,,66798,218,212.9,216.3,210.3
2026-01-05,1.5,0.71,211.4,49.02,23391,152,210.0,211.7,207.4
2026-01-04,-1.8,-0.85,209.9,83.38,39909,123,208.7,212.0,208.0
2026-01-01,0.1,0.05,211.7,55.02,26214,114,211.0,211.8,209.0
2025-12-31,0.1,0.05,211.6,,52426,144,213.0,214.0,210.2
2025-12-29,-1.4,-0.66,211.5,49.66,23508,119,215.0,215.0,210.0
2025-12-28,5.9,2.85,212.9,,48095,154,208.0,212.9,207.0
2025-12-24,-1.0,-0.48,207.0,50.25,24343,106,206.0,210.0,205.3
2025-12-23,0.1,0.05,208.0,50.59,24463,112,205.0,209.0,205.0
2025-12-22,-0.1,-0.05,207.9,73.01,35343,142,205.4,208.1,205.4
2025-12-21,-2.7,-1.28,208.0,48.08,23099,118,206.6,210.0,206.6
2025-12-18,1.7,0.81,210.7,82.92,39561,141,209.1,211.0,208.6
2025-12-17,-2.0,-0.95,209.0,88.73,42182,117,210.7,212.9,209.0
2025-12-16,1.2,0.57,211.0,53.95,25567,106,212.0,212.6,208.5
2025-12-15,0.9,0.43,209.8,32.02,15303,95,213.0,213.0,207.0
2025-12-14,-1.6,-0.76,208.9,47.59,22772,104,211.0,212.4,208.1
2025-12-11,-0.2,-0.09,210.5,72.14,34369,125,210.0,212.0,209.0
2025-12-10,-0.8,-0.38,210.7,74.78,35478,119,210.6,213.5,210.1
2025-12-09,-0.4,-0.19,211.5,63.47,30016,123,210.5,213.9,209.0
2025-12-08,0.0,0.0,211.9,36.76,17297,100,210.0,214.0,210.0
2025-12-07,-0.6,-0.28,211.9,75.3,35625,135,211.5,213.0,211.0
2025-12-03,-0.8,-0.38,212.5,,49400,183,213.3,215.5,212.0
2025-12-02,-1.7,-0.79,213.3,72.63,33914,130,217.0,217.0,213.2
2025-12-01,0.0,0.0,215.0,49.56,23051,105,215.0,216.9,213.2
2025-11-30,-4.7,-2.14,215.0,,117679,199,224.0,224.0,214.1
2025-11-27,2.0,0.92,219.7,,49563,151,217.0,220.3,216.0
2025-11-26,-0.2,-0.09,217.7,88.32,40527,125,216.1,222.0,215.5
2025-11-25,-1.1,-0.5,217.9,74.3,34037,125,220.1,221.3,216.8
2025-11-24,0.7,0.32,219.0,,46821,171,217.0,221.0,217.0
2025-11-23,5.4,2.54,218.3,,66824,229,210.0,221.0,210.0
2025-11-20,-0.1,-0.05,212.9,94.77,44725,114,213.0,214.6,210.5
2025-11-19,-2.9,-1.34,213.0,47.1,22077,108,216.0,216.0,212.2
2025-11-18,4.9,2.32,215.9,73.83,34316,146,213.0,217.5,213.0
2025-11-17,0.9,0.43,211.0,59.79,28337,112,214.0,214.0,208.3
2025-11-16,-2.4,-1.13,210.1,33.86,16088,76,210.7,212.0,209.9
2025-11-13,0.2,0.09,212.5,50.05,23624,101,214.0,214.0,209.8
2025-11-12,-0.6,-0.28,212.3,38.48,18163,89,215.0,215.0,211.0
2025-11-11,-1.1,-0.51,212.9,61.18,28698,114,218.2,218.2,211.0
2025-11-10,-1.0,-0.47,214.0,95.53,44859,156,213.0,216.9,210.0
