DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,18.0,1.64,1118.0,6.07,551,26,1093.0,1118.0,1084.1
2026-05-07,20.0,1.85,1100.0,10.95,1004,30,1089.0,1100.0,1080.0
2026-05-06,-7.5,-0.69,1080.0,15.24,1417,34,1080.0,1093.0,1075.0
2026-05-05,-20.0,-1.81,1087.5,7.79,712,26,1107.5,1107.5,1085.2
2026-05-04,7.3,0.66,1107.5,9.07,834,28,1100.2,1107.5,1081.0
2026-04-30,-19.8,-1.77,1100.2,66.17,6047,67,1100.0,1110.5,1076.7
2026-04-29,0.0,0.0,1120.0,14.89,1337,18,1120.0,1120.0,1111.0
2026-04-28,7.0,0.63,1120.0,14.65,1307,21,1113.0,1139.0,1112.0
2026-04-27,-1.0,-0.09,1113.0,11.36,1019,22,1114.0,1116.8,1110.0
2026-04-24,-3.0,-0.27,1114.0,7.58,679,15,1117.0,1120.0,1114.0
2026-04-23,-18.0,-1.59,1117.0,38.64,3488,40,1135.0,1135.0,1101.0
2026-04-22,4.6,0.41,1135.0,25.27,2239,38,1140.0,1152.0,1113.3
2026-04-21,-9.6,-0.84,1130.4,4.37,386,12,1130.1,1142.0,1130.1
2026-04-20,3.0,0.26,1140.0,,63,6,1137.0,1140.0,1130.0
2026-04-17,-13.0,-1.13,1137.0,6.72,595,17,1132.0,1149.0,1127.0
2026-04-16,-1.9,-0.16,1150.0,26.61,2313,38,1155.0,1155.0,1150.0
2026-04-15,7.9,0.69,1151.9,6.59,573,19,1150.0,1165.0,1150.0
2026-04-13,-6.5,-0.56,1144.0,7.36,642,8,1138.5,1150.0,1138.5
2026-04-10,-20.5,-1.75,1150.5,7.32,635,21,1150.6,1173.0,1150.1
2026-04-09,31.0,2.72,1171.0,10.3,889,36,1155.0,1172.0,1155.0
2026-04-08,8.0,0.71,1140.0,16.07,1408,32,1128.0,1147.5,1128.0
2026-04-07,-6.9,-0.61,1132.0,11.28,992,28,1157.7,1159.0,1120.5
2026-04-06,23.9,2.14,1138.9,71.48,6272,57,1115.0,1159.0,1115.0
2026-04-05,-39.6,-3.43,1115.0,34.73,3117,51,1132.3,1145.0,1105.1
2026-04-02,5.6,0.49,1154.6,18.93,1640,30,1126.5,1170.0,1126.2
2026-04-01,-46.0,-3.85,1149.0,35.14,3043,52,1173.0,1173.0,1149.0
2026-03-31,25.1,2.15,1195.0,55.18,4686,62,1157.1,1199.9,1155.0
2026-03-30,-22.1,-1.85,1169.9,27.45,2336,44,1174.0,1200.0,1159.0
2026-03-29,-28.3,-2.32,1192.0,31.86,2658,60,1210.0,1210.0,1192.0
2026-03-26,-6.7,-0.55,1220.3,25.54,2080,42,1250.0,1250.0,1220.0
2026-03-25,-17.5,-1.41,1227.0,68.81,5610,43,1244.5,1244.5,1210.3
2026-03-24,-21.5,-1.7,1244.5,29.65,2366,47,1266.0,1268.0,1236.0
2026-03-23,28.1,2.27,1266.0,,14389,138,1258.0,1280.0,1230.0
2026-03-22,49.9,4.2,1237.9,,9637,118,1171.0,1249.0,1169.0
2026-03-19,13.6,1.16,1188.0,37.84,3192,60,1156.0,1199.0,1156.0
2026-03-17,-15.6,-1.31,1174.4,2.68,229,9,1190.0,1190.0,1170.0
2026-03-16,-20.0,-1.65,1190.0,50.73,4277,24,1190.0,1199.5,1178.2
2026-03-15,10.0,0.83,1210.0,29.41,2475,47,1184.0,1210.0,1182.3
2026-03-12,6.1,0.51,1200.0,54.81,4554,46,1175.0,1219.9,1175.0
2026-03-11,-21.0,-1.73,1193.9,34.08,2853,48,1239.1,1239.1,1173.1
2026-03-10,41.9,3.57,1214.9,,10646,147,1196.4,1214.9,1185.0
2026-03-09,23.0,2.0,1173.0,,20,2,1173.0,1173.0,1173.0
2026-03-03,29.0,2.59,1150.0,13.37,1182,26,1112.1,1150.0,1112.0
2026-03-01,9.4,0.85,1121.0,11.78,1054,14,1106.0,1133.4,1106.0
2026-02-26,0.5,0.05,1111.6,7.54,672,14,1130.0,1132.0,1104.0
2026-02-25,-0.9,-0.08,1111.1,4.02,362,14,1111.0,1113.0,1111.0
2026-02-24,11.0,1.0,1112.0,20.51,1848,18,1100.0,1115.0,1100.0
2026-02-23,-7.0,-0.63,1101.0,11.39,1034,29,1108.0,1108.0,1100.0
2026-02-22,5.0,0.45,1108.0,6.29,565,18,1115.0,1125.0,1106.0
2026-02-17,-9.0,-0.81,1103.0,27.97,2522,45,1104.3,1134.0,1103.0
2026-02-16,1.4,0.13,1112.0,42.28,3802,47,1107.1,1115.0,1103.0
2026-02-12,-13.4,-1.19,1110.6,21.86,1964,56,1117.0,1120.0,1107.1
2026-02-11,8.0,0.72,1124.0,10.04,893,26,1138.1,1138.2,1117.1
2026-02-10,-25.9,-2.27,1116.0,47.71,4250,65,1141.9,1141.9,1115.0
2026-02-09,-25.1,-2.15,1141.9,50.39,4432,63,1153.1,1154.0,1105.0
2026-02-08,-7.0,-0.6,1167.0,8.47,726,17,1174.0,1180.0,1166.0
2026-02-05,10.0,0.86,1174.0,21.13,1802,41,1164.0,1187.2,1161.0
2026-02-04,-1.0,-0.09,1164.0,9.12,782,13,1186.0,1187.0,1164.0
2026-02-03,-28.5,-2.39,1165.0,4.61,394,10,1190.0,1193.5,1155.3
2026-02-02,23.4,2.0,1193.5,35.1,3009,55,1155.1,1193.5,1151.0
2026-02-01,-15.1,-1.27,1170.1,11.66,990,17,1185.2,1185.2,1166.4
2026-01-29,0.2,0.02,1185.2,19.68,1660,29,1185.0,1193.0,1176.1
2026-01-28,5.0,0.42,1185.0,51.37,4304,57,1180.0,1227.0,1172.0
2026-01-27,-17.0,-1.42,1180.0,66.39,5630,47,1196.0,1197.0,1170.0
2026-01-26,-7.8,-0.65,1197.0,31.47,2632,34,1224.0,1224.0,1190.0
2026-01-25,24.8,2.1,1204.8,45.79,3824,49,1180.0,1219.0,1180.0
2026-01-22,1.0,0.08,1180.0,50.02,4296,47,1160.1,1180.0,1160.1
2026-01-21,-4.0,-0.34,1179.0,11.35,974,29,1205.0,1205.0,1161.5
2026-01-20,13.0,1.11,1183.0,32.01,2701,36,1193.4,1198.9,1173.0
2026-01-18,7.0,0.6,1170.0,34.04,2920,42,1165.0,1183.5,1164.0
2026-01-14,12.0,1.04,1163.0,10.16,878,19,1151.0,1163.0,1151.0
2026-01-13,6.0,0.52,1151.0,25.8,2249,33,1140.0,1167.9,1140.0
2026-01-12,-5.0,-0.43,1145.0,39.36,3428,44,1150.0,1167.0,1145.0
2026-01-08,-8.0,-0.69,1150.0,19.21,1679,33,1135.3,1157.0,1135.2
2026-01-07,-5.9,-0.51,1158.0,25.05,2184,38,1164.0,1177.0,1140.0
2026-01-06,13.9,1.21,1163.9,29.15,2511,42,1139.0,1173.0,1139.0
2026-01-05,5.1,0.45,1150.0,15.78,1378,29,1145.0,1159.0,1128.0
2026-01-04,27.95,2.5,1144.9,17.16,1515,42,1117.3,1147.5,1117.0
2026-01-01,-10.0,-0.85,1170.0,46.46,3982,64,1182.0,1182.0,1160.1
2025-12-31,-8.0,-0.67,1180.0,20.39,1726,39,1175.0,1186.9,1175.0
2025-12-29,-2.0,-0.17,1188.0,14.13,1189,26,1190.0,1193.0,1185.0
2025-12-28,30.8,2.66,1190.0,34.36,2909,52,1160.0,1190.0,1160.0
2025-12-24,-10.8,-0.92,1159.2,47.05,4055,57,1160.0,1179.0,1159.0
2025-12-23,-10.0,-0.85,1170.0,22.7,1948,27,1170.0,1170.0,1162.0
2025-12-22,-7.9,-0.67,1180.0,42.74,3647,50,1199.0,1200.0,1162.0
2025-12-21,-72.1,-5.72,1187.9,,17200,196,1235.0,1235.0,1166.3
2025-12-18,-1.2,-0.1,1260.0,32.02,2550,31,1265.0,1265.0,1245.3
2025-12-17,1.2,0.1,1261.2,23.14,1828,22,1265.0,1268.9,1257.0
2025-12-16,-1.0,-0.08,1260.0,21.96,1747,31,1240.1,1274.3,1240.1
2025-12-15,-7.0,-0.55,1261.0,66.34,5159,30,1290.0,1290.0,1246.0
2025-12-14,-2.0,-0.16,1268.0,46.96,3741,38,1285.0,1285.0,1251.0
2025-12-11,-2.9,-0.23,1270.0,38.3,3031,31,1272.9,1275.0,1247.6
2025-12-10,16.9,1.35,1272.9,47.62,3789,33,1281.0,1281.0,1253.0
2025-12-09,-4.0,-0.32,1256.0,27.71,2158,38,1283.0,1298.9,1256.0
2025-12-08,-20.0,-1.56,1260.0,51.0,4035,40,1304.0,1304.0,1255.0
2025-12-07,9.0,0.71,1280.0,19.2,1519,35,1260.3,1280.0,1255.0
2025-12-03,-16.5,-1.28,1271.0,56.42,4396,47,1290.0,1298.0,1270.4
2025-12-02,-6.5,-0.5,1287.5,12.5,968,24,1294.0,1313.8,1285.0
2025-12-01,2.0,0.15,1294.0,30.82,2385,45,1315.4,1315.4,1270.2
2025-11-30,-7.0,-0.54,1292.0,82.95,6396,58,1299.0,1315.0,1290.0
2025-11-27,-26.0,-1.96,1299.0,25.25,1938,36,1324.9,1325.0,1299.0
2025-11-26,0.1,0.01,1325.0,,7846,106,1299.0,1350.0,1299.0
2025-11-25,39.9,3.11,1324.9,,11865,133,1294.0,1324.9,1270.0
2025-11-24,25.0,1.98,1285.0,99.81,7839,88,1258.0,1285.0,1239.0
2025-11-23,45.9,3.78,1260.0,64.27,5149,82,1215.1,1260.0,1215.1
2025-11-20,-12.8,-1.04,1214.1,20.04,1646,25,1224.9,1226.0,1214.1
2025-11-19,1.9,0.16,1226.9,14.12,1155,26,1248.0,1248.0,1213.4
2025-11-18,7.0,0.57,1225.0,50.28,4115,53,1220.0,1229.4,1207.0
2025-11-17,18.0,1.5,1218.0,16.74,1384,25,1200.0,1219.8,1200.0
2025-11-16,4.0,0.33,1200.0,11.91,996,22,1183.0,1211.0,1183.0
2025-11-13,7.9,0.66,1196.0,44.3,3696,48,1208.0,1208.0,1195.2
2025-11-12,-16.9,-1.4,1188.1,10.31,865,27,1181.2,1208.7,1181.2
