DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,29.9,1.67,1819.9,2.45,135,12,1800.0,1838.0,1800.0
2026-05-07,30.0,1.7,1790.0,3.44,193,9,1760.0,1790.0,1760.0
2026-05-06,-4.0,-0.23,1760.0,30.34,1687,26,1800.0,1816.0,1760.0
2026-05-05,14.0,0.8,1764.0,5.98,340,21,1710.0,1800.0,1710.0
2026-05-04,-13.9,-0.79,1750.0,6.06,346,24,1770.0,1770.0,1750.0
2026-04-30,-21.1,-1.18,1763.9,6.94,390,17,1837.9,1837.9,1761.0
2026-04-29,-15.0,-0.83,1785.0,19.33,1082,28,1775.0,1800.0,1775.0
2026-04-28,-15.0,-0.83,1800.0,9.89,554,24,1815.0,1815.0,1780.0
2026-04-27,22.0,1.23,1815.0,17.15,953,39,1793.0,1845.0,1790.0
2026-04-24,-21.0,-1.16,1793.0,3.43,191,19,1814.0,1836.0,1792.1
2026-04-23,4.0,0.22,1814.0,1.39,77,8,1810.0,1815.0,1810.0
2026-04-22,3.0,0.17,1810.0,8.35,467,22,1807.0,1810.0,1771.1
2026-04-21,-20.0,-1.09,1807.0,6.16,339,21,1827.0,1838.0,1802.0
2026-04-20,31.0,1.73,1827.0,7.76,425,25,1796.0,1841.0,1796.0
2026-04-17,-4.0,-0.22,1796.0,7.4,414,29,1790.0,1815.0,1780.0
2026-04-16,-10.0,-0.55,1800.0,5.82,324,16,1800.1,1810.0,1790.0
2026-04-15,10.0,0.56,1810.0,6.01,331,22,1800.0,1836.0,1800.0
2026-04-13,-10.0,-0.55,1800.0,8.65,476,28,1844.8,1845.0,1800.0
2026-04-10,-15.0,-0.82,1810.0,8.45,466,30,1801.0,1830.0,1801.0
2026-04-09,20.0,1.11,1825.0,11.21,615,53,1815.0,1840.0,1786.0
2026-04-08,5.0,0.28,1805.0,13.26,731,35,1836.0,1839.5,1801.0
2026-04-07,-35.0,-1.91,1800.0,16.66,916,37,1869.0,1869.0,1785.0
2026-04-06,120.0,7.0,1835.0,27.4,1532,49,1749.3,1836.0,1749.0
2026-04-05,-161.0,-8.58,1715.0,50.1,2820,105,1838.5,1869.9,1705.2
2026-04-02,-38.0,-1.99,1876.0,37.3,1974,53,1900.0,1914.0,1870.0
2026-04-01,-21.0,-1.09,1914.0,37.26,1957,58,1935.0,1940.0,1895.1
2026-03-31,-5.0,-0.26,1935.0,12.54,651,36,1940.0,1950.0,1905.0
2026-03-30,-33.0,-1.67,1940.0,46.76,2412,54,1933.6,1969.9,1918.0
2026-03-29,-7.0,-0.35,1973.0,16.08,823,30,2000.0,2000.0,1935.0
2026-03-26,7.0,0.35,1980.0,20.07,1019,44,2003.9,2003.9,1960.0
2026-03-25,-22.0,-1.1,1973.0,30.68,1555,52,1957.0,1990.0,1955.1
2026-03-24,-5.0,-0.25,1995.0,25.8,1294,72,2000.0,2005.0,1970.2
2026-03-23,15.0,0.76,2000.0,63.48,3173,113,1985.0,2029.0,1966.6
2026-03-22,47.7,2.46,1985.0,62.87,3183,110,1969.0,2004.0,1940.0
2026-03-19,11.3,0.59,1937.3,72.1,3735,93,1900.0,1957.8,1900.0
2026-03-17,-4.0,-0.21,1926.0,28.56,1481,58,1930.0,1948.0,1920.0
2026-03-16,-29.9,-1.53,1930.0,49.22,2533,53,1959.9,1959.9,1920.0
2026-03-15,-15.1,-0.76,1959.9,72.42,3717,48,1938.3,1976.0,1900.1
2026-03-12,5.0,0.25,1975.0,84.35,4370,95,1970.0,1975.0,1895.0
2026-03-11,-39.0,-1.94,1970.0,44.52,2276,55,2000.0,2009.0,1935.0
2026-03-10,31.0,1.57,2009.0,94.72,4665,144,1990.0,2080.0,1990.0
2026-03-09,38.0,1.96,1978.0,,20,2,1978.0,1978.0,1978.0
2026-03-03,17.0,0.88,1940.0,,7941,41,1923.0,1940.0,1890.0
2026-03-01,3.1,0.16,1923.0,13.61,718,49,1887.0,1923.0,1882.1
2026-02-26,14.9,0.78,1919.9,35.37,1850,57,1905.0,1941.0,1890.0
2026-02-25,5.1,0.27,1905.0,12.14,630,31,1931.0,1937.0,1900.0
2026-02-24,23.8,1.27,1899.9,30.54,1637,39,1880.0,1905.0,1838.6
2026-02-23,-13.7,-0.72,1876.1,31.47,1675,10,1876.0,1881.1,1876.0
2026-02-22,-4.3,-0.23,1889.8,28.06,1490,39,1890.1,1890.1,1875.0
2026-02-17,-37.9,-1.96,1894.1,18.99,997,33,1932.0,1932.0,1894.1
2026-02-16,3.0,0.16,1932.0,2.77,144,12,1929.0,1940.9,1911.0
2026-02-12,9.0,0.47,1929.0,26.87,1407,29,1905.1,1938.0,1903.5
2026-02-11,-43.5,-2.22,1920.0,21.95,1140,35,1963.5,1963.5,1915.0
2026-02-10,16.2,0.83,1963.5,22.18,1142,31,1925.0,1984.0,1925.0
2026-02-09,-38.7,-1.95,1947.3,13.13,673,30,1997.8,1997.8,1947.3
2026-02-08,34.0,1.74,1986.0,50.29,2541,46,1958.0,1993.0,1940.0
2026-02-05,10.0,0.51,1952.0,42.88,2184,57,1980.0,2051.9,1945.0
2026-02-04,-77.6,-3.84,1942.0,28.72,1457,58,2019.6,2019.6,1941.0
2026-02-03,-10.4,-0.51,2019.6,28.57,1443,62,2030.1,2030.1,1951.2
2026-02-02,20.0,1.0,2030.0,12.85,638,26,2050.2,2050.2,2001.0
2026-02-01,-54.0,-2.62,2010.0,24.35,1206,41,2050.0,2050.0,2010.0
2026-01-29,3.0,0.15,2064.0,17.65,858,29,2065.0,2077.0,2030.0
2026-01-28,11.0,0.54,2061.0,67.0,3262,57,2040.0,2071.8,2040.0
2026-01-27,25.0,1.23,2050.0,49.56,2417,64,2022.0,2079.0,2020.0
2026-01-26,-35.0,-1.7,2025.0,59.81,2893,62,2080.0,2099.0,2025.0
2026-01-25,1.0,0.05,2060.0,43.42,2112,65,2080.0,2080.0,2003.0
2026-01-22,-32.2,-1.54,2059.0,69.59,3418,78,2110.0,2110.0,2010.0
2026-01-21,-130.8,-5.89,2091.2,50.23,2385,68,2177.6,2177.6,2009.0
2026-01-20,121.0,5.76,2222.0,,8954,158,2143.0,2222.0,2022.2
2026-01-18,171.0,8.86,2101.0,,5522,129,1968.6,2101.0,1950.0
2026-01-14,6.0,0.31,1930.0,,40,13,1924.0,1930.0,1923.0
2026-01-13,-1.0,-0.05,1924.0,25.95,1346,18,1963.5,1963.5,1924.0
2026-01-12,4.9,0.26,1925.0,42.07,2154,55,1957.0,1980.0,1920.2
2026-01-08,9.0,0.47,1920.1,22.37,1153,37,1891.0,1987.9,1891.0
2026-01-07,-8.9,-0.46,1911.1,9.87,515,24,1920.0,1949.9,1911.0
2026-01-06,-17.2,-0.89,1920.0,17.15,888,34,1906.5,1950.0,1906.5
2026-01-05,14.2,0.74,1937.2,42.51,2232,56,1900.1,1975.0,1862.1
2026-01-04,-36.7,-1.87,1923.0,3.59,185,13,1950.0,1996.9,1923.0
2026-01-01,-5.3,-0.27,1959.7,28.74,1480,29,1965.0,1965.0,1935.0
2025-12-31,-10.0,-0.51,1965.0,26.37,1324,21,2000.0,2000.0,1950.2
2025-12-29,-29.0,-1.45,1975.0,17.37,869,26,2042.0,2042.0,1970.0
2025-12-28,4.0,0.2,2004.0,26.31,1314,36,2000.0,2020.0,1979.6
2025-12-24,7.0,0.35,2000.0,32.29,1619,32,1993.0,2026.0,1953.2
2025-12-23,113.0,6.01,1993.0,66.45,3468,71,1900.0,1994.0,1900.0
2025-12-22,-30.0,-1.57,1880.0,8.65,460,18,1900.0,1900.0,1875.0
2025-12-21,-10.0,-0.52,1910.0,5.1,269,21,1900.0,1910.0,1895.0
2025-12-18,-14.9,-0.77,1920.0,21.63,1136,38,1901.2,1925.0,1900.0
2025-12-17,-2.1,-0.11,1934.9,7.29,379,25,1937.0,1950.0,1911.0
2025-12-16,34.0,1.79,1937.0,11.9,622,22,1903.1,1937.0,1903.0
2025-12-15,-7.0,-0.37,1903.0,11.84,619,27,1942.0,1942.0,1901.0
2025-12-14,-28.0,-1.44,1910.0,9.56,497,26,1938.0,1945.0,1910.0
2025-12-11,-32.0,-1.62,1938.0,14.39,750,27,1970.0,1970.0,1900.0
2025-12-10,20.0,1.03,1970.0,3.17,161,11,1950.0,1989.0,1950.0
2025-12-09,0.0,0.0,1950.0,6.66,342,11,1950.0,1979.0,1941.0
2025-12-08,-20.0,-1.02,1950.0,17.87,918,53,1970.0,2000.0,1922.1
2025-12-07,-20.0,-1.01,1970.0,7.9,401,18,1966.1,1980.0,1966.1
2025-12-03,-10.0,-0.5,1990.0,21.3,1068,23,2000.0,2000.0,1990.0
2025-12-02,-23.8,-1.18,2000.0,3.41,171,15,2023.8,2023.8,1995.5
2025-12-01,30.8,1.55,2023.8,14.15,703,33,1962.0,2024.9,1962.0
2025-11-30,-16.2,-0.81,1993.0,22.38,1117,34,1980.0,2018.0,1980.0
