DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.7,1.4,268.0,78.02,29183,170,262.5,269.8,262.5
2026-05-07,2.5,0.95,264.3,66.86,25567,153,261.0,265.0,260.0
2026-05-06,-0.7,-0.27,261.8,62.11,23782,140,258.1,265.0,258.1
2026-05-05,0.1,0.04,262.5,,46510,226,249.3,265.9,249.3
2026-05-04,-2.1,-0.79,262.4,,48418,199,251.3,267.9,251.3
2026-04-30,-1.3,-0.49,264.5,,65645,228,263.0,266.5,261.1
2026-04-29,-1.7,-0.64,265.8,,43697,234,266.2,269.9,263.0
2026-04-28,-1.7,-0.63,267.5,,41640,187,265.0,276.0,265.0
2026-04-27,2.0,0.75,269.2,,58756,253,267.2,272.9,266.1
2026-04-24,-1.6,-0.6,267.2,,43887,230,268.0,270.3,264.1
2026-04-23,-5.2,-1.9,268.8,,51777,226,274.0,274.0,268.0
2026-04-22,3.0,1.11,274.0,,99036,425,257.5,280.0,257.5
2026-04-21,-7.0,-2.52,271.0,,69169,281,275.1,278.0,270.2
2026-04-20,-1.8,-0.64,278.0,,76487,307,265.9,283.0,265.9
2026-04-17,-1.0,-0.36,279.8,,76304,306,286.4,286.6,276.3
2026-04-16,-8.1,-2.8,280.8,,122524,458,288.9,288.9,277.9
2026-04-15,7.9,2.81,288.9,,183234,598,286.4,292.4,282.6
2026-04-13,-1.5,-0.53,281.0,,89761,345,282.0,287.7,277.1
2026-04-10,-5.5,-1.91,282.5,,136641,490,286.0,287.8,282.0
2026-04-09,7.0,2.49,288.0,,194797,733,286.0,290.0,278.1
2026-04-08,7.2,2.63,281.0,,152568,494,275.0,284.0,274.0
2026-04-07,1.3,0.48,273.8,,163238,551,273.1,279.7,270.0
2026-04-06,15.7,6.11,272.5,,194106,646,258.0,273.5,255.2
2026-04-05,-17.2,-6.28,256.8,,192686,780,279.0,279.0,256.6
2026-04-02,-4.0,-1.44,274.0,,193514,640,278.0,281.0,267.8
2026-04-01,-12.0,-4.14,278.0,,184070,720,287.1,290.0,274.0
2026-03-31,4.0,1.4,290.0,,167104,653,288.0,291.9,280.2
2026-03-30,-6.5,-2.22,286.0,,298277,965,292.0,301.5,285.0
2026-03-29,-16.2,-5.25,292.5,,352714,1218,308.7,310.0,292.3
2026-03-26,4.7,1.55,308.7,,150529,643,300.0,309.0,300.0
2026-03-25,-5.5,-1.78,304.0,,261252,859,303.4,310.0,303.0
2026-03-24,-3.0,-0.96,309.5,,302336,844,318.7,318.7,308.0
2026-03-23,0.3,0.1,312.5,,206538,758,318.4,318.4,305.0
2026-03-22,4.1,1.33,312.2,,631887,1842,314.2,316.2,302.8
2026-03-19,-1.9,-0.61,308.1,,975850,2039,310.0,318.0,304.2
2026-03-17,1.0,0.32,310.0,,598202,1608,315.0,316.9,300.0
2026-03-16,-12.8,-3.98,309.0,,409051,1722,328.2,328.2,305.8
2026-03-15,28.0,9.53,321.8,,2721980,4053,288.0,322.4,274.4
2026-03-12,10.4,3.67,293.8,,262021,1006,285.0,297.7,281.2
2026-03-11,-0.8,-0.28,283.4,,184113,574,289.0,293.0,280.0
2026-03-10,-1.8,-0.63,284.2,,234860,857,291.0,291.0,276.0
2026-03-09,16.0,5.93,286.0,10.87,3880,8,275.4,286.0,275.4
2026-03-03,5.2,1.96,270.0,,114594,248,268.0,273.1,262.7
2026-03-01,0.8,0.3,264.8,,48794,201,259.0,265.0,258.2
2026-02-26,-1.0,-0.38,264.0,,49728,164,270.3,270.3,260.1
2026-02-25,1.0,0.38,265.0,98.99,37448,177,260.1,267.0,260.1
2026-02-24,7.5,2.92,264.0,,77729,267,256.6,266.1,256.6
2026-02-23,-0.5,-0.19,256.5,,55394,261,255.0,261.0,254.0
2026-02-22,-8.4,-3.17,257.0,,74809,295,262.0,264.0,257.0
2026-02-17,-9.6,-3.49,265.4,,146809,544,280.5,280.5,262.0
2026-02-16,-9.0,-3.17,275.0,,136499,467,287.0,288.9,272.0
2026-02-12,3.5,1.25,284.0,,404426,1425,280.1,297.0,280.0
2026-02-11,5.5,2.0,280.5,,118535,464,280.1,280.5,272.2
2026-02-10,0.4,0.15,275.0,,171643,579,280.0,284.8,273.6
2026-02-09,4.5,1.67,274.6,,115384,458,275.0,278.0,268.1
2026-02-08,-0.9,-0.33,270.1,,150932,665,270.0,282.0,270.0
2026-02-05,12.0,4.63,271.0,,192001,701,264.1,274.0,255.0
2026-02-04,-0.2,-0.08,259.0,90.15,34795,180,261.8,261.9,256.0
2026-02-03,-6.8,-2.56,259.2,,50162,269,265.0,268.5,259.2
2026-02-02,-2.0,-0.75,266.0,,46882,208,265.0,271.8,264.9
2026-02-01,4.0,1.52,268.0,,79107,393,269.0,271.3,263.0
2026-01-29,3.0,1.15,264.0,,180605,646,263.9,279.0,260.0
2026-01-28,-1.0,-0.38,261.0,,40386,194,258.0,264.0,257.3
2026-01-27,-6.0,-2.24,262.0,,133895,537,268.9,272.1,259.1
2026-01-26,-3.0,-1.11,268.0,,78864,367,271.0,271.0,262.0
2026-01-25,6.1,2.3,271.0,,77694,422,265.0,272.0,265.0
2026-01-22,6.9,2.67,264.9,,54841,322,253.5,264.9,253.5
2026-01-21,2.2,0.86,258.0,,48777,221,257.9,259.0,255.1
2026-01-20,3.8,1.51,255.8,,39105,243,255.0,258.0,253.9
2026-01-18,2.0,0.8,252.0,,42541,207,248.1,252.7,248.1
2026-01-14,1.0,0.4,250.0,,40550,246,249.0,253.9,247.0
2026-01-13,2.0,0.81,249.0,50.35,20381,133,248.0,249.0,245.0
2026-01-12,1.0,0.41,247.0,64.29,26156,153,246.0,248.0,244.1
2026-01-08,1.5,0.61,246.0,43.63,17731,144,239.7,249.2,239.7
2026-01-07,-4.5,-1.81,244.5,57.83,23477,154,248.0,250.0,244.2
2026-01-06,1.0,0.4,249.0,48.33,19426,144,250.5,250.8,246.6
2026-01-05,1.3,0.53,248.0,44.5,18032,131,251.5,251.5,245.0
2026-01-04,-2.8,-1.12,246.7,36.7,14948,110,249.5,251.0,245.0
2026-01-01,2.3,0.93,249.5,49.11,20064,125,247.2,249.5,243.7
2025-12-31,-0.7,-0.28,247.2,47.18,18970,145,246.1,250.0,246.1
2025-12-29,-3.1,-1.24,247.9,33.11,13326,110,254.0,254.0,246.0
2025-12-28,5.0,2.03,251.0,59.12,23808,174,246.0,251.0,245.6
2025-12-24,-0.8,-0.32,246.0,15.74,6405,86,247.0,248.0,245.1
2025-12-23,3.1,1.27,246.8,31.52,12856,104,244.5,247.0,242.7
2025-12-22,-0.3,-0.12,243.7,50.7,20910,147,242.0,245.0,242.0
2025-12-21,-4.7,-1.89,244.0,97.77,40047,241,245.2,247.9,243.0
2025-12-18,-1.3,-0.52,248.7,38.31,15452,140,250.0,251.0,247.0
2025-12-17,1.0,0.4,250.0,24.56,9847,123,252.0,252.0,247.6
2025-12-16,2.1,0.85,249.0,35.23,14256,130,245.2,250.0,245.2
2025-12-15,0.4,0.16,246.9,50.49,20483,164,247.9,249.0,245.1
2025-12-14,-0.5,-0.2,246.5,55.65,22437,156,242.1,251.8,242.1
2025-12-11,-4.2,-1.67,247.0,,52375,245,250.0,253.8,247.0
2025-12-10,-1.9,-0.75,251.2,34.06,13515,120,248.1,255.5,248.1
2025-12-09,-1.9,-0.75,253.1,35.07,13813,112,249.9,256.0,249.9
2025-12-08,0.2,0.08,255.0,55.7,22009,123,249.8,256.0,249.8
2025-12-07,1.6,0.63,254.8,59.88,23716,139,251.0,256.0,251.0
2025-12-03,-2.6,-1.02,253.2,96.87,38096,192,256.0,257.6,253.0
2025-12-02,-1.7,-0.66,255.8,52.02,20226,123,260.0,260.0,255.1
2025-12-01,0.5,0.19,257.5,50.86,19852,141,254.2,260.0,254.2
2025-11-30,-2.7,-1.04,257.0,,61057,239,260.0,262.0,255.2
2025-11-27,-0.4,-0.15,259.7,70.1,26919,154,263.0,263.0,259.4
2025-11-26,1.1,0.42,260.1,59.5,22839,158,257.2,263.0,254.0
2025-11-25,-1.7,-0.65,259.0,60.49,23263,165,264.5,264.5,258.1
2025-11-24,0.6,0.23,260.7,71.42,27391,208,265.0,265.0,259.0
2025-11-23,6.0,2.36,260.1,85.45,32798,199,253.0,264.0,253.0
2025-11-20,-1.7,-0.66,254.1,93.7,36783,207,251.2,262.1,250.8
2025-11-19,-3.8,-1.46,255.8,41.35,16109,96,260.0,260.0,253.1
2025-11-18,5.3,2.08,259.6,51.24,19859,117,249.3,261.0,249.3
2025-11-17,3.3,1.31,254.3,55.56,21985,150,246.0,255.0,246.0
2025-11-16,-1.8,-0.71,251.0,60.12,23861,131,247.8,256.6,247.8
2025-11-13,-2.2,-0.86,252.8,39.43,15534,137,252.5,256.9,250.1
2025-11-12,-0.7,-0.27,255.0,57.47,22471,112,256.0,257.0,254.0
2025-11-11,-0.7,-0.27,255.7,57.03,22258,116,257.1,258.9,254.0
2025-11-10,1.5,0.59,256.4,66.06,25772,140,252.7,261.6,252.7
2025-11-09,-6.9,-2.64,254.9,72.69,28304,170,262.0,262.0,254.2
2025-11-06,-0.7,-0.27,261.8,73.11,27979,134,265.0,265.0,259.7
2025-11-05,-4.4,-1.65,262.5,,49009,204,267.0,270.8,260.2
2025-11-04,3.0,1.14,266.9,,64980,269,269.1,270.0,265.2
2025-11-03,-6.1,-2.26,263.9,89.66,33963,179,274.0,274.0,260.0
2025-11-02,9.0,3.45,270.0,,76011,279,266.0,272.0,260.1
2025-10-30,5.0,1.95,261.0,,40868,184,251.0,266.9,251.0
2025-10-29,-4.0,-1.54,256.0,,62854,242,256.0,265.7,255.9
2025-10-28,13.0,5.26,260.0,,47304,193,249.9,265.0,247.0
2025-10-26,1.0,0.41,247.0,47.11,19170,135,242.0,247.0,242.0
2025-10-19,2.0,0.82,246.0,44.03,17861,112,248.8,248.8,243.1
2025-10-16,-6.9,-2.75,244.0,80.26,32558,185,251.0,251.0,243.1
2025-10-15,-2.6,-1.03,250.9,59.44,23721,155,249.3,255.2,248.0
2025-10-14,-5.5,-2.12,253.5,62.75,24660,130,262.9,262.9,253.2
2025-10-13,2.0,0.78,259.0,,51122,245,255.0,262.1,249.1
2025-10-12,-8.0,-3.02,257.0,,62899,294,260.1,260.2,252.5
2025-10-09,6.0,2.32,265.0,,62876,263,264.1,275.0,261.3
2025-10-08,-5.0,-1.89,259.0,,44732,254,264.0,266.0,255.0
2025-10-07,-12.0,-4.35,264.0,,61591,302,281.4,281.4,262.1
2025-09-28,3.5,1.28,276.0,,124912,381,277.9,281.1,273.0
2025-09-25,14.5,5.62,272.5,,211469,790,261.0,277.5,258.7
