DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,17.0,1.3,1322.0,3.92,299,13,1319.9,1325.0,1290.2
2026-05-07,31.2,2.45,1305.0,3.0,233,10,1312.0,1312.0,1275.1
2026-05-06,-11.2,-0.87,1273.8,5.66,442,14,1280.0,1317.0,1273.8
2026-05-05,-15.0,-1.15,1285.0,9.98,787,20,1338.0,1338.0,1259.1
2026-05-04,-10.1,-0.77,1300.0,7.53,580,17,1301.0,1305.0,1289.0
2026-04-30,-18.9,-1.42,1310.1,8.06,619,9,1290.0,1337.0,1290.0
2026-04-29,-29.0,-2.14,1329.0,5.51,416,17,1397.0,1397.0,1306.1
2026-04-28,-9.8,-0.72,1358.0,6.87,517,14,1367.8,1358.0,1327.0
2026-04-27,-12.2,-0.88,1367.8,1.48,111,10,1380.0,1367.8,1338.8
2026-04-24,30.0,2.22,1380.0,3.56,268,13,1350.0,1380.0,1300.0
2026-04-23,-92.0,-6.38,1350.0,20.41,1495,42,1398.8,1420.0,1335.0
2026-04-22,121.0,9.16,1442.0,24.5,1875,68,1321.0,1442.0,1280.0
2026-04-21,-29.0,-2.15,1321.0,7.18,541,22,1350.0,1350.0,1317.0
2026-04-20,0.9,0.07,1350.0,4.12,309,8,1333.0,1350.0,1331.0
2026-04-17,-23.8,-1.73,1349.1,7.5,554,21,1375.0,1375.0,1341.0
2026-04-16,-15.0,-1.08,1372.9,7.67,561,22,1378.0,1385.0,1365.0
2026-04-15,7.9,0.57,1387.9,5.71,414,16,1381.0,1390.0,1363.1
2026-04-13,-13.0,-0.93,1380.0,3.38,248,13,1374.0,1380.0,1350.1
2026-04-10,-6.0,-0.43,1393.0,2.81,203,12,1372.0,1398.0,1360.0
2026-04-09,23.1,1.68,1399.0,2.5,180,10,1375.9,1400.0,1353.0
2026-04-08,26.9,1.99,1375.9,5.99,441,13,1373.0,1375.9,1349.0
2026-04-07,17.0,1.28,1349.0,21.76,1624,25,1332.5,1360.0,1332.1
2026-04-06,7.0,0.53,1332.0,13.62,1021,22,1298.5,1358.0,1298.5
2026-04-05,-43.2,-3.16,1325.0,23.15,1743,47,1340.9,1345.0,1314.0
2026-04-02,-1.8,-0.13,1368.2,15.86,1151,34,1347.0,1401.0,1343.0
2026-04-01,-44.0,-3.11,1370.0,28.81,2075,51,1405.0,1440.0,1370.0
2026-03-31,-6.0,-0.42,1414.0,11.28,805,31,1392.0,1448.0,1392.0
2026-03-30,-34.0,-2.34,1420.0,37.0,2611,41,1427.0,1471.0,1399.0
2026-03-29,1.0,0.07,1454.0,47.96,3376,52,1460.0,1477.0,1401.5
2026-03-26,-21.0,-1.42,1453.0,18.21,1253,28,1447.0,1474.8,1445.0
2026-03-25,-19.0,-1.27,1474.0,37.8,2588,43,1475.0,1516.0,1445.0
2026-03-24,-13.0,-0.86,1493.0,13.91,939,25,1490.0,1493.0,1475.0
2026-03-23,-13.0,-0.86,1506.0,31.84,2142,41,1519.0,1519.0,1469.1
2026-03-22,59.0,4.04,1519.0,41.93,2783,56,1487.0,1526.0,1465.0
2026-03-19,13.1,0.91,1460.0,36.16,2479,29,1470.0,1472.5,1447.0
2026-03-17,-21.1,-1.44,1446.9,11.79,811,19,1444.9,1478.9,1440.1
2026-03-16,18.0,1.24,1468.0,19.37,1334,26,1440.1,1468.0,1438.0
2026-03-15,-5.5,-0.38,1450.0,,60,2,1450.0,1450.0,1450.0
2026-03-12,0.0,0.0,1455.5,17.89,1229,24,1431.0,1469.0,1431.0
2026-03-11,1.5,0.1,1455.5,16.38,1120,23,1480.0,1483.0,1440.1
2026-03-10,-82.0,-5.34,1454.0,68.92,4652,67,1505.3,1527.5,1451.0
2026-03-09,116.0,8.17,1536.0,1.03,70,5,1448.4,1536.0,1448.4
2026-03-03,20.0,1.43,1420.0,11.6,822,23,1406.5,1428.0,1400.5
2026-03-01,-12.0,-0.85,1400.0,14.03,1000,17,1386.1,1445.0,1386.1
2026-02-26,-28.0,-1.94,1412.0,,66,4,1466.9,1466.9,1412.0
2026-02-25,6.9,0.48,1440.0,7.35,522,20,1413.0,1440.0,1390.0
2026-02-24,0.1,0.01,1433.1,5.18,365,15,1405.0,1433.1,1405.0
2026-02-23,-22.0,-1.51,1433.0,3.13,222,12,1426.0,1445.0,1398.0
2026-02-22,-3.0,-0.21,1455.0,14.1,1002,28,1487.1,1487.1,1385.1
2026-02-17,-36.0,-2.41,1458.0,67.06,4598,50,1464.2,1523.0,1408.0
2026-02-16,84.0,5.96,1494.0,27.06,1927,45,1420.0,1494.0,1392.0
2026-02-12,-28.0,-1.95,1410.0,25.24,1790,43,1412.0,1424.0,1400.0
2026-02-11,0.0,0.0,1438.0,18.89,1327,40,1420.0,1444.0,1420.0
2026-02-10,-24.8,-1.7,1438.0,23.68,1642,43,1435.1,1463.0,1435.1
2026-02-09,-7.2,-0.49,1462.8,11.4,785,24,1479.0,1479.0,1450.0
2026-02-08,-8.0,-0.54,1470.0,27.25,1865,45,1499.0,1499.0,1452.0
2026-02-05,6.0,0.41,1478.0,22.21,1510,28,1480.0,1480.0,1467.0
2026-02-04,-7.9,-0.53,1472.0,5.4,367,17,1504.0,1504.0,1465.0
2026-02-03,-12.1,-0.81,1479.9,26.8,1823,32,1495.0,1495.0,1467.0
2026-02-02,14.0,0.95,1492.0,20.86,1412,32,1470.0,1492.0,1470.0
2026-02-01,-20.0,-1.34,1478.0,17.25,1170,29,1519.0,1519.0,1470.1
2026-01-29,-2.0,-0.13,1498.0,42.4,2858,55,1529.0,1529.0,1470.2
2026-01-28,-8.0,-0.53,1500.0,78.6,5266,57,1480.0,1514.0,1478.0
2026-01-27,-5.0,-0.33,1508.0,36.36,2440,50,1483.0,1510.0,1483.0
2026-01-26,-7.0,-0.46,1513.0,39.35,2627,45,1525.0,1528.9,1490.0
2026-01-25,10.0,0.66,1520.0,26.62,1760,37,1535.0,1565.0,1452.0
2026-01-22,0.0,0.0,1510.0,31.93,2144,56,1480.0,1510.0,1480.0
2026-01-21,-14.0,-0.92,1510.0,12.85,849,18,1550.8,1550.8,1495.0
2026-01-20,5.0,0.33,1524.0,66.69,4390,48,1520.0,1534.8,1492.1
2026-01-18,20.1,1.34,1519.0,11.87,786,27,1515.0,1525.0,1493.5
2026-01-14,3.9,0.26,1498.9,17.28,1170,31,1495.0,1498.9,1470.0
2026-01-13,-5.0,-0.33,1495.0,14.52,974,24,1505.0,1508.0,1485.1
2026-01-12,19.6,1.32,1500.0,7.61,504,13,1510.0,1525.0,1486.0
2026-01-08,-38.5,-2.53,1480.4,11.41,759,18,1518.9,1524.0,1480.2
2026-01-07,-2.6,-0.17,1518.9,5.95,397,6,1500.0,1518.9,1500.0
2026-01-06,1.5,0.1,1521.5,7.62,509,13,1501.2,1521.5,1492.0
2026-01-05,10.0,0.66,1520.0,11.1,746,28,1483.1,1520.0,1480.0
2026-01-04,-14.0,-0.92,1510.0,11.97,802,20,1494.5,1510.0,1471.0
2026-01-01,0.0,0.0,1524.0,3.42,229,11,1495.0,1524.0,1490.1
2025-12-31,38.0,2.56,1524.0,5.56,370,17,1515.0,1524.0,1482.1
2025-12-29,-43.0,-2.81,1486.0,14.5,972,25,1499.0,1510.0,1470.0
2025-12-28,9.0,0.59,1529.0,12.69,846,14,1490.1,1529.0,1490.1
2025-12-24,-4.0,-0.26,1520.0,2.19,144,5,1520.0,1524.0,1520.0
2025-12-23,6.0,0.4,1524.0,,35,4,1518.0,1524.0,1518.0
2025-12-22,20.1,1.34,1518.0,3.26,219,12,1525.0,1525.0,1471.8
2025-12-21,14.6,0.98,1497.9,8.03,542,18,1485.9,1497.9,1475.0
2025-12-18,-23.0,-1.53,1483.3,12.0,806,22,1506.0,1506.0,1482.6
2025-12-17,1.3,0.09,1506.3,4.06,270,16,1505.0,1507.9,1505.0
2025-12-16,-20.0,-1.31,1505.0,2.45,163,8,1500.1,1529.0,1500.1
2025-12-15,9.5,0.63,1525.0,22.51,1488,30,1516.0,1525.0,1500.0
2025-12-14,-19.5,-1.27,1515.5,28.57,1843,31,1515.0,1597.0,1514.0
2025-12-11,-17.0,-1.1,1535.0,3.87,254,19,1580.0,1580.0,1500.0
2025-12-10,3.0,0.19,1552.0,4.38,284,10,1521.6,1552.0,1521.6
2025-12-09,-9.0,-0.58,1549.0,19.79,1293,16,1586.0,1586.0,1524.0
2025-12-08,8.0,0.52,1558.0,4.73,309,10,1520.0,1558.0,1520.0
2025-12-07,0.0,0.0,1550.0,1.21,79,6,1525.0,1550.0,1524.0
2025-12-03,-14.0,-0.9,1550.0,19.4,1261,23,1532.8,1563.8,1503.0
