DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,9.0,1.97,465.0,11.45,2470,21,455.0,467.9,455.0
2026-05-07,0.0,0.0,456.0,29.28,6482,35,455.0,459.0,450.3
2026-05-06,5.0,1.11,456.0,29.47,6531,39,451.1,463.4,448.0
2026-05-05,1.0,0.22,451.0,14.65,3225,22,453.0,462.4,450.0
2026-05-04,-14.4,-3.1,450.0,20.72,4591,38,470.0,470.0,447.0
2026-04-30,3.4,0.74,464.4,28.68,6225,43,461.0,464.4,451.0
2026-04-29,-3.1,-0.67,461.0,16.52,3600,43,457.2,468.0,450.4
2026-04-28,-2.4,-0.51,464.1,17.95,3850,19,466.5,470.0,462.1
2026-04-27,-1.4,-0.3,466.5,9.34,1994,27,467.9,474.0,461.0
2026-04-24,-5.1,-1.08,467.9,26.91,5835,45,460.0,469.8,460.0
2026-04-23,-2.0,-0.42,473.0,11.49,2455,24,465.0,473.7,465.0
2026-04-22,5.0,1.06,475.0,48.38,10349,56,460.0,479.0,456.0
2026-04-21,-4.9,-1.03,470.0,28.76,6076,38,480.0,480.0,468.0
2026-04-20,-4.1,-0.86,474.9,34.23,7257,72,502.0,502.0,467.1
2026-04-17,2.0,0.42,479.0,38.03,8058,61,477.1,479.7,468.0
2026-04-16,-7.0,-1.45,477.0,59.63,12385,61,479.1,489.6,477.0
2026-04-15,8.0,1.68,484.0,40.8,8434,42,485.5,494.9,479.1
2026-04-13,-6.0,-1.24,476.0,76.93,16057,89,491.5,497.0,475.1
2026-04-10,-13.5,-2.72,482.0,27.29,5624,44,485.7,494.9,480.1
2026-04-09,1.5,0.3,495.5,66.87,13547,90,491.1,497.9,491.0
2026-04-08,13.0,2.7,494.0,69.78,14235,106,488.5,494.0,481.3
2026-04-07,1.0,0.21,481.0,64.71,13617,72,489.0,489.6,468.2
2026-04-06,20.0,4.35,480.0,90.96,19241,92,468.0,480.0,460.1
2026-04-05,-19.0,-3.97,460.0,,29903,184,470.0,479.4,443.0
2026-04-02,-6.0,-1.24,479.0,,21076,109,479.0,494.0,474.0
2026-04-01,-19.0,-3.77,485.0,74.85,15420,108,504.0,504.0,480.0
2026-03-31,14.0,2.86,504.0,,25679,153,490.0,504.9,483.0
2026-03-30,-6.0,-1.21,490.0,,32942,159,492.0,505.0,486.0
2026-03-29,-20.5,-3.97,496.0,,43537,213,506.7,520.0,495.0
2026-03-26,-6.6,-1.26,516.5,,30383,131,520.0,521.0,512.0
2026-03-25,-14.9,-2.77,523.1,,62939,216,535.0,537.0,520.4
