DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,14.0,1.09,1295.0,23.14,1803,74,1270.0,1300.0,1251.0
2026-05-07,1.0,0.08,1281.0,10.93,860,43,1280.0,1318.0,1257.3
2026-05-06,-50.0,-3.76,1280.0,40.44,3134,102,1301.3,1339.0,1275.0
2026-05-05,21.1,1.61,1330.0,19.33,1475,96,1280.0,1344.0,1256.0
2026-05-04,28.9,2.26,1308.9,36.81,2857,114,1280.1,1315.0,1250.0
2026-04-30,-10.0,-0.78,1280.0,74.83,5949,150,1298.9,1298.9,1236.0
2026-04-29,-60.0,-4.44,1290.0,60.82,4680,132,1315.0,1320.0,1280.0
2026-04-28,-20.0,-1.46,1350.0,44.42,3305,128,1370.0,1360.0,1333.7
2026-04-27,-5.0,-0.36,1370.0,51.03,3741,130,1375.0,1389.0,1356.0
2026-04-24,-15.0,-1.08,1375.0,37.14,2713,94,1390.0,1400.0,1355.1
2026-04-23,-50.0,-3.47,1390.0,20.45,1460,66,1442.0,1442.0,1390.0
2026-04-22,-20.0,-1.37,1440.0,,7965,207,1440.0,1460.0,1390.0
2026-04-21,-16.1,-1.09,1460.0,53.15,3639,122,1503.0,1503.0,1455.0
2026-04-20,-43.9,-2.89,1476.1,31.28,2105,85,1500.0,1515.0,1476.0
2026-04-17,-4.0,-0.26,1520.0,29.0,1918,73,1510.0,1522.0,1505.0
2026-04-16,-25.5,-1.65,1524.0,33.44,2205,78,1530.0,1540.0,1500.0
2026-04-15,-19.4,-1.24,1549.5,78.43,5080,112,1560.0,1622.0,1529.0
2026-04-13,14.9,0.96,1568.9,41.28,2655,109,1530.0,1610.0,1510.0
2026-04-10,-6.0,-0.38,1554.0,32.79,2129,73,1540.0,1570.0,1510.0
2026-04-09,30.0,1.96,1560.0,,6916,137,1500.0,1584.9,1500.0
2026-04-08,10.1,0.66,1530.0,28.49,1876,70,1489.6,1550.0,1488.7
2026-04-07,-16.1,-1.05,1519.9,58.47,3845,95,1535.0,1549.9,1506.0
2026-04-06,51.0,3.43,1536.0,99.49,6551,179,1455.3,1570.9,1455.3
2026-04-05,-164.9,-9.99,1485.0,,12052,365,1617.0,1617.0,1485.0
2026-04-02,-0.1,-0.01,1649.9,87.53,5381,158,1620.0,1650.0,1585.2
2026-04-01,-75.0,-4.35,1650.0,,6217,214,1702.0,1705.0,1635.0
2026-03-31,0.5,0.03,1725.0,54.81,3211,107,1716.1,1730.0,1700.3
2026-03-30,-15.4,-0.89,1724.5,82.8,4834,137,1710.0,1740.0,1700.0
