DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-1.9,-0.18,1038.1,76.91,7337,128,1092.0,1092.0,1021.0
2026-05-07,-10.0,-0.95,1040.0,94.11,9061,154,1031.1,1060.0,1031.1
2026-05-06,-19.0,-1.78,1050.0,98.48,9369,145,1059.0,1065.0,1040.0
2026-05-05,29.1,2.8,1069.0,,11634,208,1021.1,1098.0,1021.1
2026-05-04,-60.1,-5.46,1039.9,,22313,253,1090.0,1094.9,1037.0
2026-04-30,0.0,0.0,1100.0,,38831,333,1094.0,1125.0,1075.0
2026-04-29,-43.0,-3.76,1100.0,,23695,283,1135.0,1153.0,1087.0
2026-04-28,24.2,2.16,1143.0,,67094,713,1118.8,1173.4,1115.1
2026-04-27,71.8,6.86,1118.8,,62674,764,1047.0,1148.0,1031.0
2026-04-24,-10.0,-0.95,1047.0,76.22,7339,143,1046.0,1054.4,1026.0
2026-04-23,5.0,0.48,1057.0,62.06,5900,111,1046.0,1067.0,1046.0
2026-04-22,-4.1,-0.39,1052.0,,21630,147,1050.0,1065.0,1046.0
2026-04-21,-3.8,-0.36,1056.1,,10913,125,1041.0,1074.9,1041.0
2026-04-20,17.8,1.71,1059.9,,12789,114,1094.2,1094.2,1045.1
2026-04-17,-7.1,-0.68,1042.1,,24182,290,1036.0,1093.9,1026.0
2026-04-16,-18.7,-1.75,1049.2,94.4,8944,137,1050.7,1069.8,1048.0
2026-04-15,7.9,0.75,1067.9,83.0,7796,100,1040.5,1079.0,1040.5
2026-04-13,-19.5,-1.81,1060.0,77.31,7282,92,1061.5,1079.7,1050.1
2026-04-10,16.5,1.55,1079.5,,9455,128,1059.0,1084.1,1050.0
2026-04-09,3.0,0.28,1063.0,,18274,148,1041.2,1080.0,1039.0
2026-04-08,14.0,1.34,1060.0,,12134,124,1033.5,1074.8,1033.5
2026-04-07,-21.7,-2.03,1046.0,,12216,142,1050.2,1065.9,1034.4
2026-04-06,56.1,5.55,1067.7,,9847,202,1010.0,1074.9,1010.0
