DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,9.1,1.76,527.0,44.47,8510,59,520.0,528.0,517.5
2026-05-07,-1.1,-0.21,517.9,36.98,7152,64,528.0,528.0,515.1
2026-05-06,3.4,0.66,519.0,20.58,3962,42,511.0,525.2,511.0
2026-05-05,4.6,0.9,515.6,37.15,7207,71,506.5,520.0,506.0
2026-05-04,-7.2,-1.39,511.0,51.02,9908,62,518.0,520.1,510.0
2026-04-30,4.5,0.88,518.2,53.41,10337,69,513.0,518.2,513.0
2026-04-29,2.2,0.43,513.7,32.57,6338,57,511.5,519.9,509.0
2026-04-28,-5.5,-1.06,511.5,59.09,11416,88,517.0,528.0,511.1
2026-04-27,0.5,0.1,517.0,23.31,4496,53,516.5,524.6,516.0
2026-04-24,-5.5,-1.05,516.5,32.82,6347,48,522.0,523.5,515.0
2026-04-23,0.0,0.0,522.0,29.76,5747,60,525.0,534.0,507.0
2026-04-22,-5.0,-0.95,522.0,55.11,10504,117,538.0,538.0,520.1
2026-04-21,-7.0,-1.31,527.0,23.44,4430,63,536.0,536.0,525.1
2026-04-20,-2.9,-0.54,534.0,22.97,4316,48,530.0,540.0,530.0
2026-04-17,6.9,1.3,536.9,40.02,7513,67,526.6,540.0,526.6
2026-04-16,-14.0,-2.57,530.0,77.36,14541,111,545.0,549.0,525.4
2026-04-15,9.0,1.68,544.0,36.82,6766,77,544.0,550.0,538.0
2026-04-13,-9.0,-1.65,535.0,49.33,9180,57,544.0,549.0,535.0
2026-04-10,-6.3,-1.14,544.0,66.09,12206,85,557.0,557.0,535.0
2026-04-09,6.5,1.2,550.3,,19145,123,541.0,558.7,541.0
2026-04-08,13.8,2.6,543.8,83.67,15456,73,530.0,544.0,530.0
2026-04-07,1.0,0.19,530.0,60.96,11440,110,538.5,546.5,528.3
2026-04-06,9.0,1.73,529.0,,30132,185,523.0,539.0,523.0
2026-04-05,-24.3,-4.46,520.0,,24415,178,540.0,540.0,516.2
2026-04-02,-0.8,-0.15,544.3,,19052,145,545.1,555.0,530.0
2026-04-01,-21.9,-3.86,545.1,52.13,9439,114,557.0,557.0,545.1
2026-03-31,4.1,0.73,567.0,,25038,169,562.0,570.9,545.0
2026-03-30,-9.3,-1.63,562.9,,18672,151,572.5,579.0,560.0
2026-03-29,-20.8,-3.51,572.2,,25119,172,600.0,600.0,571.0
2026-03-26,1.9,0.32,593.0,70.74,12011,104,591.0,594.4,585.6
2026-03-25,-9.9,-1.65,591.1,,19997,134,601.0,601.0,591.1
2026-03-24,1.0,0.17,601.0,,20583,118,601.0,607.0,595.0
2026-03-23,-5.0,-0.83,600.0,,32737,221,605.0,613.0,593.0
2026-03-22,13.0,2.2,605.0,,58335,374,602.0,610.0,595.0
2026-03-19,22.0,3.86,592.0,,40355,289,579.7,596.5,579.7
2026-03-17,-3.0,-0.52,570.0,76.25,13396,104,573.0,573.0,564.2
2026-03-16,-9.0,-1.55,573.0,88.65,15388,114,586.0,586.0,567.6
2026-03-15,2.0,0.34,582.0,,27717,216,588.9,588.9,575.0
2026-03-12,5.0,0.87,580.0,,28221,193,586.5,586.5,570.0
2026-03-11,-15.0,-2.54,575.0,,34378,205,595.0,595.0,571.0
2026-03-10,-13.5,-2.24,590.0,,70916,501,603.5,614.0,575.2
2026-03-09,34.5,6.06,603.5,14.65,2429,15,580.3,603.7,580.3
2026-03-03,15.0,2.71,569.0,,21678,146,556.0,569.0,552.0
2026-03-01,10.0,1.84,554.0,,21241,151,535.0,564.0,527.0
2026-02-26,0.1,0.02,544.0,46.76,8633,72,534.0,549.8,534.0
2026-02-25,3.9,0.72,543.9,28.82,5333,49,549.0,549.0,538.0
2026-02-24,3.9,0.73,540.0,67.13,12449,83,536.1,546.0,534.1
2026-02-23,5.1,0.96,536.1,33.29,6175,65,530.0,554.9,528.5
2026-02-22,-17.0,-3.1,531.0,92.9,17403,152,540.0,541.3,530.0
2026-02-17,-8.1,-1.46,548.0,,23895,131,562.0,562.0,545.0
