DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,10.0,1.24,816.0,35.87,4417,83,808.0,819.0,802.0
2026-05-07,4.0,0.5,806.0,27.65,3453,77,795.6,813.0,795.0
2026-05-06,2.0,0.25,802.0,25.38,3162,65,805.0,812.0,800.0
2026-05-05,-1.9,-0.24,800.0,43.06,5386,111,795.0,810.0,790.0
2026-05-04,-12.1,-1.49,801.9,45.92,5733,133,810.0,810.0,800.0
2026-04-30,-12.0,-1.45,814.0,71.82,8882,173,829.0,829.0,800.0
2026-04-29,-9.0,-1.08,826.0,40.2,4852,102,876.0,876.0,822.3
2026-04-28,-10.0,-1.18,835.0,88.6,10576,148,845.0,845.0,835.0
2026-04-27,-8.0,-0.94,845.0,48.47,5725,101,853.0,853.0,835.6
2026-04-24,-7.0,-0.81,853.0,,12621,183,845.1,857.0,840.0
2026-04-23,-1.2,-0.14,860.0,56.84,6588,101,861.2,868.9,855.1
2026-04-22,-3.7,-0.43,861.2,,12449,185,863.0,870.0,851.0
2026-04-21,-3.1,-0.36,864.9,50.63,5849,134,868.0,874.9,860.0
2026-04-20,-10.0,-1.14,868.0,,12612,219,877.0,880.0,855.1
2026-04-17,-12.0,-1.35,878.0,,15211,185,880.0,885.0,872.2
2026-04-16,-8.0,-0.89,890.0,61.18,6877,126,900.0,900.0,886.0
2026-04-15,8.0,0.9,898.0,73.38,8166,144,890.0,903.8,890.0
2026-04-13,1.3,0.15,890.0,80.25,8952,126,890.0,900.0,886.2
2026-04-10,-11.4,-1.27,888.7,60.28,6753,104,886.6,906.5,886.6
2026-04-09,3.1,0.35,900.1,94.28,10496,170,913.0,913.0,886.1
2026-04-08,21.0,2.4,897.0,89.26,10096,138,885.0,898.0,873.0
2026-04-07,-4.0,-0.45,876.0,,12814,192,892.0,917.0,873.0
2026-04-06,19.3,2.24,880.0,,17054,234,861.0,890.0,861.0
2026-04-05,-40.3,-4.47,860.7,,12474,290,885.0,895.0,860.6
2026-04-02,-9.0,-0.99,901.0,92.48,10255,174,900.0,914.9,891.8
2026-04-01,-11.1,-1.21,910.0,,13691,190,905.0,930.0,902.0
2026-03-31,-2.7,-0.29,921.1,,11166,184,910.0,926.3,907.3
2026-03-30,-10.2,-1.09,923.8,,14877,221,928.1,943.0,912.0
2026-03-29,-21.0,-2.2,934.0,,15183,235,935.9,977.0,926.1
2026-03-26,14.4,1.53,955.0,,11914,191,940.0,955.0,935.0
2026-03-25,-19.7,-2.05,940.6,,19361,200,965.0,965.0,940.0
2026-03-24,-9.7,-1.0,960.3,,14980,192,972.5,977.9,960.0
2026-03-23,-1.5,-0.15,970.0,,21547,235,980.0,980.0,952.0
2026-03-22,20.5,2.16,971.5,,24777,336,961.0,974.1,945.0
2026-03-19,25.0,2.7,951.0,,17944,254,936.0,960.0,930.0
2026-03-17,-7.0,-0.75,926.0,62.03,6693,111,920.1,938.5,920.1
2026-03-16,-7.0,-0.74,933.0,61.37,6574,131,949.0,949.0,930.1
2026-03-15,-10.0,-1.05,940.0,,11734,154,950.0,958.0,936.0
2026-03-12,4.0,0.42,950.0,98.52,10370,154,930.0,964.0,929.0
2026-03-11,-26.0,-2.67,946.0,,17657,268,977.9,977.9,945.0
2026-03-10,-22.5,-2.26,972.0,,40680,529,1000.0,1005.0,949.7
2026-03-09,75.5,8.22,994.5,3.68,385,5,937.0,994.5,937.0
2026-03-03,15.0,1.66,919.0,48.39,5297,110,904.0,920.0,900.1
2026-03-01,0.0,0.0,904.0,64.75,7202,106,891.0,907.0,890.0
2026-02-26,2.0,0.22,904.0,70.56,7829,107,909.9,912.0,891.3
2026-02-25,7.0,0.78,902.0,53.4,5914,122,900.0,912.9,900.0
2026-02-24,8.0,0.9,895.0,38.76,4356,90,890.0,896.0,887.0
2026-02-23,-4.9,-0.55,887.0,86.45,9733,147,890.0,893.0,885.0
2026-02-22,-11.1,-1.23,891.9,97.44,10927,188,900.0,903.0,888.0
2026-02-17,-4.1,-0.45,903.0,,12990,189,903.0,917.0,900.0
2026-02-16,-9.9,-1.08,907.1,95.01,10444,191,914.0,919.5,903.1
2026-02-12,5.9,0.65,917.0,,16056,202,915.1,930.0,914.0
2026-02-11,-8.9,-0.97,911.1,,11646,187,937.5,938.0,910.0
2026-02-10,-12.0,-1.29,920.0,,12069,173,930.0,934.5,915.0
2026-02-09,-23.0,-2.41,932.0,,14652,199,955.0,958.8,927.2
2026-02-08,36.0,3.92,955.0,,52848,618,924.0,978.0,924.0
2026-02-05,3.0,0.33,919.0,,12647,236,916.0,926.0,910.0
2026-02-04,2.0,0.22,916.0,67.44,7373,135,914.0,928.8,904.1
2026-02-03,-6.0,-0.65,914.0,86.94,9530,189,902.1,924.9,902.1
2026-02-02,5.0,0.55,920.0,64.35,7043,150,915.0,932.5,910.0
2026-02-01,-17.6,-1.89,915.0,,11222,191,925.0,930.0,915.0
2026-01-29,-9.4,-1.0,932.6,,16547,205,932.0,949.9,932.0
2026-01-28,2.0,0.21,942.0,,15314,233,935.0,950.1,930.0
2026-01-27,-36.0,-3.69,940.0,,23931,345,990.0,990.0,933.0
2026-01-26,-14.0,-1.41,976.0,,42501,502,990.0,1008.0,962.0
2026-01-25,70.0,7.61,990.0,,40903,471,914.0,994.0,914.0
2026-01-22,4.0,0.44,920.0,,12579,180,914.0,930.0,907.0
2026-01-21,-12.0,-1.29,916.0,,15881,222,939.0,939.0,910.1
2026-01-20,32.0,3.57,928.0,,29411,377,900.0,928.2,897.0
2026-01-18,12.0,1.36,896.0,71.48,7992,163,890.0,899.8,889.1
2026-01-14,6.8,0.78,884.0,96.94,10963,159,881.5,890.0,878.0
2026-01-13,-6.8,-0.77,877.2,,11694,184,884.0,893.0,875.5
2026-01-12,-7.0,-0.79,884.0,,13643,182,883.0,895.0,880.0
2026-01-08,-4.1,-0.46,891.0,66.75,7483,135,890.0,900.0,885.0
2026-01-07,-9.9,-1.09,895.1,46.32,5148,96,905.0,910.0,895.1
2026-01-06,-4.0,-0.44,905.0,,11367,193,915.0,927.1,900.0
2026-01-05,30.0,3.41,909.0,,18990,261,876.0,909.0,876.0
2026-01-04,-8.0,-0.9,879.0,92.52,10512,196,898.0,898.0,876.0
2026-01-01,-1.0,-0.11,887.0,,15079,190,904.0,904.0,880.0
2025-12-31,-12.0,-1.33,888.0,,17405,205,900.0,910.0,888.0
2025-12-29,-3.0,-0.33,900.0,99.6,11075,159,914.9,914.9,892.1
2025-12-28,16.1,1.82,903.0,89.13,9968,184,898.0,903.0,890.0
2025-12-24,-2.1,-0.24,886.9,46.08,5197,86,890.0,896.0,885.1
2025-12-23,-1.0,-0.11,889.0,68.26,7667,164,890.0,900.0,883.0
2025-12-22,-6.0,-0.67,890.0,48.81,5478,126,892.0,900.9,888.0
2025-12-21,-6.0,-0.67,896.0,89.45,9962,184,909.0,909.0,890.0
2025-12-18,-15.0,-1.64,902.0,75.81,8375,190,909.0,915.0,901.0
2025-12-17,2.8,0.31,917.0,54.01,5911,113,896.0,918.8,896.0
2025-12-16,8.2,0.91,914.2,31.26,3446,98,920.0,920.0,901.1
2025-12-15,3.0,0.33,906.0,40.16,4449,99,905.0,908.0,900.0
2025-12-14,-2.0,-0.22,903.0,50.46,5597,116,906.0,906.0,900.0
2025-12-11,-6.9,-0.76,905.0,28.27,3119,86,909.0,914.0,905.0
2025-12-10,3.0,0.33,911.9,42.93,4727,98,905.0,912.0,905.0
2025-12-09,-1.1,-0.12,908.9,49.63,5465,108,910.0,919.0,902.1
2025-12-08,-5.0,-0.55,910.0,45.77,5012,88,915.0,919.0,910.0
2025-12-07,0.5,0.05,915.0,59.16,6473,140,911.0,920.0,908.0
2025-12-03,-4.0,-0.44,914.5,80.97,8834,127,915.3,929.0,912.0
2025-12-02,-5.5,-0.6,918.5,48.8,5326,120,924.0,924.0,912.1
2025-12-01,-2.0,-0.22,924.0,74.26,8069,119,921.5,927.0,911.1
2025-11-30,-2.0,-0.22,926.0,58.24,6258,122,928.0,939.9,925.0
2025-11-27,-5.0,-0.54,928.0,71.89,7734,133,933.0,936.0,925.0
2025-11-26,5.9,0.64,933.0,44.5,4784,112,921.0,935.0,921.0
2025-11-25,-11.7,-1.25,927.1,71.1,7621,113,938.8,948.0,925.8
2025-11-24,14.0,1.51,938.8,73.8,7906,126,930.0,940.0,926.4
2025-11-23,15.9,1.75,924.8,67.6,7338,132,924.5,927.0,910.1
2025-11-20,-0.1,-0.01,908.9,23.65,2611,88,902.5,911.0,900.0
2025-11-19,-11.0,-1.2,909.0,33.65,3702,74,920.0,920.0,905.0
2025-11-18,10.3,1.13,920.0,78.19,8547,107,901.2,925.0,901.1
2025-11-17,-0.3,-0.03,909.7,81.41,8967,165,910.0,915.0,901.0
2025-11-16,-9.0,-0.98,910.0,44.13,4851,87,919.0,919.0,908.0
2025-11-13,-0.9,-0.1,919.0,44.54,4865,82,920.0,923.0,910.0
2025-11-12,-5.1,-0.55,919.9,78.57,8593,122,926.0,927.0,906.5
2025-11-11,-3.0,-0.32,925.0,22.55,2463,61,928.0,928.0,912.0
2025-11-10,-5.1,-0.55,928.0,65.6,7116,120,915.2,939.5,915.0
2025-11-09,-11.9,-1.26,933.1,47.03,5044,77,932.0,936.0,930.0
2025-11-06,-9.9,-1.04,945.0,64.96,6847,87,954.9,959.9,941.3
2025-11-05,0.6,0.06,954.9,53.06,5615,72,945.0,954.9,940.0
2025-11-04,-8.7,-0.9,954.3,95.81,10098,107,975.0,975.0,941.0
2025-11-03,-11.0,-1.13,963.0,96.61,9990,142,965.0,982.9,960.0
2025-11-02,23.0,2.42,974.0,77.58,8049,145,960.0,974.0,946.0
2025-10-30,21.0,2.26,951.0,70.17,7518,139,912.0,960.0,912.0
2025-10-29,-13.0,-1.38,930.0,,12569,166,950.0,955.0,915.0
2025-10-28,39.0,4.31,943.0,94.14,10207,126,905.0,950.0,905.0
2025-10-26,-10.9,-1.19,904.0,74.06,8277,131,910.0,910.0,890.0
2025-10-19,-5.1,-0.55,914.9,53.41,5866,97,925.0,925.0,906.0
2025-10-16,-4.0,-0.43,920.0,53.86,5901,107,908.0,940.0,908.0
2025-10-15,-16.0,-1.7,924.0,39.49,4256,95,930.0,940.0,920.1
2025-10-14,-17.0,-1.78,940.0,42.08,4479,99,970.0,970.0,928.0
2025-10-13,17.5,1.86,957.0,76.11,8041,134,939.0,960.0,921.0
