DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,0.2,0.1,205.0,80.91,39652,747,200.0,205.0,200.0
2026-05-07,4.0,1.99,204.8,64.81,32152,689,200.1,204.8,200.0
2026-05-06,-1.7,-0.84,200.8,59.42,29562,680,202.5,204.9,200.1
2026-05-05,2.4,1.2,202.5,,57044,921,200.0,203.0,197.3
2026-05-04,-1.9,-0.94,200.1,88.06,43935,904,202.0,204.0,199.9
2026-04-30,-0.9,-0.44,202.0,,51271,872,202.9,204.9,200.0
2026-04-29,-3.9,-1.89,202.9,,58366,1224,206.8,206.8,200.0
2026-04-28,-0.3,-0.14,206.8,,135988,1939,207.1,210.0,203.0
2026-04-27,0.7,0.34,207.1,96.54,46633,1336,203.0,208.1,203.0
2026-04-24,-2.6,-1.24,206.4,66.52,32258,872,204.0,209.9,204.0
2026-04-23,3.0,1.46,209.0,,68265,1278,206.0,209.9,204.5
2026-04-22,-2.8,-1.34,206.0,,108744,1507,208.8,210.0,203.1
2026-04-21,-2.4,-1.14,208.8,,54692,1267,211.0,211.0,208.1
2026-04-20,-1.8,-0.85,211.2,,50010,1397,213.0,213.0,209.0
2026-04-17,-0.5,-0.23,213.0,,79588,1203,210.0,213.3,209.1
2026-04-16,-1.5,-0.7,213.5,,119447,1528,215.0,217.0,211.2
2026-04-15,6.5,3.12,215.0,,142604,2186,204.4,216.0,204.4
2026-04-13,-1.7,-0.81,208.5,,119698,1563,210.0,212.5,208.0
2026-04-10,-1.8,-0.85,210.2,,91913,1189,211.0,213.0,208.1
2026-04-09,2.8,1.34,212.0,,148030,1540,211.0,214.2,208.0
2026-04-08,3.0,1.45,209.2,,96297,1166,205.2,209.9,205.0
2026-04-07,-2.7,-1.29,206.2,,95783,997,210.0,212.0,205.2
2026-04-06,10.9,5.51,208.9,,184639,1471,198.0,209.9,198.0
2026-04-05,-9.5,-4.58,198.0,,233747,1675,205.0,207.0,197.0
2026-04-02,-1.4,-0.67,207.5,,115804,1198,208.0,211.9,205.0
2026-04-01,-5.8,-2.7,208.9,,145294,1248,218.0,218.0,206.8
2026-03-31,2.8,1.32,214.7,,161902,1896,208.0,216.0,207.8
2026-03-30,-7.1,-3.24,211.9,,289156,2230,221.0,221.0,210.0
2026-03-29,-9.5,-4.16,219.0,,300854,2392,230.0,230.0,218.1
2026-03-26,2.4,1.06,228.5,,170739,2109,223.0,229.0,222.0
2026-03-25,-5.8,-2.5,226.1,,159094,1750,227.5,231.9,226.0
2026-03-24,-0.1,-0.04,231.9,,205436,2022,236.6,236.6,229.0
2026-03-23,-2.2,-0.94,232.0,,285064,2683,235.0,237.0,228.6
2026-03-22,8.4,3.72,234.2,,568194,3758,230.3,237.0,229.0
2026-03-19,8.8,4.06,225.8,,543241,4270,217.0,230.4,217.0
2026-03-17,5.1,2.41,217.0,,182724,1590,210.0,218.8,206.0
2026-03-16,-5.1,-2.35,211.9,,121248,1392,215.0,216.0,210.0
2026-03-15,0.7,0.32,217.0,,308398,2218,216.0,219.9,214.0
2026-03-12,9.3,4.49,216.3,,311114,2675,211.1,217.0,205.0
2026-03-11,-5.8,-2.73,207.0,,180713,1773,213.0,214.9,205.9
2026-03-10,0.8,0.38,212.8,,497301,4448,216.2,220.5,206.0
2026-03-09,15.9,8.11,212.0,5.73,2792,21,200.0,212.1,200.0
2026-03-03,4.7,2.46,196.1,,96785,1000,195.2,197.6,188.0
2026-03-01,2.9,1.54,191.4,,83135,796,189.0,191.7,186.0
2026-02-26,1.0,0.53,188.5,98.95,52592,530,191.2,191.2,187.4
2026-02-25,-0.1,-0.05,187.5,74.41,39655,624,187.0,189.9,187.0
2026-02-24,1.6,0.86,187.6,70.76,37752,668,185.5,189.0,185.5
2026-02-23,-0.9,-0.48,186.0,82.25,44160,706,184.4,187.5,184.4
2026-02-22,-1.7,-0.9,186.9,,60032,915,188.0,189.0,185.5
2026-02-17,0.1,0.05,188.6,,74582,923,185.0,190.0,185.0
2026-02-16,-1.5,-0.79,188.5,,55564,902,190.0,190.5,188.0
2026-02-12,0.1,0.05,190.0,,68377,1101,188.0,191.0,188.0
2026-02-11,1.4,0.74,189.9,,136358,1079,186.0,193.8,186.0
2026-02-10,0.3,0.16,188.5,,81485,962,188.0,189.0,187.2
2026-02-09,-1.6,-0.84,188.2,,100260,924,188.8,190.0,187.0
2026-02-08,-0.2,-0.11,189.8,,101487,1726,190.0,192.5,188.9
2026-02-05,1.0,0.53,190.0,,80635,1258,187.0,190.0,187.0
2026-02-04,0.0,0.0,189.0,,94517,1390,186.0,191.0,186.0
2026-02-03,0.2,0.11,189.0,84.38,44736,1273,187.0,190.0,187.0
2026-02-02,-3.1,-1.62,188.8,,68648,1388,188.1,191.0,188.1
2026-02-01,-2.0,-1.03,191.9,,68331,1884,192.0,193.0,190.4
2026-01-29,0.9,0.47,193.9,,112991,1757,195.0,195.0,190.1
2026-01-28,-0.7,-0.36,193.0,,82923,1786,192.0,197.8,190.3
2026-01-27,-4.3,-2.17,193.7,,105271,1901,198.0,200.2,193.6
2026-01-26,-0.5,-0.25,198.0,,177144,2284,198.5,202.3,195.5
2026-01-25,4.7,2.43,198.5,,113192,2014,192.0,198.5,192.0
2026-01-22,-0.1,-0.05,193.8,,57526,1378,191.0,194.0,191.0
2026-01-21,-0.7,-0.36,193.9,,85335,1521,195.0,197.0,192.0
2026-01-20,2.6,1.35,194.6,,128298,2081,193.0,195.0,191.1
2026-01-18,2.0,1.05,192.0,,78760,2062,188.0,192.0,188.0
2026-01-14,0.0,0.0,190.0,99.75,52988,1190,193.0,193.0,187.5
2026-01-13,0.0,0.0,190.0,,83806,1428,187.1,191.6,187.1
2026-01-12,-0.1,-0.05,190.0,,120983,1872,190.1,193.8,187.6
2026-01-08,0.3,0.16,190.1,,96293,1642,189.0,191.0,187.7
2026-01-07,-0.9,-0.47,189.8,90.81,47883,1523,186.9,191.6,186.9
2026-01-06,-0.1,-0.05,190.7,,114369,1972,190.8,193.7,188.0
2026-01-05,0.7,0.37,190.8,,54088,1915,186.3,192.0,186.3
2026-01-04,-0.4,-0.21,190.1,,100490,2131,188.0,191.5,187.2
2026-01-01,-0.1,-0.05,190.5,,87568,1467,187.0,190.6,187.0
2025-12-31,1.5,0.79,190.6,81.49,42947,1801,189.0,192.0,187.0
2025-12-29,-2.8,-1.46,189.1,,68558,1629,191.9,192.9,188.4
2025-12-28,4.0,2.13,191.9,,82306,2528,186.0,191.9,186.0
2025-12-24,1.3,0.7,187.9,98.63,52856,1729,186.0,188.7,185.0
2025-12-23,-0.5,-0.27,186.6,,58725,2132,186.0,188.0,185.5
2025-12-22,0.0,0.0,187.1,89.01,47707,1645,187.0,187.9,186.0
2025-12-21,-0.8,-0.43,187.1,,69777,1799,191.6,191.6,186.5
2025-12-18,0.7,0.37,187.9,,72071,1864,190.9,190.9,187.1
2025-12-17,-1.5,-0.79,187.2,,57684,1556,188.7,190.0,186.8
2025-12-16,1.2,0.64,188.7,,54014,1762,186.0,189.9,186.0
2025-12-15,0.9,0.48,187.5,,103967,1645,186.0,189.0,185.6
2025-12-14,-0.5,-0.27,186.6,97.31,51940,1857,187.1,189.0,185.3
2025-12-11,0.1,0.05,187.1,84.07,44937,1753,185.0,188.1,185.0
2025-12-10,-0.8,-0.43,187.0,,59137,2328,185.0,189.8,185.0
2025-12-09,1.0,0.54,187.8,,77438,1767,186.8,188.4,184.0
2025-12-08,-0.9,-0.48,186.8,93.05,49847,2039,186.3,188.0,186.0
2025-12-07,-2.9,-1.52,187.7,,89161,2225,190.0,190.2,186.9
2025-12-03,-3.3,-1.7,190.6,90.99,47380,1317,193.0,194.9,190.0
2025-12-02,-2.6,-1.32,193.9,70.31,36363,1227,194.0,194.9,192.7
2025-12-01,0.0,0.0,196.5,,92905,1605,193.0,203.0,190.4
2025-11-30,-2.4,-1.21,196.5,,73933,2210,195.0,198.5,193.3
2025-11-27,5.9,3.06,198.9,,101590,2751,193.0,200.0,190.2
2025-11-26,0.1,0.05,193.0,,113085,2781,190.0,195.8,189.3
2025-11-25,0.0,0.0,192.9,,68073,2624,193.0,196.0,190.1
2025-11-24,4.6,2.44,192.9,,77323,1912,184.6,193.3,184.6
2025-11-23,0.4,0.21,188.3,74.44,39605,1754,186.0,190.0,185.3
2025-11-20,1.3,0.7,187.9,,70636,1575,185.9,190.0,185.9
2025-11-19,-0.6,-0.32,186.6,99.84,53277,1132,190.9,190.9,185.9
2025-11-18,0.3,0.16,187.2,79.02,42111,1172,185.0,189.5,185.0
