DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.0,2.77,222.5,,189059,483,217.9,222.9,216.7
2026-05-07,-1.5,-0.69,216.5,,189470,455,218.0,222.7,215.0
2026-05-06,-1.6,-0.73,218.0,,118378,395,223.0,225.9,216.0
2026-05-05,3.5,1.62,219.6,,291143,774,216.1,222.0,214.1
2026-05-04,-6.7,-3.01,216.1,,294886,845,233.0,233.0,214.0
2026-04-30,1.9,0.86,222.8,,369448,1023,220.1,225.0,214.0
2026-04-29,-4.1,-1.82,220.9,,296196,803,223.1,226.4,219.3
2026-04-28,-3.0,-1.32,225.0,,488683,1117,228.0,234.6,223.5
2026-04-27,-1.8,-0.78,228.0,,255599,574,229.8,232.9,228.0
2026-04-24,-0.7,-0.3,229.8,,469482,985,242.0,242.0,225.0
2026-04-23,-5.4,-2.29,230.5,,360324,770,225.0,242.0,225.0
2026-04-22,4.9,2.12,235.9,,619305,1429,220.0,242.9,220.0
2026-04-21,-7.9,-3.31,231.0,,438219,1001,250.1,250.1,230.1
2026-04-20,-7.1,-2.89,238.9,,284512,829,246.0,249.6,238.1
2026-04-17,7.0,2.93,246.0,,1039020,1890,240.0,248.0,234.0
2026-04-16,-11.0,-4.4,239.0,,798301,2046,250.0,250.0,237.0
2026-04-15,0.7,0.28,250.0,,1172317,2357,254.0,260.5,246.1
2026-04-13,12.3,5.19,249.3,,1002588,2315,237.0,251.1,233.2
2026-04-10,0.0,0.0,237.0,,898933,1806,237.0,243.7,234.6
2026-04-09,9.9,4.36,237.0,,842683,1707,231.0,238.5,224.5
2026-04-08,1.1,0.49,227.1,,397054,1001,226.0,230.9,224.0
2026-04-07,0.0,0.0,226.0,,575821,1487,230.5,230.5,221.0
2026-04-06,19.0,9.18,226.0,,780886,1969,211.0,227.0,205.5
2026-04-05,-13.5,-6.12,207.0,,786751,1840,220.0,220.0,204.0
2026-04-02,3.0,1.38,220.5,,698152,1977,215.0,230.0,211.5
