DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.2,0.45,1155.0,,20725,313,1149.8,1157.0,1149.8
2026-05-07,-1.2,-0.1,1149.8,,21996,332,1153.0,1160.0,1148.0
2026-05-06,1.0,0.09,1151.0,,24454,330,1153.0,1156.5,1150.0
2026-05-05,3.9,0.34,1150.0,,24143,407,1147.0,1155.0,1142.0
2026-05-04,0.1,0.01,1146.1,,37897,627,1169.0,1169.0,1145.1
2026-04-30,3.0,0.26,1146.0,,28379,439,1140.0,1148.0,1135.2
2026-04-29,-5.2,-0.45,1143.0,,23521,399,1148.0,1150.0,1142.2
2026-04-28,-0.8,-0.07,1148.2,,27342,406,1206.4,1206.4,1148.0
2026-04-27,3.0,0.26,1149.0,,34572,510,1146.0,1152.0,1140.0
2026-04-24,-3.0,-0.26,1146.0,,54300,525,1148.0,1150.0,1135.0
2026-04-23,-7.0,-0.61,1149.0,,22104,366,1166.0,1166.0,1141.1
2026-04-22,-1.0,-0.09,1156.0,,44490,668,1168.0,1168.0,1145.0
2026-04-21,-5.0,-0.43,1157.0,,29804,433,1174.0,1174.0,1155.0
2026-04-20,-8.0,-0.68,1162.0,,30135,480,1181.0,1181.0,1160.0
2026-04-17,0.0,0.0,1170.0,,28015,383,1175.0,1175.0,1161.0
2026-04-16,-10.0,-0.85,1170.0,,33385,461,1180.0,1181.0,1168.0
2026-04-15,12.1,1.04,1180.0,,36725,473,1189.9,1189.9,1170.0
2026-04-13,-7.6,-0.65,1167.9,,68863,531,1175.0,1185.0,1166.0
2026-04-10,-5.5,-0.47,1175.5,,46840,446,1195.0,1200.0,1170.0
2026-04-09,10.0,0.85,1181.0,,44366,599,1175.0,1185.0,1175.0
2026-04-08,9.0,0.77,1171.0,,41179,424,1170.0,1180.0,1160.0
2026-04-07,2.1,0.18,1162.0,,55019,576,1182.0,1182.0,1159.0
2026-04-06,20.9,1.83,1159.9,,71773,1016,1140.0,1180.0,1137.0
2026-04-05,-30.8,-2.63,1139.0,,105334,1501,1161.0,1161.0,1130.0
2026-04-02,-0.2,-0.02,1169.8,,58074,735,1170.0,1183.0,1150.0
2026-04-01,-15.0,-1.27,1170.0,,66565,959,1185.0,1200.0,1160.1
2026-03-31,2.0,0.17,1185.0,,84969,1074,1190.0,1195.0,1165.1
2026-03-30,-21.0,-1.74,1183.0,,105356,1214,1200.0,1205.0,1181.2
2026-03-29,-22.0,-1.79,1204.0,,123947,1426,1230.0,1230.0,1200.0
2026-03-26,-9.0,-0.73,1226.0,,64395,766,1235.0,1239.9,1215.2
2026-03-25,-18.0,-1.44,1235.0,,113050,1033,1254.0,1260.0,1232.0
2026-03-24,14.0,1.13,1253.0,,144026,1219,1263.7,1263.7,1235.0
2026-03-23,23.5,1.93,1239.0,,158313,1385,1220.0,1240.4,1210.0
2026-03-22,20.5,1.72,1215.5,,129587,1272,1218.9,1220.0,1201.0
2026-03-19,13.0,1.1,1195.0,,98089,931,1182.0,1198.9,1182.0
2026-03-17,-8.0,-0.67,1182.0,,49794,610,1186.1,1197.0,1180.1
2026-03-16,-10.0,-0.83,1190.0,,54304,649,1210.0,1210.0,1188.0
2026-03-15,0.0,0.0,1200.0,,69070,775,1200.0,1210.0,1195.0
2026-03-12,5.0,0.42,1200.0,,76166,874,1200.0,1208.0,1190.0
2026-03-11,-30.0,-2.45,1195.0,,93653,1122,1249.5,1249.5,1194.0
2026-03-10,-45.0,-3.54,1225.0,,269114,2948,1290.0,1292.0,1198.0
2026-03-09,111.2,9.6,1270.0,31.18,2492,23,1181.9,1274.0,1181.9
2026-03-03,14.8,1.29,1158.8,,52058,506,1166.8,1166.8,1140.0
2026-03-01,2.9,0.25,1144.0,,71379,667,1163.9,1163.9,1130.0
2026-02-26,3.1,0.27,1141.1,,29740,376,1147.0,1148.0,1139.1
2026-02-25,2.6,0.23,1138.0,,26569,358,1146.0,1149.0,1135.0
2026-02-24,2.3,0.2,1135.4,,30055,384,1132.0,1140.0,1132.0
2026-02-23,-1.9,-0.17,1133.1,,27013,405,1135.0,1141.0,1131.0
2026-02-22,1.0,0.09,1135.0,,80601,765,1134.0,1144.5,1128.0
2026-02-17,-3.7,-0.33,1134.0,,56083,630,1137.7,1145.0,1133.0
2026-02-16,0.2,0.02,1137.7,,43826,530,1150.0,1150.0,1136.0
2026-02-12,1.4,0.12,1137.5,,52164,575,1140.0,1145.0,1130.0
2026-02-11,0.1,0.01,1136.1,,35684,436,1143.0,1146.8,1135.0
2026-02-10,-3.0,-0.26,1136.0,,42723,566,1150.0,1150.0,1133.5
2026-02-09,-4.0,-0.35,1139.0,,50110,585,1150.0,1150.0,1135.0
2026-02-08,2.0,0.18,1143.0,,66291,687,1163.8,1163.8,1140.0
2026-02-05,5.0,0.44,1141.0,,50174,618,1140.0,1149.0,1138.0
2026-02-04,-3.0,-0.26,1136.0,,58378,709,1150.0,1150.0,1135.0
2026-02-03,-9.0,-0.78,1139.0,,81053,909,1148.0,1154.0,1135.2
2026-02-02,-3.0,-0.26,1148.0,,61474,688,1163.0,1163.0,1145.0
2026-02-01,0.0,0.0,1151.0,,65968,862,1151.0,1160.0,1150.0
