DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,78.6,7.9,1073.0,,132782,3671,1000.0,1076.0,995.3
2026-05-07,6.4,0.65,994.4,,37729,1381,988.0,1004.0,986.0
2026-05-06,-6.0,-0.6,988.0,,51679,1881,1000.0,1020.0,982.0
2026-05-05,-6.0,-0.6,994.0,,58778,2282,1000.0,1019.0,972.0
2026-05-04,-24.0,-2.34,1000.0,,51713,2351,994.0,1020.0,980.0
2026-04-30,19.0,1.89,1024.0,,94735,3649,975.1,1045.0,956.6
2026-04-29,-55.0,-5.19,1005.0,,119051,6217,1065.2,1065.2,995.1
2026-04-28,-88.0,-7.67,1060.0,,189770,9592,1191.0,1191.0,1038.0
2026-04-27,-47.0,-3.93,1148.0,,105359,5889,1195.0,1225.0,1148.0
2026-04-24,15.0,1.27,1195.0,,111477,7897,1180.0,1225.0,1111.0
2026-04-23,-57.0,-4.61,1180.0,,188547,15428,1237.0,1237.0,1142.0
2026-04-22,-149.0,-10.75,1237.0,,228942,21374,1400.0,1404.0,1208.1
2026-04-21,124.6,9.88,1386.0,,159134,14055,1323.0,1450.6,1286.0
2026-04-20,164.5,15.0,1261.4,,292797,27772,1151.7,1261.4,1151.7
2026-04-17,99.7,10.0,1096.9,,11840,1184,1017.1,1096.9,1017.1
2026-04-16,90.6,9.99,997.2,52.33,5250,525,924.7,997.2,924.7
2026-04-15,82.4,10.0,906.6,34.05,3760,376,840.6,906.6,840.6
2026-04-13,74.9,10.0,824.2,34.24,4160,416,764.2,824.2,764.2
2026-04-10,68.1,10.0,749.3,16.02,2140,214,694.8,749.3,694.8
2026-04-09,61.9,10.0,681.2,16.25,2390,239,610.7,681.2,610.7
2026-04-08,56.3,10.0,619.3,7.54,1220,122,574.2,619.3,574.2
2026-04-07,51.1,9.98,563.0,6.11,1090,109,513.7,563.0,513.7
2026-04-06,46.5,9.99,511.9,6.68,1310,131,474.7,511.9,474.7
2026-04-05,42.3,10.0,465.4,4.44,960,96,423.1,465.4,423.1
2026-04-02,38.4,9.98,423.1,2.47,590,59,381.7,423.1,381.7
2026-04-01,34.9,9.98,384.7,1.72,450,45,356.0,384.7,356.0
2026-03-31,31.8,10.0,349.8,1.28,370,37,316.0,349.8,316.0
2026-03-30,28.9,10.0,318.0,1.47,470,47,289.1,318.0,289.1
2026-03-29,26.2,9.97,289.1,1.17,410,41,264.6,289.1,264.6
2026-03-26,23.9,10.0,262.9,,208,21,237.3,262.9,237.3
2026-03-25,21.7,9.99,239.0,,270,27,215.0,239.0,215.0
2026-03-24,19.7,9.97,217.3,,200,20,195.7,217.3,195.7
2026-03-23,17.9,9.96,197.6,,250,25,176.4,197.6,176.4
2026-03-22,16.3,9.98,179.7,,300,30,166.5,179.7,166.5
2026-03-19,14.8,9.96,163.4,,190,19,147.0,163.4,147.0
2026-03-17,13.5,9.99,148.6,,90,9,137.8,148.6,137.8
2026-03-16,12.2,9.93,135.1,,150,15,121.7,135.1,121.7
2026-03-15,11.1,9.93,122.9,,140,14,110.7,122.9,110.7
2026-03-12,10.1,9.93,111.8,,150,15,101.7,111.8,101.7
