DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.2,0.83,267.0,,44067,252,267.8,269.0,265.0
2026-05-07,0.9,0.34,264.8,,42077,236,266.0,266.8,262.0
2026-05-06,0.9,0.34,263.9,,55036,278,276.1,276.1,261.5
2026-05-05,0.5,0.19,263.0,,60873,347,262.0,267.0,260.6
2026-05-04,-3.2,-1.2,262.5,,66976,350,265.0,268.0,261.8
2026-04-30,-1.3,-0.49,265.7,,126205,455,267.0,268.7,262.0
2026-04-29,-2.9,-1.07,267.0,,53958,259,270.0,270.0,265.5
2026-04-28,-1.9,-0.7,269.9,,77336,377,285.3,285.3,267.7
2026-04-27,1.0,0.37,271.8,,111885,395,270.8,273.9,268.0
2026-04-24,0.1,0.04,270.8,,92605,342,270.7,272.0,266.0
2026-04-23,-1.4,-0.51,270.7,,65713,322,273.5,275.0,269.2
2026-04-22,0.5,0.18,272.1,,92938,488,271.0,278.0,268.0
2026-04-21,-2.5,-0.91,271.6,,75315,339,274.1,277.0,271.0
2026-04-20,-3.9,-1.4,274.1,,58134,326,278.1,280.0,273.0
2026-04-17,0.8,0.29,278.0,,158094,494,282.7,282.7,275.0
2026-04-16,-7.5,-2.63,277.2,,156344,553,284.7,284.9,276.0
2026-04-15,7.7,2.78,284.7,,199644,673,280.0,288.6,277.1
2026-04-13,0.0,0.0,277.0,,106753,364,275.0,280.0,275.0
2026-04-10,-5.8,-2.05,277.0,,166218,547,288.4,288.4,274.1
2026-04-09,3.0,1.07,282.8,,148662,536,280.0,284.9,276.1
2026-04-08,3.9,1.41,279.8,,142941,463,278.0,279.8,273.3
2026-04-07,0.7,0.25,275.9,,168351,612,278.5,279.9,271.0
2026-04-06,12.8,4.88,275.2,,301255,928,262.0,284.0,260.3
2026-04-05,-9.6,-3.53,262.4,,272116,985,267.0,270.0,261.0
2026-04-02,1.0,0.37,272.0,,215576,817,275.0,276.0,266.0
2026-04-01,-12.8,-4.51,271.0,,357309,1133,283.8,283.8,270.0
2026-03-31,5.8,2.09,283.8,,243430,1018,282.0,284.0,271.2
2026-03-30,-9.2,-3.2,278.0,,523775,1409,290.0,290.0,277.6
2026-03-29,-10.8,-3.62,287.2,,522390,1390,298.0,299.9,286.0
2026-03-26,-3.0,-1.0,298.0,,351659,980,307.0,307.0,296.2
2026-03-25,5.9,2.0,301.0,,1205668,2771,298.0,307.0,296.0
2026-03-24,-1.5,-0.51,295.1,,325583,890,297.0,300.0,292.6
2026-03-23,-2.3,-0.77,296.6,,284958,917,300.0,301.2,293.1
2026-03-22,-0.1,-0.03,298.9,,583067,1582,301.0,304.5,296.1
2026-03-19,6.5,2.22,299.0,,677725,1691,292.5,300.0,292.5
2026-03-17,5.2,1.81,292.5,,297248,875,287.0,292.7,282.0
2026-03-16,-7.6,-2.58,287.3,,419979,976,300.0,300.0,284.7
2026-03-15,-3.6,-1.21,294.9,,425094,1145,300.0,304.4,293.0
2026-03-12,10.4,3.61,298.5,,651160,1665,289.0,303.0,288.0
2026-03-11,-2.9,-1.0,288.1,,634950,1408,293.0,297.5,287.0
2026-03-10,-1.0,-0.34,291.0,,717710,2103,295.0,296.0,278.0
2026-03-09,25.6,9.61,292.0,8.08,2844,12,271.7,292.0,271.7
2026-03-03,4.5,1.72,266.4,,88409,310,267.1,267.1,260.5
2026-03-01,0.7,0.27,261.9,,93456,288,266.4,266.4,255.0
2026-02-26,2.0,0.77,261.2,,80779,232,264.3,264.3,259.2
2026-02-25,-0.7,-0.27,259.2,,58412,213,262.9,263.0,258.0
2026-02-24,3.0,1.17,259.9,,94267,268,258.0,260.0,256.5
2026-02-23,1.9,0.75,256.9,,72501,258,255.0,260.0,255.0
2026-02-22,-4.9,-1.89,255.0,,133171,448,260.0,260.0,254.6
2026-02-17,-5.1,-1.92,259.9,,129492,414,263.1,264.0,259.7
2026-02-16,-1.5,-0.56,265.0,,60177,260,269.0,269.8,264.0
2026-02-12,2.5,0.95,266.5,,218225,648,267.0,269.7,264.0
2026-02-11,1.0,0.38,264.0,,157755,445,265.0,266.3,262.5
2026-02-10,1.0,0.38,263.0,,134163,443,263.0,267.0,260.0
2026-02-09,1.8,0.69,262.0,,136674,455,261.5,265.0,259.0
2026-02-08,-3.5,-1.33,260.2,,179081,528,263.1,268.5,260.0
2026-02-05,3.7,1.42,263.7,,121177,429,262.8,266.0,258.2
2026-02-04,-1.9,-0.73,260.0,,107188,409,260.0,264.9,257.5
2026-02-03,-1.0,-0.38,261.9,,139891,370,263.1,266.3,260.2
2026-02-02,-2.1,-0.79,262.9,,73258,294,265.0,268.0,262.1
2026-02-01,-1.6,-0.6,265.0,,171572,436,269.0,270.9,263.2
2026-01-29,6.1,2.34,266.6,,311455,802,263.0,275.0,261.5
2026-01-28,-2.5,-0.95,260.5,,233329,484,263.0,267.5,258.1
2026-01-27,-7.0,-2.59,263.0,,165589,576,270.0,273.9,262.7
2026-01-26,-5.0,-1.82,270.0,,291578,688,275.0,279.0,266.0
2026-01-25,9.7,3.66,275.0,,264830,774,265.0,275.3,265.0
2026-01-22,1.2,0.45,265.3,,110713,333,262.0,266.0,262.0
2026-01-21,-2.6,-0.97,264.1,,187219,387,266.0,270.0,263.2
2026-01-20,7.5,2.89,266.7,,237371,597,264.3,268.2,262.0
2026-01-18,4.0,1.57,259.2,,92708,304,258.0,263.0,258.0
2026-01-14,-1.5,-0.58,255.2,,83682,289,252.0,258.0,252.0
2026-01-13,0.8,0.31,256.7,,90995,301,257.0,257.9,254.8
2026-01-12,-2.0,-0.78,255.9,,87905,281,256.2,259.9,255.6
2026-01-08,-0.1,-0.04,257.9,,76408,277,256.1,258.0,256.0
2026-01-07,-5.0,-1.9,258.0,,84259,223,260.5,262.0,257.0
2026-01-06,5.0,1.94,263.0,,119456,409,260.6,263.5,259.0
2026-01-05,2.6,1.02,258.0,,73772,245,255.1,258.9,255.1
2026-01-04,-3.5,-1.35,255.4,87.4,34111,225,259.0,260.0,255.3
2026-01-01,-3.0,-1.15,258.9,,114299,264,259.0,262.2,256.0
2025-12-31,1.9,0.73,261.9,,83344,254,260.0,262.9,258.1
2025-12-29,-1.7,-0.65,260.0,,96932,255,266.9,266.9,258.0
2025-12-28,7.2,2.83,261.7,,130510,401,257.0,262.0,255.9
2025-12-24,-0.6,-0.24,254.5,,46345,225,258.0,258.0,253.4
2025-12-23,-0.07,-0.03,255.1,,78597,313,250.1,258.9,250.1
2025-12-22,-4.0,-1.52,259.0,,111105,375,268.2,268.2,258.0
2025-12-21,-1.7,-0.64,263.0,,137022,330,262.0,265.5,261.1
2025-12-18,-1.3,-0.49,264.7,,83618,251,266.0,267.0,262.2
2025-12-17,-0.3,-0.11,266.0,,63425,230,266.3,268.6,265.2
2025-12-16,3.4,1.29,266.3,,126754,281,263.0,266.5,263.0
2025-12-15,-1.9,-0.72,262.9,,76582,308,262.5,264.0,260.1
2025-12-14,-3.0,-1.12,264.8,,108582,325,268.0,268.0,262.0
2025-12-11,0.9,0.34,267.8,,88467,279,263.0,268.2,263.0
2025-12-10,-1.1,-0.41,266.9,,57771,204,263.0,269.9,263.0
2025-12-09,1.5,0.56,268.0,,53043,207,262.0,270.0,262.0
2025-12-08,-0.2,-0.07,266.5,,61726,240,267.0,270.0,265.0
2025-12-07,-2.3,-0.86,266.7,,84953,245,270.0,270.0,265.8
2025-12-03,-4.0,-1.47,269.0,,86398,315,272.5,274.5,268.8
2025-12-02,0.0,0.0,273.0,,71159,183,270.0,273.9,270.0
2025-12-01,-0.9,-0.33,273.0,,162358,295,276.4,276.4,271.5
2025-11-30,-4.1,-1.47,273.9,,195403,442,278.0,281.9,273.0
2025-11-27,-2.0,-0.71,278.0,,234751,347,277.4,281.8,277.0
2025-11-26,-2.0,-0.71,280.0,,140395,388,285.0,285.0,279.0
2025-11-25,4.0,1.44,282.0,,324409,682,279.0,283.2,276.5
2025-11-24,6.6,2.43,278.0,,183106,593,267.0,279.8,267.0
2025-11-23,8.5,3.23,271.4,,160089,410,268.1,271.4,266.0
2025-11-20,-4.1,-1.54,262.9,,54871,208,261.7,269.0,261.7
2025-11-19,-0.7,-0.26,267.0,,70697,251,269.0,272.0,262.8
2025-11-18,3.9,1.48,267.7,,158170,439,269.0,272.8,260.2
2025-11-17,3.4,1.31,263.8,,65432,208,260.0,263.9,258.0
2025-11-16,-0.6,-0.23,260.4,,85249,235,260.0,263.9,258.9
2025-11-13,-0.2,-0.08,261.0,,96415,280,256.1,277.1,256.1
2025-11-12,-2.8,-1.06,261.2,,96442,202,265.0,265.0,261.2
2025-11-11,-1.0,-0.38,264.0,,60539,216,260.0,266.0,260.0
2025-11-10,0.1,0.04,265.0,,62413,263,260.0,275.5,260.0
2025-11-09,-6.1,-2.25,264.9,,83521,326,271.0,273.9,264.0
2025-11-06,2.0,0.74,271.0,,175613,387,274.3,274.3,266.3
2025-11-05,1.0,0.37,269.0,,124525,364,267.0,270.5,263.6
2025-11-04,-5.8,-2.12,268.0,,112866,294,271.7,275.0,267.0
