DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,42.9,4.95,909.9,90.42,10188,157,865.0,910.0,855.1
2026-05-07,27.0,3.21,867.0,39.42,4595,113,836.1,875.0,836.1
2026-05-06,-10.0,-1.18,840.0,36.98,4389,108,832.0,863.0,832.0
2026-05-05,22.9,2.77,850.0,38.01,4523,124,830.0,850.0,820.0
2026-05-04,-12.9,-1.54,827.1,37.37,4461,112,846.0,850.0,825.0
2026-04-30,11.0,1.33,840.0,,14834,234,805.0,865.0,805.0
2026-04-29,-43.0,-4.93,829.0,,17202,252,850.1,874.9,828.0
2026-04-28,-26.0,-2.9,872.0,56.03,6367,157,898.0,898.0,870.5
2026-04-27,5.1,0.57,898.0,32.99,3683,154,892.9,916.0,881.0
2026-04-24,-12.1,-1.34,892.9,59.64,6686,129,881.0,905.5,881.0
2026-04-23,-23.0,-2.48,905.0,81.29,8868,158,920.0,937.0,905.0
2026-04-22,-16.0,-1.69,928.0,,10904,179,941.0,941.0,910.1
2026-04-21,-3.0,-0.32,944.0,,11239,212,940.0,960.0,920.0
2026-04-20,8.1,0.86,947.0,,15455,317,935.0,964.0,911.1
2026-04-17,-9.1,-0.96,938.9,63.63,6846,193,929.1,953.0,918.0
2026-04-16,-31.0,-3.17,948.0,,13924,262,959.5,972.5,925.0
2026-04-15,4.0,0.41,979.0,,25974,432,955.5,1013.0,950.0
2026-04-13,-20.0,-2.01,975.0,,10445,254,990.0,990.0,951.7
2026-04-10,1.0,0.1,995.0,,24426,452,974.2,1057.0,955.0
2026-04-09,87.4,9.64,994.0,,32701,463,888.5,994.0,888.5
2026-04-08,57.6,6.78,906.6,,12632,201,865.0,918.0,850.0
2026-04-07,-24.0,-2.75,849.0,68.05,7834,142,890.0,904.9,848.0
2026-04-06,46.0,5.56,873.0,84.1,9777,208,810.5,894.8,805.0
2026-04-05,-83.0,-9.12,827.0,,15686,294,892.0,892.0,819.0
2026-04-02,-21.0,-2.26,910.0,75.57,8341,242,914.0,928.0,880.2
2026-04-01,-28.0,-2.92,931.0,,11755,234,942.0,944.0,910.0
2026-03-31,-2.0,-0.21,959.0,98.37,10433,198,960.0,965.0,928.0
2026-03-30,-14.0,-1.44,961.0,,14315,233,972.0,990.0,937.0
2026-03-29,-50.0,-4.88,975.0,,26565,309,1005.0,1009.0,975.0
2026-03-26,45.0,4.59,1025.0,,39897,625,980.0,1032.0,975.0
2026-03-25,35.0,3.7,980.0,,19591,311,935.1,985.0,935.1
2026-03-24,-13.0,-1.36,945.0,79.39,8388,174,958.0,976.0,940.0
2026-03-23,-4.0,-0.42,958.0,,15172,225,950.0,969.0,940.1
2026-03-22,-8.0,-0.82,962.0,,15667,260,970.0,985.0,950.7
2026-03-19,2.1,0.22,970.0,,11510,268,979.0,985.0,956.0
2026-03-17,26.9,2.86,967.9,89.62,9350,186,946.0,995.0,943.0
2026-03-16,-25.0,-2.59,941.0,,14001,231,966.0,971.0,941.0
2026-03-15,-33.0,-3.3,966.0,,21244,280,1014.9,1018.0,963.0
2026-03-12,-15.0,-1.48,999.0,,25383,313,995.0,1028.0,977.0
2026-03-11,-32.0,-3.06,1014.0,,36524,404,1050.0,1050.0,990.0
2026-03-10,-71.0,-6.36,1046.0,,39493,540,1117.0,1117.0,1029.0
2026-03-09,101.0,9.94,1117.0,17.53,1605,22,1036.3,1117.0,1036.3
2026-03-03,0.1,0.01,1016.0,,32609,378,995.6,1044.0,976.1
2026-03-01,-44.1,-4.16,1015.9,,25784,451,1038.8,1038.8,960.4
2026-02-26,60.0,6.0,1060.0,,24397,371,980.0,1060.0,965.0
2026-02-25,29.8,3.07,1000.0,,22686,353,970.2,1005.0,951.0
2026-02-24,11.3,1.18,970.2,,21992,245,939.8,979.2,939.8
2026-02-23,53.9,5.96,958.9,,27929,426,886.9,969.0,886.9
2026-02-22,-32.9,-3.51,905.0,,12777,225,919.2,940.0,903.6
2026-02-17,-19.1,-2.0,937.9,,17947,256,950.0,975.0,930.0
2026-02-16,1.0,0.1,957.0,,17505,279,941.0,978.0,937.0
2026-02-12,-2.0,-0.21,956.0,,14019,290,950.0,978.0,935.2
2026-02-11,-27.0,-2.74,958.0,,17687,292,1000.0,1004.7,940.0
2026-02-10,27.0,2.82,985.0,,29986,519,938.9,1024.9,938.9
2026-02-09,-42.0,-4.2,958.0,,30313,445,1000.0,1015.0,936.0
2026-02-08,-9.0,-0.89,1000.0,,22446,413,1010.0,1034.0,990.0
2026-02-05,-28.5,-2.75,1009.0,,28766,469,1050.0,1050.0,989.8
2026-02-04,-30.5,-2.86,1037.5,,22088,458,1046.7,1100.0,990.1
2026-02-03,-10.2,-0.95,1068.0,,32280,668,1056.7,1143.0,1041.0
2026-02-02,98.0,10.0,1078.2,,47789,619,960.6,1078.2,960.6
2026-02-01,-69.8,-6.65,980.2,,34438,711,1029.0,1050.0,980.0
2026-01-29,-100.0,-8.7,1050.0,,67887,843,1150.0,1174.0,1035.0
2026-01-28,-21.0,-1.79,1150.0,,63226,1047,1147.6,1213.0,1061.8
2026-01-27,21.5,1.87,1171.0,,63815,1213,1170.0,1264.0,1158.0
2026-01-26,104.5,10.0,1149.5,,82463,827,1065.9,1149.5,1045.0
2026-01-25,95.0,10.0,1045.0,,96219,891,931.0,1045.0,931.0
2026-01-22,50.0,5.56,950.0,,63128,647,900.0,955.0,891.0
2026-01-21,-19.0,-2.07,900.0,,23726,330,920.0,925.0,895.0
2026-01-20,0.0,0.0,919.0,,32744,429,934.9,936.0,902.0
2026-01-18,20.0,2.22,919.0,,26544,433,882.0,930.0,882.0
2026-01-14,-14.0,-1.53,899.0,,21208,355,913.0,919.0,891.0
2026-01-13,-22.0,-2.35,913.0,,42562,493,922.0,957.0,905.0
2026-01-12,-12.0,-1.27,935.0,,46198,627,928.1,972.0,910.0
2026-01-08,3.0,0.32,947.0,,37445,427,925.2,1000.0,913.0
2026-01-07,8.7,0.93,944.0,,24634,440,916.6,949.0,899.0
2026-01-06,-43.7,-4.46,935.3,,41564,612,985.0,1005.0,924.0
2026-01-05,77.0,8.54,979.0,,81879,956,884.0,992.0,884.0
2026-01-04,-7.0,-0.77,902.0,,32730,502,909.0,909.0,878.0
2026-01-01,68.0,8.09,909.0,,61540,916,824.2,924.0,824.2
2025-12-31,-22.0,-2.55,841.0,,27418,378,850.0,878.0,841.0
2025-12-29,-22.0,-2.49,863.0,,33092,411,885.0,900.0,846.0
2025-12-28,25.0,2.91,885.0,,34201,556,860.0,895.0,830.0
2025-12-24,34.6,4.19,860.0,,50360,676,808.9,881.2,808.9
2025-12-23,22.3,2.78,825.4,,19025,384,787.1,826.0,787.1
2025-12-22,-36.9,-4.39,803.1,,22903,380,825.4,840.0,803.1
2025-12-21,-8.0,-0.94,840.0,,14274,349,831.1,873.0,831.1
2025-12-18,-7.5,-0.88,848.0,,20025,402,838.4,873.0,825.0
2025-12-17,2.5,0.29,855.5,,25652,415,853.0,889.0,840.0
2025-12-16,-17.0,-1.95,853.0,,24683,538,852.6,899.0,845.0
2025-12-15,-65.0,-6.95,870.0,,24741,511,916.3,950.0,866.0
2025-12-14,14.0,1.52,935.0,,37414,598,939.4,958.0,902.3
2025-12-11,-19.0,-2.02,921.0,,34226,711,921.2,943.0,900.0
2025-12-10,-50.0,-5.05,940.0,,20829,643,970.2,971.0,923.3
2025-12-09,-40.0,-3.88,990.0,,37481,662,1009.4,1050.6,949.8
2025-12-08,20.0,1.98,1030.0,,71075,1182,989.8,1071.0,940.4
2025-12-07,-10.0,-0.98,1010.0,,58924,1217,1020.0,1097.9,985.2
2025-12-03,60.0,6.25,1020.0,,56494,951,940.8,1035.0,922.0
2025-12-02,26.7,2.86,960.0,,38731,781,914.7,1002.0,882.3
2025-12-01,26.2,2.89,933.3,,20090,594,889.0,940.0,878.0
2025-11-30,42.1,4.87,907.1,,36262,880,847.7,917.0,847.7
2025-11-27,-73.0,-7.78,865.0,,44361,1075,919.3,973.0,865.0
2025-11-26,7.0,0.75,938.0,,47659,1156,912.4,984.0,880.0
2025-11-25,47.0,5.32,931.0,,44943,1149,866.4,952.0,821.0
2025-11-24,57.8,7.0,884.0,,40393,932,809.7,884.0,809.7
2025-11-23,37.7,4.78,826.2,,61076,1253,772.8,854.0,750.0
2025-11-20,44.0,5.91,788.5,,51453,1247,729.7,810.0,715.2
2025-11-19,67.6,9.99,744.5,,56113,1138,663.4,744.5,663.4
2025-11-18,54.2,8.7,676.9,,31242,815,622.0,678.3,622.0
