DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,9.8,1.1,899.8,10.06,1134,9,872.2,899.8,872.2
2026-05-07,-5.0,-0.56,890.0,4.39,496,13,872.6,898.0,872.3
2026-05-06,-5.0,-0.56,895.0,2.87,320,8,900.0,908.0,895.0
2026-05-05,2.0,0.22,900.0,15.19,1713,23,871.5,900.0,871.5
2026-05-04,9.0,1.01,898.0,9.63,1097,21,870.0,898.0,870.0
2026-04-30,12.9,1.47,889.0,6.68,762,24,900.0,900.0,873.0
2026-04-29,-4.2,-0.48,876.1,8.27,944,17,870.1,880.0,870.1
2026-04-28,0.0,0.0,880.3,6.29,716,15,880.3,881.0,878.2
2026-04-27,-19.7,-2.19,880.3,31.42,3555,45,900.0,923.9,873.0
2026-04-24,-7.0,-0.77,900.0,4.26,477,10,907.0,900.0,884.1
2026-04-23,-3.0,-0.33,907.0,4.36,485,11,920.0,920.0,885.2
2026-04-22,7.0,0.78,910.0,35.29,3998,62,881.0,910.0,868.0
2026-04-21,3.0,0.33,903.0,11.79,1316,12,877.0,903.0,877.0
2026-04-20,-15.0,-1.64,900.0,10.37,1156,18,897.2,905.0,893.5
2026-04-17,-3.0,-0.33,915.0,12.61,1398,20,900.4,918.0,900.0
2026-04-16,4.0,0.44,918.0,23.57,2591,23,923.0,923.0,906.1
2026-04-15,-10.9,-1.18,914.0,10.72,1153,28,920.0,943.0,912.1
2026-04-13,-0.1,-0.01,924.9,33.67,3692,25,935.0,936.0,909.0
2026-04-10,-8.0,-0.86,925.0,15.76,1733,24,918.0,929.0,900.0
2026-04-09,14.0,1.52,933.0,13.18,1438,33,932.0,936.0,906.0
2026-04-08,20.0,2.22,919.0,29.64,3265,46,899.0,919.0,899.0
2026-04-07,-3.0,-0.33,899.0,7.42,824,33,905.0,919.8,895.0
2026-04-06,5.0,0.56,902.0,39.82,4396,49,914.9,914.9,885.0
2026-04-05,-26.0,-2.82,897.0,,13238,79,904.6,912.0,885.0
2026-04-02,3.0,0.33,923.0,10.3,1128,34,918.5,925.0,907.1
2026-04-01,-20.0,-2.13,920.0,41.09,4471,53,928.0,938.1,910.0
2026-03-31,10.0,1.08,940.0,25.83,2777,46,916.0,944.6,915.5
2026-03-30,-8.0,-0.85,930.0,85.35,9185,75,921.0,956.0,910.0
2026-03-29,-30.0,-3.1,938.0,70.52,7419,82,985.0,985.0,938.0
2026-03-26,8.0,0.83,968.0,32.51,3394,45,947.6,979.2,947.6
2026-03-25,-34.0,-3.42,960.0,,15125,119,994.0,994.0,959.6
2026-03-24,7.0,0.71,994.0,32.15,3239,53,970.0,1005.0,970.0
2026-03-23,16.9,1.74,987.0,,17932,204,989.5,998.0,970.0
2026-03-22,20.1,2.12,970.1,,14686,176,960.0,998.9,955.2
2026-03-19,2.5,0.26,950.0,36.57,3859,63,949.5,955.0,931.2
2026-03-17,1.5,0.16,947.5,14.58,1552,23,930.2,947.5,930.2
2026-03-16,5.9,0.63,946.0,25.76,2732,44,941.0,950.0,930.2
2026-03-15,-9.9,-1.04,940.1,59.77,6338,42,955.0,955.0,935.0
2026-03-12,6.0,0.64,950.0,,33591,35,944.0,953.9,929.0
2026-03-11,-6.0,-0.63,944.0,29.69,3163,58,941.0,950.0,931.0
2026-03-10,1.4,0.15,950.0,85.23,9030,89,967.5,970.0,930.0
2026-03-09,18.6,2.0,948.6,,10,1,948.6,948.6,948.6
2026-03-03,10.0,1.09,930.0,17.1,1852,18,930.0,930.0,911.4
2026-03-01,0.0,0.0,920.0,28.2,3087,30,918.0,920.0,903.3
2026-02-26,11.9,1.31,920.0,15.63,1708,35,905.0,920.0,905.0
2026-02-25,-6.9,-0.75,908.1,7.32,803,26,901.3,929.0,901.3
2026-02-24,11.0,1.22,915.0,25.73,2835,31,904.0,915.0,903.0
2026-02-23,-7.0,-0.77,904.0,18.63,2051,17,893.0,919.9,893.0
2026-02-22,5.9,0.65,911.0,15.1,1674,22,900.7,911.5,900.5
2026-02-17,4.1,0.46,905.1,89.9,9740,66,892.5,937.3,892.5
2026-02-16,-4.0,-0.44,901.0,1.78,198,12,905.0,905.0,900.0
2026-02-12,0.0,0.0,905.0,20.13,2234,20,900.0,909.0,892.4
2026-02-11,-4.0,-0.44,905.0,9.65,1076,27,925.9,925.9,891.2
2026-02-10,-1.0,-0.11,909.0,18.71,2082,33,910.0,910.0,896.2
2026-02-09,0.0,0.0,910.0,48.07,5301,36,910.0,910.0,900.1
2026-02-08,-20.0,-2.15,910.0,41.23,4485,52,930.0,940.0,906.0
2026-02-05,10.0,1.09,930.0,16.08,1752,28,930.0,930.0,915.5
2026-02-04,-3.9,-0.42,920.0,16.99,1855,29,906.5,925.0,906.5
2026-02-03,5.9,0.64,923.9,19.35,2111,27,905.0,923.9,905.0
2026-02-02,4.0,0.44,918.0,21.15,2290,30,930.0,932.0,916.4
2026-02-01,-4.1,-0.45,914.0,35.24,3871,40,907.0,915.0,907.0
2026-01-29,-3.4,-0.37,918.1,28.68,3120,39,929.0,929.0,916.0
2026-01-28,-3.5,-0.38,921.5,38.01,4115,39,925.0,938.0,921.5
2026-01-27,-13.9,-1.48,925.0,45.59,4918,52,922.1,935.0,922.0
2026-01-26,-0.5,-0.05,938.9,45.33,4832,48,940.0,943.0,926.2
2026-01-25,24.4,2.67,939.4,34.41,3686,29,933.3,939.8,922.0
2026-01-22,1.3,0.14,915.0,7.76,845,7,910.0,922.0,910.0
2026-01-21,-18.3,-1.96,913.7,18.65,2026,27,940.0,940.0,913.5
2026-01-20,19.0,2.08,932.0,23.95,2569,30,906.0,940.0,906.0
2026-01-18,24.9,2.8,913.0,22.53,2485,33,900.0,914.5,900.0
2026-01-14,-5.4,-0.6,888.1,4.64,523,11,884.0,888.2,884.0
2026-01-13,-6.5,-0.72,893.5,10.39,1154,16,886.0,905.0,886.0
2026-01-12,-2.7,-0.3,900.0,38.84,4260,67,888.1,943.0,888.1
2026-01-08,2.7,0.3,902.7,5.77,648,19,900.0,903.0,886.0
2026-01-07,19.0,2.16,900.0,17.76,1986,24,881.0,900.0,881.0
2026-01-06,-6.5,-0.73,881.0,16.58,1887,22,905.0,905.0,876.0
2026-01-05,12.5,1.43,887.5,30.57,3489,33,889.9,889.9,868.0
2026-01-04,2.99,0.34,875.0,16.22,1861,29,875.0,877.0,870.0
2026-01-01,-14.0,-1.48,930.0,45.67,4909,45,935.0,938.0,926.8
2025-12-31,15.0,1.61,944.0,21.63,2305,26,934.9,944.5,923.1
