DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.0,0.59,339.0,,48756,340,341.0,341.0,336.1
2026-05-07,2.0,0.6,337.0,,41805,341,338.0,338.0,335.0
2026-05-06,-2.0,-0.59,335.0,,46111,399,338.0,339.9,334.0
2026-05-05,0.5,0.15,337.0,,42837,357,335.3,339.9,335.3
2026-05-04,-3.5,-1.03,336.5,,48916,386,338.1,341.0,335.1
2026-04-30,-1.8,-0.53,340.0,,55779,462,341.2,342.0,337.0
2026-04-29,-3.2,-0.93,341.8,,42620,407,343.0,346.0,341.8
2026-04-28,-2.4,-0.69,345.0,,78714,626,347.4,350.0,344.0
2026-04-27,-1.0,-0.29,347.4,,49517,377,348.4,352.0,346.0
2026-04-24,-0.7,-0.2,348.4,,39050,329,350.0,350.5,347.0
2026-04-23,-2.3,-0.65,349.1,,45253,478,355.0,355.0,349.0
2026-04-22,-2.6,-0.73,351.4,,71452,475,350.0,354.0,346.0
2026-04-21,-1.9,-0.53,354.0,,29084,394,354.0,359.9,353.0
2026-04-20,-0.1,-0.03,355.9,,33704,404,372.0,372.0,352.8
2026-04-17,-1.0,-0.28,356.0,,40908,421,356.0,362.9,354.3
2026-04-16,-5.0,-1.38,357.0,,61449,488,360.0,363.0,356.4
2026-04-15,0.9,0.25,362.0,,68816,551,361.0,366.0,360.2
2026-04-13,0.9,0.25,361.1,,31746,367,360.0,363.7,358.1
2026-04-10,-2.8,-0.77,360.2,,113941,520,363.0,365.9,359.8
2026-04-09,4.7,1.31,363.0,,97161,532,357.0,364.1,355.0
2026-04-08,3.2,0.9,358.3,,109243,569,360.0,360.0,350.5
2026-04-07,-3.9,-1.09,355.1,,85251,633,364.2,364.2,351.4
2026-04-06,10.0,2.87,359.0,,168871,918,345.0,360.0,343.2
2026-04-05,-16.9,-4.62,349.0,,222790,1143,358.6,361.0,349.0
2026-04-02,0.9,0.25,365.9,,67259,543,360.0,368.0,360.0
2026-04-01,-12.0,-3.18,365.0,,230832,1082,370.0,374.0,360.0
2026-03-31,1.0,0.27,377.0,,92057,580,376.0,381.0,368.5
2026-03-30,-7.2,-1.88,376.0,,144203,635,383.2,386.9,375.0
2026-03-29,-10.3,-2.62,383.2,,166180,796,395.0,395.0,383.0
2026-03-26,-0.4,-0.1,393.5,,118315,657,390.0,394.0,388.1
2026-03-25,-8.6,-2.14,393.9,,187578,888,399.0,401.0,389.9
2026-03-24,-2.4,-0.59,402.5,,93133,728,404.9,406.9,398.0
2026-03-23,-4.1,-1.0,404.9,,160317,872,412.0,412.9,398.0
2026-03-22,13.0,3.28,409.0,,302510,1488,398.0,409.2,397.0
2026-03-19,11.0,2.86,396.0,,204604,1096,390.0,396.0,386.0
2026-03-17,2.3,0.6,385.0,,51348,357,380.0,386.0,378.0
2026-03-16,-4.3,-1.11,382.7,,85362,424,383.0,387.0,380.0
2026-03-15,0.5,0.13,387.0,,70977,481,388.0,392.0,383.6
2026-03-12,3.5,0.91,386.5,,92659,512,380.0,388.0,378.0
2026-03-11,-13.0,-3.28,383.0,,86907,555,396.0,396.0,381.9
2026-03-10,-1.8,-0.45,396.0,,208688,1244,405.0,405.0,382.0
2026-03-09,24.8,6.65,397.8,6.37,1622,16,380.4,397.8,380.4
2026-03-03,5.5,1.5,373.0,,41127,292,374.8,374.8,364.0
2026-03-01,2.5,0.68,367.5,,32625,262,360.1,367.9,360.0
2026-02-26,-1.3,-0.35,365.0,89.29,24328,226,373.6,373.6,365.0
2026-02-25,6.3,1.75,366.3,,63534,442,361.0,377.0,360.2
2026-02-24,1.1,0.31,360.0,72.39,20106,230,359.0,361.0,359.0
2026-02-23,-2.1,-0.58,358.9,,38914,312,358.0,362.0,358.0
2026-02-22,0.0,0.0,361.0,,71552,440,360.0,365.0,359.0
2026-02-17,-4.0,-1.1,361.0,,62974,334,363.2,364.5,361.0
2026-02-16,2.9,0.8,365.0,,57230,426,362.1,370.0,362.1
2026-02-12,0.0,0.0,362.1,,66545,452,362.1,366.0,360.0
2026-02-11,-1.0,-0.28,362.1,,43711,343,370.3,370.3,362.1
2026-02-10,-1.0,-0.27,363.1,,44028,406,363.6,366.9,363.0
2026-02-09,-2.1,-0.57,364.1,,74223,459,366.0,366.4,362.5
2026-02-08,-3.7,-1.0,366.2,,52247,459,372.0,374.0,366.0
2026-02-05,4.9,1.34,369.9,,55084,470,364.0,370.0,364.0
2026-02-04,-0.1,-0.03,365.0,,32001,353,357.8,372.4,357.8
2026-02-03,-1.9,-0.52,365.1,,38681,368,368.0,369.8,365.0
2026-02-02,0.7,0.19,367.0,,43210,389,366.3,371.0,366.0
2026-02-01,-3.7,-1.0,366.3,,66162,505,369.0,373.0,365.0
2026-01-29,-1.2,-0.32,370.0,,81108,566,370.0,374.9,368.0
2026-01-28,-0.8,-0.22,371.2,,55058,436,371.0,374.5,368.5
2026-01-27,-9.0,-2.36,372.0,,68289,578,380.0,383.0,368.5
2026-01-26,-2.2,-0.57,381.0,,97084,679,385.0,385.0,378.0
2026-01-25,8.2,2.19,383.2,,128998,696,380.0,384.0,376.0
2026-01-22,-1.0,-0.27,375.0,,57181,405,372.0,376.0,371.0
2026-01-21,-2.4,-0.63,376.0,,42993,352,380.0,382.9,375.1
2026-01-20,10.6,2.88,378.4,,107711,671,373.5,380.9,370.0
2026-01-18,2.9,0.79,367.8,,117425,575,365.0,370.0,362.5
2026-01-14,-2.1,-0.57,364.9,,85359,545,365.0,369.7,361.6
2026-01-13,0.7,0.19,367.0,89.19,24355,326,373.6,373.6,363.1
2026-01-12,-4.8,-1.29,366.3,,54953,524,367.0,369.0,366.0
2026-01-08,1.1,0.3,371.1,62.25,16784,291,370.0,372.9,368.0
2026-01-07,0.0,0.0,370.0,,28978,302,368.2,373.0,368.0
2026-01-06,-1.0,-0.27,370.0,,35765,326,371.0,376.0,369.0
2026-01-05,1.1,0.3,371.0,,44697,403,367.0,371.0,367.0
2026-01-04,0.8,0.22,369.9,,29183,346,367.0,370.0,366.1
2026-01-01,-1.8,-0.49,369.1,86.57,23436,279,371.0,375.0,367.3
2025-12-31,-1.6,-0.43,370.9,,41736,342,365.2,385.0,365.2
2025-12-29,-4.5,-1.19,372.5,,33068,277,377.0,377.0,372.0
2025-12-28,9.0,2.45,377.0,,47346,371,372.0,377.0,370.0
2025-12-24,3.5,0.96,368.0,77.04,20961,269,362.2,370.0,362.2
2025-12-23,-2.1,-0.57,364.5,,39012,405,365.0,369.0,362.0
2025-12-22,-4.4,-1.19,366.6,,39500,363,370.0,371.4,365.0
2025-12-21,-3.0,-0.8,371.0,,44132,366,375.0,375.0,370.4
2025-12-18,-1.0,-0.27,374.0,87.36,23303,294,375.0,377.6,373.5
2025-12-17,-0.5,-0.13,375.0,,63886,397,373.1,379.8,373.1
2025-12-16,3.0,0.81,375.5,,57484,344,373.0,376.9,373.0
2025-12-15,0.7,0.19,372.5,,32451,321,371.8,374.0,371.0
2025-12-14,-3.3,-0.88,371.8,,36115,325,382.6,382.6,371.0
2025-12-11,-0.4,-0.11,375.1,93.83,24960,286,375.5,378.7,375.0
2025-12-10,-1.5,-0.4,375.5,,29481,360,380.0,380.0,374.1
2025-12-09,1.0,0.27,377.0,,43722,384,376.0,379.9,375.0
2025-12-08,-0.8,-0.21,376.0,82.16,21791,380,375.5,378.8,375.1
2025-12-07,-0.2,-0.05,376.8,,53367,362,375.0,381.0,374.4
2025-12-03,-3.0,-0.79,377.0,,28568,314,372.4,380.0,372.4
2025-12-02,-1.0,-0.26,380.0,92.21,24277,237,376.3,384.5,376.3
2025-12-01,-2.0,-0.52,381.0,,46254,426,385.0,385.9,378.0
2025-11-30,-6.9,-1.77,383.0,,99085,559,390.0,393.0,380.2
2025-11-27,-0.4,-0.1,389.9,,73269,442,390.3,391.9,386.1
2025-11-26,-1.7,-0.43,390.3,,82819,519,390.0,393.4,387.0
2025-11-25,-2.0,-0.51,392.0,,104989,581,394.1,395.0,386.0
2025-11-24,20.4,5.46,394.0,,177309,884,381.0,395.0,375.0
2025-11-23,7.6,2.08,373.6,,33398,303,366.0,374.7,366.0
2025-11-20,-1.7,-0.46,366.0,,38833,276,368.0,370.0,365.8
2025-11-19,-5.3,-1.42,367.7,72.5,19611,209,373.0,373.9,367.7
2025-11-18,4.0,1.08,373.0,,47332,332,369.0,376.9,369.0
2025-11-17,0.0,0.0,369.0,,40056,335,369.0,371.0,366.0
2025-11-16,-2.0,-0.54,369.0,,30126,278,367.0,372.0,366.1
2025-11-13,1.2,0.32,371.0,68.46,18476,271,368.0,375.0,368.0
2025-11-12,-2.2,-0.59,369.8,76.86,20715,202,370.5,374.8,369.0
2025-11-11,0.0,0.0,372.0,,31853,354,370.0,373.0,366.0
2025-11-10,1.4,0.38,372.0,,32577,276,368.2,377.0,367.0
2025-11-09,-6.4,-1.7,370.6,,41972,265,377.0,379.0,370.5
2025-11-06,-6.8,-1.77,377.0,,27298,281,381.0,387.0,375.4
2025-11-05,1.8,0.47,383.8,,38414,238,380.0,383.9,377.0
2025-11-04,-5.0,-1.29,382.0,,46169,274,382.1,390.0,379.5
2025-11-03,-3.0,-0.77,387.0,,68022,387,391.0,397.0,384.0
2025-11-02,13.6,3.61,390.0,,103004,551,380.0,394.7,372.5
2025-10-30,2.4,0.64,376.4,,47741,321,375.0,379.3,368.5
2025-10-29,-0.8,-0.21,374.0,,60493,337,375.0,380.0,370.1
2025-10-28,13.8,3.82,374.8,,63492,357,361.0,377.0,360.0
2025-10-26,1.1,0.31,361.0,,33126,218,360.0,361.0,356.0
2025-10-19,4.8,1.35,359.9,,37932,198,355.0,364.9,355.0
2025-10-16,-8.8,-2.42,355.1,,44972,302,368.0,370.0,355.0
2025-10-15,-11.1,-2.96,363.9,,111926,549,368.2,375.0,355.0
2025-10-14,-10.0,-2.6,375.0,,78606,334,385.0,387.0,371.0
2025-10-13,14.0,3.77,385.0,,49283,334,378.0,385.0,363.0
2025-10-12,-11.0,-2.88,371.0,,71068,403,375.1,382.0,367.0
2025-10-09,7.0,1.87,382.0,,51412,357,382.5,401.8,380.0
2025-10-08,-8.0,-2.09,375.0,,59669,369,379.0,383.0,370.1
2025-10-07,-7.0,-1.79,383.0,92.33,23967,219,385.0,393.0,382.3
2025-09-28,0.0,0.0,390.0,90.42,23313,173,390.0,393.0,384.1
2025-09-25,-1.0,-0.26,390.0,90.23,23230,161,387.0,392.1,384.3
2025-09-24,-3.9,-0.99,391.0,89.95,23187,277,394.9,399.8,382.0
2025-09-23,12.06,3.15,394.9,,33892,367,381.0,398.0,381.0
2025-09-21,20.84,5.76,382.84,,70270,647,354.8,387.0,354.8
2025-09-18,-31.65,-8.04,362.0,42.41,11585,62,385.8,385.8,360.0
2025-09-08,-2.44,-0.62,393.65,93.33,23630,284,404.0,404.0,392.5
2025-09-07,-1.9,-0.48,396.09,88.2,22202,316,395.0,401.0,395.0
2025-09-04,1.08,0.27,397.99,,45028,427,396.0,399.8,395.0
2025-09-03,-3.15,-0.79,396.91,,38676,342,400.0,402.0,396.0
2025-09-02,-1.11,-0.28,400.06,,39506,508,400.1,405.8,399.6
2025-09-01,0.27,0.07,401.17,,26392,424,408.9,408.9,400.2
2025-08-31,-5.59,-1.38,400.9,,41360,461,405.0,406.8,400.5
2025-08-28,-8.66,-2.09,406.49,,70849,542,416.0,416.0,405.5
2025-08-27,9.89,2.44,415.15,,59293,511,413.3,416.0,402.1
2025-08-26,0.43,0.11,405.26,,44445,297,409.8,411.0,402.0
2025-08-25,5.57,1.4,404.83,,45714,359,400.0,406.8,397.1
2025-08-24,-2.04,-0.51,399.26,,50658,409,401.0,405.8,398.0
2025-08-21,-1.31,-0.33,401.3,,43936,406,402.61,405.5,400.1
2025-08-20,-3.48,-0.86,402.61,,66088,382,401.0,410.0,401.0
2025-08-19,2.19,0.54,406.09,,43223,443,405.0,410.0,404.0
2025-08-18,1.1,0.27,403.9,,43914,503,402.0,407.0,402.0
2025-08-17,-3.43,-0.84,402.8,,53268,564,403.0,411.0,402.4
2025-08-14,0.4,0.1,406.23,,69689,543,407.0,410.0,405.2
2025-08-13,-2.13,-0.52,405.83,,57793,544,399.9,410.8,399.9
2025-08-12,-3.52,-0.86,407.96,,73858,548,410.0,413.8,407.5
2025-08-11,-2.58,-0.62,411.48,,53454,560,410.0,418.2,410.0
2025-08-07,7.98,1.97,414.06,,93264,802,410.0,416.3,405.3
2025-08-06,-4.45,-1.08,406.08,,119148,960,410.0,414.0,404.0
2025-08-05,-5.64,-1.36,410.53,,112009,791,422.0,423.9,409.7
2025-08-04,4.35,1.06,416.17,,134228,1096,412.1,423.0,411.0
2025-08-03,-12.82,-3.02,411.82,,283998,1400,424.0,429.8,410.0
2025-07-31,-13.11,-2.99,424.64,,248637,1365,446.5,446.5,422.3
2025-07-30,-11.82,-2.63,437.75,,244132,1374,448.0,458.0,435.0
2025-07-29,6.24,1.41,449.57,,222945,1271,450.0,461.0,443.4
2025-07-28,-4.15,-0.93,443.33,,463448,1511,448.0,453.0,436.3
2025-07-27,-7.41,-1.63,447.48,,345999,1690,455.0,464.0,445.0
2025-07-24,2.9,0.64,454.89,,292197,1321,450.0,461.0,448.1
2025-07-23,2.4,0.53,451.99,,223888,1446,450.0,458.5,437.1
2025-07-22,29.95,7.14,449.59,,380023,2041,420.0,452.0,419.6
2025-07-21,1.08,0.26,419.64,,79843,656,426.0,426.0,413.0
